Web Search Interest
France; 2004 - present

Interest over time
Week,Mathematics
2005-02-27 - 2005-03-05,-20%
2005-03-06 - 2005-03-12,-16%
2005-03-13 - 2005-03-19,-19%
2005-03-20 - 2005-03-26,-16%
2005-03-27 - 2005-04-02,-22%
2005-04-03 - 2005-04-09,-22%
2005-04-10 - 2005-04-16,-22%
2005-04-17 - 2005-04-23,-33%
2005-04-24 - 2005-04-30,-31%
2005-05-01 - 2005-05-07,-31%
2005-05-08 - 2005-05-14,-16%
2005-05-15 - 2005-05-21,-21%
2005-05-22 - 2005-05-28,-22%
2005-05-29 - 2005-06-04,-27%
2005-06-05 - 2005-06-11,-24%
2005-06-12 - 2005-06-18,-26%
2005-06-19 - 2005-06-25,-36%
2005-06-26 - 2005-07-02,-48%
2005-07-03 - 2005-07-09,-55%
2005-07-10 - 2005-07-16,-59%
2005-07-17 - 2005-07-23,-56%
2005-07-24 - 2005-07-30,-60%
2005-07-31 - 2005-08-06,-59%
2005-08-07 - 2005-08-13,-61%
2005-08-14 - 2005-08-20,-61%
2005-08-21 - 2005-08-27,-54%
2005-08-28 - 2005-09-03,-47%
2005-09-04 - 2005-09-10,-27%
2005-09-11 - 2005-09-17,-21%
2005-09-18 - 2005-09-24,-16%
2005-09-25 - 2005-10-01,-15%
2005-10-02 - 2005-10-08,-15%
2005-10-09 - 2005-10-15,-14%
2005-10-16 - 2005-10-22,-19%
2005-10-23 - 2005-10-29,-34%
2005-10-30 - 2005-11-05,-25%
2005-11-06 - 2005-11-12,-24%
2005-11-13 - 2005-11-19,-20%
2005-11-20 - 2005-11-26,-21%
2005-11-27 - 2005-12-03,-25%
2005-12-04 - 2005-12-10,-20%
2005-12-11 - 2005-12-17,-24%
2005-12-18 - 2005-12-24,-53%
2005-12-25 - 2005-12-31,-49%
2006-01-01 - 2006-01-07,-27%
2006-01-08 - 2006-01-14,-19%
2006-01-15 - 2006-01-21,-18%
2006-01-22 - 2006-01-28,-21%
2006-01-29 - 2006-02-04,-25%
2006-02-05 - 2006-02-11,-31%
2006-02-12 - 2006-02-18,-36%
2006-02-19 - 2006-02-25,-34%
2006-02-26 - 2006-03-04,-33%
2006-03-05 - 2006-03-11,-24%
2006-03-12 - 2006-03-18,-26%
2006-03-19 - 2006-03-25,-26%
2006-03-26 - 2006-04-01,-29%
2006-04-02 - 2006-04-08,-31%
2006-04-09 - 2006-04-15,-35%
2006-04-16 - 2006-04-22,-39%
2006-04-23 - 2006-04-29,-41%
2006-04-30 - 2006-05-06,-35%
2006-05-07 - 2006-05-13,-31%
2006-05-14 - 2006-05-20,-27%
2006-05-21 - 2006-05-27,-40%
2006-05-28 - 2006-06-03,-36%
2006-06-04 - 2006-06-10,-33%
2006-06-11 - 2006-06-17,-35%
2006-06-18 - 2006-06-24,-39%
2006-06-25 - 2006-07-01,-52%
2006-07-02 - 2006-07-08,-61%
2006-07-09 - 2006-07-15,-65%
2006-07-16 - 2006-07-22,-65%
2006-07-23 - 2006-07-29,-68%
2006-07-30 - 2006-08-05,-68%
2006-08-06 - 2006-08-12,-68%
2006-08-13 - 2006-08-19,-66%
2006-08-20 - 2006-08-26,-52%
2006-08-27 - 2006-09-02,-58%
2006-09-03 - 2006-09-09,-38%
2006-09-10 - 2006-09-16,-29%
2006-09-17 - 2006-09-23,-27%
2006-09-24 - 2006-09-30,-26%
2006-10-01 - 2006-10-07,-22%
2006-10-08 - 2006-10-14,-22%
2006-10-15 - 2006-10-21,-24%
2006-10-22 - 2006-10-28,-36%
2006-10-29 - 2006-11-04,-38%
2006-11-05 - 2006-11-11,-25%
2006-11-12 - 2006-11-18,-26%
2006-11-19 - 2006-11-25,-29%
2006-11-26 - 2006-12-02,-32%
2006-12-03 - 2006-12-09,-31%
2006-12-10 - 2006-12-16,-31%
2006-12-17 - 2006-12-23,-36%
2006-12-24 - 2006-12-30,-66%
2006-12-31 - 2007-01-06,-48%
2007-01-07 - 2007-01-13,-29%
2007-01-14 - 2007-01-20,-28%
2007-01-21 - 2007-01-27,-32%
2007-01-28 - 2007-02-03,-32%
2007-02-04 - 2007-02-10,-34%
2007-02-11 - 2007-02-17,-41%
2007-02-18 - 2007-02-24,-45%
2007-02-25 - 2007-03-03,-44%
2007-03-04 - 2007-03-10,-40%
2007-03-11 - 2007-03-17,-34%
2007-03-18 - 2007-03-24,-33%
2007-03-25 - 2007-03-31,-33%
2007-04-01 - 2007-04-07,-44%
2007-04-08 - 2007-04-14,-48%
2007-04-15 - 2007-04-21,-45%
2007-04-22 - 2007-04-28,-46%
2007-04-29 - 2007-05-05,-42%
2007-05-06 - 2007-05-12,-42%
2007-05-13 - 2007-05-19,-40%
2007-05-20 - 2007-05-26,-40%
2007-05-27 - 2007-06-02,-46%
2007-06-03 - 2007-06-09,-39%
2007-06-10 - 2007-06-16,-44%
2007-06-17 - 2007-06-23,-47%
2007-06-24 - 2007-06-30,-56%
2007-07-01 - 2007-07-07,-65%
2007-07-08 - 2007-07-14,-68%
2007-07-15 - 2007-07-21,-69%
2007-07-22 - 2007-07-28,-71%
2007-07-29 - 2007-08-04,-74%
2007-08-05 - 2007-08-11,-71%
2007-08-12 - 2007-08-18,-73%
2007-08-19 - 2007-08-25,-68%
2007-08-26 - 2007-09-01,-65%
2007-09-02 - 2007-09-08,-48%
2007-09-09 - 2007-09-15,-33%
2007-09-16 - 2007-09-22,-31%
2007-09-23 - 2007-09-29,-31%
2007-09-30 - 2007-10-06,-32%
2007-10-07 - 2007-10-13,-28%
2007-10-14 - 2007-10-20,-29%
2007-10-21 - 2007-10-27,-33%
2007-10-28 - 2007-11-03,-52%
2007-11-04 - 2007-11-10,-32%
2007-11-11 - 2007-11-17,-33%
2007-11-18 - 2007-11-24,-36%
2007-11-25 - 2007-12-01,-32%
2007-12-02 - 2007-12-08,-33%
2007-12-09 - 2007-12-15,-33%
2007-12-16 - 2007-12-22,-41%
2007-12-23 - 2007-12-29,-68%
2007-12-30 - 2008-01-05,-51%
2008-01-06 - 2008-01-12,-34%
2008-01-13 - 2008-01-19,-32%
2008-01-20 - 2008-01-26,-34%
2008-01-27 - 2008-02-02,-33%
2008-02-03 - 2008-02-09,-35%
2008-02-10 - 2008-02-16,-46%
2008-02-17 - 2008-02-23,-45%
2008-02-24 - 2008-03-01,-46%
2008-03-02 - 2008-03-08,-41%
2008-03-09 - 2008-03-15,-39%
2008-03-16 - 2008-03-22,-41%
2008-03-23 - 2008-03-29,-39%
2008-03-30 - 2008-04-05,-36%
2008-04-06 - 2008-04-12,-44%
2008-04-13 - 2008-04-19,-47%
2008-04-20 - 2008-04-26,-47%
2008-04-27 - 2008-05-03,-46%
2008-05-04 - 2008-05-10,-45%
2008-05-11 - 2008-05-17,-38%
2008-05-18 - 2008-05-24,-41%
2008-05-25 - 2008-05-31,-42%
2008-06-01 - 2008-06-07,-44%
2008-06-08 - 2008-06-14,-45%
2008-06-15 - 2008-06-21,-47%
2008-06-22 - 2008-06-28,-53%
2008-06-29 - 2008-07-05,-68%
2008-07-06 - 2008-07-12,-69%
2008-07-13 - 2008-07-19,-73%
2008-07-20 - 2008-07-26,-71%
2008-07-27 - 2008-08-02,-74%
2008-08-03 - 2008-08-09,-74%
2008-08-10 - 2008-08-16,-74%
2008-08-17 - 2008-08-23,-69%
2008-08-24 - 2008-08-30,-65%
2008-08-31 - 2008-09-06,-49%
2008-09-07 - 2008-09-13,-34%
2008-09-14 - 2008-09-20,-33%
2008-09-21 - 2008-09-27,-32%
2008-09-28 - 2008-10-04,-33%
2008-10-05 - 2008-10-11,-31%
2008-10-12 - 2008-10-18,-29%
2008-10-19 - 2008-10-25,-32%
2008-10-26 - 2008-11-01,-51%
2008-11-02 - 2008-11-08,-34%
2008-11-09 - 2008-11-15,-38%
2008-11-16 - 2008-11-22,-35%
2008-11-23 - 2008-11-29,-34%
2008-11-30 - 2008-12-06,-35%
2008-12-07 - 2008-12-13,-35%
2008-12-14 - 2008-12-20,-42%
2008-12-21 - 2008-12-27,-68%
2008-12-28 - 2009-01-03,-56%
2009-01-04 - 2009-01-10,-38%
2009-01-11 - 2009-01-17,-33%
2009-01-18 - 2009-01-24,-36%
2009-01-25 - 2009-01-31,-38%
2009-02-01 - 2009-02-07,-40%
2009-02-08 - 2009-02-14,-46%
2009-02-15 - 2009-02-21,-49%
2009-02-22 - 2009-02-28,-51%
2009-03-01 - 2009-03-07,-44%
2009-03-08 - 2009-03-14,-39%
2009-03-15 - 2009-03-21,-40%
2009-03-22 - 2009-03-28,-39%
2009-03-29 - 2009-04-04,-40%
2009-04-05 - 2009-04-11,-46%
2009-04-12 - 2009-04-18,-51%
2009-04-19 - 2009-04-25,-46%
2009-04-26 - 2009-05-02,-47%
2009-05-03 - 2009-05-09,-44%
2009-05-10 - 2009-05-16,-40%
2009-05-17 - 2009-05-23,-47%
2009-05-24 - 2009-05-30,-44%
2009-05-31 - 2009-06-06,-48%
2009-06-07 - 2009-06-13,-48%
2009-06-14 - 2009-06-20,-46%
2009-06-21 - 2009-06-27,-52%
2009-06-28 - 2009-07-04,-65%
2009-07-05 - 2009-07-11,-72%
2009-07-12 - 2009-07-18,-75%
2009-07-19 - 2009-07-25,-73%
2009-07-26 - 2009-08-01,-74%
2009-08-02 - 2009-08-08,-75%
2009-08-09 - 2009-08-15,-75%
2009-08-16 - 2009-08-22,-72%
2009-08-23 - 2009-08-29,-67%
2009-08-30 - 2009-09-05,-56%
2009-09-06 - 2009-09-12,-36%
2009-09-13 - 2009-09-19,-36%
2009-09-20 - 2009-09-26,-34%
2009-09-27 - 2009-10-03,-36%
2009-10-04 - 2009-10-10,-35%
2009-10-11 - 2009-10-17,-34%
2009-10-18 - 2009-10-24,-40%
2009-10-25 - 2009-10-31,-54%
2009-11-01 - 2009-11-07,-39%
2009-11-08 - 2009-11-14,-39%
2009-11-15 - 2009-11-21,-40%
2009-11-22 - 2009-11-28,-40%
2009-11-29 - 2009-12-05,-42%
2009-12-06 - 2009-12-12,-41%
2009-12-13 - 2009-12-19,-47%
2009-12-20 - 2009-12-26,-71%
2009-12-27 - 2010-01-02,-60%
2010-01-03 - 2010-01-09,-44%
2010-01-10 - 2010-01-16,-41%
2010-01-17 - 2010-01-23,-41%
2010-01-24 - 2010-01-30,-41%
2010-01-31 - 2010-02-06,-44%
2010-02-07 - 2010-02-13,-51%
2010-02-14 - 2010-02-20,-54%
2010-02-21 - 2010-02-27,-51%
2010-02-28 - 2010-03-06,-46%
2010-03-07 - 2010-03-13,-45%
2010-03-14 - 2010-03-20,-42%
2010-03-21 - 2010-03-27,-41%
2010-03-28 - 2010-04-03,-44%
2010-04-04 - 2010-04-10,-53%
2010-04-11 - 2010-04-17,-53%
2010-04-18 - 2010-04-24,-51%
2010-04-25 - 2010-05-01,-46%
2010-05-02 - 2010-05-08,-45%
2010-05-09 - 2010-05-15,-51%
2010-05-16 - 2010-05-22,-46%
2010-05-23 - 2010-05-29,-48%
2010-05-30 - 2010-06-05,-48%
2010-06-06 - 2010-06-12,-51%
2010-06-13 - 2010-06-19,-52%
2010-06-20 - 2010-06-26,-55%
2010-06-27 - 2010-07-03,-66%
2010-07-04 - 2010-07-10,-72%
2010-07-11 - 2010-07-17,-78%
2010-07-18 - 2010-07-24,-76%
2010-07-25 - 2010-07-31,-76%
2010-08-01 - 2010-08-07,-78%
2010-08-08 - 2010-08-14,-75%
2010-08-15 - 2010-08-21,-73%
2010-08-22 - 2010-08-28,-71%
2010-08-29 - 2010-09-04,-65%
2010-09-05 - 2010-09-11,-44%
2010-09-12 - 2010-09-18,-40%
2010-09-19 - 2010-09-25,-38%
2010-09-26 - 2010-10-02,-34%
2010-10-03 - 2010-10-09,-36%
2010-10-10 - 2010-10-16,-38%
2010-10-17 - 2010-10-23,-44%
2010-10-24 - 2010-10-30,-56%
2010-10-31 - 2010-11-06,-41%
2010-11-07 - 2010-11-13,-44%
2010-11-14 - 2010-11-20,-40%
2010-11-21 - 2010-11-27,-40%
2010-11-28 - 2010-12-04,-45%
2010-12-05 - 2010-12-11,-41%
2010-12-12 - 2010-12-18,-47%
2010-12-19 - 2010-12-25,-71%
2010-12-26 - 2011-01-01,-61%
2011-01-02 - 2011-01-08,-42%
2011-01-09 - 2011-01-15,-42%
2011-01-16 - 2011-01-22,-45%
2011-01-23 - 2011-01-29,-44%
2011-01-30 - 2011-02-05,-45%
2011-02-06 - 2011-02-12,-46%
2011-02-13 - 2011-02-19,-49%
2011-02-20 - 2011-02-26,-55%
2011-02-27 - 2011-03-05,-55%
2011-03-06 - 2011-03-12,-49%
2011-03-13 - 2011-03-19,-45%
2011-03-20 - 2011-03-26,-45%
2011-03-27 - 2011-04-02,-45%
2011-04-03 - 2011-04-09,-45%
2011-04-10 - 2011-04-16,-49%
2011-04-17 - 2011-04-23,-56%
2011-04-24 - 2011-04-30,-56%
2011-05-01 - 2011-05-07,-47%
2011-05-08 - 2011-05-14,-44%
2011-05-15 - 2011-05-21,-46%
2011-05-22 - 2011-05-28,-47%
2011-05-29 - 2011-06-04,-56%
2011-06-05 - 2011-06-11,-52%
2011-06-12 - 2011-06-18,-53%
2011-06-19 - 2011-06-25,-51%
2011-06-26 - 2011-07-02,-67%
2011-07-03 - 2011-07-09,-74%
2011-07-10 - 2011-07-16,-78%
2011-07-17 - 2011-07-23,-78%
2011-07-24 - 2011-07-30,-79%
2011-07-31 - 2011-08-06,-78%
2011-08-07 - 2011-08-13,-78%
2011-08-14 - 2011-08-20,-71%
2011-08-21 - 2011-08-27,-74%
2011-08-28 - 2011-09-03,-71%
2011-09-04 - 2011-09-10,-51%
2011-09-11 - 2011-09-17,-39%
2011-09-18 - 2011-09-24,-36%
2011-09-25 - 2011-10-01,-39%
2011-10-02 - 2011-10-08,-40%
2011-10-09 - 2011-10-15,-35%
2011-10-16 - 2011-10-22,-41%
2011-10-23 - 2011-10-29,-55%
2011-10-30 - 2011-11-05,-41%
2011-11-06 - 2011-11-12,-41%
2011-11-13 - 2011-11-19,-38%
2011-11-20 - 2011-11-26,-40%
2011-11-27 - 2011-12-03,-41%
2011-12-04 - 2011-12-10,-40%
2011-12-11 - 2011-12-17,-47%
2011-12-18 - 2011-12-24,-68%
2011-12-25 - 2011-12-31,-62%
2012-01-01 - 2012-01-07,-41%
2012-01-08 - 2012-01-14,-41%
2012-01-15 - 2012-01-21,-40%
2012-01-22 - 2012-01-28,-41%
2012-01-29 - 2012-02-04,-46%
2012-02-05 - 2012-02-11,-45%
2012-02-12 - 2012-02-18,-51%
2012-02-19 - 2012-02-25,-54%
2012-02-26 - 2012-03-03,-53%
2012-03-04 - 2012-03-10,-48%
2012-03-11 - 2012-03-17,-44%
2012-03-18 - 2012-03-24,-44%
2012-03-25 - 2012-03-31,-42%
2012-04-01 - 2012-04-07,-45%
2012-04-08 - 2012-04-14,-53%
2012-04-15 - 2012-04-21,-53%
2012-04-22 - 2012-04-28,-55%
2012-04-29 - 2012-05-05,-52%
2012-05-06 - 2012-05-12,-47%
2012-05-13 - 2012-05-19,-49%
2012-05-20 - 2012-05-26,-44%
2012-05-27 - 2012-06-02,-51%
2012-06-03 - 2012-06-09,-49%
2012-06-10 - 2012-06-16,-52%
2012-06-17 - 2012-06-23,-52%
2012-06-24 - 2012-06-30,-61%
2012-07-01 - 2012-07-07,-73%
2012-07-08 - 2012-07-14,-75%
2012-07-15 - 2012-07-21,-76%
2012-07-22 - 2012-07-28,-78%
2012-07-29 - 2012-08-04,-79%
2012-08-05 - 2012-08-11,-78%
2012-08-12 - 2012-08-18,-78%
2012-08-19 - 2012-08-25,-74%
2012-08-26 - 2012-09-01,-71%
2012-09-02 - 2012-09-08,-54%
2012-09-09 - 2012-09-15,-36%
2012-09-16 - 2012-09-22,-33%
2012-09-23 - 2012-09-29,-36%
2012-09-30 - 2012-10-06,-36%
2012-10-07 - 2012-10-13,-36%
2012-10-14 - 2012-10-20,-39%
2012-10-21 - 2012-10-27,-44%
2012-10-28 - 2012-11-03,-62%
2012-11-04 - 2012-11-10,-44%
2012-11-11 - 2012-11-17,-40%
2012-11-18 - 2012-11-24,-34%
2012-11-25 - 2012-12-01, 



Top searches
maths,100
math,80
fonction,60
mathématiques,55
multiplication,50
triangle,45
statistique,35
mathématique,30
table multiplication,25
equation,25
table de multiplication,25
pythagore,25
mathematique,25
mathematiques,20
équation,20
sesamath,20
mathenpoche,20
pi,20
probabilité,15
dérivée,15



Rising searches
maths en poche,+900%
mathenpoche,+400%
table de multiplication,+250%
table multiplication,+250%
multiplication,+160%
triangle rectangle,+160%
tables de multiplication,+120%
tables multiplication,+110%
dérivée,+90%
triangle,+70%



