Web Search Interest
Germany; 2004 - present

Interest over time
Week,Yard & Patio
2009-05-03 - 2009-05-09,+129%
2009-05-10 - 2009-05-16,+119%
2009-05-17 - 2009-05-23,+123%
2009-05-24 - 2009-05-30,+119%
2009-05-31 - 2009-06-06,+123%
2009-06-07 - 2009-06-13,+87%
2009-06-14 - 2009-06-20,+94%
2009-06-21 - 2009-06-27,+84%
2009-06-28 - 2009-07-04,+90%
2009-07-05 - 2009-07-11,+81%
2009-07-12 - 2009-07-18,+90%
2009-07-19 - 2009-07-25,+81%
2009-07-26 - 2009-08-01,+94%
2009-08-02 - 2009-08-08,+90%
2009-08-09 - 2009-08-15,+81%
2009-08-16 - 2009-08-22,+77%
2009-08-23 - 2009-08-29,+71%
2009-08-30 - 2009-09-05,+45%
2009-09-06 - 2009-09-12,+39%
2009-09-13 - 2009-09-19,+29%
2009-09-20 - 2009-09-26,+26%
2009-09-27 - 2009-10-03,+19%
2009-10-04 - 2009-10-10,+23%
2009-10-11 - 2009-10-17,+13%
2009-10-18 - 2009-10-24,+10%
2009-10-25 - 2009-10-31,+3%
2009-11-01 - 2009-11-07,+3%
2009-11-08 - 2009-11-14,-3%
2009-11-15 - 2009-11-21,+0%
2009-11-22 - 2009-11-28,-3%
2009-11-29 - 2009-12-05,-6%
2009-12-06 - 2009-12-12,-3%
2009-12-13 - 2009-12-19,-10%
2009-12-20 - 2009-12-26,-19%
2009-12-27 - 2010-01-02,-16%
2010-01-03 - 2010-01-09,-3%
2010-01-10 - 2010-01-16,+3%
2010-01-17 - 2010-01-23,-3%
2010-01-24 - 2010-01-30,+3%
2010-01-31 - 2010-02-06,+10%
2010-02-07 - 2010-02-13,+6%
2010-02-14 - 2010-02-20,+10%
2010-02-21 - 2010-02-27,+19%
2010-02-28 - 2010-03-06,+45%
2010-03-07 - 2010-03-13,+45%
2010-03-14 - 2010-03-20,+68%
2010-03-21 - 2010-03-27,+106%
2010-03-28 - 2010-04-03,+94%
2010-04-04 - 2010-04-10,+113%
2010-04-11 - 2010-04-17,+103%
2010-04-18 - 2010-04-24,+129%
2010-04-25 - 2010-05-01,+142%
2010-05-02 - 2010-05-08,+103%
2010-05-09 - 2010-05-15,+87%
2010-05-16 - 2010-05-22,+97%
2010-05-23 - 2010-05-29,+116%
2010-05-30 - 2010-06-05,+110%
2010-06-06 - 2010-06-12,+116%
2010-06-13 - 2010-06-19,+94%
2010-06-20 - 2010-06-26,+94%
2010-06-27 - 2010-07-03,+106%
2010-07-04 - 2010-07-10,+94%
2010-07-11 - 2010-07-17,+97%
2010-07-18 - 2010-07-24,+94%
2010-07-25 - 2010-07-31,+68%
2010-08-01 - 2010-08-07,+74%
2010-08-08 - 2010-08-14,+65%
2010-08-15 - 2010-08-21,+61%
2010-08-22 - 2010-08-28,+52%
2010-08-29 - 2010-09-04,+35%
2010-09-05 - 2010-09-11,+35%
2010-09-12 - 2010-09-18,+29%
2010-09-19 - 2010-09-25,+26%
2010-09-26 - 2010-10-02,+16%
2010-10-03 - 2010-10-09,+16%
2010-10-10 - 2010-10-16,+16%
2010-10-17 - 2010-10-23,+6%
2010-10-24 - 2010-10-30,+6%
2010-10-31 - 2010-11-06,+3%
2010-11-07 - 2010-11-13,+0%
2010-11-14 - 2010-11-20,+0%
2010-11-21 - 2010-11-27,+0%
2010-11-28 - 2010-12-04,+6%
2010-12-05 - 2010-12-11,+13%
2010-12-12 - 2010-12-18,+13%
2010-12-19 - 2010-12-25,+6%
2010-12-26 - 2011-01-01,+13%
2011-01-02 - 2011-01-08,+10%
2011-01-09 - 2011-01-15,+13%
2011-01-16 - 2011-01-22,+19%
2011-01-23 - 2011-01-29,+23%
2011-01-30 - 2011-02-05,+19%
2011-02-06 - 2011-02-12,+39%
2011-02-13 - 2011-02-19,+39%
2011-02-20 - 2011-02-26,+39%
2011-02-27 - 2011-03-05,+58%
2011-03-06 - 2011-03-12,+81%
2011-03-13 - 2011-03-19,+94%
2011-03-20 - 2011-03-26,+142%
2011-03-27 - 2011-04-02,+168%
2011-04-03 - 2011-04-09,+181%
2011-04-10 - 2011-04-16,+177%
2011-04-17 - 2011-04-23,+213%
2011-04-24 - 2011-04-30,+200%
2011-05-01 - 2011-05-07,+168%
2011-05-08 - 2011-05-14,+171%
2011-05-15 - 2011-05-21,+142%
2011-05-22 - 2011-05-28,+139%
2011-05-29 - 2011-06-04,+132%
2011-06-05 - 2011-06-11,+129%
2011-06-12 - 2011-06-18,+129%
2011-06-19 - 2011-06-25,+106%
2011-06-26 - 2011-07-02,+113%
2011-07-03 - 2011-07-09,+103%
2011-07-10 - 2011-07-16,+110%
2011-07-17 - 2011-07-23,+97%
2011-07-24 - 2011-07-30,+90%
2011-07-31 - 2011-08-06,+94%
2011-08-07 - 2011-08-13,+84%
2011-08-14 - 2011-08-20,+100%
2011-08-21 - 2011-08-27,+97%
2011-08-28 - 2011-09-03,+74%
2011-09-04 - 2011-09-10,+65%
2011-09-11 - 2011-09-17,+61%
2011-09-18 - 2011-09-24,+52%
2011-09-25 - 2011-10-01,+58%
2011-10-02 - 2011-10-08,+48%
2011-10-09 - 2011-10-15,+35%
2011-10-16 - 2011-10-22,+29%
2011-10-23 - 2011-10-29,+26%
2011-10-30 - 2011-11-05,+26%
2011-11-06 - 2011-11-12,+26%
2011-11-13 - 2011-11-19,+23%
2011-11-20 - 2011-11-26,+19%
2011-11-27 - 2011-12-03,+13%
2011-12-04 - 2011-12-10,+16%
2011-12-11 - 2011-12-17,+13%
2011-12-18 - 2011-12-24,+0%
2011-12-25 - 2011-12-31,+0%
2012-01-01 - 2012-01-07,+6%
2012-01-08 - 2012-01-14,+19%
2012-01-15 - 2012-01-21,+23%
2012-01-22 - 2012-01-28,+16%
2012-01-29 - 2012-02-04,+19%
2012-02-05 - 2012-02-11,+19%
2012-02-12 - 2012-02-18,+23%
2012-02-19 - 2012-02-25,+42%
2012-02-26 - 2012-03-03,+68%
2012-03-04 - 2012-03-10,+87%
2012-03-11 - 2012-03-17,+135%
2012-03-18 - 2012-03-24,+190%
2012-03-25 - 2012-03-31,+200%
2012-04-01 - 2012-04-07,+158%
2012-04-08 - 2012-04-14,+145%
2012-04-15 - 2012-04-21,+142%
2012-04-22 - 2012-04-28,+158%
2012-04-29 - 2012-05-05,+223%
2012-05-06 - 2012-05-12,+168%
2012-05-13 - 2012-05-19,+161%
2012-05-20 - 2012-05-26,+203%
2012-05-27 - 2012-06-02,+197%
2012-06-03 - 2012-06-09,+142%
2012-06-10 - 2012-06-16,+129%
2012-06-17 - 2012-06-23,+145%
2012-06-24 - 2012-06-30,+139%
2012-07-01 - 2012-07-07,+139%
2012-07-08 - 2012-07-14,+126%
2012-07-15 - 2012-07-21,+116%
2012-07-22 - 2012-07-28,+145%
2012-07-29 - 2012-08-04,+129%
2012-08-05 - 2012-08-11,+116%
2012-08-12 - 2012-08-18,+142%
2012-08-19 - 2012-08-25,+116%
2012-08-26 - 2012-09-01,+87%
2012-09-02 - 2012-09-08,+77%
2012-09-09 - 2012-09-15,+74%
2012-09-16 - 2012-09-22,+55%
2012-09-23 - 2012-09-29,+42%
2012-09-30 - 2012-10-06,+42%
2012-10-07 - 2012-10-13,+32%
2012-10-14 - 2012-10-20,+32%
2012-10-21 - 2012-10-27,+32%
2012-10-28 - 2012-11-03,+23%
2012-11-04 - 2012-11-10,+19%
2012-11-11 - 2012-11-17,+19%
2012-11-18 - 2012-11-24,+26%
2012-11-25 - 2012-12-01, 



Top searches
haus,100
gartenmöbel,90
rasenmäher,85
grill,60
edelstahl,60
weber,55
garten,45
gardena,40
weber grill,35
troisdorf,35
balkon,30
carport,30
haus kaufen,25
bambus,20
sichtschutz,20
gasgrill,15
table,15
terrasse,15
heckenschere,15
terasse,15



Rising searches
haus kaufen,+550%
weber,+250%
weber grill,+250%
sichtschutz,+120%
grill,+100%
gasgrill,+90%
stihl,+70%
balkon,+60%
haus,+50%
heckenschere,+40%



