Web Search Interest
France; 2004 - present

Interest over time
Week,TV & Video
2009-11-01 - 2009-11-07,+236%
2009-11-08 - 2009-11-14,+220%
2009-11-15 - 2009-11-21,+212%
2009-11-22 - 2009-11-28,+216%
2009-11-29 - 2009-12-05,+212%
2009-12-06 - 2009-12-12,+216%
2009-12-13 - 2009-12-19,+228%
2009-12-20 - 2009-12-26,+248%
2009-12-27 - 2010-01-02,+232%
2010-01-03 - 2010-01-09,+176%
2010-01-10 - 2010-01-16,+192%
2010-01-17 - 2010-01-23,+204%
2010-01-24 - 2010-01-30,+212%
2010-01-31 - 2010-02-06,+216%
2010-02-07 - 2010-02-13,+228%
2010-02-14 - 2010-02-20,+236%
2010-02-21 - 2010-02-27,+232%
2010-02-28 - 2010-03-06,+232%
2010-03-07 - 2010-03-13,+220%
2010-03-14 - 2010-03-20,+220%
2010-03-21 - 2010-03-27,+228%
2010-03-28 - 2010-04-03,+228%
2010-04-04 - 2010-04-10,+248%
2010-04-11 - 2010-04-17,+240%
2010-04-18 - 2010-04-24,+220%
2010-04-25 - 2010-05-01,+224%
2010-05-02 - 2010-05-08,+220%
2010-05-09 - 2010-05-15,+240%
2010-05-16 - 2010-05-22,+224%
2010-05-23 - 2010-05-29,+236%
2010-05-30 - 2010-06-05,+220%
2010-06-06 - 2010-06-12,+220%
2010-06-13 - 2010-06-19,+232%
2010-06-20 - 2010-06-26,+232%
2010-06-27 - 2010-07-03,+200%
2010-07-04 - 2010-07-10,+208%
2010-07-11 - 2010-07-17,+240%
2010-07-18 - 2010-07-24,+228%
2010-07-25 - 2010-07-31,+236%
2010-08-01 - 2010-08-07,+236%
2010-08-08 - 2010-08-14,+240%
2010-08-15 - 2010-08-21,+252%
2010-08-22 - 2010-08-28,+256%
2010-08-29 - 2010-09-04,+240%
2010-09-05 - 2010-09-11,+228%
2010-09-12 - 2010-09-18,+236%
2010-09-19 - 2010-09-25,+224%
2010-09-26 - 2010-10-02,+236%
2010-10-03 - 2010-10-09,+236%
2010-10-10 - 2010-10-16,+252%
2010-10-17 - 2010-10-23,+252%
2010-10-24 - 2010-10-30,+236%
2010-10-31 - 2010-11-06,+244%
2010-11-07 - 2010-11-13,+248%
2010-11-14 - 2010-11-20,+220%
2010-11-21 - 2010-11-27,+216%
2010-11-28 - 2010-12-04,+224%
2010-12-05 - 2010-12-11,+212%
2010-12-12 - 2010-12-18,+212%
2010-12-19 - 2010-12-25,+236%
2010-12-26 - 2011-01-01,+236%
2011-01-02 - 2011-01-08,+200%
2011-01-09 - 2011-01-15,+208%
2011-01-16 - 2011-01-22,+216%
2011-01-23 - 2011-01-29,+224%
2011-01-30 - 2011-02-05,+232%
2011-02-06 - 2011-02-12,+224%
2011-02-13 - 2011-02-19,+220%
2011-02-20 - 2011-02-26,+240%
2011-02-27 - 2011-03-05,+236%
2011-03-06 - 2011-03-12,+244%
2011-03-13 - 2011-03-19,+228%
2011-03-20 - 2011-03-26,+220%
2011-03-27 - 2011-04-02,+224%
2011-04-03 - 2011-04-09,+224%
2011-04-10 - 2011-04-16,+224%
2011-04-17 - 2011-04-23,+240%
2011-04-24 - 2011-04-30,+248%
2011-05-01 - 2011-05-07,+224%
2011-05-08 - 2011-05-14,+220%
2011-05-15 - 2011-05-21,+224%
2011-05-22 - 2011-05-28,+208%
2011-05-29 - 2011-06-04,+236%
2011-06-05 - 2011-06-11,+216%
2011-06-12 - 2011-06-18,+220%
2011-06-19 - 2011-06-25,+228%
2011-06-26 - 2011-07-02,+216%
2011-07-03 - 2011-07-09,+220%
2011-07-10 - 2011-07-16,+240%
2011-07-17 - 2011-07-23,+244%
2011-07-24 - 2011-07-30,+244%
2011-07-31 - 2011-08-06,+248%
2011-08-07 - 2011-08-13,+256%
2011-08-14 - 2011-08-20,+264%
2011-08-21 - 2011-08-27,+256%
2011-08-28 - 2011-09-03,+252%
2011-09-04 - 2011-09-10,+244%
2011-09-11 - 2011-09-17,+256%
2011-09-18 - 2011-09-24,+264%
2011-09-25 - 2011-10-01,+248%
2011-10-02 - 2011-10-08,+244%
2011-10-09 - 2011-10-15,+244%
2011-10-16 - 2011-10-22,+240%
2011-10-23 - 2011-10-29,+260%
2011-10-30 - 2011-11-05,+256%
2011-11-06 - 2011-11-12,+244%
2011-11-13 - 2011-11-19,+228%
2011-11-20 - 2011-11-26,+216%
2011-11-27 - 2011-12-03,+212%
2011-12-04 - 2011-12-10,+220%
2011-12-11 - 2011-12-17,+228%
2011-12-18 - 2011-12-24,+240%
2011-12-25 - 2011-12-31,+232%
2012-01-01 - 2012-01-07,+212%
2012-01-08 - 2012-01-14,+200%
2012-01-15 - 2012-01-21,+224%
2012-01-22 - 2012-01-28,+232%
2012-01-29 - 2012-02-04,+204%
2012-02-05 - 2012-02-11,+220%
2012-02-12 - 2012-02-18,+232%
2012-02-19 - 2012-02-25,+232%
2012-02-26 - 2012-03-03,+220%
2012-03-04 - 2012-03-10,+216%
2012-03-11 - 2012-03-17,+204%
2012-03-18 - 2012-03-24,+208%
2012-03-25 - 2012-03-31,+192%
2012-04-01 - 2012-04-07,+204%
2012-04-08 - 2012-04-14,+220%
2012-04-15 - 2012-04-21,+220%
2012-04-22 - 2012-04-28,+220%
2012-04-29 - 2012-05-05,+224%
2012-05-06 - 2012-05-12,+220%
2012-05-13 - 2012-05-19,+224%
2012-05-20 - 2012-05-26,+208%
2012-05-27 - 2012-06-02,+228%
2012-06-03 - 2012-06-09,+212%
2012-06-10 - 2012-06-16,+228%
2012-06-17 - 2012-06-23,+204%
2012-06-24 - 2012-06-30,+204%
2012-07-01 - 2012-07-07,+200%
2012-07-08 - 2012-07-14,+196%
2012-07-15 - 2012-07-21,+196%
2012-07-22 - 2012-07-28,+192%
2012-07-29 - 2012-08-04,+220%
2012-08-05 - 2012-08-11,+208%
2012-08-12 - 2012-08-18,+220%
2012-08-19 - 2012-08-25,+232%
2012-08-26 - 2012-09-01,+236%
2012-09-02 - 2012-09-08,+208%
2012-09-09 - 2012-09-15,+184%
2012-09-16 - 2012-09-22,+192%
2012-09-23 - 2012-09-29,+184%
2012-09-30 - 2012-10-06,+192%
2012-10-07 - 2012-10-13,+192%
2012-10-14 - 2012-10-20,+188%
2012-10-21 - 2012-10-27,+188%
2012-10-28 - 2012-11-03,+220%
2012-11-04 - 2012-11-10,+208%
2012-11-11 - 2012-11-17,+188%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
youtube,100
you,25
you tube,25
tf1,20
tv,20
dailymotion,20
m6,15
streaming,15
france,15
m6 replay,10
programme tv,5
video,5
replay tf1,5
eurosport,5
tnt,5
france 2,5
programme tnt,5
france 3,5
free,5
canal,5



Rising searches
dailymotion,Breakout
desperate housewives,Breakout
m6 replay,Breakout
programme tnt,Breakout
replay tf1,Breakout
you,Breakout
you tube,Breakout
youtube,Breakout
streaming,+2,500%
tnt,+550%



