Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,HVAC & Climate Control
2007-05-20 - 2007-05-26,-22%
2007-05-27 - 2007-06-02,-22%
2007-06-03 - 2007-06-09,+0%
2007-06-10 - 2007-06-16,-31%
2007-06-17 - 2007-06-23,-16%
2007-06-24 - 2007-06-30,-18%
2007-07-01 - 2007-07-07,-9%
2007-07-08 - 2007-07-14,-24%
2007-07-15 - 2007-07-21,-15%
2007-07-22 - 2007-07-28,+9%
2007-07-29 - 2007-08-04,-18%
2007-08-05 - 2007-08-11,-16%
2007-08-12 - 2007-08-18,-24%
2007-08-19 - 2007-08-25,-7%
2007-08-26 - 2007-09-01,-11%
2007-09-02 - 2007-09-08,-22%
2007-09-09 - 2007-09-15,-38%
2007-09-16 - 2007-09-22,-42%
2007-09-23 - 2007-09-29,-20%
2007-09-30 - 2007-10-06,-35%
2007-10-07 - 2007-10-13,+4%
2007-10-14 - 2007-10-20,-35%
2007-10-21 - 2007-10-27,-16%
2007-10-28 - 2007-11-03,-20%
2007-11-04 - 2007-11-10,-16%
2007-11-11 - 2007-11-17,-36%
2007-11-18 - 2007-11-24,-33%
2007-11-25 - 2007-12-01,-38%
2007-12-02 - 2007-12-08,-29%
2007-12-09 - 2007-12-15,-42%
2007-12-16 - 2007-12-22,-49%
2007-12-23 - 2007-12-29,-58%
2007-12-30 - 2008-01-05,-47%
2008-01-06 - 2008-01-12,-53%
2008-01-13 - 2008-01-19,-36%
2008-01-20 - 2008-01-26,-56%
2008-01-27 - 2008-02-02,-40%
2008-02-03 - 2008-02-09,-45%
2008-02-10 - 2008-02-16,-33%
2008-02-17 - 2008-02-23,-38%
2008-02-24 - 2008-03-01,-40%
2008-03-02 - 2008-03-08,-31%
2008-03-09 - 2008-03-15,-44%
2008-03-16 - 2008-03-22,-33%
2008-03-23 - 2008-03-29,-35%
2008-03-30 - 2008-04-05,-42%
2008-04-06 - 2008-04-12,-16%
2008-04-13 - 2008-04-19,-20%
2008-04-20 - 2008-04-26,-11%
2008-04-27 - 2008-05-03,-27%
2008-05-04 - 2008-05-10,-18%
2008-05-11 - 2008-05-17,-44%
2008-05-18 - 2008-05-24,-35%
2008-05-25 - 2008-05-31,-15%
2008-06-01 - 2008-06-07,-29%
2008-06-08 - 2008-06-14,-16%
2008-06-15 - 2008-06-21,-31%
2008-06-22 - 2008-06-28,-16%
2008-06-29 - 2008-07-05,-24%
2008-07-06 - 2008-07-12,-35%
2008-07-13 - 2008-07-19,-36%
2008-07-20 - 2008-07-26,-13%
2008-07-27 - 2008-08-02,-13%
2008-08-03 - 2008-08-09,-31%
2008-08-10 - 2008-08-16,-49%
2008-08-17 - 2008-08-23,-31%
2008-08-24 - 2008-08-30,-27%
2008-08-31 - 2008-09-06,-35%
2008-09-07 - 2008-09-13,-35%
2008-09-14 - 2008-09-20,-40%
2008-09-21 - 2008-09-27,-44%
2008-09-28 - 2008-10-04,-38%
2008-10-05 - 2008-10-11,-51%
2008-10-12 - 2008-10-18,-42%
2008-10-19 - 2008-10-25,-22%
2008-10-26 - 2008-11-01,-44%
2008-11-02 - 2008-11-08,-33%
2008-11-09 - 2008-11-15,-33%
2008-11-16 - 2008-11-22,-38%
2008-11-23 - 2008-11-29,-35%
2008-11-30 - 2008-12-06,-38%
2008-12-07 - 2008-12-13,-45%
2008-12-14 - 2008-12-20,-38%
2008-12-21 - 2008-12-27,-56%
2008-12-28 - 2009-01-03,-49%
2009-01-04 - 2009-01-10,-45%
2009-01-11 - 2009-01-17,-40%
2009-01-18 - 2009-01-24,-49%
2009-01-25 - 2009-01-31,-62%
2009-02-01 - 2009-02-07,-45%
2009-02-08 - 2009-02-14,-45%
2009-02-15 - 2009-02-21,-27%
2009-02-22 - 2009-02-28,-16%
2009-03-01 - 2009-03-07,-18%
2009-03-08 - 2009-03-14,-25%
2009-03-15 - 2009-03-21,-40%
2009-03-22 - 2009-03-28,-29%
2009-03-29 - 2009-04-04,-38%
2009-04-05 - 2009-04-11,-29%
2009-04-12 - 2009-04-18,-33%
2009-04-19 - 2009-04-25,-24%
2009-04-26 - 2009-05-02,-35%
2009-05-03 - 2009-05-09,-20%
2009-05-10 - 2009-05-16,-18%
2009-05-17 - 2009-05-23,-13%
2009-05-24 - 2009-05-30,-33%
2009-05-31 - 2009-06-06,-24%
2009-06-07 - 2009-06-13,-20%
2009-06-14 - 2009-06-20,-24%
2009-06-21 - 2009-06-27,-9%
2009-06-28 - 2009-07-04,-24%
2009-07-05 - 2009-07-11,-18%
2009-07-12 - 2009-07-18,-16%
2009-07-19 - 2009-07-25,-29%
2009-07-26 - 2009-08-01,-35%
2009-08-02 - 2009-08-08,-38%
2009-08-09 - 2009-08-15,-40%
2009-08-16 - 2009-08-22,-45%
2009-08-23 - 2009-08-29,-45%
2009-08-30 - 2009-09-05,-29%
2009-09-06 - 2009-09-12,-40%
2009-09-13 - 2009-09-19,-35%
2009-09-20 - 2009-09-26,-22%
2009-09-27 - 2009-10-03,-31%
2009-10-04 - 2009-10-10,-18%
2009-10-11 - 2009-10-17,-20%
2009-10-18 - 2009-10-24,-31%
2009-10-25 - 2009-10-31,-25%
2009-11-01 - 2009-11-07,-33%
2009-11-08 - 2009-11-14,-24%
2009-11-15 - 2009-11-21,-22%
2009-11-22 - 2009-11-28,-29%
2009-11-29 - 2009-12-05,-25%
2009-12-06 - 2009-12-12,-33%
2009-12-13 - 2009-12-19,-36%
2009-12-20 - 2009-12-26,-47%
2009-12-27 - 2010-01-02,-45%
2010-01-03 - 2010-01-09,-35%
2010-01-10 - 2010-01-16,-33%
2010-01-17 - 2010-01-23,-38%
2010-01-24 - 2010-01-30,-40%
2010-01-31 - 2010-02-06,-35%
2010-02-07 - 2010-02-13,-25%
2010-02-14 - 2010-02-20,-49%
2010-02-21 - 2010-02-27,-20%
2010-02-28 - 2010-03-06,+13%
2010-03-07 - 2010-03-13,-11%
2010-03-14 - 2010-03-20,-20%
2010-03-21 - 2010-03-27,-5%
2010-03-28 - 2010-04-03,-4%
2010-04-04 - 2010-04-10,-5%
2010-04-11 - 2010-04-17,+0%
2010-04-18 - 2010-04-24,-13%
2010-04-25 - 2010-05-01,-22%
2010-05-02 - 2010-05-08,-11%
2010-05-09 - 2010-05-15,-7%
2010-05-16 - 2010-05-22,+2%
2010-05-23 - 2010-05-29,-13%
2010-05-30 - 2010-06-05,-5%
2010-06-06 - 2010-06-12,-20%
2010-06-13 - 2010-06-19,-13%
2010-06-20 - 2010-06-26,-9%
2010-06-27 - 2010-07-03,-27%
2010-07-04 - 2010-07-10,-5%
2010-07-11 - 2010-07-17,-5%
2010-07-18 - 2010-07-24,-13%
2010-07-25 - 2010-07-31,-15%
2010-08-01 - 2010-08-07,-22%
2010-08-08 - 2010-08-14,-25%
2010-08-15 - 2010-08-21,-15%
2010-08-22 - 2010-08-28,-20%
2010-08-29 - 2010-09-04,-16%
2010-09-05 - 2010-09-11,-33%
2010-09-12 - 2010-09-18,-24%
2010-09-19 - 2010-09-25,-33%
2010-09-26 - 2010-10-02,-33%
2010-10-03 - 2010-10-09,-31%
2010-10-10 - 2010-10-16,-22%
2010-10-17 - 2010-10-23,-36%
2010-10-24 - 2010-10-30,-40%
2010-10-31 - 2010-11-06,-29%
2010-11-07 - 2010-11-13,-49%
2010-11-14 - 2010-11-20,-27%
2010-11-21 - 2010-11-27,-29%
2010-11-28 - 2010-12-04,-42%
2010-12-05 - 2010-12-11,-36%
2010-12-12 - 2010-12-18,-24%
2010-12-19 - 2010-12-25,-29%
2010-12-26 - 2011-01-01,-51%
2011-01-02 - 2011-01-08,-38%
2011-01-09 - 2011-01-15,-38%
2011-01-16 - 2011-01-22,-36%
2011-01-23 - 2011-01-29,-44%
2011-01-30 - 2011-02-05,-62%
2011-02-06 - 2011-02-12,-49%
2011-02-13 - 2011-02-19,-36%
2011-02-20 - 2011-02-26,-45%
2011-02-27 - 2011-03-05,-35%
2011-03-06 - 2011-03-12,-36%
2011-03-13 - 2011-03-19,-36%
2011-03-20 - 2011-03-26,-31%
2011-03-27 - 2011-04-02,-33%
2011-04-03 - 2011-04-09,-44%
2011-04-10 - 2011-04-16,-27%
2011-04-17 - 2011-04-23,-33%
2011-04-24 - 2011-04-30,-36%
2011-05-01 - 2011-05-07,-33%
2011-05-08 - 2011-05-14,-22%
2011-05-15 - 2011-05-21,-20%
2011-05-22 - 2011-05-28,-38%
2011-05-29 - 2011-06-04,-25%
2011-06-05 - 2011-06-11,-25%
2011-06-12 - 2011-06-18,-25%
2011-06-19 - 2011-06-25,-29%
2011-06-26 - 2011-07-02,-35%
2011-07-03 - 2011-07-09,-38%
2011-07-10 - 2011-07-16,-35%
2011-07-17 - 2011-07-23,-29%
2011-07-24 - 2011-07-30,-35%
2011-07-31 - 2011-08-06,-33%
2011-08-07 - 2011-08-13,-38%
2011-08-14 - 2011-08-20,-42%
2011-08-21 - 2011-08-27,-38%
2011-08-28 - 2011-09-03,-42%
2011-09-04 - 2011-09-10,-51%
2011-09-11 - 2011-09-17,-47%
2011-09-18 - 2011-09-24,-42%
2011-09-25 - 2011-10-01,-55%
2011-10-02 - 2011-10-08,-56%
2011-10-09 - 2011-10-15,-49%
2011-10-16 - 2011-10-22,-49%
2011-10-23 - 2011-10-29,-47%
2011-10-30 - 2011-11-05,-40%
2011-11-06 - 2011-11-12,-44%
2011-11-13 - 2011-11-19,-42%
2011-11-20 - 2011-11-26,-45%
2011-11-27 - 2011-12-03,-51%
2011-12-04 - 2011-12-10,-42%
2011-12-11 - 2011-12-17,-51%
2011-12-18 - 2011-12-24,-58%
2011-12-25 - 2011-12-31,-64%
2012-01-01 - 2012-01-07,-58%
2012-01-08 - 2012-01-14,-51%
2012-01-15 - 2012-01-21,-53%
2012-01-22 - 2012-01-28,-60%
2012-01-29 - 2012-02-04,-51%
2012-02-05 - 2012-02-11,-44%
2012-02-12 - 2012-02-18,-47%
2012-02-19 - 2012-02-25,-45%
2012-02-26 - 2012-03-03,-38%
2012-03-04 - 2012-03-10,-22%
2012-03-11 - 2012-03-17,-53%
2012-03-18 - 2012-03-24,-42%
2012-03-25 - 2012-03-31,-49%
2012-04-01 - 2012-04-07,-49%
2012-04-08 - 2012-04-14,-36%
2012-04-15 - 2012-04-21,-40%
2012-04-22 - 2012-04-28,-47%
2012-04-29 - 2012-05-05,-36%
2012-05-06 - 2012-05-12,-33%
2012-05-13 - 2012-05-19,-42%
2012-05-20 - 2012-05-26,-44%
2012-05-27 - 2012-06-02,-36%
2012-06-03 - 2012-06-09,-42%
2012-06-10 - 2012-06-16,-31%
2012-06-17 - 2012-06-23,-45%
2012-06-24 - 2012-06-30,-45%
2012-07-01 - 2012-07-07,-42%
2012-07-08 - 2012-07-14,-36%
2012-07-15 - 2012-07-21,-42%
2012-07-22 - 2012-07-28,-55%
2012-07-29 - 2012-08-04,-47%
2012-08-05 - 2012-08-11,-44%
2012-08-12 - 2012-08-18,-53%
2012-08-19 - 2012-08-25,-49%
2012-08-26 - 2012-09-01,-44%
2012-09-02 - 2012-09-08,-49%
2012-09-09 - 2012-09-15,-51%
2012-09-16 - 2012-09-22,-58%
2012-09-23 - 2012-09-29,-49%
2012-09-30 - 2012-10-06,-58%
2012-10-07 - 2012-10-13,-47%
2012-10-14 - 2012-10-20,-51%
2012-10-21 - 2012-10-27,-55%
2012-10-28 - 2012-11-03,-55%
2012-11-04 - 2012-11-10,-47%
2012-11-11 - 2012-11-17,-58%
2012-11-18 - 2012-11-24,-67%
2012-11-25 - 2012-12-01, 



Top searches
air conditioner,100
heat,65
daikin,55
air conditioning,35
ventilation,30
water heater,25
dehumidifier,25
hitachi,25
空調,20
duct,20
trane,20
chiller,20
carrier,20
heating,15
hvac,15
aircon,15
general air conditioner,15
air conditioners,15
thermostat,15
daikin hong kong,10



Rising searches
air conditioning,Breakout
carrier,Breakout
dehumidifier,Breakout
duct,Breakout
hitachi,Breakout
trane,Breakout
ventilation,Breakout
water heater,Breakout
空調,Breakout
air conditioner,+250%



