Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Aerospace & Defense
2005-09-04 - 2005-09-10,-54%
2005-09-11 - 2005-09-17,-51%
2005-09-18 - 2005-09-24,-44%
2005-09-25 - 2005-10-01,-60%
2005-10-02 - 2005-10-08,-59%
2005-10-09 - 2005-10-15,-18%
2005-10-16 - 2005-10-22,-27%
2005-10-23 - 2005-10-29,-55%
2005-10-30 - 2005-11-05,-47%
2005-11-06 - 2005-11-12,-55%
2005-11-13 - 2005-11-19,-51%
2005-11-20 - 2005-11-26,-63%
2005-11-27 - 2005-12-03,-46%
2005-12-04 - 2005-12-10,-55%
2005-12-11 - 2005-12-17,-50%
2005-12-18 - 2005-12-24,-64%
2005-12-25 - 2005-12-31,-62%
2006-01-01 - 2006-01-07,-62%
2006-01-08 - 2006-01-14,-59%
2006-01-15 - 2006-01-21,-50%
2006-01-22 - 2006-01-28,-49%
2006-01-29 - 2006-02-04,-64%
2006-02-05 - 2006-02-11,-59%
2006-02-12 - 2006-02-18,-56%
2006-02-19 - 2006-02-25,-53%
2006-02-26 - 2006-03-04,-62%
2006-03-05 - 2006-03-11,-55%
2006-03-12 - 2006-03-18,-51%
2006-03-19 - 2006-03-25,-56%
2006-03-26 - 2006-04-01,-59%
2006-04-02 - 2006-04-08,-46%
2006-04-09 - 2006-04-15,-56%
2006-04-16 - 2006-04-22,-50%
2006-04-23 - 2006-04-29,-58%
2006-04-30 - 2006-05-06,-60%
2006-05-07 - 2006-05-13,-44%
2006-05-14 - 2006-05-20,-57%
2006-05-21 - 2006-05-27,-60%
2006-05-28 - 2006-06-03,-60%
2006-06-04 - 2006-06-10,-59%
2006-06-11 - 2006-06-17,-56%
2006-06-18 - 2006-06-24,-60%
2006-06-25 - 2006-07-01,-57%
2006-07-02 - 2006-07-08,-53%
2006-07-09 - 2006-07-15,-53%
2006-07-16 - 2006-07-22,-53%
2006-07-23 - 2006-07-29,-65%
2006-07-30 - 2006-08-05,-55%
2006-08-06 - 2006-08-12,-60%
2006-08-13 - 2006-08-19,-60%
2006-08-20 - 2006-08-26,-61%
2006-08-27 - 2006-09-02,-61%
2006-09-03 - 2006-09-09,-72%
2006-09-10 - 2006-09-16,-61%
2006-09-17 - 2006-09-23,-58%
2006-09-24 - 2006-09-30,-70%
2006-10-01 - 2006-10-07,-66%
2006-10-08 - 2006-10-14,-56%
2006-10-15 - 2006-10-21,-63%
2006-10-22 - 2006-10-28,-69%
2006-10-29 - 2006-11-04,-55%
2006-11-05 - 2006-11-11,-58%
2006-11-12 - 2006-11-18,-58%
2006-11-19 - 2006-11-25,-58%
2006-11-26 - 2006-12-02,-63%
2006-12-03 - 2006-12-09,-63%
2006-12-10 - 2006-12-16,-62%
2006-12-17 - 2006-12-23,-60%
2006-12-24 - 2006-12-30,-73%
2006-12-31 - 2007-01-06,-62%
2007-01-07 - 2007-01-13,-64%
2007-01-14 - 2007-01-20,-63%
2007-01-21 - 2007-01-27,-66%
2007-01-28 - 2007-02-03,-58%
2007-02-04 - 2007-02-10,-56%
2007-02-11 - 2007-02-17,-68%
2007-02-18 - 2007-02-24,-62%
2007-02-25 - 2007-03-03,-70%
2007-03-04 - 2007-03-10,-59%
2007-03-11 - 2007-03-17,-68%
2007-03-18 - 2007-03-24,-67%
2007-03-25 - 2007-03-31,-57%
2007-04-01 - 2007-04-07,-65%
2007-04-08 - 2007-04-14,-15%
2007-04-15 - 2007-04-21,-58%
2007-04-22 - 2007-04-28,-57%
2007-04-29 - 2007-05-05,-64%
2007-05-06 - 2007-05-12,-61%
2007-05-13 - 2007-05-19,-57%
2007-05-20 - 2007-05-26,-62%
2007-05-27 - 2007-06-02,-70%
2007-06-03 - 2007-06-09,-67%
2007-06-10 - 2007-06-16,-62%
2007-06-17 - 2007-06-23,-60%
2007-06-24 - 2007-06-30,-69%
2007-07-01 - 2007-07-07,-63%
2007-07-08 - 2007-07-14,-61%
2007-07-15 - 2007-07-21,-62%
2007-07-22 - 2007-07-28,-69%
2007-07-29 - 2007-08-04,-60%
2007-08-05 - 2007-08-11,-60%
2007-08-12 - 2007-08-18,-53%
2007-08-19 - 2007-08-25,-59%
2007-08-26 - 2007-09-01,-57%
2007-09-02 - 2007-09-08,-54%
2007-09-09 - 2007-09-15,-56%
2007-09-16 - 2007-09-22,-55%
2007-09-23 - 2007-09-29,-58%
2007-09-30 - 2007-10-06,-59%
2007-10-07 - 2007-10-13,-60%
2007-10-14 - 2007-10-20,-59%
2007-10-21 - 2007-10-27,-37%
2007-10-28 - 2007-11-03,-56%
2007-11-04 - 2007-11-10,-51%
2007-11-11 - 2007-11-17,-58%
2007-11-18 - 2007-11-24,-63%
2007-11-25 - 2007-12-01,-63%
2007-12-02 - 2007-12-08,-56%
2007-12-09 - 2007-12-15,-65%
2007-12-16 - 2007-12-22,-66%
2007-12-23 - 2007-12-29,-72%
2007-12-30 - 2008-01-05,-71%
2008-01-06 - 2008-01-12,-64%
2008-01-13 - 2008-01-19,-70%
2008-01-20 - 2008-01-26,-58%
2008-01-27 - 2008-02-02,-64%
2008-02-03 - 2008-02-09,-71%
2008-02-10 - 2008-02-16,-69%
2008-02-17 - 2008-02-23,-66%
2008-02-24 - 2008-03-01,-65%
2008-03-02 - 2008-03-08,-62%
2008-03-09 - 2008-03-15,-61%
2008-03-16 - 2008-03-22,-62%
2008-03-23 - 2008-03-29,-60%
2008-03-30 - 2008-04-05,-69%
2008-04-06 - 2008-04-12,-64%
2008-04-13 - 2008-04-19,-71%
2008-04-20 - 2008-04-26,-66%
2008-04-27 - 2008-05-03,-70%
2008-05-04 - 2008-05-10,-65%
2008-05-11 - 2008-05-17,-68%
2008-05-18 - 2008-05-24,-64%
2008-05-25 - 2008-05-31,-58%
2008-06-01 - 2008-06-07,-63%
2008-06-08 - 2008-06-14,-65%
2008-06-15 - 2008-06-21,-68%
2008-06-22 - 2008-06-28,-68%
2008-06-29 - 2008-07-05,-65%
2008-07-06 - 2008-07-12,-65%
2008-07-13 - 2008-07-19,-67%
2008-07-20 - 2008-07-26,-65%
2008-07-27 - 2008-08-02,-71%
2008-08-03 - 2008-08-09,-72%
2008-08-10 - 2008-08-16,-75%
2008-08-17 - 2008-08-23,-65%
2008-08-24 - 2008-08-30,-70%
2008-08-31 - 2008-09-06,-68%
2008-09-07 - 2008-09-13,-67%
2008-09-14 - 2008-09-20,-68%
2008-09-21 - 2008-09-27,-26%
2008-09-28 - 2008-10-04,-43%
2008-10-05 - 2008-10-11,-62%
2008-10-12 - 2008-10-18,-71%
2008-10-19 - 2008-10-25,-63%
2008-10-26 - 2008-11-01,-63%
2008-11-02 - 2008-11-08,-68%
2008-11-09 - 2008-11-15,-58%
2008-11-16 - 2008-11-22,-73%
2008-11-23 - 2008-11-29,-72%
2008-11-30 - 2008-12-06,-64%
2008-12-07 - 2008-12-13,-63%
2008-12-14 - 2008-12-20,-63%
2008-12-21 - 2008-12-27,-74%
2008-12-28 - 2009-01-03,-64%
2009-01-04 - 2009-01-10,-69%
2009-01-11 - 2009-01-17,-66%
2009-01-18 - 2009-01-24,-66%
2009-01-25 - 2009-01-31,-77%
2009-02-01 - 2009-02-07,-66%
2009-02-08 - 2009-02-14,-66%
2009-02-15 - 2009-02-21,-68%
2009-02-22 - 2009-02-28,-71%
2009-03-01 - 2009-03-07,-68%
2009-03-08 - 2009-03-14,-69%
2009-03-15 - 2009-03-21,-69%
2009-03-22 - 2009-03-28,-68%
2009-03-29 - 2009-04-04,-65%
2009-04-05 - 2009-04-11,-69%
2009-04-12 - 2009-04-18,-69%
2009-04-19 - 2009-04-25,-66%
2009-04-26 - 2009-05-02,-72%
2009-05-03 - 2009-05-09,-72%
2009-05-10 - 2009-05-16,-67%
2009-05-17 - 2009-05-23,-71%
2009-05-24 - 2009-05-30,-67%
2009-05-31 - 2009-06-06,-72%
2009-06-07 - 2009-06-13,-70%
2009-06-14 - 2009-06-20,-72%
2009-06-21 - 2009-06-27,-74%
2009-06-28 - 2009-07-04,-70%
2009-07-05 - 2009-07-11,-70%
2009-07-12 - 2009-07-18,-57%
2009-07-19 - 2009-07-25,-56%
2009-07-26 - 2009-08-01,-67%
2009-08-02 - 2009-08-08,-70%
2009-08-09 - 2009-08-15,-65%
2009-08-16 - 2009-08-22,-67%
2009-08-23 - 2009-08-29,-67%
2009-08-30 - 2009-09-05,-71%
2009-09-06 - 2009-09-12,-65%
2009-09-13 - 2009-09-19,-70%
2009-09-20 - 2009-09-26,-70%
2009-09-27 - 2009-10-03,-60%
2009-10-04 - 2009-10-10,-53%
2009-10-11 - 2009-10-17,-66%
2009-10-18 - 2009-10-24,-60%
2009-10-25 - 2009-10-31,-64%
2009-11-01 - 2009-11-07,-67%
2009-11-08 - 2009-11-14,-65%
2009-11-15 - 2009-11-21,-61%
2009-11-22 - 2009-11-28,-62%
2009-11-29 - 2009-12-05,-64%
2009-12-06 - 2009-12-12,-63%
2009-12-13 - 2009-12-19,-68%
2009-12-20 - 2009-12-26,-70%
2009-12-27 - 2010-01-02,-66%
2010-01-03 - 2010-01-09,-60%
2010-01-10 - 2010-01-16,-63%
2010-01-17 - 2010-01-23,-65%
2010-01-24 - 2010-01-30,-62%
2010-01-31 - 2010-02-06,-61%
2010-02-07 - 2010-02-13,-67%
2010-02-14 - 2010-02-20,-64%
2010-02-21 - 2010-02-27,-63%
2010-02-28 - 2010-03-06,-65%
2010-03-07 - 2010-03-13,-67%
2010-03-14 - 2010-03-20,-63%
2010-03-21 - 2010-03-27,-67%
2010-03-28 - 2010-04-03,-67%
2010-04-04 - 2010-04-10,-64%
2010-04-11 - 2010-04-17,-62%
2010-04-18 - 2010-04-24,-66%
2010-04-25 - 2010-05-01,-70%
2010-05-02 - 2010-05-08,-68%
2010-05-09 - 2010-05-15,-65%
2010-05-16 - 2010-05-22,-66%
2010-05-23 - 2010-05-29,-66%
2010-05-30 - 2010-06-05,-63%
2010-06-06 - 2010-06-12,-63%
2010-06-13 - 2010-06-19,-66%
2010-06-20 - 2010-06-26,-66%
2010-06-27 - 2010-07-03,-68%
2010-07-04 - 2010-07-10,-64%
2010-07-11 - 2010-07-17,-69%
2010-07-18 - 2010-07-24,-69%
2010-07-25 - 2010-07-31,-64%
2010-08-01 - 2010-08-07,-71%
2010-08-08 - 2010-08-14,-70%
2010-08-15 - 2010-08-21,-69%
2010-08-22 - 2010-08-28,-71%
2010-08-29 - 2010-09-04,-69%
2010-09-05 - 2010-09-11,-66%
2010-09-12 - 2010-09-18,-70%
2010-09-19 - 2010-09-25,-66%
2010-09-26 - 2010-10-02,-60%
2010-10-03 - 2010-10-09,-62%
2010-10-10 - 2010-10-16,-68%
2010-10-17 - 2010-10-23,-68%
2010-10-24 - 2010-10-30,-63%
2010-10-31 - 2010-11-06,-69%
2010-11-07 - 2010-11-13,-66%
2010-11-14 - 2010-11-20,-47%
2010-11-21 - 2010-11-27,-67%
2010-11-28 - 2010-12-04,-68%
2010-12-05 - 2010-12-11,-68%
2010-12-12 - 2010-12-18,-65%
2010-12-19 - 2010-12-25,-72%
2010-12-26 - 2011-01-01,-70%
2011-01-02 - 2011-01-08,-63%
2011-01-09 - 2011-01-15,-61%
2011-01-16 - 2011-01-22,-67%
2011-01-23 - 2011-01-29,-66%
2011-01-30 - 2011-02-05,-71%
2011-02-06 - 2011-02-12,-70%
2011-02-13 - 2011-02-19,-70%
2011-02-20 - 2011-02-26,-68%
2011-02-27 - 2011-03-05,-64%
2011-03-06 - 2011-03-12,-65%
2011-03-13 - 2011-03-19,-64%
2011-03-20 - 2011-03-26,-61%
2011-03-27 - 2011-04-02,-70%
2011-04-03 - 2011-04-09,-71%
2011-04-10 - 2011-04-16,-63%
2011-04-17 - 2011-04-23,-72%
2011-04-24 - 2011-04-30,-73%
2011-05-01 - 2011-05-07,-70%
2011-05-08 - 2011-05-14,-72%
2011-05-15 - 2011-05-21,-69%
2011-05-22 - 2011-05-28,-69%
2011-05-29 - 2011-06-04,-66%
2011-06-05 - 2011-06-11,-69%
2011-06-12 - 2011-06-18,-71%
2011-06-19 - 2011-06-25,-70%
2011-06-26 - 2011-07-02,-72%
2011-07-03 - 2011-07-09,-70%
2011-07-10 - 2011-07-16,-70%
2011-07-17 - 2011-07-23,-68%
2011-07-24 - 2011-07-30,-69%
2011-07-31 - 2011-08-06,-69%
2011-08-07 - 2011-08-13,-70%
2011-08-14 - 2011-08-20,-68%
2011-08-21 - 2011-08-27,-70%
2011-08-28 - 2011-09-03,-71%
2011-09-04 - 2011-09-10,-57%
2011-09-11 - 2011-09-17,-62%
2011-09-18 - 2011-09-24,-49%
2011-09-25 - 2011-10-01,-57%
2011-10-02 - 2011-10-08,-69%
2011-10-09 - 2011-10-15,-70%
2011-10-16 - 2011-10-22,-68%
2011-10-23 - 2011-10-29,-70%
2011-10-30 - 2011-11-05,-71%
2011-11-06 - 2011-11-12,-68%
2011-11-13 - 2011-11-19,-71%
2011-11-20 - 2011-11-26,-72%
2011-11-27 - 2011-12-03,-74%
2011-12-04 - 2011-12-10,-68%
2011-12-11 - 2011-12-17,-72%
2011-12-18 - 2011-12-24,-76%
2011-12-25 - 2011-12-31,-73%
2012-01-01 - 2012-01-07,-73%
2012-01-08 - 2012-01-14,-71%
2012-01-15 - 2012-01-21,-72%
2012-01-22 - 2012-01-28,-75%
2012-01-29 - 2012-02-04,-74%
2012-02-05 - 2012-02-11,-75%
2012-02-12 - 2012-02-18,-74%
2012-02-19 - 2012-02-25,-74%
2012-02-26 - 2012-03-03,-72%
2012-03-04 - 2012-03-10,-73%
2012-03-11 - 2012-03-17,-72%
2012-03-18 - 2012-03-24,-74%
2012-03-25 - 2012-03-31,-74%
2012-04-01 - 2012-04-07,-72%
2012-04-08 - 2012-04-14,-72%
2012-04-15 - 2012-04-21,-70%
2012-04-22 - 2012-04-28,-72%
2012-04-29 - 2012-05-05,-68%
2012-05-06 - 2012-05-12,-69%
2012-05-13 - 2012-05-19,-69%
2012-05-20 - 2012-05-26,-69%
2012-05-27 - 2012-06-02,-73%
2012-06-03 - 2012-06-09,-75%
2012-06-10 - 2012-06-16,-65%
2012-06-17 - 2012-06-23,-66%
2012-06-24 - 2012-06-30,-67%
2012-07-01 - 2012-07-07,-76%
2012-07-08 - 2012-07-14,-72%
2012-07-15 - 2012-07-21,-77%
2012-07-22 - 2012-07-28,-76%
2012-07-29 - 2012-08-04,-74%
2012-08-05 - 2012-08-11,-59%
2012-08-12 - 2012-08-18,-70%
2012-08-19 - 2012-08-25,-76%
2012-08-26 - 2012-09-01,-70%
2012-09-02 - 2012-09-08,-75%
2012-09-09 - 2012-09-15,-77%
2012-09-16 - 2012-09-22,-75%
2012-09-23 - 2012-09-29,-71%
2012-09-30 - 2012-10-06,-76%
2012-10-07 - 2012-10-13,-74%
2012-10-14 - 2012-10-20,-73%
2012-10-21 - 2012-10-27,-77%
2012-10-28 - 2012-11-03,-77%
2012-11-04 - 2012-11-10,-77%
2012-11-11 - 2012-11-17,-77%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
space,100
nasa,55
moon,55
太空,50
飛機,35
apollo,20
kelly,15
space museum,15
listing rules,15
launch,15
progress,15
阿波羅,15
火箭,15
space shuttle,15
missile,15
rubberband,10
submarine,10
航天,10
太空人,10
astronaut,10



Rising searches
apollo,Breakout
kelly,Breakout
launch,Breakout
listing rules,Breakout
progress,Breakout
space museum,Breakout
火箭,Breakout
阿波羅,Breakout
飛機,Breakout
moon,+150%



