Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Oral & Dental Care
2006-12-31 - 2007-01-06,+94%
2007-01-07 - 2007-01-13,+65%
2007-01-14 - 2007-01-20,+97%
2007-01-21 - 2007-01-27,+68%
2007-01-28 - 2007-02-03,+58%
2007-02-04 - 2007-02-10,+106%
2007-02-11 - 2007-02-17,+100%
2007-02-18 - 2007-02-24,+45%
2007-02-25 - 2007-03-03,+123%
2007-03-04 - 2007-03-10,+65%
2007-03-11 - 2007-03-17,+161%
2007-03-18 - 2007-03-24,+123%
2007-03-25 - 2007-03-31,+113%
2007-04-01 - 2007-04-07,+68%
2007-04-08 - 2007-04-14,+103%
2007-04-15 - 2007-04-21,+68%
2007-04-22 - 2007-04-28,+52%
2007-04-29 - 2007-05-05,+68%
2007-05-06 - 2007-05-12,+103%
2007-05-13 - 2007-05-19,+97%
2007-05-20 - 2007-05-26,+103%
2007-05-27 - 2007-06-02,+90%
2007-06-03 - 2007-06-09,+81%
2007-06-10 - 2007-06-16,+87%
2007-06-17 - 2007-06-23,+87%
2007-06-24 - 2007-06-30,+94%
2007-07-01 - 2007-07-07,+61%
2007-07-08 - 2007-07-14,+71%
2007-07-15 - 2007-07-21,+71%
2007-07-22 - 2007-07-28,+84%
2007-07-29 - 2007-08-04,+71%
2007-08-05 - 2007-08-11,+81%
2007-08-12 - 2007-08-18,+97%
2007-08-19 - 2007-08-25,+61%
2007-08-26 - 2007-09-01,+123%
2007-09-02 - 2007-09-08,+81%
2007-09-09 - 2007-09-15,+123%
2007-09-16 - 2007-09-22,+87%
2007-09-23 - 2007-09-29,+81%
2007-09-30 - 2007-10-06,+103%
2007-10-07 - 2007-10-13,+97%
2007-10-14 - 2007-10-20,+103%
2007-10-21 - 2007-10-27,+65%
2007-10-28 - 2007-11-03,+90%
2007-11-04 - 2007-11-10,+103%
2007-11-11 - 2007-11-17,+90%
2007-11-18 - 2007-11-24,+74%
2007-11-25 - 2007-12-01,+77%
2007-12-02 - 2007-12-08,+100%
2007-12-09 - 2007-12-15,+65%
2007-12-16 - 2007-12-22,+35%
2007-12-23 - 2007-12-29,+61%
2007-12-30 - 2008-01-05,+84%
2008-01-06 - 2008-01-12,+103%
2008-01-13 - 2008-01-19,+65%
2008-01-20 - 2008-01-26,+71%
2008-01-27 - 2008-02-02,+61%
2008-02-03 - 2008-02-09,+39%
2008-02-10 - 2008-02-16,+45%
2008-02-17 - 2008-02-23,+90%
2008-02-24 - 2008-03-01,+81%
2008-03-02 - 2008-03-08,+100%
2008-03-09 - 2008-03-15,+90%
2008-03-16 - 2008-03-22,+74%
2008-03-23 - 2008-03-29,+106%
2008-03-30 - 2008-04-05,+74%
2008-04-06 - 2008-04-12,+132%
2008-04-13 - 2008-04-19,+65%
2008-04-20 - 2008-04-26,+90%
2008-04-27 - 2008-05-03,+100%
2008-05-04 - 2008-05-10,+100%
2008-05-11 - 2008-05-17,+132%
2008-05-18 - 2008-05-24,+119%
2008-05-25 - 2008-05-31,+132%
2008-06-01 - 2008-06-07,+68%
2008-06-08 - 2008-06-14,+116%
2008-06-15 - 2008-06-21,+74%
2008-06-22 - 2008-06-28,+84%
2008-06-29 - 2008-07-05,+45%
2008-07-06 - 2008-07-12,+74%
2008-07-13 - 2008-07-19,+100%
2008-07-20 - 2008-07-26,+87%
2008-07-27 - 2008-08-02,+103%
2008-08-03 - 2008-08-09,+77%
2008-08-10 - 2008-08-16,+87%
2008-08-17 - 2008-08-23,+81%
2008-08-24 - 2008-08-30,+87%
2008-08-31 - 2008-09-06,+106%
2008-09-07 - 2008-09-13,+81%
2008-09-14 - 2008-09-20,+97%
2008-09-21 - 2008-09-27,+90%
2008-09-28 - 2008-10-04,+58%
2008-10-05 - 2008-10-11,+65%
2008-10-12 - 2008-10-18,+48%
2008-10-19 - 2008-10-25,+119%
2008-10-26 - 2008-11-01,+77%
2008-11-02 - 2008-11-08,+94%
2008-11-09 - 2008-11-15,+94%
2008-11-16 - 2008-11-22,+77%
2008-11-23 - 2008-11-29,+74%
2008-11-30 - 2008-12-06,+61%
2008-12-07 - 2008-12-13,+81%
2008-12-14 - 2008-12-20,+74%
2008-12-21 - 2008-12-27,+55%
2008-12-28 - 2009-01-03,+97%
2009-01-04 - 2009-01-10,+74%
2009-01-11 - 2009-01-17,+94%
2009-01-18 - 2009-01-24,+58%
2009-01-25 - 2009-01-31,+87%
2009-02-01 - 2009-02-07,+81%
2009-02-08 - 2009-02-14,+77%
2009-02-15 - 2009-02-21,+110%
2009-02-22 - 2009-02-28,+106%
2009-03-01 - 2009-03-07,+113%
2009-03-08 - 2009-03-14,+90%
2009-03-15 - 2009-03-21,+139%
2009-03-22 - 2009-03-28,+132%
2009-03-29 - 2009-04-04,+100%
2009-04-05 - 2009-04-11,+94%
2009-04-12 - 2009-04-18,+103%
2009-04-19 - 2009-04-25,+103%
2009-04-26 - 2009-05-02,+68%
2009-05-03 - 2009-05-09,+100%
2009-05-10 - 2009-05-16,+77%
2009-05-17 - 2009-05-23,+81%
2009-05-24 - 2009-05-30,+65%
2009-05-31 - 2009-06-06,+90%
2009-06-07 - 2009-06-13,+97%
2009-06-14 - 2009-06-20,+87%
2009-06-21 - 2009-06-27,+74%
2009-06-28 - 2009-07-04,+87%
2009-07-05 - 2009-07-11,+100%
2009-07-12 - 2009-07-18,+100%
2009-07-19 - 2009-07-25,+87%
2009-07-26 - 2009-08-01,+103%
2009-08-02 - 2009-08-08,+68%
2009-08-09 - 2009-08-15,+97%
2009-08-16 - 2009-08-22,+71%
2009-08-23 - 2009-08-29,+77%
2009-08-30 - 2009-09-05,+94%
2009-09-06 - 2009-09-12,+74%
2009-09-13 - 2009-09-19,+81%
2009-09-20 - 2009-09-26,+94%
2009-09-27 - 2009-10-03,+94%
2009-10-04 - 2009-10-10,+110%
2009-10-11 - 2009-10-17,+148%
2009-10-18 - 2009-10-24,+113%
2009-10-25 - 2009-10-31,+103%
2009-11-01 - 2009-11-07,+103%
2009-11-08 - 2009-11-14,+119%
2009-11-15 - 2009-11-21,+106%
2009-11-22 - 2009-11-28,+106%
2009-11-29 - 2009-12-05,+106%
2009-12-06 - 2009-12-12,+119%
2009-12-13 - 2009-12-19,+142%
2009-12-20 - 2009-12-26,+106%
2009-12-27 - 2010-01-02,+94%
2010-01-03 - 2010-01-09,+123%
2010-01-10 - 2010-01-16,+165%
2010-01-17 - 2010-01-23,+110%
2010-01-24 - 2010-01-30,+139%
2010-01-31 - 2010-02-06,+158%
2010-02-07 - 2010-02-13,+126%
2010-02-14 - 2010-02-20,+100%
2010-02-21 - 2010-02-27,+126%
2010-02-28 - 2010-03-06,+116%
2010-03-07 - 2010-03-13,+155%
2010-03-14 - 2010-03-20,+110%
2010-03-21 - 2010-03-27,+142%
2010-03-28 - 2010-04-03,+94%
2010-04-04 - 2010-04-10,+223%
2010-04-11 - 2010-04-17,+132%
2010-04-18 - 2010-04-24,+161%
2010-04-25 - 2010-05-01,+142%
2010-05-02 - 2010-05-08,+135%
2010-05-09 - 2010-05-15,+129%
2010-05-16 - 2010-05-22,+152%
2010-05-23 - 2010-05-29,+119%
2010-05-30 - 2010-06-05,+171%
2010-06-06 - 2010-06-12,+135%
2010-06-13 - 2010-06-19,+123%
2010-06-20 - 2010-06-26,+106%
2010-06-27 - 2010-07-03,+100%
2010-07-04 - 2010-07-10,+103%
2010-07-11 - 2010-07-17,+142%
2010-07-18 - 2010-07-24,+113%
2010-07-25 - 2010-07-31,+145%
2010-08-01 - 2010-08-07,+145%
2010-08-08 - 2010-08-14,+135%
2010-08-15 - 2010-08-21,+135%
2010-08-22 - 2010-08-28,+129%
2010-08-29 - 2010-09-04,+119%
2010-09-05 - 2010-09-11,+119%
2010-09-12 - 2010-09-18,+119%
2010-09-19 - 2010-09-25,+106%
2010-09-26 - 2010-10-02,+81%
2010-10-03 - 2010-10-09,+132%
2010-10-10 - 2010-10-16,+77%
2010-10-17 - 2010-10-23,+100%
2010-10-24 - 2010-10-30,+90%
2010-10-31 - 2010-11-06,+106%
2010-11-07 - 2010-11-13,+110%
2010-11-14 - 2010-11-20,+106%
2010-11-21 - 2010-11-27,+90%
2010-11-28 - 2010-12-04,+106%
2010-12-05 - 2010-12-11,+119%
2010-12-12 - 2010-12-18,+119%
2010-12-19 - 2010-12-25,+139%
2010-12-26 - 2011-01-01,+132%
2011-01-02 - 2011-01-08,+100%
2011-01-09 - 2011-01-15,+106%
2011-01-16 - 2011-01-22,+113%
2011-01-23 - 2011-01-29,+116%
2011-01-30 - 2011-02-05,+87%
2011-02-06 - 2011-02-12,+126%
2011-02-13 - 2011-02-19,+116%
2011-02-20 - 2011-02-26,+110%
2011-02-27 - 2011-03-05,+119%
2011-03-06 - 2011-03-12,+113%
2011-03-13 - 2011-03-19,+103%
2011-03-20 - 2011-03-26,+116%
2011-03-27 - 2011-04-02,+132%
2011-04-03 - 2011-04-09,+97%
2011-04-10 - 2011-04-16,+129%
2011-04-17 - 2011-04-23,+113%
2011-04-24 - 2011-04-30,+100%
2011-05-01 - 2011-05-07,+87%
2011-05-08 - 2011-05-14,+116%
2011-05-15 - 2011-05-21,+94%
2011-05-22 - 2011-05-28,+106%
2011-05-29 - 2011-06-04,+135%
2011-06-05 - 2011-06-11,+110%
2011-06-12 - 2011-06-18,+103%
2011-06-19 - 2011-06-25,+116%
2011-06-26 - 2011-07-02,+97%
2011-07-03 - 2011-07-09,+119%
2011-07-10 - 2011-07-16,+161%
2011-07-17 - 2011-07-23,+155%
2011-07-24 - 2011-07-30,+106%
2011-07-31 - 2011-08-06,+132%
2011-08-07 - 2011-08-13,+113%
2011-08-14 - 2011-08-20,+119%
2011-08-21 - 2011-08-27,+110%
2011-08-28 - 2011-09-03,+103%
2011-09-04 - 2011-09-10,+129%
2011-09-11 - 2011-09-17,+119%
2011-09-18 - 2011-09-24,+103%
2011-09-25 - 2011-10-01,+87%
2011-10-02 - 2011-10-08,+106%
2011-10-09 - 2011-10-15,+116%
2011-10-16 - 2011-10-22,+119%
2011-10-23 - 2011-10-29,+103%
2011-10-30 - 2011-11-05,+110%
2011-11-06 - 2011-11-12,+110%
2011-11-13 - 2011-11-19,+129%
2011-11-20 - 2011-11-26,+113%
2011-11-27 - 2011-12-03,+116%
2011-12-04 - 2011-12-10,+106%
2011-12-11 - 2011-12-17,+123%
2011-12-18 - 2011-12-24,+106%
2011-12-25 - 2011-12-31,+87%
2012-01-01 - 2012-01-07,+90%
2012-01-08 - 2012-01-14,+123%
2012-01-15 - 2012-01-21,+103%
2012-01-22 - 2012-01-28,+94%
2012-01-29 - 2012-02-04,+100%
2012-02-05 - 2012-02-11,+113%
2012-02-12 - 2012-02-18,+129%
2012-02-19 - 2012-02-25,+123%
2012-02-26 - 2012-03-03,+123%
2012-03-04 - 2012-03-10,+158%
2012-03-11 - 2012-03-17,+139%
2012-03-18 - 2012-03-24,+152%
2012-03-25 - 2012-03-31,+142%
2012-04-01 - 2012-04-07,+103%
2012-04-08 - 2012-04-14,+132%
2012-04-15 - 2012-04-21,+132%
2012-04-22 - 2012-04-28,+145%
2012-04-29 - 2012-05-05,+116%
2012-05-06 - 2012-05-12,+113%
2012-05-13 - 2012-05-19,+129%
2012-05-20 - 2012-05-26,+126%
2012-05-27 - 2012-06-02,+132%
2012-06-03 - 2012-06-09,+123%
2012-06-10 - 2012-06-16,+148%
2012-06-17 - 2012-06-23,+113%
2012-06-24 - 2012-06-30,+126%
2012-07-01 - 2012-07-07,+97%
2012-07-08 - 2012-07-14,+132%
2012-07-15 - 2012-07-21,+129%
2012-07-22 - 2012-07-28,+113%
2012-07-29 - 2012-08-04,+119%
2012-08-05 - 2012-08-11,+123%
2012-08-12 - 2012-08-18,+126%
2012-08-19 - 2012-08-25,+158%
2012-08-26 - 2012-09-01,+152%
2012-09-02 - 2012-09-08,+119%
2012-09-09 - 2012-09-15,+129%
2012-09-16 - 2012-09-22,+106%
2012-09-23 - 2012-09-29,+129%
2012-09-30 - 2012-10-06,+97%
2012-10-07 - 2012-10-13,+106%
2012-10-14 - 2012-10-20,+148%
2012-10-21 - 2012-10-27,+106%
2012-10-28 - 2012-11-03,+90%
2012-11-04 - 2012-11-10,+116%
2012-11-11 - 2012-11-17,+106%
2012-11-18 - 2012-11-24,+84%
2012-11-25 - 2012-12-01, 



Top searches
牙,100
dental,40
teeth,40
牙醫,30
dentist,30
診所,20
牙科,20
中醫,20
tooth,20
齒,15
牙齒,15
dentist hong kong,10
智慧齒,10
口腔,10
拔,10
牙痛,5
dentistry,5
whitening,5
洗牙,5
牙周病,5



Rising searches
dentist hong kong,Breakout
中醫,Breakout
口腔,Breakout
智慧齒,Breakout
牙醫,Breakout
診所,Breakout
齒,Breakout
牙科,+300%
dentist,+250%
teeth,+250%



