Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Auctions
2005-12-25 - 2005-12-31,+83%
2006-01-01 - 2006-01-07,+71%
2006-01-08 - 2006-01-14,+33%
2006-01-15 - 2006-01-21,+46%
2006-01-22 - 2006-01-28,+63%
2006-01-29 - 2006-02-04,+33%
2006-02-05 - 2006-02-11,+67%
2006-02-12 - 2006-02-18,+58%
2006-02-19 - 2006-02-25,+75%
2006-02-26 - 2006-03-04,+96%
2006-03-05 - 2006-03-11,+42%
2006-03-12 - 2006-03-18,+50%
2006-03-19 - 2006-03-25,+104%
2006-03-26 - 2006-04-01,+42%
2006-04-02 - 2006-04-08,+71%
2006-04-09 - 2006-04-15,+75%
2006-04-16 - 2006-04-22,+42%
2006-04-23 - 2006-04-29,+58%
2006-04-30 - 2006-05-06,+171%
2006-05-07 - 2006-05-13,+63%
2006-05-14 - 2006-05-20,+79%
2006-05-21 - 2006-05-27,+58%
2006-05-28 - 2006-06-03,+54%
2006-06-04 - 2006-06-10,+54%
2006-06-11 - 2006-06-17,+71%
2006-06-18 - 2006-06-24,+63%
2006-06-25 - 2006-07-01,+67%
2006-07-02 - 2006-07-08,+63%
2006-07-09 - 2006-07-15,+75%
2006-07-16 - 2006-07-22,+67%
2006-07-23 - 2006-07-29,+79%
2006-07-30 - 2006-08-05,+100%
2006-08-06 - 2006-08-12,+171%
2006-08-13 - 2006-08-19,+108%
2006-08-20 - 2006-08-26,+133%
2006-08-27 - 2006-09-02,+100%
2006-09-03 - 2006-09-09,+129%
2006-09-10 - 2006-09-16,+83%
2006-09-17 - 2006-09-23,+83%
2006-09-24 - 2006-09-30,+100%
2006-10-01 - 2006-10-07,+117%
2006-10-08 - 2006-10-14,+100%
2006-10-15 - 2006-10-21,+75%
2006-10-22 - 2006-10-28,+92%
2006-10-29 - 2006-11-04,+79%
2006-11-05 - 2006-11-11,+88%
2006-11-12 - 2006-11-18,+108%
2006-11-19 - 2006-11-25,+96%
2006-11-26 - 2006-12-02,+75%
2006-12-03 - 2006-12-09,+104%
2006-12-10 - 2006-12-16,+83%
2006-12-17 - 2006-12-23,+83%
2006-12-24 - 2006-12-30,+117%
2006-12-31 - 2007-01-06,+63%
2007-01-07 - 2007-01-13,+121%
2007-01-14 - 2007-01-20,+88%
2007-01-21 - 2007-01-27,+92%
2007-01-28 - 2007-02-03,+79%
2007-02-04 - 2007-02-10,+50%
2007-02-11 - 2007-02-17,+88%
2007-02-18 - 2007-02-24,+75%
2007-02-25 - 2007-03-03,+75%
2007-03-04 - 2007-03-10,+92%
2007-03-11 - 2007-03-17,+79%
2007-03-18 - 2007-03-24,+71%
2007-03-25 - 2007-03-31,+121%
2007-04-01 - 2007-04-07,+92%
2007-04-08 - 2007-04-14,+88%
2007-04-15 - 2007-04-21,+50%
2007-04-22 - 2007-04-28,+117%
2007-04-29 - 2007-05-05,+96%
2007-05-06 - 2007-05-12,+67%
2007-05-13 - 2007-05-19,+88%
2007-05-20 - 2007-05-26,+92%
2007-05-27 - 2007-06-02,+83%
2007-06-03 - 2007-06-09,+75%
2007-06-10 - 2007-06-16,+67%
2007-06-17 - 2007-06-23,+71%
2007-06-24 - 2007-06-30,+92%
2007-07-01 - 2007-07-07,+117%
2007-07-08 - 2007-07-14,+83%
2007-07-15 - 2007-07-21,+92%
2007-07-22 - 2007-07-28,+92%
2007-07-29 - 2007-08-04,+79%
2007-08-05 - 2007-08-11,+104%
2007-08-12 - 2007-08-18,+92%
2007-08-19 - 2007-08-25,+121%
2007-08-26 - 2007-09-01,+100%
2007-09-02 - 2007-09-08,+88%
2007-09-09 - 2007-09-15,+88%
2007-09-16 - 2007-09-22,+100%
2007-09-23 - 2007-09-29,+92%
2007-09-30 - 2007-10-06,+92%
2007-10-07 - 2007-10-13,+133%
2007-10-14 - 2007-10-20,+92%
2007-10-21 - 2007-10-27,+133%
2007-10-28 - 2007-11-03,+88%
2007-11-04 - 2007-11-10,+100%
2007-11-11 - 2007-11-17,+108%
2007-11-18 - 2007-11-24,+96%
2007-11-25 - 2007-12-01,+92%
2007-12-02 - 2007-12-08,+83%
2007-12-09 - 2007-12-15,+88%
2007-12-16 - 2007-12-22,+75%
2007-12-23 - 2007-12-29,+121%
2007-12-30 - 2008-01-05,+88%
2008-01-06 - 2008-01-12,+88%
2008-01-13 - 2008-01-19,+75%
2008-01-20 - 2008-01-26,+75%
2008-01-27 - 2008-02-02,+79%
2008-02-03 - 2008-02-09,+92%
2008-02-10 - 2008-02-16,+75%
2008-02-17 - 2008-02-23,+92%
2008-02-24 - 2008-03-01,+75%
2008-03-02 - 2008-03-08,+71%
2008-03-09 - 2008-03-15,+75%
2008-03-16 - 2008-03-22,+117%
2008-03-23 - 2008-03-29,+92%
2008-03-30 - 2008-04-05,+88%
2008-04-06 - 2008-04-12,+96%
2008-04-13 - 2008-04-19,+79%
2008-04-20 - 2008-04-26,+71%
2008-04-27 - 2008-05-03,+79%
2008-05-04 - 2008-05-10,+75%
2008-05-11 - 2008-05-17,+71%
2008-05-18 - 2008-05-24,+88%
2008-05-25 - 2008-05-31,+79%
2008-06-01 - 2008-06-07,+71%
2008-06-08 - 2008-06-14,+67%
2008-06-15 - 2008-06-21,+83%
2008-06-22 - 2008-06-28,+100%
2008-06-29 - 2008-07-05,+83%
2008-07-06 - 2008-07-12,+79%
2008-07-13 - 2008-07-19,+104%
2008-07-20 - 2008-07-26,+113%
2008-07-27 - 2008-08-02,+100%
2008-08-03 - 2008-08-09,+100%
2008-08-10 - 2008-08-16,+104%
2008-08-17 - 2008-08-23,+113%
2008-08-24 - 2008-08-30,+192%
2008-08-31 - 2008-09-06,+142%
2008-09-07 - 2008-09-13,+142%
2008-09-14 - 2008-09-20,+113%
2008-09-21 - 2008-09-27,+142%
2008-09-28 - 2008-10-04,+125%
2008-10-05 - 2008-10-11,+125%
2008-10-12 - 2008-10-18,+125%
2008-10-19 - 2008-10-25,+138%
2008-10-26 - 2008-11-01,+108%
2008-11-02 - 2008-11-08,+117%
2008-11-09 - 2008-11-15,+117%
2008-11-16 - 2008-11-22,+108%
2008-11-23 - 2008-11-29,+113%
2008-11-30 - 2008-12-06,+142%
2008-12-07 - 2008-12-13,+142%
2008-12-14 - 2008-12-20,+96%
2008-12-21 - 2008-12-27,+117%
2008-12-28 - 2009-01-03,+113%
2009-01-04 - 2009-01-10,+104%
2009-01-11 - 2009-01-17,+108%
2009-01-18 - 2009-01-24,+142%
2009-01-25 - 2009-01-31,+113%
2009-02-01 - 2009-02-07,+113%
2009-02-08 - 2009-02-14,+104%
2009-02-15 - 2009-02-21,+121%
2009-02-22 - 2009-02-28,+129%
2009-03-01 - 2009-03-07,+133%
2009-03-08 - 2009-03-14,+138%
2009-03-15 - 2009-03-21,+146%
2009-03-22 - 2009-03-28,+142%
2009-03-29 - 2009-04-04,+125%
2009-04-05 - 2009-04-11,+129%
2009-04-12 - 2009-04-18,+142%
2009-04-19 - 2009-04-25,+138%
2009-04-26 - 2009-05-02,+129%
2009-05-03 - 2009-05-09,+113%
2009-05-10 - 2009-05-16,+108%
2009-05-17 - 2009-05-23,+113%
2009-05-24 - 2009-05-30,+113%
2009-05-31 - 2009-06-06,+96%
2009-06-07 - 2009-06-13,+113%
2009-06-14 - 2009-06-20,+108%
2009-06-21 - 2009-06-27,+108%
2009-06-28 - 2009-07-04,+117%
2009-07-05 - 2009-07-11,+146%
2009-07-12 - 2009-07-18,+138%
2009-07-19 - 2009-07-25,+104%
2009-07-26 - 2009-08-01,+117%
2009-08-02 - 2009-08-08,+129%
2009-08-09 - 2009-08-15,+138%
2009-08-16 - 2009-08-22,+125%
2009-08-23 - 2009-08-29,+158%
2009-08-30 - 2009-09-05,+138%
2009-09-06 - 2009-09-12,+142%
2009-09-13 - 2009-09-19,+129%
2009-09-20 - 2009-09-26,+133%
2009-09-27 - 2009-10-03,+154%
2009-10-04 - 2009-10-10,+125%
2009-10-11 - 2009-10-17,+108%
2009-10-18 - 2009-10-24,+196%
2009-10-25 - 2009-10-31,+133%
2009-11-01 - 2009-11-07,+121%
2009-11-08 - 2009-11-14,+113%
2009-11-15 - 2009-11-21,+129%
2009-11-22 - 2009-11-28,+154%
2009-11-29 - 2009-12-05,+150%
2009-12-06 - 2009-12-12,+146%
2009-12-13 - 2009-12-19,+121%
2009-12-20 - 2009-12-26,+142%
2009-12-27 - 2010-01-02,+146%
2010-01-03 - 2010-01-09,+133%
2010-01-10 - 2010-01-16,+113%
2010-01-17 - 2010-01-23,+113%
2010-01-24 - 2010-01-30,+104%
2010-01-31 - 2010-02-06,+108%
2010-02-07 - 2010-02-13,+104%
2010-02-14 - 2010-02-20,+113%
2010-02-21 - 2010-02-27,+104%
2010-02-28 - 2010-03-06,+108%
2010-03-07 - 2010-03-13,+108%
2010-03-14 - 2010-03-20,+121%
2010-03-21 - 2010-03-27,+117%
2010-03-28 - 2010-04-03,+117%
2010-04-04 - 2010-04-10,+104%
2010-04-11 - 2010-04-17,+104%
2010-04-18 - 2010-04-24,+92%
2010-04-25 - 2010-05-01,+108%
2010-05-02 - 2010-05-08,+100%
2010-05-09 - 2010-05-15,+92%
2010-05-16 - 2010-05-22,+83%
2010-05-23 - 2010-05-29,+88%
2010-05-30 - 2010-06-05,+83%
2010-06-06 - 2010-06-12,+100%
2010-06-13 - 2010-06-19,+79%
2010-06-20 - 2010-06-26,+88%
2010-06-27 - 2010-07-03,+100%
2010-07-04 - 2010-07-10,+104%
2010-07-11 - 2010-07-17,+100%
2010-07-18 - 2010-07-24,+117%
2010-07-25 - 2010-07-31,+121%
2010-08-01 - 2010-08-07,+121%
2010-08-08 - 2010-08-14,+104%
2010-08-15 - 2010-08-21,+117%
2010-08-22 - 2010-08-28,+183%
2010-08-29 - 2010-09-04,+142%
2010-09-05 - 2010-09-11,+121%
2010-09-12 - 2010-09-18,+133%
2010-09-19 - 2010-09-25,+133%
2010-09-26 - 2010-10-02,+125%
2010-10-03 - 2010-10-09,+142%
2010-10-10 - 2010-10-16,+113%
2010-10-17 - 2010-10-23,+113%
2010-10-24 - 2010-10-30,+121%
2010-10-31 - 2010-11-06,+138%
2010-11-07 - 2010-11-13,+113%
2010-11-14 - 2010-11-20,+100%
2010-11-21 - 2010-11-27,+125%
2010-11-28 - 2010-12-04,+125%
2010-12-05 - 2010-12-11,+138%
2010-12-12 - 2010-12-18,+125%
2010-12-19 - 2010-12-25,+150%
2010-12-26 - 2011-01-01,+154%
2011-01-02 - 2011-01-08,+117%
2011-01-09 - 2011-01-15,+117%
2011-01-16 - 2011-01-22,+108%
2011-01-23 - 2011-01-29,+104%
2011-01-30 - 2011-02-05,+117%
2011-02-06 - 2011-02-12,+117%
2011-02-13 - 2011-02-19,+133%
2011-02-20 - 2011-02-26,+121%
2011-02-27 - 2011-03-05,+121%
2011-03-06 - 2011-03-12,+108%
2011-03-13 - 2011-03-19,+113%
2011-03-20 - 2011-03-26,+117%
2011-03-27 - 2011-04-02,+125%
2011-04-03 - 2011-04-09,+142%
2011-04-10 - 2011-04-16,+150%
2011-04-17 - 2011-04-23,+150%
2011-04-24 - 2011-04-30,+154%
2011-05-01 - 2011-05-07,+229%
2011-05-08 - 2011-05-14,+171%
2011-05-15 - 2011-05-21,+171%
2011-05-22 - 2011-05-28,+158%
2011-05-29 - 2011-06-04,+146%
2011-06-05 - 2011-06-11,+125%
2011-06-12 - 2011-06-18,+167%
2011-06-19 - 2011-06-25,+113%
2011-06-26 - 2011-07-02,+108%
2011-07-03 - 2011-07-09,+158%
2011-07-10 - 2011-07-16,+129%
2011-07-17 - 2011-07-23,+138%
2011-07-24 - 2011-07-30,+167%
2011-07-31 - 2011-08-06,+150%
2011-08-07 - 2011-08-13,+142%
2011-08-14 - 2011-08-20,+158%
2011-08-21 - 2011-08-27,+150%
2011-08-28 - 2011-09-03,+188%
2011-09-04 - 2011-09-10,+167%
2011-09-11 - 2011-09-17,+158%
2011-09-18 - 2011-09-24,+204%
2011-09-25 - 2011-10-01,+233%
2011-10-02 - 2011-10-08,+271%
2011-10-09 - 2011-10-15,+196%
2011-10-16 - 2011-10-22,+196%
2011-10-23 - 2011-10-29,+200%
2011-10-30 - 2011-11-05,+196%
2011-11-06 - 2011-11-12,+200%
2011-11-13 - 2011-11-19,+317%
2011-11-20 - 2011-11-26,+246%
2011-11-27 - 2011-12-03,+242%
2011-12-04 - 2011-12-10,+250%
2011-12-11 - 2011-12-17,+250%
2011-12-18 - 2011-12-24,+192%
2011-12-25 - 2011-12-31,+213%
2012-01-01 - 2012-01-07,+225%
2012-01-08 - 2012-01-14,+213%
2012-01-15 - 2012-01-21,+221%
2012-01-22 - 2012-01-28,+196%
2012-01-29 - 2012-02-04,+217%
2012-02-05 - 2012-02-11,+217%
2012-02-12 - 2012-02-18,+196%
2012-02-19 - 2012-02-25,+213%
2012-02-26 - 2012-03-03,+200%
2012-03-04 - 2012-03-10,+196%
2012-03-11 - 2012-03-17,+179%
2012-03-18 - 2012-03-24,+192%
2012-03-25 - 2012-03-31,+192%
2012-04-01 - 2012-04-07,+204%
2012-04-08 - 2012-04-14,+208%
2012-04-15 - 2012-04-21,+238%
2012-04-22 - 2012-04-28,+258%
2012-04-29 - 2012-05-05,+225%
2012-05-06 - 2012-05-12,+242%
2012-05-13 - 2012-05-19,+208%
2012-05-20 - 2012-05-26,+221%
2012-05-27 - 2012-06-02,+217%
2012-06-03 - 2012-06-09,+204%
2012-06-10 - 2012-06-16,+200%
2012-06-17 - 2012-06-23,+179%
2012-06-24 - 2012-06-30,+183%
2012-07-01 - 2012-07-07,+213%
2012-07-08 - 2012-07-14,+196%
2012-07-15 - 2012-07-21,+179%
2012-07-22 - 2012-07-28,+188%
2012-07-29 - 2012-08-04,+208%
2012-08-05 - 2012-08-11,+171%
2012-08-12 - 2012-08-18,+192%
2012-08-19 - 2012-08-25,+196%
2012-08-26 - 2012-09-01,+196%
2012-09-02 - 2012-09-08,+163%
2012-09-09 - 2012-09-15,+175%
2012-09-16 - 2012-09-22,+196%
2012-09-23 - 2012-09-29,+200%
2012-09-30 - 2012-10-06,+179%
2012-10-07 - 2012-10-13,+175%
2012-10-14 - 2012-10-20,+171%
2012-10-21 - 2012-10-27,+196%
2012-10-28 - 2012-11-03,+196%
2012-11-04 - 2012-11-10,+163%
2012-11-11 - 2012-11-17,+175%
2012-11-18 - 2012-11-24,+221%
2012-11-25 - 2012-12-01, 



Top searches
leiloes,100
ebay,85
leilões,15
leilao,10
imoveis,10
leilão,5
n95,5
net leiloes,5
penhoras,5
nokia n95,5
bens penhorados,5
leiloes finanças,5
miau,5
leiloes miau,5
leiloes casas,5
leiloes imoveis,5
tag,5
leiloes carros,5
tag leiloes,5
alegro,5



Rising searches
bens penhorados,Breakout
imoveis,Breakout
n95,Breakout
net leiloes,Breakout
nokia n95,Breakout
penhoras,Breakout
leiloes,+450%
ebay,+250%
leilao,+50%



