Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Geographic Reference
2007-04-29 - 2007-05-05,+58%
2007-05-06 - 2007-05-12,+58%
2007-05-13 - 2007-05-19,+58%
2007-05-20 - 2007-05-26,+56%
2007-05-27 - 2007-06-02,+64%
2007-06-03 - 2007-06-09,+89%
2007-06-10 - 2007-06-16,+69%
2007-06-17 - 2007-06-23,+61%
2007-06-24 - 2007-06-30,+75%
2007-07-01 - 2007-07-07,+75%
2007-07-08 - 2007-07-14,+78%
2007-07-15 - 2007-07-21,+89%
2007-07-22 - 2007-07-28,+103%
2007-07-29 - 2007-08-04,+94%
2007-08-05 - 2007-08-11,+92%
2007-08-12 - 2007-08-18,+97%
2007-08-19 - 2007-08-25,+89%
2007-08-26 - 2007-09-01,+122%
2007-09-02 - 2007-09-08,+119%
2007-09-09 - 2007-09-15,+117%
2007-09-16 - 2007-09-22,+117%
2007-09-23 - 2007-09-29,+86%
2007-09-30 - 2007-10-06,+86%
2007-10-07 - 2007-10-13,+108%
2007-10-14 - 2007-10-20,+106%
2007-10-21 - 2007-10-27,+94%
2007-10-28 - 2007-11-03,+75%
2007-11-04 - 2007-11-10,+75%
2007-11-11 - 2007-11-17,+75%
2007-11-18 - 2007-11-24,+67%
2007-11-25 - 2007-12-01,+69%
2007-12-02 - 2007-12-08,+58%
2007-12-09 - 2007-12-15,+67%
2007-12-16 - 2007-12-22,+64%
2007-12-23 - 2007-12-29,+67%
2007-12-30 - 2008-01-05,+67%
2008-01-06 - 2008-01-12,+67%
2008-01-13 - 2008-01-19,+72%
2008-01-20 - 2008-01-26,+72%
2008-01-27 - 2008-02-02,+69%
2008-02-03 - 2008-02-09,+44%
2008-02-10 - 2008-02-16,+56%
2008-02-17 - 2008-02-23,+72%
2008-02-24 - 2008-03-01,+69%
2008-03-02 - 2008-03-08,+97%
2008-03-09 - 2008-03-15,+89%
2008-03-16 - 2008-03-22,+86%
2008-03-23 - 2008-03-29,+72%
2008-03-30 - 2008-04-05,+83%
2008-04-06 - 2008-04-12,+72%
2008-04-13 - 2008-04-19,+72%
2008-04-20 - 2008-04-26,+75%
2008-04-27 - 2008-05-03,+64%
2008-05-04 - 2008-05-10,+78%
2008-05-11 - 2008-05-17,+106%
2008-05-18 - 2008-05-24,+97%
2008-05-25 - 2008-05-31,+103%
2008-06-01 - 2008-06-07,+97%
2008-06-08 - 2008-06-14,+78%
2008-06-15 - 2008-06-21,+75%
2008-06-22 - 2008-06-28,+86%
2008-06-29 - 2008-07-05,+78%
2008-07-06 - 2008-07-12,+78%
2008-07-13 - 2008-07-19,+92%
2008-07-20 - 2008-07-26,+100%
2008-07-27 - 2008-08-02,+86%
2008-08-03 - 2008-08-09,+100%
2008-08-10 - 2008-08-16,+92%
2008-08-17 - 2008-08-23,+69%
2008-08-24 - 2008-08-30,+78%
2008-08-31 - 2008-09-06,+81%
2008-09-07 - 2008-09-13,+81%
2008-09-14 - 2008-09-20,+67%
2008-09-21 - 2008-09-27,+69%
2008-09-28 - 2008-10-04,+67%
2008-10-05 - 2008-10-11,+69%
2008-10-12 - 2008-10-18,+67%
2008-10-19 - 2008-10-25,+75%
2008-10-26 - 2008-11-01,+67%
2008-11-02 - 2008-11-08,+67%
2008-11-09 - 2008-11-15,+67%
2008-11-16 - 2008-11-22,+64%
2008-11-23 - 2008-11-29,+61%
2008-11-30 - 2008-12-06,+64%
2008-12-07 - 2008-12-13,+61%
2008-12-14 - 2008-12-20,+58%
2008-12-21 - 2008-12-27,+67%
2008-12-28 - 2009-01-03,+61%
2009-01-04 - 2009-01-10,+64%
2009-01-11 - 2009-01-17,+58%
2009-01-18 - 2009-01-24,+64%
2009-01-25 - 2009-01-31,+69%
2009-02-01 - 2009-02-07,+81%
2009-02-08 - 2009-02-14,+78%
2009-02-15 - 2009-02-21,+72%
2009-02-22 - 2009-02-28,+72%
2009-03-01 - 2009-03-07,+72%
2009-03-08 - 2009-03-14,+75%
2009-03-15 - 2009-03-21,+72%
2009-03-22 - 2009-03-28,+94%
2009-03-29 - 2009-04-04,+75%
2009-04-05 - 2009-04-11,+81%
2009-04-12 - 2009-04-18,+61%
2009-04-19 - 2009-04-25,+67%
2009-04-26 - 2009-05-02,+72%
2009-05-03 - 2009-05-09,+61%
2009-05-10 - 2009-05-16,+72%
2009-05-17 - 2009-05-23,+58%
2009-05-24 - 2009-05-30,+75%
2009-05-31 - 2009-06-06,+75%
2009-06-07 - 2009-06-13,+69%
2009-06-14 - 2009-06-20,+75%
2009-06-21 - 2009-06-27,+72%
2009-06-28 - 2009-07-04,+67%
2009-07-05 - 2009-07-11,+64%
2009-07-12 - 2009-07-18,+67%
2009-07-19 - 2009-07-25,+69%
2009-07-26 - 2009-08-01,+67%
2009-08-02 - 2009-08-08,+61%
2009-08-09 - 2009-08-15,+72%
2009-08-16 - 2009-08-22,+56%
2009-08-23 - 2009-08-29,+67%
2009-08-30 - 2009-09-05,+67%
2009-09-06 - 2009-09-12,+69%
2009-09-13 - 2009-09-19,+58%
2009-09-20 - 2009-09-26,+78%
2009-09-27 - 2009-10-03,+89%
2009-10-04 - 2009-10-10,+92%
2009-10-11 - 2009-10-17,+92%
2009-10-18 - 2009-10-24,+89%
2009-10-25 - 2009-10-31,+83%
2009-11-01 - 2009-11-07,+81%
2009-11-08 - 2009-11-14,+89%
2009-11-15 - 2009-11-21,+83%
2009-11-22 - 2009-11-28,+78%
2009-11-29 - 2009-12-05,+83%
2009-12-06 - 2009-12-12,+75%
2009-12-13 - 2009-12-19,+86%
2009-12-20 - 2009-12-26,+86%
2009-12-27 - 2010-01-02,+94%
2010-01-03 - 2010-01-09,+81%
2010-01-10 - 2010-01-16,+106%
2010-01-17 - 2010-01-23,+100%
2010-01-24 - 2010-01-30,+92%
2010-01-31 - 2010-02-06,+94%
2010-02-07 - 2010-02-13,+75%
2010-02-14 - 2010-02-20,+81%
2010-02-21 - 2010-02-27,+94%
2010-02-28 - 2010-03-06,+92%
2010-03-07 - 2010-03-13,+167%
2010-03-14 - 2010-03-20,+169%
2010-03-21 - 2010-03-27,+128%
2010-03-28 - 2010-04-03,+125%
2010-04-04 - 2010-04-10,+114%
2010-04-11 - 2010-04-17,+119%
2010-04-18 - 2010-04-24,+125%
2010-04-25 - 2010-05-01,+114%
2010-05-02 - 2010-05-08,+114%
2010-05-09 - 2010-05-15,+117%
2010-05-16 - 2010-05-22,+106%
2010-05-23 - 2010-05-29,+117%
2010-05-30 - 2010-06-05,+108%
2010-06-06 - 2010-06-12,+114%
2010-06-13 - 2010-06-19,+108%
2010-06-20 - 2010-06-26,+111%
2010-06-27 - 2010-07-03,+111%
2010-07-04 - 2010-07-10,+114%
2010-07-11 - 2010-07-17,+111%
2010-07-18 - 2010-07-24,+100%
2010-07-25 - 2010-07-31,+106%
2010-08-01 - 2010-08-07,+111%
2010-08-08 - 2010-08-14,+111%
2010-08-15 - 2010-08-21,+100%
2010-08-22 - 2010-08-28,+94%
2010-08-29 - 2010-09-04,+97%
2010-09-05 - 2010-09-11,+111%
2010-09-12 - 2010-09-18,+100%
2010-09-19 - 2010-09-25,+92%
2010-09-26 - 2010-10-02,+86%
2010-10-03 - 2010-10-09,+89%
2010-10-10 - 2010-10-16,+67%
2010-10-17 - 2010-10-23,+86%
2010-10-24 - 2010-10-30,+86%
2010-10-31 - 2010-11-06,+72%
2010-11-07 - 2010-11-13,+72%
2010-11-14 - 2010-11-20,+75%
2010-11-21 - 2010-11-27,+72%
2010-11-28 - 2010-12-04,+78%
2010-12-05 - 2010-12-11,+72%
2010-12-12 - 2010-12-18,+81%
2010-12-19 - 2010-12-25,+81%
2010-12-26 - 2011-01-01,+78%
2011-01-02 - 2011-01-08,+64%
2011-01-09 - 2011-01-15,+72%
2011-01-16 - 2011-01-22,+72%
2011-01-23 - 2011-01-29,+64%
2011-01-30 - 2011-02-05,+64%
2011-02-06 - 2011-02-12,+67%
2011-02-13 - 2011-02-19,+69%
2011-02-20 - 2011-02-26,+69%
2011-02-27 - 2011-03-05,+67%
2011-03-06 - 2011-03-12,+83%
2011-03-13 - 2011-03-19,+106%
2011-03-20 - 2011-03-26,+69%
2011-03-27 - 2011-04-02,+64%
2011-04-03 - 2011-04-09,+58%
2011-04-10 - 2011-04-16,+56%
2011-04-17 - 2011-04-23,+61%
2011-04-24 - 2011-04-30,+58%
2011-05-01 - 2011-05-07,+56%
2011-05-08 - 2011-05-14,+53%
2011-05-15 - 2011-05-21,+56%
2011-05-22 - 2011-05-28,+58%
2011-05-29 - 2011-06-04,+58%
2011-06-05 - 2011-06-11,+61%
2011-06-12 - 2011-06-18,+67%
2011-06-19 - 2011-06-25,+67%
2011-06-26 - 2011-07-02,+56%
2011-07-03 - 2011-07-09,+56%
2011-07-10 - 2011-07-16,+64%
2011-07-17 - 2011-07-23,+61%
2011-07-24 - 2011-07-30,+50%
2011-07-31 - 2011-08-06,+50%
2011-08-07 - 2011-08-13,+50%
2011-08-14 - 2011-08-20,+50%
2011-08-21 - 2011-08-27,+44%
2011-08-28 - 2011-09-03,+44%
2011-09-04 - 2011-09-10,+50%
2011-09-11 - 2011-09-17,+47%
2011-09-18 - 2011-09-24,+47%
2011-09-25 - 2011-10-01,+33%
2011-10-02 - 2011-10-08,+42%
2011-10-09 - 2011-10-15,+47%
2011-10-16 - 2011-10-22,+44%
2011-10-23 - 2011-10-29,+33%
2011-10-30 - 2011-11-05,+42%
2011-11-06 - 2011-11-12,+36%
2011-11-13 - 2011-11-19,+36%
2011-11-20 - 2011-11-26,+36%
2011-11-27 - 2011-12-03,+33%
2011-12-04 - 2011-12-10,+31%
2011-12-11 - 2011-12-17,+33%
2011-12-18 - 2011-12-24,+28%
2011-12-25 - 2011-12-31,+36%
2012-01-01 - 2012-01-07,+28%
2012-01-08 - 2012-01-14,+36%
2012-01-15 - 2012-01-21,+31%
2012-01-22 - 2012-01-28,+19%
2012-01-29 - 2012-02-04,+36%
2012-02-05 - 2012-02-11,+28%
2012-02-12 - 2012-02-18,+33%
2012-02-19 - 2012-02-25,+36%
2012-02-26 - 2012-03-03,+36%
2012-03-04 - 2012-03-10,+64%
2012-03-11 - 2012-03-17,+56%
2012-03-18 - 2012-03-24,+53%
2012-03-25 - 2012-03-31,+69%
2012-04-01 - 2012-04-07,+53%
2012-04-08 - 2012-04-14,+33%
2012-04-15 - 2012-04-21,+31%
2012-04-22 - 2012-04-28,+36%
2012-04-29 - 2012-05-05,+31%
2012-05-06 - 2012-05-12,+33%
2012-05-13 - 2012-05-19,+31%
2012-05-20 - 2012-05-26,+33%
2012-05-27 - 2012-06-02,+36%
2012-06-03 - 2012-06-09,+28%
2012-06-10 - 2012-06-16,+39%
2012-06-17 - 2012-06-23,+31%
2012-06-24 - 2012-06-30,+31%
2012-07-01 - 2012-07-07,+31%
2012-07-08 - 2012-07-14,+31%
2012-07-15 - 2012-07-21,+31%
2012-07-22 - 2012-07-28,+22%
2012-07-29 - 2012-08-04,+31%
2012-08-05 - 2012-08-11,+28%
2012-08-12 - 2012-08-18,+22%
2012-08-19 - 2012-08-25,+25%
2012-08-26 - 2012-09-01,+25%
2012-09-02 - 2012-09-08,+25%
2012-09-09 - 2012-09-15,+28%
2012-09-16 - 2012-09-22,+33%
2012-09-23 - 2012-09-29,+42%
2012-09-30 - 2012-10-06,+36%
2012-10-07 - 2012-10-13,+31%
2012-10-14 - 2012-10-20,+31%
2012-10-21 - 2012-10-27,+22%
2012-10-28 - 2012-11-03,+25%
2012-11-04 - 2012-11-10,+28%
2012-11-11 - 2012-11-17,+25%
2012-11-18 - 2012-11-24,+25%
2012-11-25 - 2012-12-01, 



Top searches
map,100
google,55
google map,35
maps,15
earth,15
google earth,10
maps google,10
地图,10
map hong kong,5
flag,5
world map,5
地圖,5
googlemap,0
zip code,0
spain,0
berlin,0
earth map,0
central map,0
amsterdam,0
深圳地鐵,0



Rising searches
berlin,Breakout
earth map,Breakout
google,Breakout
google earth,Breakout
google map,Breakout
google 地图,Breakout
googlemap,Breakout
maps google,Breakout
street view,Breakout
地圖 google,Breakout



