Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Cycling
2005-05-22 - 2005-05-28,+16%
2005-05-29 - 2005-06-04,+74%
2005-06-05 - 2005-06-11,+61%
2005-06-12 - 2005-06-18,+53%
2005-06-19 - 2005-06-25,+47%
2005-06-26 - 2005-07-02,+66%
2005-07-03 - 2005-07-09,+132%
2005-07-10 - 2005-07-16,+124%
2005-07-17 - 2005-07-23,+124%
2005-07-24 - 2005-07-30,+132%
2005-07-31 - 2005-08-06,+124%
2005-08-07 - 2005-08-13,+58%
2005-08-14 - 2005-08-20,+24%
2005-08-21 - 2005-08-27,+50%
2005-08-28 - 2005-09-03,+68%
2005-09-04 - 2005-09-10,+39%
2005-09-11 - 2005-09-17,+71%
2005-09-18 - 2005-09-24,+47%
2005-09-25 - 2005-10-01,+61%
2005-10-02 - 2005-10-08,+82%
2005-10-09 - 2005-10-15,+58%
2005-10-16 - 2005-10-22,+32%
2005-10-23 - 2005-10-29,+26%
2005-10-30 - 2005-11-05,+34%
2005-11-06 - 2005-11-12,+76%
2005-11-13 - 2005-11-19,+32%
2005-11-20 - 2005-11-26,+68%
2005-11-27 - 2005-12-03,+55%
2005-12-04 - 2005-12-10,+50%
2005-12-11 - 2005-12-17,+37%
2005-12-18 - 2005-12-24,+47%
2005-12-25 - 2005-12-31,+50%
2006-01-01 - 2006-01-07,+42%
2006-01-08 - 2006-01-14,+61%
2006-01-15 - 2006-01-21,+24%
2006-01-22 - 2006-01-28,+53%
2006-01-29 - 2006-02-04,+66%
2006-02-05 - 2006-02-11,+113%
2006-02-12 - 2006-02-18,+100%
2006-02-19 - 2006-02-25,+47%
2006-02-26 - 2006-03-04,+76%
2006-03-05 - 2006-03-11,+68%
2006-03-12 - 2006-03-18,+55%
2006-03-19 - 2006-03-25,+53%
2006-03-26 - 2006-04-01,+29%
2006-04-02 - 2006-04-08,+47%
2006-04-09 - 2006-04-15,+45%
2006-04-16 - 2006-04-22,+50%
2006-04-23 - 2006-04-29,+47%
2006-04-30 - 2006-05-06,+45%
2006-05-07 - 2006-05-13,+84%
2006-05-14 - 2006-05-20,+87%
2006-05-21 - 2006-05-27,+37%
2006-05-28 - 2006-06-03,+71%
2006-06-04 - 2006-06-10,+63%
2006-06-11 - 2006-06-17,+42%
2006-06-18 - 2006-06-24,+79%
2006-06-25 - 2006-07-01,+50%
2006-07-02 - 2006-07-08,+68%
2006-07-09 - 2006-07-15,+89%
2006-07-16 - 2006-07-22,+87%
2006-07-23 - 2006-07-29,+103%
2006-07-30 - 2006-08-05,+84%
2006-08-06 - 2006-08-12,+66%
2006-08-13 - 2006-08-19,+53%
2006-08-20 - 2006-08-26,+66%
2006-08-27 - 2006-09-02,+50%
2006-09-03 - 2006-09-09,+42%
2006-09-10 - 2006-09-16,+29%
2006-09-17 - 2006-09-23,+11%
2006-09-24 - 2006-09-30,+39%
2006-10-01 - 2006-10-07,+55%
2006-10-08 - 2006-10-14,+47%
2006-10-15 - 2006-10-21,+26%
2006-10-22 - 2006-10-28,+66%
2006-10-29 - 2006-11-04,+63%
2006-11-05 - 2006-11-11,+74%
2006-11-12 - 2006-11-18,+37%
2006-11-19 - 2006-11-25,+21%
2006-11-26 - 2006-12-02,+18%
2006-12-03 - 2006-12-09,+50%
2006-12-10 - 2006-12-16,+53%
2006-12-17 - 2006-12-23,+32%
2006-12-24 - 2006-12-30,+42%
2006-12-31 - 2007-01-06,+32%
2007-01-07 - 2007-01-13,+58%
2007-01-14 - 2007-01-20,+45%
2007-01-21 - 2007-01-27,+37%
2007-01-28 - 2007-02-03,+58%
2007-02-04 - 2007-02-10,+47%
2007-02-11 - 2007-02-17,+39%
2007-02-18 - 2007-02-24,+45%
2007-02-25 - 2007-03-03,+37%
2007-03-04 - 2007-03-10,+34%
2007-03-11 - 2007-03-17,+29%
2007-03-18 - 2007-03-24,+66%
2007-03-25 - 2007-03-31,+74%
2007-04-01 - 2007-04-07,+74%
2007-04-08 - 2007-04-14,+47%
2007-04-15 - 2007-04-21,+55%
2007-04-22 - 2007-04-28,+82%
2007-04-29 - 2007-05-05,+55%
2007-05-06 - 2007-05-12,+61%
2007-05-13 - 2007-05-19,+71%
2007-05-20 - 2007-05-26,+63%
2007-05-27 - 2007-06-02,+47%
2007-06-03 - 2007-06-09,+63%
2007-06-10 - 2007-06-16,+74%
2007-06-17 - 2007-06-23,+58%
2007-06-24 - 2007-06-30,+84%
2007-07-01 - 2007-07-07,+111%
2007-07-08 - 2007-07-14,+84%
2007-07-15 - 2007-07-21,+111%
2007-07-22 - 2007-07-28,+132%
2007-07-29 - 2007-08-04,+79%
2007-08-05 - 2007-08-11,+76%
2007-08-12 - 2007-08-18,+76%
2007-08-19 - 2007-08-25,+55%
2007-08-26 - 2007-09-01,+84%
2007-09-02 - 2007-09-08,+63%
2007-09-09 - 2007-09-15,+74%
2007-09-16 - 2007-09-22,+68%
2007-09-23 - 2007-09-29,+61%
2007-09-30 - 2007-10-06,+89%
2007-10-07 - 2007-10-13,+74%
2007-10-14 - 2007-10-20,+103%
2007-10-21 - 2007-10-27,+95%
2007-10-28 - 2007-11-03,+74%
2007-11-04 - 2007-11-10,+55%
2007-11-11 - 2007-11-17,+76%
2007-11-18 - 2007-11-24,+47%
2007-11-25 - 2007-12-01,+61%
2007-12-02 - 2007-12-08,+74%
2007-12-09 - 2007-12-15,+39%
2007-12-16 - 2007-12-22,+50%
2007-12-23 - 2007-12-29,+53%
2007-12-30 - 2008-01-05,+47%
2008-01-06 - 2008-01-12,+45%
2008-01-13 - 2008-01-19,+50%
2008-01-20 - 2008-01-26,+37%
2008-01-27 - 2008-02-02,+42%
2008-02-03 - 2008-02-09,+29%
2008-02-10 - 2008-02-16,+16%
2008-02-17 - 2008-02-23,+55%
2008-02-24 - 2008-03-01,+53%
2008-03-02 - 2008-03-08,+42%
2008-03-09 - 2008-03-15,+39%
2008-03-16 - 2008-03-22,+58%
2008-03-23 - 2008-03-29,+61%
2008-03-30 - 2008-04-05,+58%
2008-04-06 - 2008-04-12,+47%
2008-04-13 - 2008-04-19,+71%
2008-04-20 - 2008-04-26,+45%
2008-04-27 - 2008-05-03,+55%
2008-05-04 - 2008-05-10,+45%
2008-05-11 - 2008-05-17,+66%
2008-05-18 - 2008-05-24,+45%
2008-05-25 - 2008-05-31,+45%
2008-06-01 - 2008-06-07,+63%
2008-06-08 - 2008-06-14,+55%
2008-06-15 - 2008-06-21,+55%
2008-06-22 - 2008-06-28,+58%
2008-06-29 - 2008-07-05,+61%
2008-07-06 - 2008-07-12,+47%
2008-07-13 - 2008-07-19,+58%
2008-07-20 - 2008-07-26,+76%
2008-07-27 - 2008-08-02,+66%
2008-08-03 - 2008-08-09,+34%
2008-08-10 - 2008-08-16,+42%
2008-08-17 - 2008-08-23,+58%
2008-08-24 - 2008-08-30,+37%
2008-08-31 - 2008-09-06,+26%
2008-09-07 - 2008-09-13,+55%
2008-09-14 - 2008-09-20,+47%
2008-09-21 - 2008-09-27,+47%
2008-09-28 - 2008-10-04,+53%
2008-10-05 - 2008-10-11,+66%
2008-10-12 - 2008-10-18,+39%
2008-10-19 - 2008-10-25,+61%
2008-10-26 - 2008-11-01,+53%
2008-11-02 - 2008-11-08,+53%
2008-11-09 - 2008-11-15,+58%
2008-11-16 - 2008-11-22,+29%
2008-11-23 - 2008-11-29,+53%
2008-11-30 - 2008-12-06,+45%
2008-12-07 - 2008-12-13,+63%
2008-12-14 - 2008-12-20,+55%
2008-12-21 - 2008-12-27,+61%
2008-12-28 - 2009-01-03,+45%
2009-01-04 - 2009-01-10,+63%
2009-01-11 - 2009-01-17,+42%
2009-01-18 - 2009-01-24,+53%
2009-01-25 - 2009-01-31,+68%
2009-02-01 - 2009-02-07,+61%
2009-02-08 - 2009-02-14,+53%
2009-02-15 - 2009-02-21,+76%
2009-02-22 - 2009-02-28,+74%
2009-03-01 - 2009-03-07,+50%
2009-03-08 - 2009-03-14,+55%
2009-03-15 - 2009-03-21,+63%
2009-03-22 - 2009-03-28,+47%
2009-03-29 - 2009-04-04,+63%
2009-04-05 - 2009-04-11,+53%
2009-04-12 - 2009-04-18,+84%
2009-04-19 - 2009-04-25,+84%
2009-04-26 - 2009-05-02,+84%
2009-05-03 - 2009-05-09,+82%
2009-05-10 - 2009-05-16,+82%
2009-05-17 - 2009-05-23,+79%
2009-05-24 - 2009-05-30,+68%
2009-05-31 - 2009-06-06,+68%
2009-06-07 - 2009-06-13,+68%
2009-06-14 - 2009-06-20,+79%
2009-06-21 - 2009-06-27,+74%
2009-06-28 - 2009-07-04,+87%
2009-07-05 - 2009-07-11,+129%
2009-07-12 - 2009-07-18,+121%
2009-07-19 - 2009-07-25,+134%
2009-07-26 - 2009-08-01,+76%
2009-08-02 - 2009-08-08,+74%
2009-08-09 - 2009-08-15,+79%
2009-08-16 - 2009-08-22,+66%
2009-08-23 - 2009-08-29,+82%
2009-08-30 - 2009-09-05,+79%
2009-09-06 - 2009-09-12,+71%
2009-09-13 - 2009-09-19,+50%
2009-09-20 - 2009-09-26,+92%
2009-09-27 - 2009-10-03,+87%
2009-10-04 - 2009-10-10,+82%
2009-10-11 - 2009-10-17,+76%
2009-10-18 - 2009-10-24,+92%
2009-10-25 - 2009-10-31,+87%
2009-11-01 - 2009-11-07,+87%
2009-11-08 - 2009-11-14,+84%
2009-11-15 - 2009-11-21,+68%
2009-11-22 - 2009-11-28,+71%
2009-11-29 - 2009-12-05,+74%
2009-12-06 - 2009-12-12,+82%
2009-12-13 - 2009-12-19,+61%
2009-12-20 - 2009-12-26,+76%
2009-12-27 - 2010-01-02,+84%
2010-01-03 - 2010-01-09,+63%
2010-01-10 - 2010-01-16,+68%
2010-01-17 - 2010-01-23,+76%
2010-01-24 - 2010-01-30,+74%
2010-01-31 - 2010-02-06,+84%
2010-02-07 - 2010-02-13,+82%
2010-02-14 - 2010-02-20,+82%
2010-02-21 - 2010-02-27,+68%
2010-02-28 - 2010-03-06,+68%
2010-03-07 - 2010-03-13,+87%
2010-03-14 - 2010-03-20,+97%
2010-03-21 - 2010-03-27,+108%
2010-03-28 - 2010-04-03,+95%
2010-04-04 - 2010-04-10,+118%
2010-04-11 - 2010-04-17,+92%
2010-04-18 - 2010-04-24,+92%
2010-04-25 - 2010-05-01,+82%
2010-05-02 - 2010-05-08,+100%
2010-05-09 - 2010-05-15,+89%
2010-05-16 - 2010-05-22,+111%
2010-05-23 - 2010-05-29,+121%
2010-05-30 - 2010-06-05,+108%
2010-06-06 - 2010-06-12,+105%
2010-06-13 - 2010-06-19,+95%
2010-06-20 - 2010-06-26,+95%
2010-06-27 - 2010-07-03,+66%
2010-07-04 - 2010-07-10,+137%
2010-07-11 - 2010-07-17,+132%
2010-07-18 - 2010-07-24,+129%
2010-07-25 - 2010-07-31,+105%
2010-08-01 - 2010-08-07,+84%
2010-08-08 - 2010-08-14,+71%
2010-08-15 - 2010-08-21,+92%
2010-08-22 - 2010-08-28,+82%
2010-08-29 - 2010-09-04,+108%
2010-09-05 - 2010-09-11,+100%
2010-09-12 - 2010-09-18,+87%
2010-09-19 - 2010-09-25,+111%
2010-09-26 - 2010-10-02,+124%
2010-10-03 - 2010-10-09,+111%
2010-10-10 - 2010-10-16,+76%
2010-10-17 - 2010-10-23,+61%
2010-10-24 - 2010-10-30,+84%
2010-10-31 - 2010-11-06,+97%
2010-11-07 - 2010-11-13,+76%
2010-11-14 - 2010-11-20,+74%
2010-11-21 - 2010-11-27,+87%
2010-11-28 - 2010-12-04,+82%
2010-12-05 - 2010-12-11,+118%
2010-12-12 - 2010-12-18,+79%
2010-12-19 - 2010-12-25,+89%
2010-12-26 - 2011-01-01,+84%
2011-01-02 - 2011-01-08,+92%
2011-01-09 - 2011-01-15,+105%
2011-01-16 - 2011-01-22,+118%
2011-01-23 - 2011-01-29,+126%
2011-01-30 - 2011-02-05,+100%
2011-02-06 - 2011-02-12,+113%
2011-02-13 - 2011-02-19,+89%
2011-02-20 - 2011-02-26,+97%
2011-02-27 - 2011-03-05,+100%
2011-03-06 - 2011-03-12,+87%
2011-03-13 - 2011-03-19,+89%
2011-03-20 - 2011-03-26,+108%
2011-03-27 - 2011-04-02,+100%
2011-04-03 - 2011-04-09,+121%
2011-04-10 - 2011-04-16,+126%
2011-04-17 - 2011-04-23,+134%
2011-04-24 - 2011-04-30,+129%
2011-05-01 - 2011-05-07,+118%
2011-05-08 - 2011-05-14,+150%
2011-05-15 - 2011-05-21,+118%
2011-05-22 - 2011-05-28,+111%
2011-05-29 - 2011-06-04,+126%
2011-06-05 - 2011-06-11,+111%
2011-06-12 - 2011-06-18,+108%
2011-06-19 - 2011-06-25,+92%
2011-06-26 - 2011-07-02,+103%
2011-07-03 - 2011-07-09,+118%
2011-07-10 - 2011-07-16,+126%
2011-07-17 - 2011-07-23,+163%
2011-07-24 - 2011-07-30,+132%
2011-07-31 - 2011-08-06,+124%
2011-08-07 - 2011-08-13,+113%
2011-08-14 - 2011-08-20,+129%
2011-08-21 - 2011-08-27,+116%
2011-08-28 - 2011-09-03,+129%
2011-09-04 - 2011-09-10,+118%
2011-09-11 - 2011-09-17,+118%
2011-09-18 - 2011-09-24,+137%
2011-09-25 - 2011-10-01,+118%
2011-10-02 - 2011-10-08,+103%
2011-10-09 - 2011-10-15,+97%
2011-10-16 - 2011-10-22,+111%
2011-10-23 - 2011-10-29,+124%
2011-10-30 - 2011-11-05,+111%
2011-11-06 - 2011-11-12,+89%
2011-11-13 - 2011-11-19,+103%
2011-11-20 - 2011-11-26,+108%
2011-11-27 - 2011-12-03,+124%
2011-12-04 - 2011-12-10,+89%
2011-12-11 - 2011-12-17,+100%
2011-12-18 - 2011-12-24,+95%
2011-12-25 - 2011-12-31,+95%
2012-01-01 - 2012-01-07,+97%
2012-01-08 - 2012-01-14,+87%
2012-01-15 - 2012-01-21,+92%
2012-01-22 - 2012-01-28,+92%
2012-01-29 - 2012-02-04,+89%
2012-02-05 - 2012-02-11,+97%
2012-02-12 - 2012-02-18,+84%
2012-02-19 - 2012-02-25,+84%
2012-02-26 - 2012-03-03,+100%
2012-03-04 - 2012-03-10,+108%
2012-03-11 - 2012-03-17,+137%
2012-03-18 - 2012-03-24,+111%
2012-03-25 - 2012-03-31,+108%
2012-04-01 - 2012-04-07,+142%
2012-04-08 - 2012-04-14,+126%
2012-04-15 - 2012-04-21,+95%
2012-04-22 - 2012-04-28,+103%
2012-04-29 - 2012-05-05,+116%
2012-05-06 - 2012-05-12,+111%
2012-05-13 - 2012-05-19,+97%
2012-05-20 - 2012-05-26,+84%
2012-05-27 - 2012-06-02,+76%
2012-06-03 - 2012-06-09,+92%
2012-06-10 - 2012-06-16,+92%
2012-06-17 - 2012-06-23,+97%
2012-06-24 - 2012-06-30,+92%
2012-07-01 - 2012-07-07,+116%
2012-07-08 - 2012-07-14,+139%
2012-07-15 - 2012-07-21,+134%
2012-07-22 - 2012-07-28,+108%
2012-07-29 - 2012-08-04,+121%
2012-08-05 - 2012-08-11,+116%
2012-08-12 - 2012-08-18,+111%
2012-08-19 - 2012-08-25,+139%
2012-08-26 - 2012-09-01,+126%
2012-09-02 - 2012-09-08,+103%
2012-09-09 - 2012-09-15,+100%
2012-09-16 - 2012-09-22,+105%
2012-09-23 - 2012-09-29,+111%
2012-09-30 - 2012-10-06,+105%
2012-10-07 - 2012-10-13,+129%
2012-10-14 - 2012-10-20,+129%
2012-10-21 - 2012-10-27,+116%
2012-10-28 - 2012-11-03,+87%
2012-11-04 - 2012-11-10,+89%
2012-11-11 - 2012-11-17,+95%
2012-11-18 - 2012-11-24,+118%
2012-11-25 - 2012-12-01, 



Top searches
單車,100
bike,75
廣州,55
廣東,40
bicycle,40
dahon,30
東莞,25
bikes,20
cycling,20
giant,20
bnp,15
shimano,15
廣東省,15
散,10
tour de france,10
trek,10
自行車,10
mtb,10
cannondale,10
散熱,10



Rising searches
dahon,Breakout
giant,Breakout
shimano,Breakout
散,Breakout
單車,+600%
bike,+190%
東莞,+170%
bikes,+140%
bicycle,+110%
bnp,+110%



