Web Search Interest
Spain; 2004 - present

Interest over time
Week,Property Inspections & Appraisals
2008-02-24 - 2008-03-01,+178%
2008-03-02 - 2008-03-08,+191%
2008-03-09 - 2008-03-15,+187%
2008-03-16 - 2008-03-22,+109%
2008-03-23 - 2008-03-29,+174%
2008-03-30 - 2008-04-05,+204%
2008-04-06 - 2008-04-12,+213%
2008-04-13 - 2008-04-19,+213%
2008-04-20 - 2008-04-26,+235%
2008-04-27 - 2008-05-03,+174%
2008-05-04 - 2008-05-10,+248%
2008-05-11 - 2008-05-17,+235%
2008-05-18 - 2008-05-24,+243%
2008-05-25 - 2008-05-31,+230%
2008-06-01 - 2008-06-07,+230%
2008-06-08 - 2008-06-14,+222%
2008-06-15 - 2008-06-21,+222%
2008-06-22 - 2008-06-28,+200%
2008-06-29 - 2008-07-05,+157%
2008-07-06 - 2008-07-12,+152%
2008-07-13 - 2008-07-19,+130%
2008-07-20 - 2008-07-26,+152%
2008-07-27 - 2008-08-02,+130%
2008-08-03 - 2008-08-09,+100%
2008-08-10 - 2008-08-16,+83%
2008-08-17 - 2008-08-23,+83%
2008-08-24 - 2008-08-30,+87%
2008-08-31 - 2008-09-06,+126%
2008-09-07 - 2008-09-13,+117%
2008-09-14 - 2008-09-20,+148%
2008-09-21 - 2008-09-27,+148%
2008-09-28 - 2008-10-04,+148%
2008-10-05 - 2008-10-11,+148%
2008-10-12 - 2008-10-18,+126%
2008-10-19 - 2008-10-25,+152%
2008-10-26 - 2008-11-01,+152%
2008-11-02 - 2008-11-08,+152%
2008-11-09 - 2008-11-15,+157%
2008-11-16 - 2008-11-22,+157%
2008-11-23 - 2008-11-29,+148%
2008-11-30 - 2008-12-06,+130%
2008-12-07 - 2008-12-13,+113%
2008-12-14 - 2008-12-20,+122%
2008-12-21 - 2008-12-27,+39%
2008-12-28 - 2009-01-03,+35%
2009-01-04 - 2009-01-10,+52%
2009-01-11 - 2009-01-17,+126%
2009-01-18 - 2009-01-24,+130%
2009-01-25 - 2009-01-31,+122%
2009-02-01 - 2009-02-07,+126%
2009-02-08 - 2009-02-14,+130%
2009-02-15 - 2009-02-21,+161%
2009-02-22 - 2009-02-28,+143%
2009-03-01 - 2009-03-07,+148%
2009-03-08 - 2009-03-14,+143%
2009-03-15 - 2009-03-21,+135%
2009-03-22 - 2009-03-28,+148%
2009-03-29 - 2009-04-04,+161%
2009-04-05 - 2009-04-11,+117%
2009-04-12 - 2009-04-18,+191%
2009-04-19 - 2009-04-25,+204%
2009-04-26 - 2009-05-02,+170%
2009-05-03 - 2009-05-09,+213%
2009-05-10 - 2009-05-16,+213%
2009-05-17 - 2009-05-23,+209%
2009-05-24 - 2009-05-30,+204%
2009-05-31 - 2009-06-06,+196%
2009-06-07 - 2009-06-13,+187%
2009-06-14 - 2009-06-20,+191%
2009-06-21 - 2009-06-27,+191%
2009-06-28 - 2009-07-04,+143%
2009-07-05 - 2009-07-11,+135%
2009-07-12 - 2009-07-18,+139%
2009-07-19 - 2009-07-25,+139%
2009-07-26 - 2009-08-01,+122%
2009-08-02 - 2009-08-08,+91%
2009-08-09 - 2009-08-15,+100%
2009-08-16 - 2009-08-22,+87%
2009-08-23 - 2009-08-29,+87%
2009-08-30 - 2009-09-05,+109%
2009-09-06 - 2009-09-12,+117%
2009-09-13 - 2009-09-19,+139%
2009-09-20 - 2009-09-26,+143%
2009-09-27 - 2009-10-03,+139%
2009-10-04 - 2009-10-10,+139%
2009-10-11 - 2009-10-17,+135%
2009-10-18 - 2009-10-24,+165%
2009-10-25 - 2009-10-31,+161%
2009-11-01 - 2009-11-07,+152%
2009-11-08 - 2009-11-14,+152%
2009-11-15 - 2009-11-21,+161%
2009-11-22 - 2009-11-28,+157%
2009-11-29 - 2009-12-05,+135%
2009-12-06 - 2009-12-12,+96%
2009-12-13 - 2009-12-19,+113%
2009-12-20 - 2009-12-26,+52%
2009-12-27 - 2010-01-02,+43%
2010-01-03 - 2010-01-09,+57%
2010-01-10 - 2010-01-16,+117%
2010-01-17 - 2010-01-23,+143%
2010-01-24 - 2010-01-30,+161%
2010-01-31 - 2010-02-06,+135%
2010-02-07 - 2010-02-13,+135%
2010-02-14 - 2010-02-20,+139%
2010-02-21 - 2010-02-27,+148%
2010-02-28 - 2010-03-06,+135%
2010-03-07 - 2010-03-13,+143%
2010-03-14 - 2010-03-20,+139%
2010-03-21 - 2010-03-27,+165%
2010-03-28 - 2010-04-03,+109%
2010-04-04 - 2010-04-10,+204%
2010-04-11 - 2010-04-17,+243%
2010-04-18 - 2010-04-24,+248%
2010-04-25 - 2010-05-01,+235%
2010-05-02 - 2010-05-08,+239%
2010-05-09 - 2010-05-15,+217%
2010-05-16 - 2010-05-22,+209%
2010-05-23 - 2010-05-29,+191%
2010-05-30 - 2010-06-05,+183%
2010-06-06 - 2010-06-12,+200%
2010-06-13 - 2010-06-19,+187%
2010-06-20 - 2010-06-26,+183%
2010-06-27 - 2010-07-03,+157%
2010-07-04 - 2010-07-10,+113%
2010-07-11 - 2010-07-17,+104%
2010-07-18 - 2010-07-24,+96%
2010-07-25 - 2010-07-31,+87%
2010-08-01 - 2010-08-07,+57%
2010-08-08 - 2010-08-14,+43%
2010-08-15 - 2010-08-21,+43%
2010-08-22 - 2010-08-28,+52%
2010-08-29 - 2010-09-04,+65%
2010-09-05 - 2010-09-11,+87%
2010-09-12 - 2010-09-18,+91%
2010-09-19 - 2010-09-25,+104%
2010-09-26 - 2010-10-02,+87%
2010-10-03 - 2010-10-09,+100%
2010-10-10 - 2010-10-16,+87%
2010-10-17 - 2010-10-23,+130%
2010-10-24 - 2010-10-30,+122%
2010-10-31 - 2010-11-06,+91%
2010-11-07 - 2010-11-13,+117%
2010-11-14 - 2010-11-20,+117%
2010-11-21 - 2010-11-27,+96%
2010-11-28 - 2010-12-04,+87%
2010-12-05 - 2010-12-11,+30%
2010-12-12 - 2010-12-18,+78%
2010-12-19 - 2010-12-25,+48%
2010-12-26 - 2011-01-01,+48%
2011-01-02 - 2011-01-08,+48%
2011-01-09 - 2011-01-15,+117%
2011-01-16 - 2011-01-22,+126%
2011-01-23 - 2011-01-29,+122%
2011-01-30 - 2011-02-05,+117%
2011-02-06 - 2011-02-12,+130%
2011-02-13 - 2011-02-19,+126%
2011-02-20 - 2011-02-26,+122%
2011-02-27 - 2011-03-05,+113%
2011-03-06 - 2011-03-12,+113%
2011-03-13 - 2011-03-19,+130%
2011-03-20 - 2011-03-26,+126%
2011-03-27 - 2011-04-02,+135%
2011-04-03 - 2011-04-09,+148%
2011-04-10 - 2011-04-16,+139%
2011-04-17 - 2011-04-23,+70%
2011-04-24 - 2011-04-30,+117%
2011-05-01 - 2011-05-07,+126%
2011-05-08 - 2011-05-14,+161%
2011-05-15 - 2011-05-21,+157%
2011-05-22 - 2011-05-28,+152%
2011-05-29 - 2011-06-04,+152%
2011-06-05 - 2011-06-11,+148%
2011-06-12 - 2011-06-18,+157%
2011-06-19 - 2011-06-25,+139%
2011-06-26 - 2011-07-02,+143%
2011-07-03 - 2011-07-09,+113%
2011-07-10 - 2011-07-16,+117%
2011-07-17 - 2011-07-23,+109%
2011-07-24 - 2011-07-30,+91%
2011-07-31 - 2011-08-06,+78%
2011-08-07 - 2011-08-13,+61%
2011-08-14 - 2011-08-20,+39%
2011-08-21 - 2011-08-27,+65%
2011-08-28 - 2011-09-03,+70%
2011-09-04 - 2011-09-10,+96%
2011-09-11 - 2011-09-17,+117%
2011-09-18 - 2011-09-24,+130%
2011-09-25 - 2011-10-01,+126%
2011-10-02 - 2011-10-08,+126%
2011-10-09 - 2011-10-15,+100%
2011-10-16 - 2011-10-22,+130%
2011-10-23 - 2011-10-29,+113%
2011-10-30 - 2011-11-05,+87%
2011-11-06 - 2011-11-12,+122%
2011-11-13 - 2011-11-19,+122%
2011-11-20 - 2011-11-26,+117%
2011-11-27 - 2011-12-03,+104%
2011-12-04 - 2011-12-10,+39%
2011-12-11 - 2011-12-17,+91%
2011-12-18 - 2011-12-24,+83%
2011-12-25 - 2011-12-31,+57%
2012-01-01 - 2012-01-07,+39%
2012-01-08 - 2012-01-14,+100%
2012-01-15 - 2012-01-21,+104%
2012-01-22 - 2012-01-28,+100%
2012-01-29 - 2012-02-04,+109%
2012-02-05 - 2012-02-11,+104%
2012-02-12 - 2012-02-18,+122%
2012-02-19 - 2012-02-25,+135%
2012-02-26 - 2012-03-03,+122%
2012-03-04 - 2012-03-10,+135%
2012-03-11 - 2012-03-17,+148%
2012-03-18 - 2012-03-24,+117%
2012-03-25 - 2012-03-31,+122%
2012-04-01 - 2012-04-07,+57%
2012-04-08 - 2012-04-14,+152%
2012-04-15 - 2012-04-21,+157%
2012-04-22 - 2012-04-28,+130%
2012-04-29 - 2012-05-05,+109%
2012-05-06 - 2012-05-12,+157%
2012-05-13 - 2012-05-19,+148%
2012-05-20 - 2012-05-26,+152%
2012-05-27 - 2012-06-02,+139%
2012-06-03 - 2012-06-09,+135%
2012-06-10 - 2012-06-16,+135%
2012-06-17 - 2012-06-23,+143%
2012-06-24 - 2012-06-30,+143%
2012-07-01 - 2012-07-07,+113%
2012-07-08 - 2012-07-14,+100%
2012-07-15 - 2012-07-21,+96%
2012-07-22 - 2012-07-28,+87%
2012-07-29 - 2012-08-04,+65%
2012-08-05 - 2012-08-11,+48%
2012-08-12 - 2012-08-18,+26%
2012-08-19 - 2012-08-25,+48%
2012-08-26 - 2012-09-01,+65%
2012-09-02 - 2012-09-08,+100%
2012-09-09 - 2012-09-15,+104%
2012-09-16 - 2012-09-22,+113%
2012-09-23 - 2012-09-29,+96%
2012-09-30 - 2012-10-06,+104%
2012-10-07 - 2012-10-13,+87%
2012-10-14 - 2012-10-20,+104%
2012-10-21 - 2012-10-27,+109%
2012-10-28 - 2012-11-03,+74%
2012-11-04 - 2012-11-10,+109%
2012-11-11 - 2012-11-17,+104%
2012-11-18 - 2012-11-24,+96%
2012-11-25 - 2012-12-01, 



Top searches
catastro,100
oficina,35
virtual catastro,35
oficina virtual,35
oficina catastro,20
oficina virtual catastro,20
oficina del catastro,15
juzgado,10
catastral,10
referencia catastral,5
juzgados,5
oficina de catastro,5
sae virtual,0
valor catastral,0
sede catastro,0
oficina virtual sae,0
aeat.es oficina virtual,0
ley hipotecaria,0
expropiacion,0
leiva,0



Rising searches
sae virtual,Breakout
sede catastro,Breakout
oficina virtual,+700%
virtual catastro,+550%
oficina,+450%
referencia catastral,+450%
oficina del catastro,+400%
oficina virtual catastro,+400%
oficina catastro,+350%
catastro,+120%



