Web Search Interest
France; 2004 - present

Interest over time
Week,Shopping Portals & Search Engines
2005-08-14 - 2005-08-20,+61%
2005-08-21 - 2005-08-27,+91%
2005-08-28 - 2005-09-03,+67%
2005-09-04 - 2005-09-10,+70%
2005-09-11 - 2005-09-17,+79%
2005-09-18 - 2005-09-24,+73%
2005-09-25 - 2005-10-01,+70%
2005-10-02 - 2005-10-08,+73%
2005-10-09 - 2005-10-15,+91%
2005-10-16 - 2005-10-22,+88%
2005-10-23 - 2005-10-29,+94%
2005-10-30 - 2005-11-05,+103%
2005-11-06 - 2005-11-12,+112%
2005-11-13 - 2005-11-19,+118%
2005-11-20 - 2005-11-26,+97%
2005-11-27 - 2005-12-03,+115%
2005-12-04 - 2005-12-10,+124%
2005-12-11 - 2005-12-17,+121%
2005-12-18 - 2005-12-24,+133%
2005-12-25 - 2005-12-31,+124%
2006-01-01 - 2006-01-07,+121%
2006-01-08 - 2006-01-14,+124%
2006-01-15 - 2006-01-21,+127%
2006-01-22 - 2006-01-28,+124%
2006-01-29 - 2006-02-04,+115%
2006-02-05 - 2006-02-11,+118%
2006-02-12 - 2006-02-18,+124%
2006-02-19 - 2006-02-25,+152%
2006-02-26 - 2006-03-04,+121%
2006-03-05 - 2006-03-11,+142%
2006-03-12 - 2006-03-18,+118%
2006-03-19 - 2006-03-25,+136%
2006-03-26 - 2006-04-01,+136%
2006-04-02 - 2006-04-08,+142%
2006-04-09 - 2006-04-15,+142%
2006-04-16 - 2006-04-22,+152%
2006-04-23 - 2006-04-29,+142%
2006-04-30 - 2006-05-06,+133%
2006-05-07 - 2006-05-13,+148%
2006-05-14 - 2006-05-20,+142%
2006-05-21 - 2006-05-27,+139%
2006-05-28 - 2006-06-03,+130%
2006-06-04 - 2006-06-10,+133%
2006-06-11 - 2006-06-17,+115%
2006-06-18 - 2006-06-24,+118%
2006-06-25 - 2006-07-01,+121%
2006-07-02 - 2006-07-08,+112%
2006-07-09 - 2006-07-15,+109%
2006-07-16 - 2006-07-22,+112%
2006-07-23 - 2006-07-29,+112%
2006-07-30 - 2006-08-05,+139%
2006-08-06 - 2006-08-12,+145%
2006-08-13 - 2006-08-19,+197%
2006-08-20 - 2006-08-26,+161%
2006-08-27 - 2006-09-02,+164%
2006-09-03 - 2006-09-09,+155%
2006-09-10 - 2006-09-16,+158%
2006-09-17 - 2006-09-23,+164%
2006-09-24 - 2006-09-30,+167%
2006-10-01 - 2006-10-07,+155%
2006-10-08 - 2006-10-14,+152%
2006-10-15 - 2006-10-21,+173%
2006-10-22 - 2006-10-28,+158%
2006-10-29 - 2006-11-04,+179%
2006-11-05 - 2006-11-11,+170%
2006-11-12 - 2006-11-18,+170%
2006-11-19 - 2006-11-25,+182%
2006-11-26 - 2006-12-02,+182%
2006-12-03 - 2006-12-09,+194%
2006-12-10 - 2006-12-16,+200%
2006-12-17 - 2006-12-23,+173%
2006-12-24 - 2006-12-30,+203%
2006-12-31 - 2007-01-06,+188%
2007-01-07 - 2007-01-13,+194%
2007-01-14 - 2007-01-20,+188%
2007-01-21 - 2007-01-27,+182%
2007-01-28 - 2007-02-03,+176%
2007-02-04 - 2007-02-10,+161%
2007-02-11 - 2007-02-17,+164%
2007-02-18 - 2007-02-24,+152%
2007-02-25 - 2007-03-03,+164%
2007-03-04 - 2007-03-10,+173%
2007-03-11 - 2007-03-17,+158%
2007-03-18 - 2007-03-24,+142%
2007-03-25 - 2007-03-31,+161%
2007-04-01 - 2007-04-07,+148%
2007-04-08 - 2007-04-14,+161%
2007-04-15 - 2007-04-21,+167%
2007-04-22 - 2007-04-28,+148%
2007-04-29 - 2007-05-05,+155%
2007-05-06 - 2007-05-12,+148%
2007-05-13 - 2007-05-19,+155%
2007-05-20 - 2007-05-26,+155%
2007-05-27 - 2007-06-02,+155%
2007-06-03 - 2007-06-09,+155%
2007-06-10 - 2007-06-16,+148%
2007-06-17 - 2007-06-23,+152%
2007-06-24 - 2007-06-30,+145%
2007-07-01 - 2007-07-07,+152%
2007-07-08 - 2007-07-14,+145%
2007-07-15 - 2007-07-21,+139%
2007-07-22 - 2007-07-28,+139%
2007-07-29 - 2007-08-04,+152%
2007-08-05 - 2007-08-11,+139%
2007-08-12 - 2007-08-18,+139%
2007-08-19 - 2007-08-25,+152%
2007-08-26 - 2007-09-01,+136%
2007-09-02 - 2007-09-08,+121%
2007-09-09 - 2007-09-15,+145%
2007-09-16 - 2007-09-22,+130%
2007-09-23 - 2007-09-29,+139%
2007-09-30 - 2007-10-06,+133%
2007-10-07 - 2007-10-13,+145%
2007-10-14 - 2007-10-20,+136%
2007-10-21 - 2007-10-27,+124%
2007-10-28 - 2007-11-03,+155%
2007-11-04 - 2007-11-10,+145%
2007-11-11 - 2007-11-17,+164%
2007-11-18 - 2007-11-24,+173%
2007-11-25 - 2007-12-01,+182%
2007-12-02 - 2007-12-08,+191%
2007-12-09 - 2007-12-15,+191%
2007-12-16 - 2007-12-22,+161%
2007-12-23 - 2007-12-29,+185%
2007-12-30 - 2008-01-05,+164%
2008-01-06 - 2008-01-12,+164%
2008-01-13 - 2008-01-19,+167%
2008-01-20 - 2008-01-26,+161%
2008-01-27 - 2008-02-02,+142%
2008-02-03 - 2008-02-09,+148%
2008-02-10 - 2008-02-16,+139%
2008-02-17 - 2008-02-23,+158%
2008-02-24 - 2008-03-01,+142%
2008-03-02 - 2008-03-08,+139%
2008-03-09 - 2008-03-15,+136%
2008-03-16 - 2008-03-22,+142%
2008-03-23 - 2008-03-29,+148%
2008-03-30 - 2008-04-05,+142%
2008-04-06 - 2008-04-12,+148%
2008-04-13 - 2008-04-19,+142%
2008-04-20 - 2008-04-26,+139%
2008-04-27 - 2008-05-03,+136%
2008-05-04 - 2008-05-10,+136%
2008-05-11 - 2008-05-17,+127%
2008-05-18 - 2008-05-24,+130%
2008-05-25 - 2008-05-31,+118%
2008-06-01 - 2008-06-07,+127%
2008-06-08 - 2008-06-14,+118%
2008-06-15 - 2008-06-21,+115%
2008-06-22 - 2008-06-28,+109%
2008-06-29 - 2008-07-05,+100%
2008-07-06 - 2008-07-12,+97%
2008-07-13 - 2008-07-19,+97%
2008-07-20 - 2008-07-26,+91%
2008-07-27 - 2008-08-02,+79%
2008-08-03 - 2008-08-09,+91%
2008-08-10 - 2008-08-16,+85%
2008-08-17 - 2008-08-23,+106%
2008-08-24 - 2008-08-30,+82%
2008-08-31 - 2008-09-06,+64%
2008-09-07 - 2008-09-13,+70%
2008-09-14 - 2008-09-20,+64%
2008-09-21 - 2008-09-27,+67%
2008-09-28 - 2008-10-04,+64%
2008-10-05 - 2008-10-11,+58%
2008-10-12 - 2008-10-18,+64%
2008-10-19 - 2008-10-25,+70%
2008-10-26 - 2008-11-01,+64%
2008-11-02 - 2008-11-08,+70%
2008-11-09 - 2008-11-15,+82%
2008-11-16 - 2008-11-22,+82%
2008-11-23 - 2008-11-29,+82%
2008-11-30 - 2008-12-06,+82%
2008-12-07 - 2008-12-13,+79%
2008-12-14 - 2008-12-20,+70%
2008-12-21 - 2008-12-27,+67%
2008-12-28 - 2009-01-03,+58%
2009-01-04 - 2009-01-10,+61%
2009-01-11 - 2009-01-17,+55%
2009-01-18 - 2009-01-24,+48%
2009-01-25 - 2009-01-31,+48%
2009-02-01 - 2009-02-07,+45%
2009-02-08 - 2009-02-14,+52%
2009-02-15 - 2009-02-21,+55%
2009-02-22 - 2009-02-28,+48%
2009-03-01 - 2009-03-07,+42%
2009-03-08 - 2009-03-14,+39%
2009-03-15 - 2009-03-21,+42%
2009-03-22 - 2009-03-28,+52%
2009-03-29 - 2009-04-04,+45%
2009-04-05 - 2009-04-11,+33%
2009-04-12 - 2009-04-18,+36%
2009-04-19 - 2009-04-25,+36%
2009-04-26 - 2009-05-02,+30%
2009-05-03 - 2009-05-09,+30%
2009-05-10 - 2009-05-16,+36%
2009-05-17 - 2009-05-23,+24%
2009-05-24 - 2009-05-30,+24%
2009-05-31 - 2009-06-06,+21%
2009-06-07 - 2009-06-13,+21%
2009-06-14 - 2009-06-20,+21%
2009-06-21 - 2009-06-27,+12%
2009-06-28 - 2009-07-04,+9%
2009-07-05 - 2009-07-11,+12%
2009-07-12 - 2009-07-18,+12%
2009-07-19 - 2009-07-25,+9%
2009-07-26 - 2009-08-01,+12%
2009-08-02 - 2009-08-08,+18%
2009-08-09 - 2009-08-15,+15%
2009-08-16 - 2009-08-22,+9%
2009-08-23 - 2009-08-29,+15%
2009-08-30 - 2009-09-05,+12%
2009-09-06 - 2009-09-12,+18%
2009-09-13 - 2009-09-19,+15%
2009-09-20 - 2009-09-26,+12%
2009-09-27 - 2009-10-03,+0%
2009-10-04 - 2009-10-10,+6%
2009-10-11 - 2009-10-17,+15%
2009-10-18 - 2009-10-24,+9%
2009-10-25 - 2009-10-31,+12%
2009-11-01 - 2009-11-07,+6%
2009-11-08 - 2009-11-14,+12%
2009-11-15 - 2009-11-21,+9%
2009-11-22 - 2009-11-28,+15%
2009-11-29 - 2009-12-05,+21%
2009-12-06 - 2009-12-12,+27%
2009-12-13 - 2009-12-19,+18%
2009-12-20 - 2009-12-26,+6%
2009-12-27 - 2010-01-02,+9%
2010-01-03 - 2010-01-09,-3%
2010-01-10 - 2010-01-16,+3%
2010-01-17 - 2010-01-23,+0%
2010-01-24 - 2010-01-30,+0%
2010-01-31 - 2010-02-06,-9%
2010-02-07 - 2010-02-13,-9%
2010-02-14 - 2010-02-20,-6%
2010-02-21 - 2010-02-27,-9%
2010-02-28 - 2010-03-06,-12%
2010-03-07 - 2010-03-13,-15%
2010-03-14 - 2010-03-20,-18%
2010-03-21 - 2010-03-27,-12%
2010-03-28 - 2010-04-03,-12%
2010-04-04 - 2010-04-10,-12%
2010-04-11 - 2010-04-17,-21%
2010-04-18 - 2010-04-24,-18%
2010-04-25 - 2010-05-01,-15%
2010-05-02 - 2010-05-08,-12%
2010-05-09 - 2010-05-15,-9%
2010-05-16 - 2010-05-22,-18%
2010-05-23 - 2010-05-29,-12%
2010-05-30 - 2010-06-05,-15%
2010-06-06 - 2010-06-12,-15%
2010-06-13 - 2010-06-19,-21%
2010-06-20 - 2010-06-26,-24%
2010-06-27 - 2010-07-03,-27%
2010-07-04 - 2010-07-10,-24%
2010-07-11 - 2010-07-17,-9%
2010-07-18 - 2010-07-24,-21%
2010-07-25 - 2010-07-31,-18%
2010-08-01 - 2010-08-07,-18%
2010-08-08 - 2010-08-14,-15%
2010-08-15 - 2010-08-21,-21%
2010-08-22 - 2010-08-28,-30%
2010-08-29 - 2010-09-04,-18%
2010-09-05 - 2010-09-11,-21%
2010-09-12 - 2010-09-18,-21%
2010-09-19 - 2010-09-25,-18%
2010-09-26 - 2010-10-02,-21%
2010-10-03 - 2010-10-09,-15%
2010-10-10 - 2010-10-16,-12%
2010-10-17 - 2010-10-23,-18%
2010-10-24 - 2010-10-30,-9%
2010-10-31 - 2010-11-06,-9%
2010-11-07 - 2010-11-13,-3%
2010-11-14 - 2010-11-20,-15%
2010-11-21 - 2010-11-27,-6%
2010-11-28 - 2010-12-04,-15%
2010-12-05 - 2010-12-11,-3%
2010-12-12 - 2010-12-18,-6%
2010-12-19 - 2010-12-25,-15%
2010-12-26 - 2011-01-01,-12%
2011-01-02 - 2011-01-08,-18%
2011-01-09 - 2011-01-15,-15%
2011-01-16 - 2011-01-22,-21%
2011-01-23 - 2011-01-29,-18%
2011-01-30 - 2011-02-05,-24%
2011-02-06 - 2011-02-12,-21%
2011-02-13 - 2011-02-19,-21%
2011-02-20 - 2011-02-26,-9%
2011-02-27 - 2011-03-05,-18%
2011-03-06 - 2011-03-12,-21%
2011-03-13 - 2011-03-19,-24%
2011-03-20 - 2011-03-26,-18%
2011-03-27 - 2011-04-02,-21%
2011-04-03 - 2011-04-09,-21%
2011-04-10 - 2011-04-16,-24%
2011-04-17 - 2011-04-23,-21%
2011-04-24 - 2011-04-30,-18%
2011-05-01 - 2011-05-07,-18%
2011-05-08 - 2011-05-14,-18%
2011-05-15 - 2011-05-21,-15%
2011-05-22 - 2011-05-28,-18%
2011-05-29 - 2011-06-04,-21%
2011-06-05 - 2011-06-11,-18%
2011-06-12 - 2011-06-18,-15%
2011-06-19 - 2011-06-25,-15%
2011-06-26 - 2011-07-02,-21%
2011-07-03 - 2011-07-09,-18%
2011-07-10 - 2011-07-16,-15%
2011-07-17 - 2011-07-23,-15%
2011-07-24 - 2011-07-30,-15%
2011-07-31 - 2011-08-06,-18%
2011-08-07 - 2011-08-13,-15%
2011-08-14 - 2011-08-20,-15%
2011-08-21 - 2011-08-27,-21%
2011-08-28 - 2011-09-03,-21%
2011-09-04 - 2011-09-10,-15%
2011-09-11 - 2011-09-17,-18%
2011-09-18 - 2011-09-24,-15%
2011-09-25 - 2011-10-01,-15%
2011-10-02 - 2011-10-08,-12%
2011-10-09 - 2011-10-15,-9%
2011-10-16 - 2011-10-22,-9%
2011-10-23 - 2011-10-29,+0%
2011-10-30 - 2011-11-05,+0%
2011-11-06 - 2011-11-12,-3%
2011-11-13 - 2011-11-19,+0%
2011-11-20 - 2011-11-26,+3%
2011-11-27 - 2011-12-03,+6%
2011-12-04 - 2011-12-10,+12%
2011-12-11 - 2011-12-17,+6%
2011-12-18 - 2011-12-24,-6%
2011-12-25 - 2011-12-31,+3%
2012-01-01 - 2012-01-07,-12%
2012-01-08 - 2012-01-14,-9%
2012-01-15 - 2012-01-21,-15%
2012-01-22 - 2012-01-28,-15%
2012-01-29 - 2012-02-04,-18%
2012-02-05 - 2012-02-11,-9%
2012-02-12 - 2012-02-18,-15%
2012-02-19 - 2012-02-25,-15%
2012-02-26 - 2012-03-03,-15%
2012-03-04 - 2012-03-10,-18%
2012-03-11 - 2012-03-17,-15%
2012-03-18 - 2012-03-24,-15%
2012-03-25 - 2012-03-31,-18%
2012-04-01 - 2012-04-07,-15%
2012-04-08 - 2012-04-14,-18%
2012-04-15 - 2012-04-21,-15%
2012-04-22 - 2012-04-28,-21%
2012-04-29 - 2012-05-05,-21%
2012-05-06 - 2012-05-12,-18%
2012-05-13 - 2012-05-19,-18%
2012-05-20 - 2012-05-26,-21%
2012-05-27 - 2012-06-02,-24%
2012-06-03 - 2012-06-09,-21%
2012-06-10 - 2012-06-16,-18%
2012-06-17 - 2012-06-23,-21%
2012-06-24 - 2012-06-30,-12%
2012-07-01 - 2012-07-07,-21%
2012-07-08 - 2012-07-14,-21%
2012-07-15 - 2012-07-21,-21%
2012-07-22 - 2012-07-28,-21%
2012-07-29 - 2012-08-04,-21%
2012-08-05 - 2012-08-11,-24%
2012-08-12 - 2012-08-18,-21%
2012-08-19 - 2012-08-25,-21%
2012-08-26 - 2012-09-01,-18%
2012-09-02 - 2012-09-08,-18%
2012-09-09 - 2012-09-15,-15%
2012-09-16 - 2012-09-22,-21%
2012-09-23 - 2012-09-29,-18%
2012-09-30 - 2012-10-06,-21%
2012-10-07 - 2012-10-13,-21%
2012-10-14 - 2012-10-20,-24%
2012-10-21 - 2012-10-27,-27%
2012-10-28 - 2012-11-03,-18%
2012-11-04 - 2012-11-10,-18%
2012-11-11 - 2012-11-17,-18%
2012-11-18 - 2012-11-24,-15%
2012-11-25 - 2012-12-01, 



Top searches
bay,100
e bay,100
e-bay,20
mister,20
mister auto,5
achetez facile,5
gooddeal,5
mister v,0
goodeal,0
kx,0
mister gooddeal,0
scholar,0
scholar google,0
mister goodeal,0
facil,0
e bay france,0
lyoness,0
acheter facile,0
淘宝,0
taobao,0



Rising searches
achetez facile,Breakout
facil,Breakout
lyoness,Breakout
mister auto,Breakout
mister v,Breakout
scholar,+120%
acheter facile,+100%
bay,+80%
e bay,+80%
mister,+80%



