Web Search Interest
France; 2004 - present

Interest over time
Week,Auctions
2009-11-01 - 2009-11-07,+163%
2009-11-08 - 2009-11-14,+175%
2009-11-15 - 2009-11-21,+150%
2009-11-22 - 2009-11-28,+156%
2009-11-29 - 2009-12-05,+150%
2009-12-06 - 2009-12-12,+144%
2009-12-13 - 2009-12-19,+138%
2009-12-20 - 2009-12-26,+131%
2009-12-27 - 2010-01-02,+144%
2010-01-03 - 2010-01-09,+100%
2010-01-10 - 2010-01-16,+100%
2010-01-17 - 2010-01-23,+100%
2010-01-24 - 2010-01-30,+100%
2010-01-31 - 2010-02-06,+94%
2010-02-07 - 2010-02-13,+94%
2010-02-14 - 2010-02-20,+94%
2010-02-21 - 2010-02-27,+100%
2010-02-28 - 2010-03-06,+88%
2010-03-07 - 2010-03-13,+88%
2010-03-14 - 2010-03-20,+75%
2010-03-21 - 2010-03-27,+81%
2010-03-28 - 2010-04-03,+81%
2010-04-04 - 2010-04-10,+81%
2010-04-11 - 2010-04-17,+63%
2010-04-18 - 2010-04-24,+56%
2010-04-25 - 2010-05-01,+63%
2010-05-02 - 2010-05-08,+63%
2010-05-09 - 2010-05-15,+81%
2010-05-16 - 2010-05-22,+75%
2010-05-23 - 2010-05-29,+63%
2010-05-30 - 2010-06-05,+69%
2010-06-06 - 2010-06-12,+63%
2010-06-13 - 2010-06-19,+63%
2010-06-20 - 2010-06-26,+50%
2010-06-27 - 2010-07-03,+44%
2010-07-04 - 2010-07-10,+50%
2010-07-11 - 2010-07-17,+56%
2010-07-18 - 2010-07-24,+63%
2010-07-25 - 2010-07-31,+63%
2010-08-01 - 2010-08-07,+63%
2010-08-08 - 2010-08-14,+69%
2010-08-15 - 2010-08-21,+69%
2010-08-22 - 2010-08-28,+69%
2010-08-29 - 2010-09-04,+69%
2010-09-05 - 2010-09-11,+69%
2010-09-12 - 2010-09-18,+75%
2010-09-19 - 2010-09-25,+69%
2010-09-26 - 2010-10-02,+69%
2010-10-03 - 2010-10-09,+75%
2010-10-10 - 2010-10-16,+75%
2010-10-17 - 2010-10-23,+69%
2010-10-24 - 2010-10-30,+69%
2010-10-31 - 2010-11-06,+81%
2010-11-07 - 2010-11-13,+81%
2010-11-14 - 2010-11-20,+81%
2010-11-21 - 2010-11-27,+88%
2010-11-28 - 2010-12-04,+81%
2010-12-05 - 2010-12-11,+81%
2010-12-12 - 2010-12-18,+81%
2010-12-19 - 2010-12-25,+75%
2010-12-26 - 2011-01-01,+88%
2011-01-02 - 2011-01-08,+69%
2011-01-09 - 2011-01-15,+69%
2011-01-16 - 2011-01-22,+63%
2011-01-23 - 2011-01-29,+63%
2011-01-30 - 2011-02-05,+56%
2011-02-06 - 2011-02-12,+63%
2011-02-13 - 2011-02-19,+63%
2011-02-20 - 2011-02-26,+63%
2011-02-27 - 2011-03-05,+63%
2011-03-06 - 2011-03-12,+56%
2011-03-13 - 2011-03-19,+56%
2011-03-20 - 2011-03-26,+56%
2011-03-27 - 2011-04-02,+50%
2011-04-03 - 2011-04-09,+50%
2011-04-10 - 2011-04-16,+56%
2011-04-17 - 2011-04-23,+56%
2011-04-24 - 2011-04-30,+56%
2011-05-01 - 2011-05-07,+56%
2011-05-08 - 2011-05-14,+50%
2011-05-15 - 2011-05-21,+50%
2011-05-22 - 2011-05-28,+50%
2011-05-29 - 2011-06-04,+50%
2011-06-05 - 2011-06-11,+50%
2011-06-12 - 2011-06-18,+50%
2011-06-19 - 2011-06-25,+38%
2011-06-26 - 2011-07-02,+31%
2011-07-03 - 2011-07-09,+31%
2011-07-10 - 2011-07-16,+44%
2011-07-17 - 2011-07-23,+44%
2011-07-24 - 2011-07-30,+38%
2011-07-31 - 2011-08-06,+44%
2011-08-07 - 2011-08-13,+44%
2011-08-14 - 2011-08-20,+44%
2011-08-21 - 2011-08-27,+38%
2011-08-28 - 2011-09-03,+44%
2011-09-04 - 2011-09-10,+38%
2011-09-11 - 2011-09-17,+38%
2011-09-18 - 2011-09-24,+44%
2011-09-25 - 2011-10-01,+38%
2011-10-02 - 2011-10-08,+44%
2011-10-09 - 2011-10-15,+44%
2011-10-16 - 2011-10-22,+50%
2011-10-23 - 2011-10-29,+56%
2011-10-30 - 2011-11-05,+63%
2011-11-06 - 2011-11-12,+69%
2011-11-13 - 2011-11-19,+69%
2011-11-20 - 2011-11-26,+69%
2011-11-27 - 2011-12-03,+63%
2011-12-04 - 2011-12-10,+69%
2011-12-11 - 2011-12-17,+69%
2011-12-18 - 2011-12-24,+56%
2011-12-25 - 2011-12-31,+75%
2012-01-01 - 2012-01-07,+56%
2012-01-08 - 2012-01-14,+44%
2012-01-15 - 2012-01-21,+44%
2012-01-22 - 2012-01-28,+44%
2012-01-29 - 2012-02-04,+44%
2012-02-05 - 2012-02-11,+50%
2012-02-12 - 2012-02-18,+44%
2012-02-19 - 2012-02-25,+44%
2012-02-26 - 2012-03-03,+44%
2012-03-04 - 2012-03-10,+44%
2012-03-11 - 2012-03-17,+50%
2012-03-18 - 2012-03-24,+38%
2012-03-25 - 2012-03-31,+31%
2012-04-01 - 2012-04-07,+38%
2012-04-08 - 2012-04-14,+44%
2012-04-15 - 2012-04-21,+38%
2012-04-22 - 2012-04-28,+38%
2012-04-29 - 2012-05-05,+44%
2012-05-06 - 2012-05-12,+31%
2012-05-13 - 2012-05-19,+31%
2012-05-20 - 2012-05-26,+38%
2012-05-27 - 2012-06-02,+31%
2012-06-03 - 2012-06-09,+31%
2012-06-10 - 2012-06-16,+25%
2012-06-17 - 2012-06-23,+25%
2012-06-24 - 2012-06-30,+25%
2012-07-01 - 2012-07-07,+19%
2012-07-08 - 2012-07-14,+25%
2012-07-15 - 2012-07-21,+19%
2012-07-22 - 2012-07-28,+19%
2012-07-29 - 2012-08-04,+19%
2012-08-05 - 2012-08-11,+19%
2012-08-12 - 2012-08-18,+25%
2012-08-19 - 2012-08-25,+19%
2012-08-26 - 2012-09-01,+25%
2012-09-02 - 2012-09-08,+19%
2012-09-09 - 2012-09-15,+25%
2012-09-16 - 2012-09-22,+25%
2012-09-23 - 2012-09-29,+25%
2012-09-30 - 2012-10-06,+31%
2012-10-07 - 2012-10-13,+25%
2012-10-14 - 2012-10-20,+25%
2012-10-21 - 2012-10-27,+25%
2012-10-28 - 2012-11-03,+31%
2012-11-04 - 2012-11-10,+31%
2012-11-11 - 2012-11-17,+31%
2012-11-18 - 2012-11-24,+56%
2012-11-25 - 2012-12-01, 



Top searches
ebay,100
n95,0
encheres,0
nokia n95,0
auction,0
enchere,0
ebay fr,0
ebay.com,0
price minister,0
nouvelles frontieres,0
five auction,0
eaby,0
ibay,0
encheres nouvelles frontieres,0
ebay.de,0
eba,0
2xmoinscher,0
nouvelles frontières,0
bretagne enchere,0
ebay com,0



Rising searches
n95,Breakout
nokia n95,Breakout
price minister,+40%



