Web Search Interest
Germany; 2004 - present

Interest over time
Week,Computer Security
2011-09-04 - 2011-09-10,-71%
2011-09-11 - 2011-09-17,-71%
2011-09-18 - 2011-09-24,-71%
2011-09-25 - 2011-10-01,-71%
2011-10-02 - 2011-10-08,-71%
2011-10-09 - 2011-10-15,-65%
2011-10-16 - 2011-10-22,-67%
2011-10-23 - 2011-10-29,-69%
2011-10-30 - 2011-11-05,-69%
2011-11-06 - 2011-11-12,-67%
2011-11-13 - 2011-11-19,-69%
2011-11-20 - 2011-11-26,-67%
2011-11-27 - 2011-12-03,-69%
2011-12-04 - 2011-12-10,-69%
2011-12-11 - 2011-12-17,-69%
2011-12-18 - 2011-12-24,-67%
2011-12-25 - 2011-12-31,-63%
2012-01-01 - 2012-01-07,-69%
2012-01-08 - 2012-01-14,-63%
2012-01-15 - 2012-01-21,-67%
2012-01-22 - 2012-01-28,-71%
2012-01-29 - 2012-02-04,-69%
2012-02-05 - 2012-02-11,-69%
2012-02-12 - 2012-02-18,-69%
2012-02-19 - 2012-02-25,-69%
2012-02-26 - 2012-03-03,-69%
2012-03-04 - 2012-03-10,-69%
2012-03-11 - 2012-03-17,-69%
2012-03-18 - 2012-03-24,-69%
2012-03-25 - 2012-03-31,-69%
2012-04-01 - 2012-04-07,-69%
2012-04-08 - 2012-04-14,-69%
2012-04-15 - 2012-04-21,-71%
2012-04-22 - 2012-04-28,-73%
2012-04-29 - 2012-05-05,-73%
2012-05-06 - 2012-05-12,-71%
2012-05-13 - 2012-05-19,-73%
2012-05-20 - 2012-05-26,-73%
2012-05-27 - 2012-06-02,-73%
2012-06-03 - 2012-06-09,-71%
2012-06-10 - 2012-06-16,-73%
2012-06-17 - 2012-06-23,-73%
2012-06-24 - 2012-06-30,-71%
2012-07-01 - 2012-07-07,-71%
2012-07-08 - 2012-07-14,-67%
2012-07-15 - 2012-07-21,-69%
2012-07-22 - 2012-07-28,-71%
2012-07-29 - 2012-08-04,-71%
2012-08-05 - 2012-08-11,-73%
2012-08-12 - 2012-08-18,-73%
2012-08-19 - 2012-08-25,-73%
2012-08-26 - 2012-09-01,-73%
2012-09-02 - 2012-09-08,-73%
2012-09-09 - 2012-09-15,-73%
2012-09-16 - 2012-09-22,-71%
2012-09-23 - 2012-09-29,-71%
2012-09-30 - 2012-10-06,-71%
2012-10-07 - 2012-10-13,-71%
2012-10-14 - 2012-10-20,-73%
2012-10-21 - 2012-10-27,-73%
2012-10-28 - 2012-11-03,-71%
2012-11-04 - 2012-11-10,-73%
2012-11-11 - 2012-11-17,-71%
2012-11-18 - 2012-11-24,-69%
2012-11-25 - 2012-12-01, 



Top searches
antivir,100
avira,55
antivirus,45
passwort,45
security,35
kaspersky,35
virus,30
avast,25
firewall,20
spybot,20
premiere,20
serial,20
avg,20
norton,20
avira antivir,15
internet security,15
trojaner,15
chip,10
antivir download,10
spyware,10



Rising searches
avira,Breakout
avira antivir,Breakout
avast,+1,100%
kaspersky,+350%
chip,+300%
avg,+200%
free antivirus,+200%
internet security,+200%
security,+170%
passwort,+80%



