Web Search Interest
Italy; 2004 - present

Interest over time
Week,Social Issues & Advocacy
2006-02-05 - 2006-02-11,-14%
2006-02-12 - 2006-02-18,-15%
2006-02-19 - 2006-02-25,-13%
2006-02-26 - 2006-03-04,-6%
2006-03-05 - 2006-03-11,+22%
2006-03-12 - 2006-03-18,-11%
2006-03-19 - 2006-03-25,-11%
2006-03-26 - 2006-04-01,-6%
2006-04-02 - 2006-04-08,-15%
2006-04-09 - 2006-04-15,-28%
2006-04-16 - 2006-04-22,-25%
2006-04-23 - 2006-04-29,-14%
2006-04-30 - 2006-05-06,-13%
2006-05-07 - 2006-05-13,-14%
2006-05-14 - 2006-05-20,-8%
2006-05-21 - 2006-05-27,-18%
2006-05-28 - 2006-06-03,-24%
2006-06-04 - 2006-06-10,-15%
2006-06-11 - 2006-06-17,-19%
2006-06-18 - 2006-06-24,-22%
2006-06-25 - 2006-07-01,-32%
2006-07-02 - 2006-07-08,-24%
2006-07-09 - 2006-07-15,-32%
2006-07-16 - 2006-07-22,-29%
2006-07-23 - 2006-07-29,-32%
2006-07-30 - 2006-08-05,-35%
2006-08-06 - 2006-08-12,-43%
2006-08-13 - 2006-08-19,-47%
2006-08-20 - 2006-08-26,-43%
2006-08-27 - 2006-09-02,-38%
2006-09-03 - 2006-09-09,-25%
2006-09-10 - 2006-09-16,-23%
2006-09-17 - 2006-09-23,-28%
2006-09-24 - 2006-09-30,-22%
2006-10-01 - 2006-10-07,-18%
2006-10-08 - 2006-10-14,-27%
2006-10-15 - 2006-10-21,-25%
2006-10-22 - 2006-10-28,-20%
2006-10-29 - 2006-11-04,-32%
2006-11-05 - 2006-11-11,-25%
2006-11-12 - 2006-11-18,-9%
2006-11-19 - 2006-11-25,-27%
2006-11-26 - 2006-12-02,-11%
2006-12-03 - 2006-12-09,-25%
2006-12-10 - 2006-12-16,+16%
2006-12-17 - 2006-12-23,-34%
2006-12-24 - 2006-12-30,-48%
2006-12-31 - 2007-01-06,-41%
2007-01-07 - 2007-01-13,-24%
2007-01-14 - 2007-01-20,-24%
2007-01-21 - 2007-01-27,-25%
2007-01-28 - 2007-02-03,-23%
2007-02-04 - 2007-02-10,-11%
2007-02-11 - 2007-02-17,-27%
2007-02-18 - 2007-02-24,-27%
2007-02-25 - 2007-03-03,-24%
2007-03-04 - 2007-03-10,+1%
2007-03-11 - 2007-03-17,-23%
2007-03-18 - 2007-03-24,-23%
2007-03-25 - 2007-03-31,-22%
2007-04-01 - 2007-04-07,-27%
2007-04-08 - 2007-04-14,-15%
2007-04-15 - 2007-04-21,-24%
2007-04-22 - 2007-04-28,-28%
2007-04-29 - 2007-05-05,-24%
2007-05-06 - 2007-05-12,-20%
2007-05-13 - 2007-05-19,-14%
2007-05-20 - 2007-05-26,-22%
2007-05-27 - 2007-06-02,-18%
2007-06-03 - 2007-06-09,-15%
2007-06-10 - 2007-06-16,-27%
2007-06-17 - 2007-06-23,-23%
2007-06-24 - 2007-06-30,-33%
2007-07-01 - 2007-07-07,-33%
2007-07-08 - 2007-07-14,-29%
2007-07-15 - 2007-07-21,-25%
2007-07-22 - 2007-07-28,-37%
2007-07-29 - 2007-08-04,-41%
2007-08-05 - 2007-08-11,-46%
2007-08-12 - 2007-08-18,-53%
2007-08-19 - 2007-08-25,-47%
2007-08-26 - 2007-09-01,-42%
2007-09-02 - 2007-09-08,-39%
2007-09-09 - 2007-09-15,-34%
2007-09-16 - 2007-09-22,-30%
2007-09-23 - 2007-09-29,-29%
2007-09-30 - 2007-10-06,-27%
2007-10-07 - 2007-10-13,-19%
2007-10-14 - 2007-10-20,-28%
2007-10-21 - 2007-10-27,-24%
2007-10-28 - 2007-11-03,-34%
2007-11-04 - 2007-11-10,-3%
2007-11-11 - 2007-11-17,-20%
2007-11-18 - 2007-11-24,-20%
2007-11-25 - 2007-12-01,-1%
2007-12-02 - 2007-12-08,-20%
2007-12-09 - 2007-12-15,+14%
2007-12-16 - 2007-12-22,-29%
2007-12-23 - 2007-12-29,-52%
2007-12-30 - 2008-01-05,-46%
2008-01-06 - 2008-01-12,-25%
2008-01-13 - 2008-01-19,-25%
2008-01-20 - 2008-01-26,-16%
2008-01-27 - 2008-02-02,-30%
2008-02-03 - 2008-02-09,-32%
2008-02-10 - 2008-02-16,-30%
2008-02-17 - 2008-02-23,-32%
2008-02-24 - 2008-03-01,-29%
2008-03-02 - 2008-03-08,-10%
2008-03-09 - 2008-03-15,-25%
2008-03-16 - 2008-03-22,-29%
2008-03-23 - 2008-03-29,-29%
2008-03-30 - 2008-04-05,-24%
2008-04-06 - 2008-04-12,-22%
2008-04-13 - 2008-04-19,-32%
2008-04-20 - 2008-04-26,-34%
2008-04-27 - 2008-05-03,-35%
2008-05-04 - 2008-05-10,-22%
2008-05-11 - 2008-05-17,-28%
2008-05-18 - 2008-05-24,-32%
2008-05-25 - 2008-05-31,-29%
2008-06-01 - 2008-06-07,-37%
2008-06-08 - 2008-06-14,-33%
2008-06-15 - 2008-06-21,-33%
2008-06-22 - 2008-06-28,-28%
2008-06-29 - 2008-07-05,-25%
2008-07-06 - 2008-07-12,-30%
2008-07-13 - 2008-07-19,-38%
2008-07-20 - 2008-07-26,-34%
2008-07-27 - 2008-08-02,-38%
2008-08-03 - 2008-08-09,-46%
2008-08-10 - 2008-08-16,-52%
2008-08-17 - 2008-08-23,-53%
2008-08-24 - 2008-08-30,-47%
2008-08-31 - 2008-09-06,-42%
2008-09-07 - 2008-09-13,-39%
2008-09-14 - 2008-09-20,-38%
2008-09-21 - 2008-09-27,-34%
2008-09-28 - 2008-10-04,-33%
2008-10-05 - 2008-10-11,-34%
2008-10-12 - 2008-10-18,-6%
2008-10-19 - 2008-10-25,-34%
2008-10-26 - 2008-11-01,-29%
2008-11-02 - 2008-11-08,-25%
2008-11-09 - 2008-11-15,-18%
2008-11-16 - 2008-11-22,-32%
2008-11-23 - 2008-11-29,-25%
2008-11-30 - 2008-12-06,-25%
2008-12-07 - 2008-12-13,-11%
2008-12-14 - 2008-12-20,-37%
2008-12-21 - 2008-12-27,-56%
2008-12-28 - 2009-01-03,-58%
2009-01-04 - 2009-01-10,-46%
2009-01-11 - 2009-01-17,-41%
2009-01-18 - 2009-01-24,-32%
2009-01-25 - 2009-01-31,-37%
2009-02-01 - 2009-02-07,-37%
2009-02-08 - 2009-02-14,-34%
2009-02-15 - 2009-02-21,-37%
2009-02-22 - 2009-02-28,-35%
2009-03-01 - 2009-03-07,-28%
2009-03-08 - 2009-03-14,-24%
2009-03-15 - 2009-03-21,-27%
2009-03-22 - 2009-03-28,-32%
2009-03-29 - 2009-04-04,-33%
2009-04-05 - 2009-04-11,-35%
2009-04-12 - 2009-04-18,-41%
2009-04-19 - 2009-04-25,-38%
2009-04-26 - 2009-05-02,-42%
2009-05-03 - 2009-05-09,-38%
2009-05-10 - 2009-05-16,-27%
2009-05-17 - 2009-05-23,-37%
2009-05-24 - 2009-05-30,-41%
2009-05-31 - 2009-06-06,-47%
2009-06-07 - 2009-06-13,-46%
2009-06-14 - 2009-06-20,-47%
2009-06-21 - 2009-06-27,-47%
2009-06-28 - 2009-07-04,-47%
2009-07-05 - 2009-07-11,-28%
2009-07-12 - 2009-07-18,-46%
2009-07-19 - 2009-07-25,-48%
2009-07-26 - 2009-08-01,-48%
2009-08-02 - 2009-08-08,-52%
2009-08-09 - 2009-08-15,-57%
2009-08-16 - 2009-08-22,-56%
2009-08-23 - 2009-08-29,-48%
2009-08-30 - 2009-09-05,-47%
2009-09-06 - 2009-09-12,-48%
2009-09-13 - 2009-09-19,-46%
2009-09-20 - 2009-09-26,-39%
2009-09-27 - 2009-10-03,-39%
2009-10-04 - 2009-10-10,-42%
2009-10-11 - 2009-10-17,-42%
2009-10-18 - 2009-10-24,-24%
2009-10-25 - 2009-10-31,-44%
2009-11-01 - 2009-11-07,-44%
2009-11-08 - 2009-11-14,-43%
2009-11-15 - 2009-11-21,-46%
2009-11-22 - 2009-11-28,-41%
2009-11-29 - 2009-12-05,-39%
2009-12-06 - 2009-12-12,-42%
2009-12-13 - 2009-12-19,-41%
2009-12-20 - 2009-12-26,-58%
2009-12-27 - 2010-01-02,-63%
2010-01-03 - 2010-01-09,-53%
2010-01-10 - 2010-01-16,-44%
2010-01-17 - 2010-01-23,-42%
2010-01-24 - 2010-01-30,-43%
2010-01-31 - 2010-02-06,-46%
2010-02-07 - 2010-02-13,-48%
2010-02-14 - 2010-02-20,-35%
2010-02-21 - 2010-02-27,-44%
2010-02-28 - 2010-03-06,-35%
2010-03-07 - 2010-03-13,-4%
2010-03-14 - 2010-03-20,-43%
2010-03-21 - 2010-03-27,-39%
2010-03-28 - 2010-04-03,-48%
2010-04-04 - 2010-04-10,-48%
2010-04-11 - 2010-04-17,-41%
2010-04-18 - 2010-04-24,-39%
2010-04-25 - 2010-05-01,-43%
2010-05-02 - 2010-05-08,-42%
2010-05-09 - 2010-05-15,-43%
2010-05-16 - 2010-05-22,-44%
2010-05-23 - 2010-05-29,-35%
2010-05-30 - 2010-06-05,-48%
2010-06-06 - 2010-06-12,-33%
2010-06-13 - 2010-06-19,-44%
2010-06-20 - 2010-06-26,-30%
2010-06-27 - 2010-07-03,-46%
2010-07-04 - 2010-07-10,-34%
2010-07-11 - 2010-07-17,-52%
2010-07-18 - 2010-07-24,-51%
2010-07-25 - 2010-07-31,-51%
2010-08-01 - 2010-08-07,-53%
2010-08-08 - 2010-08-14,-59%
2010-08-15 - 2010-08-21,-59%
2010-08-22 - 2010-08-28,-54%
2010-08-29 - 2010-09-04,-53%
2010-09-05 - 2010-09-11,-49%
2010-09-12 - 2010-09-18,-35%
2010-09-19 - 2010-09-25,-44%
2010-09-26 - 2010-10-02,-38%
2010-10-03 - 2010-10-09,-44%
2010-10-10 - 2010-10-16,-43%
2010-10-17 - 2010-10-23,-39%
2010-10-24 - 2010-10-30,-34%
2010-10-31 - 2010-11-06,-48%
2010-11-07 - 2010-11-13,-43%
2010-11-14 - 2010-11-20,-42%
2010-11-21 - 2010-11-27,-39%
2010-11-28 - 2010-12-04,-5%
2010-12-05 - 2010-12-11,-32%
2010-12-12 - 2010-12-18,-41%
2010-12-19 - 2010-12-25,-52%
2010-12-26 - 2011-01-01,-59%
2011-01-02 - 2011-01-08,-56%
2011-01-09 - 2011-01-15,-42%
2011-01-16 - 2011-01-22,-44%
2011-01-23 - 2011-01-29,-30%
2011-01-30 - 2011-02-05,-41%
2011-02-06 - 2011-02-12,-43%
2011-02-13 - 2011-02-19,-44%
2011-02-20 - 2011-02-26,-47%
2011-02-27 - 2011-03-05,-42%
2011-03-06 - 2011-03-12,-16%
2011-03-13 - 2011-03-19,-47%
2011-03-20 - 2011-03-26,-46%
2011-03-27 - 2011-04-02,-24%
2011-04-03 - 2011-04-09,-44%
2011-04-10 - 2011-04-16,-33%
2011-04-17 - 2011-04-23,-46%
2011-04-24 - 2011-04-30,-49%
2011-05-01 - 2011-05-07,-19%
2011-05-08 - 2011-05-14,-42%
2011-05-15 - 2011-05-21,-44%
2011-05-22 - 2011-05-28,-44%
2011-05-29 - 2011-06-04,-47%
2011-06-05 - 2011-06-11,-49%
2011-06-12 - 2011-06-18,-51%
2011-06-19 - 2011-06-25,-51%
2011-06-26 - 2011-07-02,-53%
2011-07-03 - 2011-07-09,-51%
2011-07-10 - 2011-07-16,-51%
2011-07-17 - 2011-07-23,-34%
2011-07-24 - 2011-07-30,-54%
2011-07-31 - 2011-08-06,-57%
2011-08-07 - 2011-08-13,-61%
2011-08-14 - 2011-08-20,-61%
2011-08-21 - 2011-08-27,-54%
2011-08-28 - 2011-09-03,-49%
2011-09-04 - 2011-09-10,-34%
2011-09-11 - 2011-09-17,-42%
2011-09-18 - 2011-09-24,-41%
2011-09-25 - 2011-10-01,-42%
2011-10-02 - 2011-10-08,-37%
2011-10-09 - 2011-10-15,-46%
2011-10-16 - 2011-10-22,-34%
2011-10-23 - 2011-10-29,-39%
2011-10-30 - 2011-11-05,-47%
2011-11-06 - 2011-11-12,-22%
2011-11-13 - 2011-11-19,-27%
2011-11-20 - 2011-11-26,-37%
2011-11-27 - 2011-12-03,-39%
2011-12-04 - 2011-12-10,-39%
2011-12-11 - 2011-12-17,-5%
2011-12-18 - 2011-12-24,-41%
2011-12-25 - 2011-12-31,-61%
2012-01-01 - 2012-01-07,-56%
2012-01-08 - 2012-01-14,-43%
2012-01-15 - 2012-01-21,-24%
2012-01-22 - 2012-01-28,+9%
2012-01-29 - 2012-02-04,-41%
2012-02-05 - 2012-02-11,-42%
2012-02-12 - 2012-02-18,-42%
2012-02-19 - 2012-02-25,-39%
2012-02-26 - 2012-03-03,-29%
2012-03-04 - 2012-03-10,-14%
2012-03-11 - 2012-03-17,-33%
2012-03-18 - 2012-03-24,-34%
2012-03-25 - 2012-03-31,-34%
2012-04-01 - 2012-04-07,-37%
2012-04-08 - 2012-04-14,-42%
2012-04-15 - 2012-04-21,-23%
2012-04-22 - 2012-04-28,-38%
2012-04-29 - 2012-05-05,-39%
2012-05-06 - 2012-05-12,-34%
2012-05-13 - 2012-05-19,-42%
2012-05-20 - 2012-05-26,-43%
2012-05-27 - 2012-06-02,-46%
2012-06-03 - 2012-06-09,-46%
2012-06-10 - 2012-06-16,-46%
2012-06-17 - 2012-06-23,-33%
2012-06-24 - 2012-06-30,-48%
2012-07-01 - 2012-07-07,-46%
2012-07-08 - 2012-07-14,-51%
2012-07-15 - 2012-07-21,-41%
2012-07-22 - 2012-07-28,-48%
2012-07-29 - 2012-08-04,-49%
2012-08-05 - 2012-08-11,-58%
2012-08-12 - 2012-08-18,-62%
2012-08-19 - 2012-08-25,-54%
2012-08-26 - 2012-09-01,-52%
2012-09-02 - 2012-09-08,-47%
2012-09-09 - 2012-09-15,-48%
2012-09-16 - 2012-09-22,-42%
2012-09-23 - 2012-09-29,-34%
2012-09-30 - 2012-10-06,-28%
2012-10-07 - 2012-10-13,-39%
2012-10-14 - 2012-10-20,-46%
2012-10-21 - 2012-10-27,-43%
2012-10-28 - 2012-11-03,-44%
2012-11-04 - 2012-11-10,-43%
2012-11-11 - 2012-11-17,-24%
2012-11-18 - 2012-11-24,-44%
2012-11-25 - 2012-12-01, 



Top searches
sciopero,100
contratto,70
rojadirecta,70
associazione,40
ccnl,35
cgil,35
mondo,25
sciopero treni,20
arpa,15
cisl,15
privacy,10
onlus,10
trenitalia sciopero,10
contratto commercio,10
inquinamento,10
roja,10
uil,10
sciopero mezzi,10
contratto di lavoro,10
avventure nel mondo,10



Rising searches
roja,Breakout
roja directa,Breakout
rojadirecta,Breakout
sciopero benzinai,Breakout
festa della donna,+500%
trenitalia sciopero,+350%
sciopero mezzi,+160%
sciopero treni,+150%
sciopero,+110%
sciopero trasporti,+80%



