Web Search Interest
Italy; 2004 - present

Interest over time
Week,Disabled & Special Needs
2005-12-25 - 2005-12-31,-46%
2006-01-01 - 2006-01-07,-30%
2006-01-08 - 2006-01-14,-14%
2006-01-15 - 2006-01-21,-13%
2006-01-22 - 2006-01-28,-21%
2006-01-29 - 2006-02-04,-22%
2006-02-05 - 2006-02-11,-17%
2006-02-12 - 2006-02-18,-23%
2006-02-19 - 2006-02-25,-20%
2006-02-26 - 2006-03-04,-25%
2006-03-05 - 2006-03-11,-22%
2006-03-12 - 2006-03-18,-23%
2006-03-19 - 2006-03-25,-15%
2006-03-26 - 2006-04-01,-17%
2006-04-02 - 2006-04-08,-35%
2006-04-09 - 2006-04-15,-35%
2006-04-16 - 2006-04-22,-33%
2006-04-23 - 2006-04-29,-32%
2006-04-30 - 2006-05-06,-34%
2006-05-07 - 2006-05-13,-21%
2006-05-14 - 2006-05-20,-20%
2006-05-21 - 2006-05-27,-21%
2006-05-28 - 2006-06-03,-27%
2006-06-04 - 2006-06-10,-25%
2006-06-11 - 2006-06-17,-25%
2006-06-18 - 2006-06-24,-30%
2006-06-25 - 2006-07-01,-24%
2006-07-02 - 2006-07-08,-33%
2006-07-09 - 2006-07-15,-32%
2006-07-16 - 2006-07-22,-38%
2006-07-23 - 2006-07-29,-38%
2006-07-30 - 2006-08-05,-39%
2006-08-06 - 2006-08-12,-39%
2006-08-13 - 2006-08-19,-54%
2006-08-20 - 2006-08-26,-35%
2006-08-27 - 2006-09-02,-41%
2006-09-03 - 2006-09-09,-28%
2006-09-10 - 2006-09-16,-24%
2006-09-17 - 2006-09-23,-24%
2006-09-24 - 2006-09-30,-24%
2006-10-01 - 2006-10-07,-22%
2006-10-08 - 2006-10-14,-25%
2006-10-15 - 2006-10-21,-20%
2006-10-22 - 2006-10-28,-27%
2006-10-29 - 2006-11-04,-32%
2006-11-05 - 2006-11-11,-28%
2006-11-12 - 2006-11-18,-16%
2006-11-19 - 2006-11-25,-25%
2006-11-26 - 2006-12-02,-28%
2006-12-03 - 2006-12-09,-42%
2006-12-10 - 2006-12-16,-40%
2006-12-17 - 2006-12-23,-46%
2006-12-24 - 2006-12-30,-53%
2006-12-31 - 2007-01-06,-41%
2007-01-07 - 2007-01-13,-26%
2007-01-14 - 2007-01-20,-22%
2007-01-21 - 2007-01-27,-24%
2007-01-28 - 2007-02-03,-20%
2007-02-04 - 2007-02-10,-30%
2007-02-11 - 2007-02-17,-29%
2007-02-18 - 2007-02-24,-32%
2007-02-25 - 2007-03-03,-23%
2007-03-04 - 2007-03-10,-24%
2007-03-11 - 2007-03-17,-24%
2007-03-18 - 2007-03-24,-24%
2007-03-25 - 2007-03-31,-28%
2007-04-01 - 2007-04-07,-34%
2007-04-08 - 2007-04-14,-37%
2007-04-15 - 2007-04-21,-35%
2007-04-22 - 2007-04-28,-35%
2007-04-29 - 2007-05-05,-37%
2007-05-06 - 2007-05-12,-28%
2007-05-13 - 2007-05-19,-29%
2007-05-20 - 2007-05-26,-32%
2007-05-27 - 2007-06-02,-40%
2007-06-03 - 2007-06-09,-36%
2007-06-10 - 2007-06-16,-33%
2007-06-17 - 2007-06-23,-41%
2007-06-24 - 2007-06-30,-33%
2007-07-01 - 2007-07-07,-37%
2007-07-08 - 2007-07-14,-40%
2007-07-15 - 2007-07-21,-37%
2007-07-22 - 2007-07-28,-42%
2007-07-29 - 2007-08-04,-45%
2007-08-05 - 2007-08-11,-54%
2007-08-12 - 2007-08-18,-61%
2007-08-19 - 2007-08-25,-48%
2007-08-26 - 2007-09-01,-47%
2007-09-02 - 2007-09-08,-43%
2007-09-09 - 2007-09-15,-30%
2007-09-16 - 2007-09-22,-33%
2007-09-23 - 2007-09-29,-29%
2007-09-30 - 2007-10-06,-33%
2007-10-07 - 2007-10-13,-29%
2007-10-14 - 2007-10-20,-30%
2007-10-21 - 2007-10-27,-32%
2007-10-28 - 2007-11-03,-42%
2007-11-04 - 2007-11-10,-33%
2007-11-11 - 2007-11-17,-33%
2007-11-18 - 2007-11-24,-34%
2007-11-25 - 2007-12-01,-35%
2007-12-02 - 2007-12-08,-34%
2007-12-09 - 2007-12-15,-45%
2007-12-16 - 2007-12-22,-50%
2007-12-23 - 2007-12-29,-62%
2007-12-30 - 2008-01-05,-53%
2008-01-06 - 2008-01-12,-37%
2008-01-13 - 2008-01-19,-33%
2008-01-20 - 2008-01-26,-33%
2008-01-27 - 2008-02-02,-29%
2008-02-03 - 2008-02-09,-37%
2008-02-10 - 2008-02-16,-35%
2008-02-17 - 2008-02-23,-38%
2008-02-24 - 2008-03-01,-37%
2008-03-02 - 2008-03-08,-29%
2008-03-09 - 2008-03-15,-36%
2008-03-16 - 2008-03-22,-37%
2008-03-23 - 2008-03-29,-33%
2008-03-30 - 2008-04-05,-38%
2008-04-06 - 2008-04-12,-36%
2008-04-13 - 2008-04-19,-42%
2008-04-20 - 2008-04-26,-39%
2008-04-27 - 2008-05-03,-45%
2008-05-04 - 2008-05-10,-37%
2008-05-11 - 2008-05-17,-36%
2008-05-18 - 2008-05-24,-37%
2008-05-25 - 2008-05-31,-37%
2008-06-01 - 2008-06-07,-35%
2008-06-08 - 2008-06-14,-40%
2008-06-15 - 2008-06-21,-35%
2008-06-22 - 2008-06-28,-42%
2008-06-29 - 2008-07-05,-43%
2008-07-06 - 2008-07-12,-47%
2008-07-13 - 2008-07-19,-47%
2008-07-20 - 2008-07-26,-42%
2008-07-27 - 2008-08-02,-45%
2008-08-03 - 2008-08-09,-51%
2008-08-10 - 2008-08-16,-60%
2008-08-17 - 2008-08-23,-53%
2008-08-24 - 2008-08-30,-50%
2008-08-31 - 2008-09-06,-42%
2008-09-07 - 2008-09-13,-40%
2008-09-14 - 2008-09-20,-36%
2008-09-21 - 2008-09-27,-33%
2008-09-28 - 2008-10-04,-36%
2008-10-05 - 2008-10-11,-35%
2008-10-12 - 2008-10-18,-38%
2008-10-19 - 2008-10-25,-39%
2008-10-26 - 2008-11-01,-38%
2008-11-02 - 2008-11-08,-39%
2008-11-09 - 2008-11-15,-40%
2008-11-16 - 2008-11-22,-39%
2008-11-23 - 2008-11-29,-42%
2008-11-30 - 2008-12-06,-39%
2008-12-07 - 2008-12-13,-50%
2008-12-14 - 2008-12-20,-50%
2008-12-21 - 2008-12-27,-61%
2008-12-28 - 2009-01-03,-64%
2009-01-04 - 2009-01-10,-51%
2009-01-11 - 2009-01-17,-42%
2009-01-18 - 2009-01-24,-36%
2009-01-25 - 2009-01-31,-37%
2009-02-01 - 2009-02-07,-43%
2009-02-08 - 2009-02-14,-45%
2009-02-15 - 2009-02-21,-47%
2009-02-22 - 2009-02-28,-43%
2009-03-01 - 2009-03-07,-42%
2009-03-08 - 2009-03-14,-45%
2009-03-15 - 2009-03-21,-42%
2009-03-22 - 2009-03-28,-43%
2009-03-29 - 2009-04-04,-43%
2009-04-05 - 2009-04-11,-47%
2009-04-12 - 2009-04-18,-48%
2009-04-19 - 2009-04-25,-43%
2009-04-26 - 2009-05-02,-45%
2009-05-03 - 2009-05-09,-40%
2009-05-10 - 2009-05-16,-42%
2009-05-17 - 2009-05-23,-39%
2009-05-24 - 2009-05-30,-48%
2009-05-31 - 2009-06-06,-47%
2009-06-07 - 2009-06-13,-45%
2009-06-14 - 2009-06-20,-43%
2009-06-21 - 2009-06-27,-43%
2009-06-28 - 2009-07-04,-46%
2009-07-05 - 2009-07-11,-49%
2009-07-12 - 2009-07-18,-47%
2009-07-19 - 2009-07-25,-51%
2009-07-26 - 2009-08-01,-55%
2009-08-02 - 2009-08-08,-58%
2009-08-09 - 2009-08-15,-61%
2009-08-16 - 2009-08-22,-58%
2009-08-23 - 2009-08-29,-55%
2009-08-30 - 2009-09-05,-48%
2009-09-06 - 2009-09-12,-46%
2009-09-13 - 2009-09-19,-45%
2009-09-20 - 2009-09-26,-40%
2009-09-27 - 2009-10-03,-41%
2009-10-04 - 2009-10-10,-40%
2009-10-11 - 2009-10-17,-43%
2009-10-18 - 2009-10-24,-40%
2009-10-25 - 2009-10-31,-42%
2009-11-01 - 2009-11-07,-46%
2009-11-08 - 2009-11-14,-42%
2009-11-15 - 2009-11-21,-43%
2009-11-22 - 2009-11-28,-43%
2009-11-29 - 2009-12-05,-46%
2009-12-06 - 2009-12-12,-53%
2009-12-13 - 2009-12-19,-52%
2009-12-20 - 2009-12-26,-63%
2009-12-27 - 2010-01-02,-65%
2010-01-03 - 2010-01-09,-54%
2010-01-10 - 2010-01-16,-43%
2010-01-17 - 2010-01-23,-40%
2010-01-24 - 2010-01-30,-39%
2010-01-31 - 2010-02-06,-43%
2010-02-07 - 2010-02-13,-46%
2010-02-14 - 2010-02-20,-47%
2010-02-21 - 2010-02-27,-46%
2010-02-28 - 2010-03-06,-46%
2010-03-07 - 2010-03-13,-48%
2010-03-14 - 2010-03-20,-42%
2010-03-21 - 2010-03-27,-43%
2010-03-28 - 2010-04-03,-49%
2010-04-04 - 2010-04-10,-51%
2010-04-11 - 2010-04-17,-45%
2010-04-18 - 2010-04-24,-46%
2010-04-25 - 2010-05-01,-47%
2010-05-02 - 2010-05-08,-47%
2010-05-09 - 2010-05-15,-46%
2010-05-16 - 2010-05-22,-42%
2010-05-23 - 2010-05-29,-40%
2010-05-30 - 2010-06-05,-49%
2010-06-06 - 2010-06-12,-47%
2010-06-13 - 2010-06-19,-48%
2010-06-20 - 2010-06-26,-50%
2010-06-27 - 2010-07-03,-49%
2010-07-04 - 2010-07-10,-50%
2010-07-11 - 2010-07-17,-51%
2010-07-18 - 2010-07-24,-50%
2010-07-25 - 2010-07-31,-53%
2010-08-01 - 2010-08-07,-58%
2010-08-08 - 2010-08-14,-62%
2010-08-15 - 2010-08-21,-62%
2010-08-22 - 2010-08-28,-59%
2010-08-29 - 2010-09-04,-55%
2010-09-05 - 2010-09-11,-51%
2010-09-12 - 2010-09-18,-50%
2010-09-19 - 2010-09-25,-48%
2010-09-26 - 2010-10-02,-47%
2010-10-03 - 2010-10-09,-48%
2010-10-10 - 2010-10-16,-47%
2010-10-17 - 2010-10-23,-48%
2010-10-24 - 2010-10-30,-47%
2010-10-31 - 2010-11-06,-53%
2010-11-07 - 2010-11-13,-47%
2010-11-14 - 2010-11-20,-47%
2010-11-21 - 2010-11-27,-47%
2010-11-28 - 2010-12-04,-51%
2010-12-05 - 2010-12-11,-58%
2010-12-12 - 2010-12-18,-58%
2010-12-19 - 2010-12-25,-64%
2010-12-26 - 2011-01-01,-65%
2011-01-02 - 2011-01-08,-61%
2011-01-09 - 2011-01-15,-52%
2011-01-16 - 2011-01-22,-43%
2011-01-23 - 2011-01-29,-47%
2011-01-30 - 2011-02-05,-52%
2011-02-06 - 2011-02-12,-51%
2011-02-13 - 2011-02-19,-52%
2011-02-20 - 2011-02-26,-52%
2011-02-27 - 2011-03-05,-52%
2011-03-06 - 2011-03-12,-54%
2011-03-13 - 2011-03-19,-58%
2011-03-20 - 2011-03-26,-51%
2011-03-27 - 2011-04-02,-53%
2011-04-03 - 2011-04-09,-53%
2011-04-10 - 2011-04-16,-55%
2011-04-17 - 2011-04-23,-57%
2011-04-24 - 2011-04-30,-61%
2011-05-01 - 2011-05-07,-53%
2011-05-08 - 2011-05-14,-52%
2011-05-15 - 2011-05-21,-52%
2011-05-22 - 2011-05-28,-51%
2011-05-29 - 2011-06-04,-57%
2011-06-05 - 2011-06-11,-52%
2011-06-12 - 2011-06-18,-53%
2011-06-19 - 2011-06-25,-51%
2011-06-26 - 2011-07-02,-55%
2011-07-03 - 2011-07-09,-55%
2011-07-10 - 2011-07-16,-59%
2011-07-17 - 2011-07-23,-58%
2011-07-24 - 2011-07-30,-61%
2011-07-31 - 2011-08-06,-62%
2011-08-07 - 2011-08-13,-67%
2011-08-14 - 2011-08-20,-67%
2011-08-21 - 2011-08-27,-65%
2011-08-28 - 2011-09-03,-58%
2011-09-04 - 2011-09-10,-57%
2011-09-11 - 2011-09-17,-51%
2011-09-18 - 2011-09-24,-52%
2011-09-25 - 2011-10-01,-51%
2011-10-02 - 2011-10-08,-50%
2011-10-09 - 2011-10-15,-51%
2011-10-16 - 2011-10-22,-54%
2011-10-23 - 2011-10-29,-54%
2011-10-30 - 2011-11-05,-60%
2011-11-06 - 2011-11-12,-55%
2011-11-13 - 2011-11-19,-51%
2011-11-20 - 2011-11-26,-53%
2011-11-27 - 2011-12-03,-55%
2011-12-04 - 2011-12-10,-59%
2011-12-11 - 2011-12-17,-58%
2011-12-18 - 2011-12-24,-53%
2011-12-25 - 2011-12-31,-63%
2012-01-01 - 2012-01-07,-59%
2012-01-08 - 2012-01-14,-50%
2012-01-15 - 2012-01-21,-50%
2012-01-22 - 2012-01-28,-51%
2012-01-29 - 2012-02-04,-54%
2012-02-05 - 2012-02-11,-55%
2012-02-12 - 2012-02-18,-55%
2012-02-19 - 2012-02-25,-52%
2012-02-26 - 2012-03-03,-54%
2012-03-04 - 2012-03-10,-50%
2012-03-11 - 2012-03-17,-54%
2012-03-18 - 2012-03-24,-52%
2012-03-25 - 2012-03-31,-51%
2012-04-01 - 2012-04-07,-58%
2012-04-08 - 2012-04-14,-58%
2012-04-15 - 2012-04-21,-53%
2012-04-22 - 2012-04-28,-57%
2012-04-29 - 2012-05-05,-58%
2012-05-06 - 2012-05-12,-57%
2012-05-13 - 2012-05-19,-54%
2012-05-20 - 2012-05-26,-54%
2012-05-27 - 2012-06-02,-57%
2012-06-03 - 2012-06-09,-54%
2012-06-10 - 2012-06-16,-54%
2012-06-17 - 2012-06-23,-55%
2012-06-24 - 2012-06-30,-54%
2012-07-01 - 2012-07-07,-58%
2012-07-08 - 2012-07-14,-57%
2012-07-15 - 2012-07-21,-59%
2012-07-22 - 2012-07-28,-59%
2012-07-29 - 2012-08-04,-62%
2012-08-05 - 2012-08-11,-66%
2012-08-12 - 2012-08-18,-68%
2012-08-19 - 2012-08-25,-66%
2012-08-26 - 2012-09-01,-62%
2012-09-02 - 2012-09-08,-52%
2012-09-09 - 2012-09-15,-55%
2012-09-16 - 2012-09-22,-53%
2012-09-23 - 2012-09-29,-52%
2012-09-30 - 2012-10-06,-53%
2012-10-07 - 2012-10-13,-54%
2012-10-14 - 2012-10-20,-57%
2012-10-21 - 2012-10-27,-57%
2012-10-28 - 2012-11-03,-64%
2012-11-04 - 2012-11-10,-57%
2012-11-11 - 2012-11-17,-57%
2012-11-18 - 2012-11-24,-58%
2012-11-25 - 2012-12-01, 



Top searches
disabili,100
ascensori,80
handicap,40
protesi,30
malato,25
collocamento,25
disabilità,20
barriere architettoniche,15
ascensore,15
categorie protette,15
ortopedia,15
invalidi civili,15
ciechi,15
magnetoterapia,15
ausili,10
incontri per adulti,10
obbligatorio,10
tribunale del malato,10
nostra famiglia,10
sordomuti,10



Rising searches
deficiente,Breakout
incontri per adulti,Breakout
power soccer,Breakout
protesi anca,Breakout
ens,+140%
magnetoterapia,+130%
lis,+110%
protesi,+110%
ascensore,+50%
categorie protette,+50%



