Web Search Interest
Italy; 2004 - present

Interest over time
Week,Personal Aircraft
2005-10-23 - 2005-10-29,-55%
2005-10-30 - 2005-11-05,-50%
2005-11-06 - 2005-11-12,-56%
2005-11-13 - 2005-11-19,-54%
2005-11-20 - 2005-11-26,-54%
2005-11-27 - 2005-12-03,-50%
2005-12-04 - 2005-12-10,-58%
2005-12-11 - 2005-12-17,-55%
2005-12-18 - 2005-12-24,-55%
2005-12-25 - 2005-12-31,-62%
2006-01-01 - 2006-01-07,-50%
2006-01-08 - 2006-01-14,-58%
2006-01-15 - 2006-01-21,-54%
2006-01-22 - 2006-01-28,-54%
2006-01-29 - 2006-02-04,-54%
2006-02-05 - 2006-02-11,-60%
2006-02-12 - 2006-02-18,-53%
2006-02-19 - 2006-02-25,-54%
2006-02-26 - 2006-03-04,-51%
2006-03-05 - 2006-03-11,-50%
2006-03-12 - 2006-03-18,-51%
2006-03-19 - 2006-03-25,-51%
2006-03-26 - 2006-04-01,-44%
2006-04-02 - 2006-04-08,-51%
2006-04-09 - 2006-04-15,-54%
2006-04-16 - 2006-04-22,-45%
2006-04-23 - 2006-04-29,-51%
2006-04-30 - 2006-05-06,-53%
2006-05-07 - 2006-05-13,-49%
2006-05-14 - 2006-05-20,-46%
2006-05-21 - 2006-05-27,-46%
2006-05-28 - 2006-06-03,-50%
2006-06-04 - 2006-06-10,-51%
2006-06-11 - 2006-06-17,-41%
2006-06-18 - 2006-06-24,-47%
2006-06-25 - 2006-07-01,-53%
2006-07-02 - 2006-07-08,-47%
2006-07-09 - 2006-07-15,-44%
2006-07-16 - 2006-07-22,-44%
2006-07-23 - 2006-07-29,-40%
2006-07-30 - 2006-08-05,-45%
2006-08-06 - 2006-08-12,-45%
2006-08-13 - 2006-08-19,-36%
2006-08-20 - 2006-08-26,-37%
2006-08-27 - 2006-09-02,-45%
2006-09-03 - 2006-09-09,-44%
2006-09-10 - 2006-09-16,-50%
2006-09-17 - 2006-09-23,-53%
2006-09-24 - 2006-09-30,-46%
2006-10-01 - 2006-10-07,-49%
2006-10-08 - 2006-10-14,-50%
2006-10-15 - 2006-10-21,-53%
2006-10-22 - 2006-10-28,-53%
2006-10-29 - 2006-11-04,-50%
2006-11-05 - 2006-11-11,-49%
2006-11-12 - 2006-11-18,-53%
2006-11-19 - 2006-11-25,-50%
2006-11-26 - 2006-12-02,-51%
2006-12-03 - 2006-12-09,-49%
2006-12-10 - 2006-12-16,-53%
2006-12-17 - 2006-12-23,-59%
2006-12-24 - 2006-12-30,-62%
2006-12-31 - 2007-01-06,-58%
2007-01-07 - 2007-01-13,-56%
2007-01-14 - 2007-01-20,-56%
2007-01-21 - 2007-01-27,-56%
2007-01-28 - 2007-02-03,-55%
2007-02-04 - 2007-02-10,-56%
2007-02-11 - 2007-02-17,-56%
2007-02-18 - 2007-02-24,-59%
2007-02-25 - 2007-03-03,-55%
2007-03-04 - 2007-03-10,-53%
2007-03-11 - 2007-03-17,-49%
2007-03-18 - 2007-03-24,-51%
2007-03-25 - 2007-03-31,-51%
2007-04-01 - 2007-04-07,-56%
2007-04-08 - 2007-04-14,-50%
2007-04-15 - 2007-04-21,-51%
2007-04-22 - 2007-04-28,-54%
2007-04-29 - 2007-05-05,-53%
2007-05-06 - 2007-05-12,-51%
2007-05-13 - 2007-05-19,-53%
2007-05-20 - 2007-05-26,-54%
2007-05-27 - 2007-06-02,-58%
2007-06-03 - 2007-06-09,-58%
2007-06-10 - 2007-06-16,-55%
2007-06-17 - 2007-06-23,-56%
2007-06-24 - 2007-06-30,-50%
2007-07-01 - 2007-07-07,-54%
2007-07-08 - 2007-07-14,-47%
2007-07-15 - 2007-07-21,-49%
2007-07-22 - 2007-07-28,-46%
2007-07-29 - 2007-08-04,-49%
2007-08-05 - 2007-08-11,-46%
2007-08-12 - 2007-08-18,-53%
2007-08-19 - 2007-08-25,-53%
2007-08-26 - 2007-09-01,-53%
2007-09-02 - 2007-09-08,-58%
2007-09-09 - 2007-09-15,-56%
2007-09-16 - 2007-09-22,-58%
2007-09-23 - 2007-09-29,-55%
2007-09-30 - 2007-10-06,-56%
2007-10-07 - 2007-10-13,-58%
2007-10-14 - 2007-10-20,-58%
2007-10-21 - 2007-10-27,-59%
2007-10-28 - 2007-11-03,-59%
2007-11-04 - 2007-11-10,-59%
2007-11-11 - 2007-11-17,-58%
2007-11-18 - 2007-11-24,-56%
2007-11-25 - 2007-12-01,-63%
2007-12-02 - 2007-12-08,-64%
2007-12-09 - 2007-12-15,-64%
2007-12-16 - 2007-12-22,-65%
2007-12-23 - 2007-12-29,-62%
2007-12-30 - 2008-01-05,-63%
2008-01-06 - 2008-01-12,-59%
2008-01-13 - 2008-01-19,-62%
2008-01-20 - 2008-01-26,-67%
2008-01-27 - 2008-02-02,-65%
2008-02-03 - 2008-02-09,-59%
2008-02-10 - 2008-02-16,-58%
2008-02-17 - 2008-02-23,-60%
2008-02-24 - 2008-03-01,-60%
2008-03-02 - 2008-03-08,-60%
2008-03-09 - 2008-03-15,-64%
2008-03-16 - 2008-03-22,-63%
2008-03-23 - 2008-03-29,-60%
2008-03-30 - 2008-04-05,-55%
2008-04-06 - 2008-04-12,-56%
2008-04-13 - 2008-04-19,-63%
2008-04-20 - 2008-04-26,-58%
2008-04-27 - 2008-05-03,-59%
2008-05-04 - 2008-05-10,-59%
2008-05-11 - 2008-05-17,-62%
2008-05-18 - 2008-05-24,-63%
2008-05-25 - 2008-05-31,-59%
2008-06-01 - 2008-06-07,-63%
2008-06-08 - 2008-06-14,-62%
2008-06-15 - 2008-06-21,-60%
2008-06-22 - 2008-06-28,-56%
2008-06-29 - 2008-07-05,-56%
2008-07-06 - 2008-07-12,-55%
2008-07-13 - 2008-07-19,-56%
2008-07-20 - 2008-07-26,-58%
2008-07-27 - 2008-08-02,-56%
2008-08-03 - 2008-08-09,-54%
2008-08-10 - 2008-08-16,-56%
2008-08-17 - 2008-08-23,-55%
2008-08-24 - 2008-08-30,-60%
2008-08-31 - 2008-09-06,-58%
2008-09-07 - 2008-09-13,-65%
2008-09-14 - 2008-09-20,-64%
2008-09-21 - 2008-09-27,-65%
2008-09-28 - 2008-10-04,-64%
2008-10-05 - 2008-10-11,-68%
2008-10-12 - 2008-10-18,-68%
2008-10-19 - 2008-10-25,-65%
2008-10-26 - 2008-11-01,-68%
2008-11-02 - 2008-11-08,-69%
2008-11-09 - 2008-11-15,-68%
2008-11-16 - 2008-11-22,-65%
2008-11-23 - 2008-11-29,-69%
2008-11-30 - 2008-12-06,-71%
2008-12-07 - 2008-12-13,-71%
2008-12-14 - 2008-12-20,-73%
2008-12-21 - 2008-12-27,-67%
2008-12-28 - 2009-01-03,-69%
2009-01-04 - 2009-01-10,-72%
2009-01-11 - 2009-01-17,-72%
2009-01-18 - 2009-01-24,-72%
2009-01-25 - 2009-01-31,-72%
2009-02-01 - 2009-02-07,-72%
2009-02-08 - 2009-02-14,-68%
2009-02-15 - 2009-02-21,-72%
2009-02-22 - 2009-02-28,-74%
2009-03-01 - 2009-03-07,-73%
2009-03-08 - 2009-03-14,-73%
2009-03-15 - 2009-03-21,-71%
2009-03-22 - 2009-03-28,-71%
2009-03-29 - 2009-04-04,-72%
2009-04-05 - 2009-04-11,-74%
2009-04-12 - 2009-04-18,-73%
2009-04-19 - 2009-04-25,-74%
2009-04-26 - 2009-05-02,-73%
2009-05-03 - 2009-05-09,-72%
2009-05-10 - 2009-05-16,-72%
2009-05-17 - 2009-05-23,-69%
2009-05-24 - 2009-05-30,-71%
2009-05-31 - 2009-06-06,-72%
2009-06-07 - 2009-06-13,-73%
2009-06-14 - 2009-06-20,-72%
2009-06-21 - 2009-06-27,-71%
2009-06-28 - 2009-07-04,-73%
2009-07-05 - 2009-07-11,-69%
2009-07-12 - 2009-07-18,-71%
2009-07-19 - 2009-07-25,-71%
2009-07-26 - 2009-08-01,-69%
2009-08-02 - 2009-08-08,-69%
2009-08-09 - 2009-08-15,-64%
2009-08-16 - 2009-08-22,-69%
2009-08-23 - 2009-08-29,-71%
2009-08-30 - 2009-09-05,-73%
2009-09-06 - 2009-09-12,-72%
2009-09-13 - 2009-09-19,-74%
2009-09-20 - 2009-09-26,-76%
2009-09-27 - 2009-10-03,-76%
2009-10-04 - 2009-10-10,-74%
2009-10-11 - 2009-10-17,-76%
2009-10-18 - 2009-10-24,-77%
2009-10-25 - 2009-10-31,-76%
2009-11-01 - 2009-11-07,-77%
2009-11-08 - 2009-11-14,-77%
2009-11-15 - 2009-11-21,-77%
2009-11-22 - 2009-11-28,-77%
2009-11-29 - 2009-12-05,-77%
2009-12-06 - 2009-12-12,-79%
2009-12-13 - 2009-12-19,-77%
2009-12-20 - 2009-12-26,-76%
2009-12-27 - 2010-01-02,-77%
2010-01-03 - 2010-01-09,-76%
2010-01-10 - 2010-01-16,-77%
2010-01-17 - 2010-01-23,-78%
2010-01-24 - 2010-01-30,-78%
2010-01-31 - 2010-02-06,-78%
2010-02-07 - 2010-02-13,-78%
2010-02-14 - 2010-02-20,-76%
2010-02-21 - 2010-02-27,-77%
2010-02-28 - 2010-03-06,-76%
2010-03-07 - 2010-03-13,-78%
2010-03-14 - 2010-03-20,-78%
2010-03-21 - 2010-03-27,-81%
2010-03-28 - 2010-04-03,-78%
2010-04-04 - 2010-04-10,-77%
2010-04-11 - 2010-04-17,-77%
2010-04-18 - 2010-04-24,-76%
2010-04-25 - 2010-05-01,-76%
2010-05-02 - 2010-05-08,-77%
2010-05-09 - 2010-05-15,-78%
2010-05-16 - 2010-05-22,-76%
2010-05-23 - 2010-05-29,-77%
2010-05-30 - 2010-06-05,-76%
2010-06-06 - 2010-06-12,-76%
2010-06-13 - 2010-06-19,-76%
2010-06-20 - 2010-06-26,-78%
2010-06-27 - 2010-07-03,-74%
2010-07-04 - 2010-07-10,-74%
2010-07-11 - 2010-07-17,-71%
2010-07-18 - 2010-07-24,-67%
2010-07-25 - 2010-07-31,-67%
2010-08-01 - 2010-08-07,-64%
2010-08-08 - 2010-08-14,-56%
2010-08-15 - 2010-08-21,-65%
2010-08-22 - 2010-08-28,-63%
2010-08-29 - 2010-09-04,-62%
2010-09-05 - 2010-09-11,-62%
2010-09-12 - 2010-09-18,-64%
2010-09-19 - 2010-09-25,-68%
2010-09-26 - 2010-10-02,-67%
2010-10-03 - 2010-10-09,-68%
2010-10-10 - 2010-10-16,-67%
2010-10-17 - 2010-10-23,-71%
2010-10-24 - 2010-10-30,-72%
2010-10-31 - 2010-11-06,-73%
2010-11-07 - 2010-11-13,-74%
2010-11-14 - 2010-11-20,-73%
2010-11-21 - 2010-11-27,-74%
2010-11-28 - 2010-12-04,-74%
2010-12-05 - 2010-12-11,-77%
2010-12-12 - 2010-12-18,-77%
2010-12-19 - 2010-12-25,-78%
2010-12-26 - 2011-01-01,-76%
2011-01-02 - 2011-01-08,-77%
2011-01-09 - 2011-01-15,-77%
2011-01-16 - 2011-01-22,-78%
2011-01-23 - 2011-01-29,-78%
2011-01-30 - 2011-02-05,-77%
2011-02-06 - 2011-02-12,-77%
2011-02-13 - 2011-02-19,-74%
2011-02-20 - 2011-02-26,-78%
2011-02-27 - 2011-03-05,-78%
2011-03-06 - 2011-03-12,-78%
2011-03-13 - 2011-03-19,-78%
2011-03-20 - 2011-03-26,-79%
2011-03-27 - 2011-04-02,-78%
2011-04-03 - 2011-04-09,-77%
2011-04-10 - 2011-04-16,-78%
2011-04-17 - 2011-04-23,-78%
2011-04-24 - 2011-04-30,-78%
2011-05-01 - 2011-05-07,-76%
2011-05-08 - 2011-05-14,-76%
2011-05-15 - 2011-05-21,-78%
2011-05-22 - 2011-05-28,-77%
2011-05-29 - 2011-06-04,-78%
2011-06-05 - 2011-06-11,-78%
2011-06-12 - 2011-06-18,-79%
2011-06-19 - 2011-06-25,-76%
2011-06-26 - 2011-07-02,-77%
2011-07-03 - 2011-07-09,-76%
2011-07-10 - 2011-07-16,-76%
2011-07-17 - 2011-07-23,-76%
2011-07-24 - 2011-07-30,-76%
2011-07-31 - 2011-08-06,-76%
2011-08-07 - 2011-08-13,-72%
2011-08-14 - 2011-08-20,-73%
2011-08-21 - 2011-08-27,-74%
2011-08-28 - 2011-09-03,-74%
2011-09-04 - 2011-09-10,-77%
2011-09-11 - 2011-09-17,-78%
2011-09-18 - 2011-09-24,-81%
2011-09-25 - 2011-10-01,-78%
2011-10-02 - 2011-10-08,-79%
2011-10-09 - 2011-10-15,-79%
2011-10-16 - 2011-10-22,-81%
2011-10-23 - 2011-10-29,-82%
2011-10-30 - 2011-11-05,-81%
2011-11-06 - 2011-11-12,-81%
2011-11-13 - 2011-11-19,-81%
2011-11-20 - 2011-11-26,-79%
2011-11-27 - 2011-12-03,-81%
2011-12-04 - 2011-12-10,-81%
2011-12-11 - 2011-12-17,-83%
2011-12-18 - 2011-12-24,-82%
2011-12-25 - 2011-12-31,-79%
2012-01-01 - 2012-01-07,-79%
2012-01-08 - 2012-01-14,-77%
2012-01-15 - 2012-01-21,-81%
2012-01-22 - 2012-01-28,-79%
2012-01-29 - 2012-02-04,-81%
2012-02-05 - 2012-02-11,-81%
2012-02-12 - 2012-02-18,-82%
2012-02-19 - 2012-02-25,-79%
2012-02-26 - 2012-03-03,-79%
2012-03-04 - 2012-03-10,-81%
2012-03-11 - 2012-03-17,-81%
2012-03-18 - 2012-03-24,-79%
2012-03-25 - 2012-03-31,-79%
2012-04-01 - 2012-04-07,-78%
2012-04-08 - 2012-04-14,-79%
2012-04-15 - 2012-04-21,-77%
2012-04-22 - 2012-04-28,-78%
2012-04-29 - 2012-05-05,-79%
2012-05-06 - 2012-05-12,-78%
2012-05-13 - 2012-05-19,-79%
2012-05-20 - 2012-05-26,-79%
2012-05-27 - 2012-06-02,-78%
2012-06-03 - 2012-06-09,-78%
2012-06-10 - 2012-06-16,-78%
2012-06-17 - 2012-06-23,-78%
2012-06-24 - 2012-06-30,-79%
2012-07-01 - 2012-07-07,-78%
2012-07-08 - 2012-07-14,-76%
2012-07-15 - 2012-07-21,-78%
2012-07-22 - 2012-07-28,-77%
2012-07-29 - 2012-08-04,-73%
2012-08-05 - 2012-08-11,-76%
2012-08-12 - 2012-08-18,-73%
2012-08-19 - 2012-08-25,-74%
2012-08-26 - 2012-09-01,-77%
2012-09-02 - 2012-09-08,-77%
2012-09-09 - 2012-09-15,-78%
2012-09-16 - 2012-09-22,-78%
2012-09-23 - 2012-09-29,-79%
2012-09-30 - 2012-10-06,-81%
2012-10-07 - 2012-10-13,-81%
2012-10-14 - 2012-10-20,-82%
2012-10-21 - 2012-10-27,-81%
2012-10-28 - 2012-11-03,-82%
2012-11-04 - 2012-11-10,-82%
2012-11-11 - 2012-11-17,-81%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
volare,100
volare web,20
parapendio,15
helsinki,15
aircraft,15
airplanes,10
titan,10
cessna,10
park to fly,10
corriere alpi,10
to fly,10
airplane,5
deltaplano,5
corriere delle alpi,5
fontanelle,5
rockwell,5
boeing,5
plane,5
mosquito,5
airliners,5



Rising searches
airplanes,Breakout
park to fly,Breakout
to fly,Breakout
corriere alpi,+500%
corriere delle alpi,+300%
deltaplano,+130%
titan,+90%
aircraft,+60%
cessna,+50%
parapendio,+50%



