Web Search Interest
Spain; 2004 - present

Interest over time
Week,Web Apps & Online Tools
2005-01-02 - 2005-01-08,+60%
2005-01-09 - 2005-01-15,+65%
2005-01-16 - 2005-01-22,+50%
2005-01-23 - 2005-01-29,+65%
2005-01-30 - 2005-02-05,+65%
2005-02-06 - 2005-02-12,+55%
2005-02-13 - 2005-02-19,+50%
2005-02-20 - 2005-02-26,+70%
2005-02-27 - 2005-03-05,+65%
2005-03-06 - 2005-03-12,+65%
2005-03-13 - 2005-03-19,+75%
2005-03-20 - 2005-03-26,+75%
2005-03-27 - 2005-04-02,+55%
2005-04-03 - 2005-04-09,+60%
2005-04-10 - 2005-04-16,+40%
2005-04-17 - 2005-04-23,+60%
2005-04-24 - 2005-04-30,+70%
2005-05-01 - 2005-05-07,+65%
2005-05-08 - 2005-05-14,+80%
2005-05-15 - 2005-05-21,+65%
2005-05-22 - 2005-05-28,+60%
2005-05-29 - 2005-06-04,+50%
2005-06-05 - 2005-06-11,+50%
2005-06-12 - 2005-06-18,+60%
2005-06-19 - 2005-06-25,+55%
2005-06-26 - 2005-07-02,+55%
2005-07-03 - 2005-07-09,+75%
2005-07-10 - 2005-07-16,+90%
2005-07-17 - 2005-07-23,+75%
2005-07-24 - 2005-07-30,+110%
2005-07-31 - 2005-08-06,+110%
2005-08-07 - 2005-08-13,+125%
2005-08-14 - 2005-08-20,+95%
2005-08-21 - 2005-08-27,+95%
2005-08-28 - 2005-09-03,+55%
2005-09-04 - 2005-09-10,+45%
2005-09-11 - 2005-09-17,+60%
2005-09-18 - 2005-09-24,+60%
2005-09-25 - 2005-10-01,+50%
2005-10-02 - 2005-10-08,+60%
2005-10-09 - 2005-10-15,+45%
2005-10-16 - 2005-10-22,+40%
2005-10-23 - 2005-10-29,+50%
2005-10-30 - 2005-11-05,+40%
2005-11-06 - 2005-11-12,+40%
2005-11-13 - 2005-11-19,+45%
2005-11-20 - 2005-11-26,+45%
2005-11-27 - 2005-12-03,+45%
2005-12-04 - 2005-12-10,+55%
2005-12-11 - 2005-12-17,+55%
2005-12-18 - 2005-12-24,+40%
2005-12-25 - 2005-12-31,+50%
2006-01-01 - 2006-01-07,+40%
2006-01-08 - 2006-01-14,+60%
2006-01-15 - 2006-01-21,+55%
2006-01-22 - 2006-01-28,+60%
2006-01-29 - 2006-02-04,+60%
2006-02-05 - 2006-02-11,+65%
2006-02-12 - 2006-02-18,+55%
2006-02-19 - 2006-02-25,+60%
2006-02-26 - 2006-03-04,+45%
2006-03-05 - 2006-03-11,+40%
2006-03-12 - 2006-03-18,+50%
2006-03-19 - 2006-03-25,+55%
2006-03-26 - 2006-04-01,+65%
2006-04-02 - 2006-04-08,+70%
2006-04-09 - 2006-04-15,+105%
2006-04-16 - 2006-04-22,+60%
2006-04-23 - 2006-04-29,+65%
2006-04-30 - 2006-05-06,+55%
2006-05-07 - 2006-05-13,+55%
2006-05-14 - 2006-05-20,+55%
2006-05-21 - 2006-05-27,+55%
2006-05-28 - 2006-06-03,+55%
2006-06-04 - 2006-06-10,+75%
2006-06-11 - 2006-06-17,+45%
2006-06-18 - 2006-06-24,+65%
2006-06-25 - 2006-07-01,+80%
2006-07-02 - 2006-07-08,+70%
2006-07-09 - 2006-07-15,+70%
2006-07-16 - 2006-07-22,+65%
2006-07-23 - 2006-07-29,+85%
2006-07-30 - 2006-08-05,+85%
2006-08-06 - 2006-08-12,+95%
2006-08-13 - 2006-08-19,+80%
2006-08-20 - 2006-08-26,+75%
2006-08-27 - 2006-09-02,+80%
2006-09-03 - 2006-09-09,+50%
2006-09-10 - 2006-09-16,+70%
2006-09-17 - 2006-09-23,+55%
2006-09-24 - 2006-09-30,+70%
2006-10-01 - 2006-10-07,+85%
2006-10-08 - 2006-10-14,+80%
2006-10-15 - 2006-10-21,+75%
2006-10-22 - 2006-10-28,+80%
2006-10-29 - 2006-11-04,+100%
2006-11-05 - 2006-11-11,+80%
2006-11-12 - 2006-11-18,+80%
2006-11-19 - 2006-11-25,+90%
2006-11-26 - 2006-12-02,+95%
2006-12-03 - 2006-12-09,+100%
2006-12-10 - 2006-12-16,+65%
2006-12-17 - 2006-12-23,+65%
2006-12-24 - 2006-12-30,+90%
2006-12-31 - 2007-01-06,+85%
2007-01-07 - 2007-01-13,+90%
2007-01-14 - 2007-01-20,+90%
2007-01-21 - 2007-01-27,+70%
2007-01-28 - 2007-02-03,+75%
2007-02-04 - 2007-02-10,+90%
2007-02-11 - 2007-02-17,+85%
2007-02-18 - 2007-02-24,+85%
2007-02-25 - 2007-03-03,+70%
2007-03-04 - 2007-03-10,+65%
2007-03-11 - 2007-03-17,+70%
2007-03-18 - 2007-03-24,+65%
2007-03-25 - 2007-03-31,+85%
2007-04-01 - 2007-04-07,+85%
2007-04-08 - 2007-04-14,+75%
2007-04-15 - 2007-04-21,+70%
2007-04-22 - 2007-04-28,+85%
2007-04-29 - 2007-05-05,+95%
2007-05-06 - 2007-05-12,+80%
2007-05-13 - 2007-05-19,+65%
2007-05-20 - 2007-05-26,+60%
2007-05-27 - 2007-06-02,+60%
2007-06-03 - 2007-06-09,+75%
2007-06-10 - 2007-06-16,+60%
2007-06-17 - 2007-06-23,+65%
2007-06-24 - 2007-06-30,+90%
2007-07-01 - 2007-07-07,+70%
2007-07-08 - 2007-07-14,+90%
2007-07-15 - 2007-07-21,+80%
2007-07-22 - 2007-07-28,+85%
2007-07-29 - 2007-08-04,+105%
2007-08-05 - 2007-08-11,+75%
2007-08-12 - 2007-08-18,+85%
2007-08-19 - 2007-08-25,+400%
2007-08-26 - 2007-09-01,+160%
2007-09-02 - 2007-09-08,+105%
2007-09-09 - 2007-09-15,+80%
2007-09-16 - 2007-09-22,+110%
2007-09-23 - 2007-09-29,+90%
2007-09-30 - 2007-10-06,+85%
2007-10-07 - 2007-10-13,+80%
2007-10-14 - 2007-10-20,+85%
2007-10-21 - 2007-10-27,+95%
2007-10-28 - 2007-11-03,+100%
2007-11-04 - 2007-11-10,+90%
2007-11-11 - 2007-11-17,+90%
2007-11-18 - 2007-11-24,+85%
2007-11-25 - 2007-12-01,+85%
2007-12-02 - 2007-12-08,+80%
2007-12-09 - 2007-12-15,+75%
2007-12-16 - 2007-12-22,+60%
2007-12-23 - 2007-12-29,+55%
2007-12-30 - 2008-01-05,+70%
2008-01-06 - 2008-01-12,+65%
2008-01-13 - 2008-01-19,+70%
2008-01-20 - 2008-01-26,+75%
2008-01-27 - 2008-02-02,+65%
2008-02-03 - 2008-02-09,+70%
2008-02-10 - 2008-02-16,+70%
2008-02-17 - 2008-02-23,+70%
2008-02-24 - 2008-03-01,+70%
2008-03-02 - 2008-03-08,+75%
2008-03-09 - 2008-03-15,+80%
2008-03-16 - 2008-03-22,+80%
2008-03-23 - 2008-03-29,+75%
2008-03-30 - 2008-04-05,+85%
2008-04-06 - 2008-04-12,+80%
2008-04-13 - 2008-04-19,+90%
2008-04-20 - 2008-04-26,+80%
2008-04-27 - 2008-05-03,+75%
2008-05-04 - 2008-05-10,+65%
2008-05-11 - 2008-05-17,+75%
2008-05-18 - 2008-05-24,+75%
2008-05-25 - 2008-05-31,+75%
2008-06-01 - 2008-06-07,+85%
2008-06-08 - 2008-06-14,+70%
2008-06-15 - 2008-06-21,+105%
2008-06-22 - 2008-06-28,+90%
2008-06-29 - 2008-07-05,+90%
2008-07-06 - 2008-07-12,+85%
2008-07-13 - 2008-07-19,+85%
2008-07-20 - 2008-07-26,+115%
2008-07-27 - 2008-08-02,+90%
2008-08-03 - 2008-08-09,+115%
2008-08-10 - 2008-08-16,+100%
2008-08-17 - 2008-08-23,+75%
2008-08-24 - 2008-08-30,+80%
2008-08-31 - 2008-09-06,+80%
2008-09-07 - 2008-09-13,+75%
2008-09-14 - 2008-09-20,+70%
2008-09-21 - 2008-09-27,+75%
2008-09-28 - 2008-10-04,+80%
2008-10-05 - 2008-10-11,+90%
2008-10-12 - 2008-10-18,+95%
2008-10-19 - 2008-10-25,+100%
2008-10-26 - 2008-11-01,+95%
2008-11-02 - 2008-11-08,+80%
2008-11-09 - 2008-11-15,+80%
2008-11-16 - 2008-11-22,+85%
2008-11-23 - 2008-11-29,+80%
2008-11-30 - 2008-12-06,+100%
2008-12-07 - 2008-12-13,+85%
2008-12-14 - 2008-12-20,+80%
2008-12-21 - 2008-12-27,+70%
2008-12-28 - 2009-01-03,+95%
2009-01-04 - 2009-01-10,+90%
2009-01-11 - 2009-01-17,+100%
2009-01-18 - 2009-01-24,+95%
2009-01-25 - 2009-01-31,+85%
2009-02-01 - 2009-02-07,+80%
2009-02-08 - 2009-02-14,+85%
2009-02-15 - 2009-02-21,+75%
2009-02-22 - 2009-02-28,+90%
2009-03-01 - 2009-03-07,+125%
2009-03-08 - 2009-03-14,+100%
2009-03-15 - 2009-03-21,+80%
2009-03-22 - 2009-03-28,+80%
2009-03-29 - 2009-04-04,+90%
2009-04-05 - 2009-04-11,+90%
2009-04-12 - 2009-04-18,+75%
2009-04-19 - 2009-04-25,+75%
2009-04-26 - 2009-05-02,+75%
2009-05-03 - 2009-05-09,+70%
2009-05-10 - 2009-05-16,+60%
2009-05-17 - 2009-05-23,+55%
2009-05-24 - 2009-05-30,+60%
2009-05-31 - 2009-06-06,+55%
2009-06-07 - 2009-06-13,+65%
2009-06-14 - 2009-06-20,+55%
2009-06-21 - 2009-06-27,+55%
2009-06-28 - 2009-07-04,+60%
2009-07-05 - 2009-07-11,+65%
2009-07-12 - 2009-07-18,+70%
2009-07-19 - 2009-07-25,+80%
2009-07-26 - 2009-08-01,+85%
2009-08-02 - 2009-08-08,+75%
2009-08-09 - 2009-08-15,+85%
2009-08-16 - 2009-08-22,+85%
2009-08-23 - 2009-08-29,+60%
2009-08-30 - 2009-09-05,+55%
2009-09-06 - 2009-09-12,+55%
2009-09-13 - 2009-09-19,+65%
2009-09-20 - 2009-09-26,+65%
2009-09-27 - 2009-10-03,+70%
2009-10-04 - 2009-10-10,+70%
2009-10-11 - 2009-10-17,+60%
2009-10-18 - 2009-10-24,+65%
2009-10-25 - 2009-10-31,+70%
2009-11-01 - 2009-11-07,+70%
2009-11-08 - 2009-11-14,+70%
2009-11-15 - 2009-11-21,+60%
2009-11-22 - 2009-11-28,+60%
2009-11-29 - 2009-12-05,+65%
2009-12-06 - 2009-12-12,+60%
2009-12-13 - 2009-12-19,+60%
2009-12-20 - 2009-12-26,+35%
2009-12-27 - 2010-01-02,+55%
2010-01-03 - 2010-01-09,+50%
2010-01-10 - 2010-01-16,+70%
2010-01-17 - 2010-01-23,+65%
2010-01-24 - 2010-01-30,+70%
2010-01-31 - 2010-02-06,+60%
2010-02-07 - 2010-02-13,+60%
2010-02-14 - 2010-02-20,+60%
2010-02-21 - 2010-02-27,+65%
2010-02-28 - 2010-03-06,+60%
2010-03-07 - 2010-03-13,+65%
2010-03-14 - 2010-03-20,+80%
2010-03-21 - 2010-03-27,+90%
2010-03-28 - 2010-04-03,+95%
2010-04-04 - 2010-04-10,+75%
2010-04-11 - 2010-04-17,+95%
2010-04-18 - 2010-04-24,+110%
2010-04-25 - 2010-05-01,+90%
2010-05-02 - 2010-05-08,+75%
2010-05-09 - 2010-05-15,+70%
2010-05-16 - 2010-05-22,+70%
2010-05-23 - 2010-05-29,+70%
2010-05-30 - 2010-06-05,+75%
2010-06-06 - 2010-06-12,+90%
2010-06-13 - 2010-06-19,+85%
2010-06-20 - 2010-06-26,+90%
2010-06-27 - 2010-07-03,+100%
2010-07-04 - 2010-07-10,+100%
2010-07-11 - 2010-07-17,+80%
2010-07-18 - 2010-07-24,+85%
2010-07-25 - 2010-07-31,+75%
2010-08-01 - 2010-08-07,+70%
2010-08-08 - 2010-08-14,+70%
2010-08-15 - 2010-08-21,+60%
2010-08-22 - 2010-08-28,+60%
2010-08-29 - 2010-09-04,+45%
2010-09-05 - 2010-09-11,+45%
2010-09-12 - 2010-09-18,+50%
2010-09-19 - 2010-09-25,+60%
2010-09-26 - 2010-10-02,+65%
2010-10-03 - 2010-10-09,+70%
2010-10-10 - 2010-10-16,+60%
2010-10-17 - 2010-10-23,+65%
2010-10-24 - 2010-10-30,+80%
2010-10-31 - 2010-11-06,+65%
2010-11-07 - 2010-11-13,+75%
2010-11-14 - 2010-11-20,+75%
2010-11-21 - 2010-11-27,+60%
2010-11-28 - 2010-12-04,+60%
2010-12-05 - 2010-12-11,+60%
2010-12-12 - 2010-12-18,+60%
2010-12-19 - 2010-12-25,+50%
2010-12-26 - 2011-01-01,+55%
2011-01-02 - 2011-01-08,+55%
2011-01-09 - 2011-01-15,+75%
2011-01-16 - 2011-01-22,+60%
2011-01-23 - 2011-01-29,+65%
2011-01-30 - 2011-02-05,+65%
2011-02-06 - 2011-02-12,+65%
2011-02-13 - 2011-02-19,+65%
2011-02-20 - 2011-02-26,+55%
2011-02-27 - 2011-03-05,+65%
2011-03-06 - 2011-03-12,+60%
2011-03-13 - 2011-03-19,+55%
2011-03-20 - 2011-03-26,+80%
2011-03-27 - 2011-04-02,+90%
2011-04-03 - 2011-04-09,+85%
2011-04-10 - 2011-04-16,+75%
2011-04-17 - 2011-04-23,+60%
2011-04-24 - 2011-04-30,+60%
2011-05-01 - 2011-05-07,+65%
2011-05-08 - 2011-05-14,+70%
2011-05-15 - 2011-05-21,+60%
2011-05-22 - 2011-05-28,+85%
2011-05-29 - 2011-06-04,+95%
2011-06-05 - 2011-06-11,+110%
2011-06-12 - 2011-06-18,+75%
2011-06-19 - 2011-06-25,+80%
2011-06-26 - 2011-07-02,+80%
2011-07-03 - 2011-07-09,+80%
2011-07-10 - 2011-07-16,+85%
2011-07-17 - 2011-07-23,+85%
2011-07-24 - 2011-07-30,+85%
2011-07-31 - 2011-08-06,+95%
2011-08-07 - 2011-08-13,+110%
2011-08-14 - 2011-08-20,+85%
2011-08-21 - 2011-08-27,+70%
2011-08-28 - 2011-09-03,+75%
2011-09-04 - 2011-09-10,+80%
2011-09-11 - 2011-09-17,+70%
2011-09-18 - 2011-09-24,+80%
2011-09-25 - 2011-10-01,+75%
2011-10-02 - 2011-10-08,+100%
2011-10-09 - 2011-10-15,+155%
2011-10-16 - 2011-10-22,+120%
2011-10-23 - 2011-10-29,+90%
2011-10-30 - 2011-11-05,+90%
2011-11-06 - 2011-11-12,+90%
2011-11-13 - 2011-11-19,+90%
2011-11-20 - 2011-11-26,+100%
2011-11-27 - 2011-12-03,+85%
2011-12-04 - 2011-12-10,+75%
2011-12-11 - 2011-12-17,+80%
2011-12-18 - 2011-12-24,+70%
2011-12-25 - 2011-12-31,+80%
2012-01-01 - 2012-01-07,+85%
2012-01-08 - 2012-01-14,+95%
2012-01-15 - 2012-01-21,+90%
2012-01-22 - 2012-01-28,+85%
2012-01-29 - 2012-02-04,+85%
2012-02-05 - 2012-02-11,+125%
2012-02-12 - 2012-02-18,+90%
2012-02-19 - 2012-02-25,+90%
2012-02-26 - 2012-03-03,+80%
2012-03-04 - 2012-03-10,+90%
2012-03-11 - 2012-03-17,+95%
2012-03-18 - 2012-03-24,+95%
2012-03-25 - 2012-03-31,+85%
2012-04-01 - 2012-04-07,+95%
2012-04-08 - 2012-04-14,+90%
2012-04-15 - 2012-04-21,+90%
2012-04-22 - 2012-04-28,+115%
2012-04-29 - 2012-05-05,+90%
2012-05-06 - 2012-05-12,+90%
2012-05-13 - 2012-05-19,+90%
2012-05-20 - 2012-05-26,+85%
2012-05-27 - 2012-06-02,+85%
2012-06-03 - 2012-06-09,+75%
2012-06-10 - 2012-06-16,+85%
2012-06-17 - 2012-06-23,+85%
2012-06-24 - 2012-06-30,+85%
2012-07-01 - 2012-07-07,+95%
2012-07-08 - 2012-07-14,+105%
2012-07-15 - 2012-07-21,+90%
2012-07-22 - 2012-07-28,+95%
2012-07-29 - 2012-08-04,+95%
2012-08-05 - 2012-08-11,+95%
2012-08-12 - 2012-08-18,+95%
2012-08-19 - 2012-08-25,+90%
2012-08-26 - 2012-09-01,+80%
2012-09-02 - 2012-09-08,+90%
2012-09-09 - 2012-09-15,+90%
2012-09-16 - 2012-09-22,+100%
2012-09-23 - 2012-09-29,+105%
2012-09-30 - 2012-10-06,+100%
2012-10-07 - 2012-10-13,+100%
2012-10-14 - 2012-10-20,+95%
2012-10-21 - 2012-10-27,+90%
2012-10-28 - 2012-11-03,+85%
2012-11-04 - 2012-11-10,+90%
2012-11-11 - 2012-11-17,+95%
2012-11-18 - 2012-11-24,+90%
2012-11-25 - 2012-12-01, 



Top searches
catcher,100
atube,90
atube catcher,75
lphant,70
igoogle,70
calcular ruta,50
icloud,40
apps,35
contador,30
reebok,25
skydrive,25
interes legal,25
apps google,25
tube catcher,20
youtube catcher,20
interes legal dinero,20
michelin rutas,20
itinerarios,15
ruta michelin,15
desktop google,15



Rising searches
apps,Breakout
atube,Breakout
atube catcher,Breakout
catcher,Breakout
icloud,Breakout
igoogle,Breakout
skydrive,Breakout
reebok,+200%
calcular ruta,+70%
lphant,+50%



