Web Search Interest
Italy; 2004 - present

Interest over time
Week,Email & Messaging
2006-02-05 - 2006-02-11,+71%
2006-02-12 - 2006-02-18,+67%
2006-02-19 - 2006-02-25,+67%
2006-02-26 - 2006-03-04,+67%
2006-03-05 - 2006-03-11,+76%
2006-03-12 - 2006-03-18,+62%
2006-03-19 - 2006-03-25,+71%
2006-03-26 - 2006-04-01,+62%
2006-04-02 - 2006-04-08,+62%
2006-04-09 - 2006-04-15,+67%
2006-04-16 - 2006-04-22,+67%
2006-04-23 - 2006-04-29,+67%
2006-04-30 - 2006-05-06,+71%
2006-05-07 - 2006-05-13,+67%
2006-05-14 - 2006-05-20,+76%
2006-05-21 - 2006-05-27,+62%
2006-05-28 - 2006-06-03,+71%
2006-06-04 - 2006-06-10,+76%
2006-06-11 - 2006-06-17,+76%
2006-06-18 - 2006-06-24,+86%
2006-06-25 - 2006-07-01,+95%
2006-07-02 - 2006-07-08,+76%
2006-07-09 - 2006-07-15,+67%
2006-07-16 - 2006-07-22,+81%
2006-07-23 - 2006-07-29,+71%
2006-07-30 - 2006-08-05,+76%
2006-08-06 - 2006-08-12,+67%
2006-08-13 - 2006-08-19,+81%
2006-08-20 - 2006-08-26,+76%
2006-08-27 - 2006-09-02,+86%
2006-09-03 - 2006-09-09,+90%
2006-09-10 - 2006-09-16,+114%
2006-09-17 - 2006-09-23,+95%
2006-09-24 - 2006-09-30,+95%
2006-10-01 - 2006-10-07,+90%
2006-10-08 - 2006-10-14,+100%
2006-10-15 - 2006-10-21,+105%
2006-10-22 - 2006-10-28,+100%
2006-10-29 - 2006-11-04,+105%
2006-11-05 - 2006-11-11,+105%
2006-11-12 - 2006-11-18,+105%
2006-11-19 - 2006-11-25,+95%
2006-11-26 - 2006-12-02,+105%
2006-12-03 - 2006-12-09,+110%
2006-12-10 - 2006-12-16,+100%
2006-12-17 - 2006-12-23,+105%
2006-12-24 - 2006-12-30,+129%
2006-12-31 - 2007-01-06,+124%
2007-01-07 - 2007-01-13,+110%
2007-01-14 - 2007-01-20,+110%
2007-01-21 - 2007-01-27,+110%
2007-01-28 - 2007-02-03,+124%
2007-02-04 - 2007-02-10,+124%
2007-02-11 - 2007-02-17,+129%
2007-02-18 - 2007-02-24,+119%
2007-02-25 - 2007-03-03,+114%
2007-03-04 - 2007-03-10,+110%
2007-03-11 - 2007-03-17,+133%
2007-03-18 - 2007-03-24,+114%
2007-03-25 - 2007-03-31,+114%
2007-04-01 - 2007-04-07,+124%
2007-04-08 - 2007-04-14,+129%
2007-04-15 - 2007-04-21,+105%
2007-04-22 - 2007-04-28,+110%
2007-04-29 - 2007-05-05,+105%
2007-05-06 - 2007-05-12,+105%
2007-05-13 - 2007-05-19,+100%
2007-05-20 - 2007-05-26,+105%
2007-05-27 - 2007-06-02,+95%
2007-06-03 - 2007-06-09,+110%
2007-06-10 - 2007-06-16,+105%
2007-06-17 - 2007-06-23,+105%
2007-06-24 - 2007-06-30,+105%
2007-07-01 - 2007-07-07,+95%
2007-07-08 - 2007-07-14,+95%
2007-07-15 - 2007-07-21,+90%
2007-07-22 - 2007-07-28,+95%
2007-07-29 - 2007-08-04,+90%
2007-08-05 - 2007-08-11,+90%
2007-08-12 - 2007-08-18,+110%
2007-08-19 - 2007-08-25,+100%
2007-08-26 - 2007-09-01,+95%
2007-09-02 - 2007-09-08,+95%
2007-09-09 - 2007-09-15,+114%
2007-09-16 - 2007-09-22,+110%
2007-09-23 - 2007-09-29,+119%
2007-09-30 - 2007-10-06,+119%
2007-10-07 - 2007-10-13,+110%
2007-10-14 - 2007-10-20,+129%
2007-10-21 - 2007-10-27,+119%
2007-10-28 - 2007-11-03,+133%
2007-11-04 - 2007-11-10,+124%
2007-11-11 - 2007-11-17,+133%
2007-11-18 - 2007-11-24,+148%
2007-11-25 - 2007-12-01,+133%
2007-12-02 - 2007-12-08,+133%
2007-12-09 - 2007-12-15,+133%
2007-12-16 - 2007-12-22,+143%
2007-12-23 - 2007-12-29,+171%
2007-12-30 - 2008-01-05,+143%
2008-01-06 - 2008-01-12,+143%
2008-01-13 - 2008-01-19,+138%
2008-01-20 - 2008-01-26,+133%
2008-01-27 - 2008-02-02,+133%
2008-02-03 - 2008-02-09,+148%
2008-02-10 - 2008-02-16,+133%
2008-02-17 - 2008-02-23,+133%
2008-02-24 - 2008-03-01,+152%
2008-03-02 - 2008-03-08,+133%
2008-03-09 - 2008-03-15,+129%
2008-03-16 - 2008-03-22,+133%
2008-03-23 - 2008-03-29,+138%
2008-03-30 - 2008-04-05,+129%
2008-04-06 - 2008-04-12,+119%
2008-04-13 - 2008-04-19,+124%
2008-04-20 - 2008-04-26,+129%
2008-04-27 - 2008-05-03,+124%
2008-05-04 - 2008-05-10,+119%
2008-05-11 - 2008-05-17,+119%
2008-05-18 - 2008-05-24,+129%
2008-05-25 - 2008-05-31,+129%
2008-06-01 - 2008-06-07,+129%
2008-06-08 - 2008-06-14,+129%
2008-06-15 - 2008-06-21,+129%
2008-06-22 - 2008-06-28,+133%
2008-06-29 - 2008-07-05,+133%
2008-07-06 - 2008-07-12,+119%
2008-07-13 - 2008-07-19,+119%
2008-07-20 - 2008-07-26,+124%
2008-07-27 - 2008-08-02,+129%
2008-08-03 - 2008-08-09,+119%
2008-08-10 - 2008-08-16,+114%
2008-08-17 - 2008-08-23,+110%
2008-08-24 - 2008-08-30,+133%
2008-08-31 - 2008-09-06,+138%
2008-09-07 - 2008-09-13,+167%
2008-09-14 - 2008-09-20,+143%
2008-09-21 - 2008-09-27,+148%
2008-09-28 - 2008-10-04,+148%
2008-10-05 - 2008-10-11,+157%
2008-10-12 - 2008-10-18,+157%
2008-10-19 - 2008-10-25,+152%
2008-10-26 - 2008-11-01,+152%
2008-11-02 - 2008-11-08,+162%
2008-11-09 - 2008-11-15,+157%
2008-11-16 - 2008-11-22,+162%
2008-11-23 - 2008-11-29,+152%
2008-11-30 - 2008-12-06,+152%
2008-12-07 - 2008-12-13,+167%
2008-12-14 - 2008-12-20,+224%
2008-12-21 - 2008-12-27,+252%
2008-12-28 - 2009-01-03,+233%
2009-01-04 - 2009-01-10,+233%
2009-01-11 - 2009-01-17,+238%
2009-01-18 - 2009-01-24,+243%
2009-01-25 - 2009-01-31,+238%
2009-02-01 - 2009-02-07,+248%
2009-02-08 - 2009-02-14,+248%
2009-02-15 - 2009-02-21,+248%
2009-02-22 - 2009-02-28,+252%
2009-03-01 - 2009-03-07,+257%
2009-03-08 - 2009-03-14,+276%
2009-03-15 - 2009-03-21,+271%
2009-03-22 - 2009-03-28,+267%
2009-03-29 - 2009-04-04,+262%
2009-04-05 - 2009-04-11,+262%
2009-04-12 - 2009-04-18,+257%
2009-04-19 - 2009-04-25,+248%
2009-04-26 - 2009-05-02,+248%
2009-05-03 - 2009-05-09,+252%
2009-05-10 - 2009-05-16,+262%
2009-05-17 - 2009-05-23,+271%
2009-05-24 - 2009-05-30,+257%
2009-05-31 - 2009-06-06,+257%
2009-06-07 - 2009-06-13,+252%
2009-06-14 - 2009-06-20,+271%
2009-06-21 - 2009-06-27,+267%
2009-06-28 - 2009-07-04,+271%
2009-07-05 - 2009-07-11,+276%
2009-07-12 - 2009-07-18,+267%
2009-07-19 - 2009-07-25,+252%
2009-07-26 - 2009-08-01,+257%
2009-08-02 - 2009-08-08,+248%
2009-08-09 - 2009-08-15,+229%
2009-08-16 - 2009-08-22,+229%
2009-08-23 - 2009-08-29,+243%
2009-08-30 - 2009-09-05,+257%
2009-09-06 - 2009-09-12,+262%
2009-09-13 - 2009-09-19,+295%
2009-09-20 - 2009-09-26,+276%
2009-09-27 - 2009-10-03,+267%
2009-10-04 - 2009-10-10,+267%
2009-10-11 - 2009-10-17,+276%
2009-10-18 - 2009-10-24,+262%
2009-10-25 - 2009-10-31,+262%
2009-11-01 - 2009-11-07,+290%
2009-11-08 - 2009-11-14,+295%
2009-11-15 - 2009-11-21,+295%
2009-11-22 - 2009-11-28,+286%
2009-11-29 - 2009-12-05,+286%
2009-12-06 - 2009-12-12,+276%
2009-12-13 - 2009-12-19,+286%
2009-12-20 - 2009-12-26,+290%
2009-12-27 - 2010-01-02,+276%
2010-01-03 - 2010-01-09,+257%
2010-01-10 - 2010-01-16,+286%
2010-01-17 - 2010-01-23,+290%
2010-01-24 - 2010-01-30,+286%
2010-01-31 - 2010-02-06,+286%
2010-02-07 - 2010-02-13,+290%
2010-02-14 - 2010-02-20,+300%
2010-02-21 - 2010-02-27,+300%
2010-02-28 - 2010-03-06,+305%
2010-03-07 - 2010-03-13,+314%
2010-03-14 - 2010-03-20,+310%
2010-03-21 - 2010-03-27,+310%
2010-03-28 - 2010-04-03,+286%
2010-04-04 - 2010-04-10,+305%
2010-04-11 - 2010-04-17,+314%
2010-04-18 - 2010-04-24,+295%
2010-04-25 - 2010-05-01,+290%
2010-05-02 - 2010-05-08,+300%
2010-05-09 - 2010-05-15,+290%
2010-05-16 - 2010-05-22,+295%
2010-05-23 - 2010-05-29,+290%
2010-05-30 - 2010-06-05,+295%
2010-06-06 - 2010-06-12,+290%
2010-06-13 - 2010-06-19,+286%
2010-06-20 - 2010-06-26,+305%
2010-06-27 - 2010-07-03,+305%
2010-07-04 - 2010-07-10,+300%
2010-07-11 - 2010-07-17,+295%
2010-07-18 - 2010-07-24,+290%
2010-07-25 - 2010-07-31,+286%
2010-08-01 - 2010-08-07,+281%
2010-08-08 - 2010-08-14,+243%
2010-08-15 - 2010-08-21,+233%
2010-08-22 - 2010-08-28,+257%
2010-08-29 - 2010-09-04,+271%
2010-09-05 - 2010-09-11,+267%
2010-09-12 - 2010-09-18,+271%
2010-09-19 - 2010-09-25,+305%
2010-09-26 - 2010-10-02,+295%
2010-10-03 - 2010-10-09,+295%
2010-10-10 - 2010-10-16,+319%
2010-10-17 - 2010-10-23,+305%
2010-10-24 - 2010-10-30,+310%
2010-10-31 - 2010-11-06,+305%
2010-11-07 - 2010-11-13,+324%
2010-11-14 - 2010-11-20,+310%
2010-11-21 - 2010-11-27,+310%
2010-11-28 - 2010-12-04,+329%
2010-12-05 - 2010-12-11,+310%
2010-12-12 - 2010-12-18,+300%
2010-12-19 - 2010-12-25,+338%
2010-12-26 - 2011-01-01,+310%
2011-01-02 - 2011-01-08,+300%
2011-01-09 - 2011-01-15,+338%
2011-01-16 - 2011-01-22,+338%
2011-01-23 - 2011-01-29,+343%
2011-01-30 - 2011-02-05,+348%
2011-02-06 - 2011-02-12,+352%
2011-02-13 - 2011-02-19,+352%
2011-02-20 - 2011-02-26,+357%
2011-02-27 - 2011-03-05,+362%
2011-03-06 - 2011-03-12,+352%
2011-03-13 - 2011-03-19,+343%
2011-03-20 - 2011-03-26,+367%
2011-03-27 - 2011-04-02,+376%
2011-04-03 - 2011-04-09,+362%
2011-04-10 - 2011-04-16,+371%
2011-04-17 - 2011-04-23,+362%
2011-04-24 - 2011-04-30,+348%
2011-05-01 - 2011-05-07,+367%
2011-05-08 - 2011-05-14,+352%
2011-05-15 - 2011-05-21,+310%
2011-05-22 - 2011-05-28,+333%
2011-05-29 - 2011-06-04,+310%
2011-06-05 - 2011-06-11,+333%
2011-06-12 - 2011-06-18,+329%
2011-06-19 - 2011-06-25,+329%
2011-06-26 - 2011-07-02,+310%
2011-07-03 - 2011-07-09,+338%
2011-07-10 - 2011-07-16,+319%
2011-07-17 - 2011-07-23,+300%
2011-07-24 - 2011-07-30,+314%
2011-07-31 - 2011-08-06,+319%
2011-08-07 - 2011-08-13,+286%
2011-08-14 - 2011-08-20,+271%
2011-08-21 - 2011-08-27,+276%
2011-08-28 - 2011-09-03,+305%
2011-09-04 - 2011-09-10,+305%
2011-09-11 - 2011-09-17,+314%
2011-09-18 - 2011-09-24,+295%
2011-09-25 - 2011-10-01,+338%
2011-10-02 - 2011-10-08,+324%
2011-10-09 - 2011-10-15,+329%
2011-10-16 - 2011-10-22,+310%
2011-10-23 - 2011-10-29,+305%
2011-10-30 - 2011-11-05,+290%
2011-11-06 - 2011-11-12,+338%
2011-11-13 - 2011-11-19,+348%
2011-11-20 - 2011-11-26,+343%
2011-11-27 - 2011-12-03,+333%
2011-12-04 - 2011-12-10,+310%
2011-12-11 - 2011-12-17,+343%
2011-12-18 - 2011-12-24,+333%
2011-12-25 - 2011-12-31,+329%
2012-01-01 - 2012-01-07,+290%
2012-01-08 - 2012-01-14,+329%
2012-01-15 - 2012-01-21,+329%
2012-01-22 - 2012-01-28,+338%
2012-01-29 - 2012-02-04,+329%
2012-02-05 - 2012-02-11,+333%
2012-02-12 - 2012-02-18,+352%
2012-02-19 - 2012-02-25,+352%
2012-02-26 - 2012-03-03,+352%
2012-03-04 - 2012-03-10,+338%
2012-03-11 - 2012-03-17,+357%
2012-03-18 - 2012-03-24,+352%
2012-03-25 - 2012-03-31,+367%
2012-04-01 - 2012-04-07,+338%
2012-04-08 - 2012-04-14,+343%
2012-04-15 - 2012-04-21,+348%
2012-04-22 - 2012-04-28,+333%
2012-04-29 - 2012-05-05,+324%
2012-05-06 - 2012-05-12,+333%
2012-05-13 - 2012-05-19,+338%
2012-05-20 - 2012-05-26,+324%
2012-05-27 - 2012-06-02,+329%
2012-06-03 - 2012-06-09,+324%
2012-06-10 - 2012-06-16,+338%
2012-06-17 - 2012-06-23,+338%
2012-06-24 - 2012-06-30,+338%
2012-07-01 - 2012-07-07,+324%
2012-07-08 - 2012-07-14,+343%
2012-07-15 - 2012-07-21,+319%
2012-07-22 - 2012-07-28,+314%
2012-07-29 - 2012-08-04,+310%
2012-08-05 - 2012-08-11,+310%
2012-08-12 - 2012-08-18,+262%
2012-08-19 - 2012-08-25,+281%
2012-08-26 - 2012-09-01,+290%
2012-09-02 - 2012-09-08,+314%
2012-09-09 - 2012-09-15,+305%
2012-09-16 - 2012-09-22,+314%
2012-09-23 - 2012-09-29,+324%
2012-09-30 - 2012-10-06,+348%
2012-10-07 - 2012-10-13,+357%
2012-10-14 - 2012-10-20,+362%
2012-10-21 - 2012-10-27,+367%
2012-10-28 - 2012-11-03,+329%
2012-11-04 - 2012-11-10,+357%
2012-11-11 - 2012-11-17,+367%
2012-11-18 - 2012-11-24,+357%
2012-11-25 - 2012-12-01, 



Top searches
mail,100
mail libero,55
libero,50
msn,25
alice,20
alice mail,20
yahoo,15
yahoo mail,15
virgilio,10
hotmail,10
virgilio mail,10
messenger,10
skype,5
posta,5
twitter,5
gmail,5
windows live,5
email,0
msn hotmail,0
messenger live,0



Rising searches
alice mail,Breakout
twitter,Breakout
windows live,Breakout
mail libero,+4,600%
mail,+600%
libero,+450%
virgilio mail,+350%
yahoo mail,+350%
gmail,+200%
alice,+150%



