Web Search Interest
Italy; 2004 - present

Interest over time
Week,Auctions
2009-11-01 - 2009-11-07,+233%
2009-11-08 - 2009-11-14,+240%
2009-11-15 - 2009-11-21,+260%
2009-11-22 - 2009-11-28,+233%
2009-11-29 - 2009-12-05,+227%
2009-12-06 - 2009-12-12,+247%
2009-12-13 - 2009-12-19,+220%
2009-12-20 - 2009-12-26,+207%
2009-12-27 - 2010-01-02,+213%
2010-01-03 - 2010-01-09,+207%
2010-01-10 - 2010-01-16,+187%
2010-01-17 - 2010-01-23,+193%
2010-01-24 - 2010-01-30,+173%
2010-01-31 - 2010-02-06,+167%
2010-02-07 - 2010-02-13,+167%
2010-02-14 - 2010-02-20,+160%
2010-02-21 - 2010-02-27,+160%
2010-02-28 - 2010-03-06,+160%
2010-03-07 - 2010-03-13,+167%
2010-03-14 - 2010-03-20,+160%
2010-03-21 - 2010-03-27,+153%
2010-03-28 - 2010-04-03,+147%
2010-04-04 - 2010-04-10,+167%
2010-04-11 - 2010-04-17,+147%
2010-04-18 - 2010-04-24,+147%
2010-04-25 - 2010-05-01,+147%
2010-05-02 - 2010-05-08,+147%
2010-05-09 - 2010-05-15,+153%
2010-05-16 - 2010-05-22,+153%
2010-05-23 - 2010-05-29,+140%
2010-05-30 - 2010-06-05,+147%
2010-06-06 - 2010-06-12,+140%
2010-06-13 - 2010-06-19,+133%
2010-06-20 - 2010-06-26,+127%
2010-06-27 - 2010-07-03,+127%
2010-07-04 - 2010-07-10,+147%
2010-07-11 - 2010-07-17,+140%
2010-07-18 - 2010-07-24,+153%
2010-07-25 - 2010-07-31,+160%
2010-08-01 - 2010-08-07,+153%
2010-08-08 - 2010-08-14,+173%
2010-08-15 - 2010-08-21,+180%
2010-08-22 - 2010-08-28,+173%
2010-08-29 - 2010-09-04,+160%
2010-09-05 - 2010-09-11,+160%
2010-09-12 - 2010-09-18,+160%
2010-09-19 - 2010-09-25,+180%
2010-09-26 - 2010-10-02,+180%
2010-10-03 - 2010-10-09,+180%
2010-10-10 - 2010-10-16,+180%
2010-10-17 - 2010-10-23,+187%
2010-10-24 - 2010-10-30,+173%
2010-10-31 - 2010-11-06,+180%
2010-11-07 - 2010-11-13,+173%
2010-11-14 - 2010-11-20,+180%
2010-11-21 - 2010-11-27,+187%
2010-11-28 - 2010-12-04,+187%
2010-12-05 - 2010-12-11,+200%
2010-12-12 - 2010-12-18,+200%
2010-12-19 - 2010-12-25,+173%
2010-12-26 - 2011-01-01,+180%
2011-01-02 - 2011-01-08,+193%
2011-01-09 - 2011-01-15,+187%
2011-01-16 - 2011-01-22,+193%
2011-01-23 - 2011-01-29,+187%
2011-01-30 - 2011-02-05,+173%
2011-02-06 - 2011-02-12,+187%
2011-02-13 - 2011-02-19,+167%
2011-02-20 - 2011-02-26,+173%
2011-02-27 - 2011-03-05,+167%
2011-03-06 - 2011-03-12,+167%
2011-03-13 - 2011-03-19,+167%
2011-03-20 - 2011-03-26,+173%
2011-03-27 - 2011-04-02,+187%
2011-04-03 - 2011-04-09,+173%
2011-04-10 - 2011-04-16,+167%
2011-04-17 - 2011-04-23,+167%
2011-04-24 - 2011-04-30,+167%
2011-05-01 - 2011-05-07,+160%
2011-05-08 - 2011-05-14,+180%
2011-05-15 - 2011-05-21,+173%
2011-05-22 - 2011-05-28,+173%
2011-05-29 - 2011-06-04,+167%
2011-06-05 - 2011-06-11,+167%
2011-06-12 - 2011-06-18,+160%
2011-06-19 - 2011-06-25,+160%
2011-06-26 - 2011-07-02,+160%
2011-07-03 - 2011-07-09,+167%
2011-07-10 - 2011-07-16,+147%
2011-07-17 - 2011-07-23,+153%
2011-07-24 - 2011-07-30,+167%
2011-07-31 - 2011-08-06,+160%
2011-08-07 - 2011-08-13,+160%
2011-08-14 - 2011-08-20,+173%
2011-08-21 - 2011-08-27,+160%
2011-08-28 - 2011-09-03,+160%
2011-09-04 - 2011-09-10,+153%
2011-09-11 - 2011-09-17,+160%
2011-09-18 - 2011-09-24,+180%
2011-09-25 - 2011-10-01,+180%
2011-10-02 - 2011-10-08,+173%
2011-10-09 - 2011-10-15,+187%
2011-10-16 - 2011-10-22,+207%
2011-10-23 - 2011-10-29,+193%
2011-10-30 - 2011-11-05,+233%
2011-11-06 - 2011-11-12,+247%
2011-11-13 - 2011-11-19,+253%
2011-11-20 - 2011-11-26,+253%
2011-11-27 - 2011-12-03,+253%
2011-12-04 - 2011-12-10,+247%
2011-12-11 - 2011-12-17,+267%
2011-12-18 - 2011-12-24,+227%
2011-12-25 - 2011-12-31,+240%
2012-01-01 - 2012-01-07,+247%
2012-01-08 - 2012-01-14,+227%
2012-01-15 - 2012-01-21,+227%
2012-01-22 - 2012-01-28,+207%
2012-01-29 - 2012-02-04,+207%
2012-02-05 - 2012-02-11,+213%
2012-02-12 - 2012-02-18,+220%
2012-02-19 - 2012-02-25,+227%
2012-02-26 - 2012-03-03,+220%
2012-03-04 - 2012-03-10,+220%
2012-03-11 - 2012-03-17,+220%
2012-03-18 - 2012-03-24,+213%
2012-03-25 - 2012-03-31,+227%
2012-04-01 - 2012-04-07,+213%
2012-04-08 - 2012-04-14,+227%
2012-04-15 - 2012-04-21,+213%
2012-04-22 - 2012-04-28,+207%
2012-04-29 - 2012-05-05,+213%
2012-05-06 - 2012-05-12,+207%
2012-05-13 - 2012-05-19,+207%
2012-05-20 - 2012-05-26,+187%
2012-05-27 - 2012-06-02,+193%
2012-06-03 - 2012-06-09,+193%
2012-06-10 - 2012-06-16,+187%
2012-06-17 - 2012-06-23,+180%
2012-06-24 - 2012-06-30,+187%
2012-07-01 - 2012-07-07,+193%
2012-07-08 - 2012-07-14,+200%
2012-07-15 - 2012-07-21,+207%
2012-07-22 - 2012-07-28,+213%
2012-07-29 - 2012-08-04,+207%
2012-08-05 - 2012-08-11,+200%
2012-08-12 - 2012-08-18,+207%
2012-08-19 - 2012-08-25,+207%
2012-08-26 - 2012-09-01,+220%
2012-09-02 - 2012-09-08,+227%
2012-09-09 - 2012-09-15,+240%
2012-09-16 - 2012-09-22,+240%
2012-09-23 - 2012-09-29,+233%
2012-09-30 - 2012-10-06,+247%
2012-10-07 - 2012-10-13,+253%
2012-10-14 - 2012-10-20,+253%
2012-10-21 - 2012-10-27,+233%
2012-10-28 - 2012-11-03,+240%
2012-11-04 - 2012-11-10,+247%
2012-11-11 - 2012-11-17,+240%
2012-11-18 - 2012-11-24,+267%
2012-11-25 - 2012-12-01, 



Top searches
ebay,100
n95,0
nokia n95,0
vendite giudiziarie,0
aste giudiziarie,0
aste ribasso,0
ebai,0
istituto vendite giudiziarie,0
aste al ribasso,0
n95 8gb,0
nokia n95 8gb,0
asta giudiziaria,0
vendere su ebay,0
ebay.com,0
ebay it,0
ebay aste,0
asta bot,0
ebay.de,0
ebay de,0
ebay .it,0



Rising searches
aste al ribasso,Breakout
aste ribasso,Breakout
n95,Breakout
n95 8gb,Breakout
nokia n95,Breakout
ebay,+40%



