Web Search Interest
Italy; 2004 - present

Interest over time
Week,Consumer Electronics
2006-04-16 - 2006-04-22,-39%
2006-04-23 - 2006-04-29,-36%
2006-04-30 - 2006-05-06,-38%
2006-05-07 - 2006-05-13,-40%
2006-05-14 - 2006-05-20,-41%
2006-05-21 - 2006-05-27,-42%
2006-05-28 - 2006-06-03,-41%
2006-06-04 - 2006-06-10,-37%
2006-06-11 - 2006-06-17,-40%
2006-06-18 - 2006-06-24,-45%
2006-06-25 - 2006-07-01,-43%
2006-07-02 - 2006-07-08,-41%
2006-07-09 - 2006-07-15,-43%
2006-07-16 - 2006-07-22,-39%
2006-07-23 - 2006-07-29,-38%
2006-07-30 - 2006-08-05,-36%
2006-08-06 - 2006-08-12,-33%
2006-08-13 - 2006-08-19,-25%
2006-08-20 - 2006-08-26,-29%
2006-08-27 - 2006-09-02,-32%
2006-09-03 - 2006-09-09,-38%
2006-09-10 - 2006-09-16,-38%
2006-09-17 - 2006-09-23,-39%
2006-09-24 - 2006-09-30,-39%
2006-10-01 - 2006-10-07,-37%
2006-10-08 - 2006-10-14,-36%
2006-10-15 - 2006-10-21,-38%
2006-10-22 - 2006-10-28,-39%
2006-10-29 - 2006-11-04,-32%
2006-11-05 - 2006-11-11,-33%
2006-11-12 - 2006-11-18,-33%
2006-11-19 - 2006-11-25,-32%
2006-11-26 - 2006-12-02,-30%
2006-12-03 - 2006-12-09,-21%
2006-12-10 - 2006-12-16,-21%
2006-12-17 - 2006-12-23,-18%
2006-12-24 - 2006-12-30,-13%
2006-12-31 - 2007-01-06,-23%
2007-01-07 - 2007-01-13,-34%
2007-01-14 - 2007-01-20,-38%
2007-01-21 - 2007-01-27,-41%
2007-01-28 - 2007-02-03,-41%
2007-02-04 - 2007-02-10,-42%
2007-02-11 - 2007-02-17,-43%
2007-02-18 - 2007-02-24,-43%
2007-02-25 - 2007-03-03,-44%
2007-03-04 - 2007-03-10,-43%
2007-03-11 - 2007-03-17,-44%
2007-03-18 - 2007-03-24,-41%
2007-03-25 - 2007-03-31,-41%
2007-04-01 - 2007-04-07,-42%
2007-04-08 - 2007-04-14,-41%
2007-04-15 - 2007-04-21,-46%
2007-04-22 - 2007-04-28,-46%
2007-04-29 - 2007-05-05,-43%
2007-05-06 - 2007-05-12,-45%
2007-05-13 - 2007-05-19,-46%
2007-05-20 - 2007-05-26,-47%
2007-05-27 - 2007-06-02,-47%
2007-06-03 - 2007-06-09,-46%
2007-06-10 - 2007-06-16,-46%
2007-06-17 - 2007-06-23,-48%
2007-06-24 - 2007-06-30,-47%
2007-07-01 - 2007-07-07,-46%
2007-07-08 - 2007-07-14,-45%
2007-07-15 - 2007-07-21,-43%
2007-07-22 - 2007-07-28,-42%
2007-07-29 - 2007-08-04,-41%
2007-08-05 - 2007-08-11,-41%
2007-08-12 - 2007-08-18,-37%
2007-08-19 - 2007-08-25,-39%
2007-08-26 - 2007-09-01,-41%
2007-09-02 - 2007-09-08,-43%
2007-09-09 - 2007-09-15,-46%
2007-09-16 - 2007-09-22,-48%
2007-09-23 - 2007-09-29,-47%
2007-09-30 - 2007-10-06,-45%
2007-10-07 - 2007-10-13,-45%
2007-10-14 - 2007-10-20,-46%
2007-10-21 - 2007-10-27,-47%
2007-10-28 - 2007-11-03,-40%
2007-11-04 - 2007-11-10,-44%
2007-11-11 - 2007-11-17,-42%
2007-11-18 - 2007-11-24,-40%
2007-11-25 - 2007-12-01,-36%
2007-12-02 - 2007-12-08,-34%
2007-12-09 - 2007-12-15,-30%
2007-12-16 - 2007-12-22,-30%
2007-12-23 - 2007-12-29,-19%
2007-12-30 - 2008-01-05,-32%
2008-01-06 - 2008-01-12,-41%
2008-01-13 - 2008-01-19,-45%
2008-01-20 - 2008-01-26,-49%
2008-01-27 - 2008-02-02,-48%
2008-02-03 - 2008-02-09,-48%
2008-02-10 - 2008-02-16,-48%
2008-02-17 - 2008-02-23,-49%
2008-02-24 - 2008-03-01,-51%
2008-03-02 - 2008-03-08,-51%
2008-03-09 - 2008-03-15,-48%
2008-03-16 - 2008-03-22,-50%
2008-03-23 - 2008-03-29,-49%
2008-03-30 - 2008-04-05,-52%
2008-04-06 - 2008-04-12,-51%
2008-04-13 - 2008-04-19,-53%
2008-04-20 - 2008-04-26,-52%
2008-04-27 - 2008-05-03,-51%
2008-05-04 - 2008-05-10,-51%
2008-05-11 - 2008-05-17,-53%
2008-05-18 - 2008-05-24,-51%
2008-05-25 - 2008-05-31,-52%
2008-06-01 - 2008-06-07,-53%
2008-06-08 - 2008-06-14,-52%
2008-06-15 - 2008-06-21,-52%
2008-06-22 - 2008-06-28,-54%
2008-06-29 - 2008-07-05,-50%
2008-07-06 - 2008-07-12,-52%
2008-07-13 - 2008-07-19,-51%
2008-07-20 - 2008-07-26,-50%
2008-07-27 - 2008-08-02,-49%
2008-08-03 - 2008-08-09,-49%
2008-08-10 - 2008-08-16,-48%
2008-08-17 - 2008-08-23,-47%
2008-08-24 - 2008-08-30,-46%
2008-08-31 - 2008-09-06,-49%
2008-09-07 - 2008-09-13,-52%
2008-09-14 - 2008-09-20,-52%
2008-09-21 - 2008-09-27,-52%
2008-09-28 - 2008-10-04,-51%
2008-10-05 - 2008-10-11,-53%
2008-10-12 - 2008-10-18,-53%
2008-10-19 - 2008-10-25,-54%
2008-10-26 - 2008-11-01,-54%
2008-11-02 - 2008-11-08,-52%
2008-11-09 - 2008-11-15,-52%
2008-11-16 - 2008-11-22,-50%
2008-11-23 - 2008-11-29,-49%
2008-11-30 - 2008-12-06,-45%
2008-12-07 - 2008-12-13,-41%
2008-12-14 - 2008-12-20,-42%
2008-12-21 - 2008-12-27,-33%
2008-12-28 - 2009-01-03,-37%
2009-01-04 - 2009-01-10,-45%
2009-01-11 - 2009-01-17,-51%
2009-01-18 - 2009-01-24,-55%
2009-01-25 - 2009-01-31,-56%
2009-02-01 - 2009-02-07,-56%
2009-02-08 - 2009-02-14,-56%
2009-02-15 - 2009-02-21,-59%
2009-02-22 - 2009-02-28,-56%
2009-03-01 - 2009-03-07,-56%
2009-03-08 - 2009-03-14,-57%
2009-03-15 - 2009-03-21,-58%
2009-03-22 - 2009-03-28,-57%
2009-03-29 - 2009-04-04,-56%
2009-04-05 - 2009-04-11,-59%
2009-04-12 - 2009-04-18,-57%
2009-04-19 - 2009-04-25,-61%
2009-04-26 - 2009-05-02,-57%
2009-05-03 - 2009-05-09,-60%
2009-05-10 - 2009-05-16,-61%
2009-05-17 - 2009-05-23,-62%
2009-05-24 - 2009-05-30,-61%
2009-05-31 - 2009-06-06,-58%
2009-06-07 - 2009-06-13,-62%
2009-06-14 - 2009-06-20,-61%
2009-06-21 - 2009-06-27,-60%
2009-06-28 - 2009-07-04,-59%
2009-07-05 - 2009-07-11,-59%
2009-07-12 - 2009-07-18,-60%
2009-07-19 - 2009-07-25,-58%
2009-07-26 - 2009-08-01,-58%
2009-08-02 - 2009-08-08,-56%
2009-08-09 - 2009-08-15,-56%
2009-08-16 - 2009-08-22,-54%
2009-08-23 - 2009-08-29,-56%
2009-08-30 - 2009-09-05,-57%
2009-09-06 - 2009-09-12,-58%
2009-09-13 - 2009-09-19,-59%
2009-09-20 - 2009-09-26,-60%
2009-09-27 - 2009-10-03,-61%
2009-10-04 - 2009-10-10,-59%
2009-10-11 - 2009-10-17,-59%
2009-10-18 - 2009-10-24,-61%
2009-10-25 - 2009-10-31,-60%
2009-11-01 - 2009-11-07,-58%
2009-11-08 - 2009-11-14,-57%
2009-11-15 - 2009-11-21,-55%
2009-11-22 - 2009-11-28,-55%
2009-11-29 - 2009-12-05,-53%
2009-12-06 - 2009-12-12,-47%
2009-12-13 - 2009-12-19,-49%
2009-12-20 - 2009-12-26,-48%
2009-12-27 - 2010-01-02,-46%
2010-01-03 - 2010-01-09,-53%
2010-01-10 - 2010-01-16,-59%
2010-01-17 - 2010-01-23,-60%
2010-01-24 - 2010-01-30,-61%
2010-01-31 - 2010-02-06,-62%
2010-02-07 - 2010-02-13,-62%
2010-02-14 - 2010-02-20,-63%
2010-02-21 - 2010-02-27,-63%
2010-02-28 - 2010-03-06,-62%
2010-03-07 - 2010-03-13,-63%
2010-03-14 - 2010-03-20,-64%
2010-03-21 - 2010-03-27,-63%
2010-03-28 - 2010-04-03,-64%
2010-04-04 - 2010-04-10,-62%
2010-04-11 - 2010-04-17,-64%
2010-04-18 - 2010-04-24,-64%
2010-04-25 - 2010-05-01,-64%
2010-05-02 - 2010-05-08,-63%
2010-05-09 - 2010-05-15,-62%
2010-05-16 - 2010-05-22,-62%
2010-05-23 - 2010-05-29,-64%
2010-05-30 - 2010-06-05,-63%
2010-06-06 - 2010-06-12,-64%
2010-06-13 - 2010-06-19,-63%
2010-06-20 - 2010-06-26,-64%
2010-06-27 - 2010-07-03,-64%
2010-07-04 - 2010-07-10,-64%
2010-07-11 - 2010-07-17,-65%
2010-07-18 - 2010-07-24,-65%
2010-07-25 - 2010-07-31,-62%
2010-08-01 - 2010-08-07,-62%
2010-08-08 - 2010-08-14,-62%
2010-08-15 - 2010-08-21,-61%
2010-08-22 - 2010-08-28,-62%
2010-08-29 - 2010-09-04,-61%
2010-09-05 - 2010-09-11,-64%
2010-09-12 - 2010-09-18,-64%
2010-09-19 - 2010-09-25,-65%
2010-09-26 - 2010-10-02,-62%
2010-10-03 - 2010-10-09,-63%
2010-10-10 - 2010-10-16,-63%
2010-10-17 - 2010-10-23,-63%
2010-10-24 - 2010-10-30,-63%
2010-10-31 - 2010-11-06,-61%
2010-11-07 - 2010-11-13,-62%
2010-11-14 - 2010-11-20,-61%
2010-11-21 - 2010-11-27,-59%
2010-11-28 - 2010-12-04,-56%
2010-12-05 - 2010-12-11,-52%
2010-12-12 - 2010-12-18,-56%
2010-12-19 - 2010-12-25,-53%
2010-12-26 - 2011-01-01,-53%
2011-01-02 - 2011-01-08,-57%
2011-01-09 - 2011-01-15,-62%
2011-01-16 - 2011-01-22,-64%
2011-01-23 - 2011-01-29,-65%
2011-01-30 - 2011-02-05,-67%
2011-02-06 - 2011-02-12,-65%
2011-02-13 - 2011-02-19,-66%
2011-02-20 - 2011-02-26,-67%
2011-02-27 - 2011-03-05,-65%
2011-03-06 - 2011-03-12,-65%
2011-03-13 - 2011-03-19,-66%
2011-03-20 - 2011-03-26,-65%
2011-03-27 - 2011-04-02,-65%
2011-04-03 - 2011-04-09,-68%
2011-04-10 - 2011-04-16,-67%
2011-04-17 - 2011-04-23,-66%
2011-04-24 - 2011-04-30,-62%
2011-05-01 - 2011-05-07,-62%
2011-05-08 - 2011-05-14,-63%
2011-05-15 - 2011-05-21,-65%
2011-05-22 - 2011-05-28,-66%
2011-05-29 - 2011-06-04,-66%
2011-06-05 - 2011-06-11,-66%
2011-06-12 - 2011-06-18,-66%
2011-06-19 - 2011-06-25,-67%
2011-06-26 - 2011-07-02,-65%
2011-07-03 - 2011-07-09,-66%
2011-07-10 - 2011-07-16,-67%
2011-07-17 - 2011-07-23,-66%
2011-07-24 - 2011-07-30,-64%
2011-07-31 - 2011-08-06,-64%
2011-08-07 - 2011-08-13,-65%
2011-08-14 - 2011-08-20,-64%
2011-08-21 - 2011-08-27,-64%
2011-08-28 - 2011-09-03,-65%
2011-09-04 - 2011-09-10,-66%
2011-09-11 - 2011-09-17,-68%
2011-09-18 - 2011-09-24,-66%
2011-09-25 - 2011-10-01,-65%
2011-10-02 - 2011-10-08,-64%
2011-10-09 - 2011-10-15,-63%
2011-10-16 - 2011-10-22,-65%
2011-10-23 - 2011-10-29,-65%
2011-10-30 - 2011-11-05,-62%
2011-11-06 - 2011-11-12,-64%
2011-11-13 - 2011-11-19,-62%
2011-11-20 - 2011-11-26,-61%
2011-11-27 - 2011-12-03,-59%
2011-12-04 - 2011-12-10,-57%
2011-12-11 - 2011-12-17,-56%
2011-12-18 - 2011-12-24,-56%
2011-12-25 - 2011-12-31,-52%
2012-01-01 - 2012-01-07,-58%
2012-01-08 - 2012-01-14,-63%
2012-01-15 - 2012-01-21,-65%
2012-01-22 - 2012-01-28,-68%
2012-01-29 - 2012-02-04,-68%
2012-02-05 - 2012-02-11,-67%
2012-02-12 - 2012-02-18,-68%
2012-02-19 - 2012-02-25,-67%
2012-02-26 - 2012-03-03,-67%
2012-03-04 - 2012-03-10,-67%
2012-03-11 - 2012-03-17,-67%
2012-03-18 - 2012-03-24,-68%
2012-03-25 - 2012-03-31,-67%
2012-04-01 - 2012-04-07,-68%
2012-04-08 - 2012-04-14,-67%
2012-04-15 - 2012-04-21,-67%
2012-04-22 - 2012-04-28,-68%
2012-04-29 - 2012-05-05,-66%
2012-05-06 - 2012-05-12,-68%
2012-05-13 - 2012-05-19,-67%
2012-05-20 - 2012-05-26,-67%
2012-05-27 - 2012-06-02,-68%
2012-06-03 - 2012-06-09,-68%
2012-06-10 - 2012-06-16,-68%
2012-06-17 - 2012-06-23,-69%
2012-06-24 - 2012-06-30,-69%
2012-07-01 - 2012-07-07,-67%
2012-07-08 - 2012-07-14,-68%
2012-07-15 - 2012-07-21,-68%
2012-07-22 - 2012-07-28,-67%
2012-07-29 - 2012-08-04,-68%
2012-08-05 - 2012-08-11,-67%
2012-08-12 - 2012-08-18,-65%
2012-08-19 - 2012-08-25,-67%
2012-08-26 - 2012-09-01,-65%
2012-09-02 - 2012-09-08,-65%
2012-09-09 - 2012-09-15,-66%
2012-09-16 - 2012-09-22,-66%
2012-09-23 - 2012-09-29,-65%
2012-09-30 - 2012-10-06,-65%
2012-10-07 - 2012-10-13,-67%
2012-10-14 - 2012-10-20,-66%
2012-10-21 - 2012-10-27,-67%
2012-10-28 - 2012-11-03,-67%
2012-11-04 - 2012-11-10,-66%
2012-11-11 - 2012-11-17,-66%
2012-11-18 - 2012-11-24,-64%
2012-11-25 - 2012-12-01, 



Top searches
sony,100
nikon,90
mediaworld,90
canon,85
samsung,75
xbox,75
euronics,65
nintendo,55
ps3,55
trony,55
ipod,55
unieuro,50
wii,50
psp,45
pokemon,45
garmin,40
ds,40
tomtom,40
xbox 360,40
panasonic,40



Rising searches
wii,Breakout
ps3,+3,550%
psp,+1,200%
nintendo,+450%
euronics,+300%
mediaworld,+250%
ipod,+200%
samsung,+200%
unieuro,+140%
trony,+110%



