Web Search Interest
Spain; 2004 - present

Interest over time
Week,Pharmaceuticals & Biotech
2010-08-08 - 2010-08-14,-60%
2010-08-15 - 2010-08-21,-57%
2010-08-22 - 2010-08-28,-51%
2010-08-29 - 2010-09-04,-49%
2010-09-05 - 2010-09-11,-47%
2010-09-12 - 2010-09-18,-43%
2010-09-19 - 2010-09-25,-40%
2010-09-26 - 2010-10-02,-43%
2010-10-03 - 2010-10-09,-43%
2010-10-10 - 2010-10-16,-49%
2010-10-17 - 2010-10-23,-43%
2010-10-24 - 2010-10-30,-38%
2010-10-31 - 2010-11-06,-44%
2010-11-07 - 2010-11-13,-43%
2010-11-14 - 2010-11-20,-44%
2010-11-21 - 2010-11-27,-38%
2010-11-28 - 2010-12-04,-44%
2010-12-05 - 2010-12-11,-53%
2010-12-12 - 2010-12-18,-41%
2010-12-19 - 2010-12-25,-54%
2010-12-26 - 2011-01-01,-57%
2011-01-02 - 2011-01-08,-57%
2011-01-09 - 2011-01-15,-44%
2011-01-16 - 2011-01-22,-46%
2011-01-23 - 2011-01-29,-43%
2011-01-30 - 2011-02-05,-44%
2011-02-06 - 2011-02-12,-40%
2011-02-13 - 2011-02-19,-41%
2011-02-20 - 2011-02-26,-38%
2011-02-27 - 2011-03-05,-40%
2011-03-06 - 2011-03-12,-46%
2011-03-13 - 2011-03-19,-44%
2011-03-20 - 2011-03-26,-44%
2011-03-27 - 2011-04-02,-43%
2011-04-03 - 2011-04-09,-44%
2011-04-10 - 2011-04-16,-46%
2011-04-17 - 2011-04-23,-59%
2011-04-24 - 2011-04-30,-50%
2011-05-01 - 2011-05-07,-46%
2011-05-08 - 2011-05-14,-43%
2011-05-15 - 2011-05-21,-44%
2011-05-22 - 2011-05-28,-41%
2011-05-29 - 2011-06-04,-40%
2011-06-05 - 2011-06-11,-41%
2011-06-12 - 2011-06-18,-47%
2011-06-19 - 2011-06-25,-50%
2011-06-26 - 2011-07-02,-51%
2011-07-03 - 2011-07-09,-44%
2011-07-10 - 2011-07-16,-47%
2011-07-17 - 2011-07-23,-50%
2011-07-24 - 2011-07-30,-51%
2011-07-31 - 2011-08-06,-57%
2011-08-07 - 2011-08-13,-62%
2011-08-14 - 2011-08-20,-68%
2011-08-21 - 2011-08-27,-59%
2011-08-28 - 2011-09-03,-54%
2011-09-04 - 2011-09-10,-51%
2011-09-11 - 2011-09-17,-47%
2011-09-18 - 2011-09-24,-44%
2011-09-25 - 2011-10-01,-43%
2011-10-02 - 2011-10-08,-46%
2011-10-09 - 2011-10-15,-51%
2011-10-16 - 2011-10-22,-44%
2011-10-23 - 2011-10-29,-46%
2011-10-30 - 2011-11-05,-53%
2011-11-06 - 2011-11-12,-46%
2011-11-13 - 2011-11-19,-44%
2011-11-20 - 2011-11-26,-46%
2011-11-27 - 2011-12-03,-47%
2011-12-04 - 2011-12-10,-59%
2011-12-11 - 2011-12-17,-46%
2011-12-18 - 2011-12-24,-51%
2011-12-25 - 2011-12-31,-62%
2012-01-01 - 2012-01-07,-53%
2012-01-08 - 2012-01-14,-37%
2012-01-15 - 2012-01-21,-46%
2012-01-22 - 2012-01-28,-44%
2012-01-29 - 2012-02-04,-44%
2012-02-05 - 2012-02-11,-40%
2012-02-12 - 2012-02-18,-40%
2012-02-19 - 2012-02-25,-34%
2012-02-26 - 2012-03-03,-41%
2012-03-04 - 2012-03-10,-40%
2012-03-11 - 2012-03-17,-41%
2012-03-18 - 2012-03-24,-44%
2012-03-25 - 2012-03-31,-44%
2012-04-01 - 2012-04-07,-53%
2012-04-08 - 2012-04-14,-46%
2012-04-15 - 2012-04-21,-40%
2012-04-22 - 2012-04-28,-44%
2012-04-29 - 2012-05-05,-51%
2012-05-06 - 2012-05-12,-38%
2012-05-13 - 2012-05-19,-44%
2012-05-20 - 2012-05-26,-43%
2012-05-27 - 2012-06-02,-44%
2012-06-03 - 2012-06-09,-41%
2012-06-10 - 2012-06-16,-43%
2012-06-17 - 2012-06-23,-47%
2012-06-24 - 2012-06-30,-43%
2012-07-01 - 2012-07-07,-43%
2012-07-08 - 2012-07-14,-47%
2012-07-15 - 2012-07-21,-44%
2012-07-22 - 2012-07-28,-47%
2012-07-29 - 2012-08-04,-51%
2012-08-05 - 2012-08-11,-62%
2012-08-12 - 2012-08-18,-62%
2012-08-19 - 2012-08-25,-57%
2012-08-26 - 2012-09-01,-56%
2012-09-02 - 2012-09-08,-49%
2012-09-09 - 2012-09-15,-46%
2012-09-16 - 2012-09-22,-40%
2012-09-23 - 2012-09-29,-46%
2012-09-30 - 2012-10-06,-44%
2012-10-07 - 2012-10-13,-47%
2012-10-14 - 2012-10-20,-46%
2012-10-21 - 2012-10-27,-41%
2012-10-28 - 2012-11-03,-50%
2012-11-04 - 2012-11-10,-44%
2012-11-11 - 2012-11-17,-47%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
laboratorios,100
farmaceuticos,40
clinique,35
pharma,30
novartis,25
farmaceutica,25
colegio farmaceuticos,20
pfizer,20
farmaceutico,20
upsa,15
fda,15
sanofi,15
teva,10
laboratorios farmaceuticos,10
aventis,10
cecofar,10
biotech,10
colegio de farmaceuticos,10
emea,10
farmaceuticas,10



Rising searches
actibios,Breakout
cecofar,Breakout
rovi,Breakout
the gossip,Breakout
upsa,+350%
teva,+170%
cinfa,+40%
colegio farmaceuticos,+40%



