Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Weather
2009-11-08 - 2009-11-14,+186%
2009-11-15 - 2009-11-21,+200%
2009-11-22 - 2009-11-28,+221%
2009-11-29 - 2009-12-05,+207%
2009-12-06 - 2009-12-12,+171%
2009-12-13 - 2009-12-19,+336%
2009-12-20 - 2009-12-26,+357%
2009-12-27 - 2010-01-02,+286%
2010-01-03 - 2010-01-09,+286%
2010-01-10 - 2010-01-16,+357%
2010-01-17 - 2010-01-23,+221%
2010-01-24 - 2010-01-30,+186%
2010-01-31 - 2010-02-06,+193%
2010-02-07 - 2010-02-13,+329%
2010-02-14 - 2010-02-20,+329%
2010-02-21 - 2010-02-27,+400%
2010-02-28 - 2010-03-06,+336%
2010-03-07 - 2010-03-13,+300%
2010-03-14 - 2010-03-20,+293%
2010-03-21 - 2010-03-27,+336%
2010-03-28 - 2010-04-03,+386%
2010-04-04 - 2010-04-10,+243%
2010-04-11 - 2010-04-17,+386%
2010-04-18 - 2010-04-24,+329%
2010-04-25 - 2010-05-01,+393%
2010-05-02 - 2010-05-08,+343%
2010-05-09 - 2010-05-15,+343%
2010-05-16 - 2010-05-22,+343%
2010-05-23 - 2010-05-29,+407%
2010-05-30 - 2010-06-05,+386%
2010-06-06 - 2010-06-12,+521%
2010-06-13 - 2010-06-19,+293%
2010-06-20 - 2010-06-26,+271%
2010-06-27 - 2010-07-03,+264%
2010-07-04 - 2010-07-10,+364%
2010-07-11 - 2010-07-17,+236%
2010-07-18 - 2010-07-24,+214%
2010-07-25 - 2010-07-31,+293%
2010-08-01 - 2010-08-07,+207%
2010-08-08 - 2010-08-14,+321%
2010-08-15 - 2010-08-21,+264%
2010-08-22 - 2010-08-28,+271%
2010-08-29 - 2010-09-04,+271%
2010-09-05 - 2010-09-11,+243%
2010-09-12 - 2010-09-18,+300%
2010-09-19 - 2010-09-25,+264%
2010-09-26 - 2010-10-02,+214%
2010-10-03 - 2010-10-09,+386%
2010-10-10 - 2010-10-16,+221%
2010-10-17 - 2010-10-23,+179%
2010-10-24 - 2010-10-30,+271%
2010-10-31 - 2010-11-06,+179%
2010-11-07 - 2010-11-13,+257%
2010-11-14 - 2010-11-20,+243%
2010-11-21 - 2010-11-27,+264%
2010-11-28 - 2010-12-04,+379%
2010-12-05 - 2010-12-11,+336%
2010-12-12 - 2010-12-18,+279%
2010-12-19 - 2010-12-25,+321%
2010-12-26 - 2011-01-01,+300%
2011-01-02 - 2011-01-08,+229%
2011-01-09 - 2011-01-15,+221%
2011-01-16 - 2011-01-22,+186%
2011-01-23 - 2011-01-29,+243%
2011-01-30 - 2011-02-05,+143%
2011-02-06 - 2011-02-12,+221%
2011-02-13 - 2011-02-19,+343%
2011-02-20 - 2011-02-26,+207%
2011-02-27 - 2011-03-05,+279%
2011-03-06 - 2011-03-12,+243%
2011-03-13 - 2011-03-19,+236%
2011-03-20 - 2011-03-26,+321%
2011-03-27 - 2011-04-02,+379%
2011-04-03 - 2011-04-09,+371%
2011-04-10 - 2011-04-16,+336%
2011-04-17 - 2011-04-23,+500%
2011-04-24 - 2011-04-30,+436%
2011-05-01 - 2011-05-07,+379%
2011-05-08 - 2011-05-14,+343%
2011-05-15 - 2011-05-21,+421%
2011-05-22 - 2011-05-28,+407%
2011-05-29 - 2011-06-04,+336%
2011-06-05 - 2011-06-11,+436%
2011-06-12 - 2011-06-18,+279%
2011-06-19 - 2011-06-25,+236%
2011-06-26 - 2011-07-02,+271%
2011-07-03 - 2011-07-09,+357%
2011-07-10 - 2011-07-16,+293%
2011-07-17 - 2011-07-23,+300%
2011-07-24 - 2011-07-30,+271%
2011-07-31 - 2011-08-06,+464%
2011-08-07 - 2011-08-13,+357%
2011-08-14 - 2011-08-20,+436%
2011-08-21 - 2011-08-27,+393%
2011-08-28 - 2011-09-03,+464%
2011-09-04 - 2011-09-10,+307%
2011-09-11 - 2011-09-17,+271%
2011-09-18 - 2011-09-24,+264%
2011-09-25 - 2011-10-01,+250%
2011-10-02 - 2011-10-08,+243%
2011-10-09 - 2011-10-15,+257%
2011-10-16 - 2011-10-22,+364%
2011-10-23 - 2011-10-29,+457%
2011-10-30 - 2011-11-05,+393%
2011-11-06 - 2011-11-12,+393%
2011-11-13 - 2011-11-19,+371%
2011-11-20 - 2011-11-26,+271%
2011-11-27 - 2011-12-03,+257%
2011-12-04 - 2011-12-10,+250%
2011-12-11 - 2011-12-17,+286%
2011-12-18 - 2011-12-24,+164%
2011-12-25 - 2011-12-31,+157%
2012-01-01 - 2012-01-07,+164%
2012-01-08 - 2012-01-14,+214%
2012-01-15 - 2012-01-21,+186%
2012-01-22 - 2012-01-28,+193%
2012-01-29 - 2012-02-04,+307%
2012-02-05 - 2012-02-11,+221%
2012-02-12 - 2012-02-18,+200%
2012-02-19 - 2012-02-25,+157%
2012-02-26 - 2012-03-03,+264%
2012-03-04 - 2012-03-10,+200%
2012-03-11 - 2012-03-17,+336%
2012-03-18 - 2012-03-24,+293%
2012-03-25 - 2012-03-31,+393%
2012-04-01 - 2012-04-07,+393%
2012-04-08 - 2012-04-14,+371%
2012-04-15 - 2012-04-21,+379%
2012-04-22 - 2012-04-28,+407%
2012-04-29 - 2012-05-05,+436%
2012-05-06 - 2012-05-12,+564%
2012-05-13 - 2012-05-19,+614%
2012-05-20 - 2012-05-26,+521%
2012-05-27 - 2012-06-02,+514%
2012-06-03 - 2012-06-09,+521%
2012-06-10 - 2012-06-16,+457%
2012-06-17 - 2012-06-23,+436%
2012-06-24 - 2012-06-30,+479%
2012-07-01 - 2012-07-07,+436%
2012-07-08 - 2012-07-14,+379%
2012-07-15 - 2012-07-21,+379%
2012-07-22 - 2012-07-28,+414%
2012-07-29 - 2012-08-04,+300%
2012-08-05 - 2012-08-11,+329%
2012-08-12 - 2012-08-18,+450%
2012-08-19 - 2012-08-25,+429%
2012-08-26 - 2012-09-01,+307%
2012-09-02 - 2012-09-08,+314%
2012-09-09 - 2012-09-15,+257%
2012-09-16 - 2012-09-22,+407%
2012-09-23 - 2012-09-29,+557%
2012-09-30 - 2012-10-06,+314%
2012-10-07 - 2012-10-13,+357%
2012-10-14 - 2012-10-20,+421%
2012-10-21 - 2012-10-27,+443%
2012-10-28 - 2012-11-03,+400%
2012-11-04 - 2012-11-10,+371%
2012-11-11 - 2012-11-17,+329%
2012-11-18 - 2012-11-24,+400%
2012-11-25 - 2012-12-01, 



Top searches
meteorologia,100
tempo,40
meteo,30
metereologia,15
weather,15
meteorologia sapo,5
meteorologia portugal,5
previsão tempo,5
meterologia,5
windguru,5
accuweather,5
tempo meteorologia,0
previsão do tempo,0
instituto meteorologia,0
instituto de meteorologia,0
tempo amanha,0
meteriologia,0
meteorologia 10,0
meteorologia 10 dias,0
tempo para amanha,0



Rising searches
meteorologia 10,Breakout
meteorologia sapo,Breakout
tempo amanha,Breakout
windguru,Breakout
meteorologia portugal,+350%
meteo,+300%
meteorologia,+250%
accuweather,+120%
instituto de meteorologia,+60%
instituto meteorologia,+50%



