Web Search Interest
France; 2004 - present

Interest over time
Week,Aerospace & Defense
2005-05-29 - 2005-06-04,-61%
2005-06-05 - 2005-06-11,-56%
2005-06-12 - 2005-06-18,-55%
2005-06-19 - 2005-06-25,-55%
2005-06-26 - 2005-07-02,-58%
2005-07-03 - 2005-07-09,-49%
2005-07-10 - 2005-07-16,-60%
2005-07-17 - 2005-07-23,-57%
2005-07-24 - 2005-07-30,-49%
2005-07-31 - 2005-08-06,-57%
2005-08-07 - 2005-08-13,-34%
2005-08-14 - 2005-08-20,-60%
2005-08-21 - 2005-08-27,-54%
2005-08-28 - 2005-09-03,-55%
2005-09-04 - 2005-09-10,-58%
2005-09-11 - 2005-09-17,-58%
2005-09-18 - 2005-09-24,-57%
2005-09-25 - 2005-10-01,-57%
2005-10-02 - 2005-10-08,-58%
2005-10-09 - 2005-10-15,-56%
2005-10-16 - 2005-10-22,-59%
2005-10-23 - 2005-10-29,-62%
2005-10-30 - 2005-11-05,-64%
2005-11-06 - 2005-11-12,-62%
2005-11-13 - 2005-11-19,-58%
2005-11-20 - 2005-11-26,-60%
2005-11-27 - 2005-12-03,-63%
2005-12-04 - 2005-12-10,-61%
2005-12-11 - 2005-12-17,-65%
2005-12-18 - 2005-12-24,-68%
2005-12-25 - 2005-12-31,-73%
2006-01-01 - 2006-01-07,-64%
2006-01-08 - 2006-01-14,-63%
2006-01-15 - 2006-01-21,-61%
2006-01-22 - 2006-01-28,-62%
2006-01-29 - 2006-02-04,-63%
2006-02-05 - 2006-02-11,-63%
2006-02-12 - 2006-02-18,-66%
2006-02-19 - 2006-02-25,-63%
2006-02-26 - 2006-03-04,-63%
2006-03-05 - 2006-03-11,-63%
2006-03-12 - 2006-03-18,-62%
2006-03-19 - 2006-03-25,-63%
2006-03-26 - 2006-04-01,-62%
2006-04-02 - 2006-04-08,-61%
2006-04-09 - 2006-04-15,-64%
2006-04-16 - 2006-04-22,-66%
2006-04-23 - 2006-04-29,-67%
2006-04-30 - 2006-05-06,-68%
2006-05-07 - 2006-05-13,-66%
2006-05-14 - 2006-05-20,-64%
2006-05-21 - 2006-05-27,-67%
2006-05-28 - 2006-06-03,-67%
2006-06-04 - 2006-06-10,-66%
2006-06-11 - 2006-06-17,-67%
2006-06-18 - 2006-06-24,-69%
2006-06-25 - 2006-07-01,-67%
2006-07-02 - 2006-07-08,-64%
2006-07-09 - 2006-07-15,-68%
2006-07-16 - 2006-07-22,-63%
2006-07-23 - 2006-07-29,-69%
2006-07-30 - 2006-08-05,-72%
2006-08-06 - 2006-08-12,-71%
2006-08-13 - 2006-08-19,-72%
2006-08-20 - 2006-08-26,-69%
2006-08-27 - 2006-09-02,-69%
2006-09-03 - 2006-09-09,-65%
2006-09-10 - 2006-09-16,-63%
2006-09-17 - 2006-09-23,-63%
2006-09-24 - 2006-09-30,-66%
2006-10-01 - 2006-10-07,-65%
2006-10-08 - 2006-10-14,-65%
2006-10-15 - 2006-10-21,-64%
2006-10-22 - 2006-10-28,-69%
2006-10-29 - 2006-11-04,-73%
2006-11-05 - 2006-11-11,-68%
2006-11-12 - 2006-11-18,-69%
2006-11-19 - 2006-11-25,-69%
2006-11-26 - 2006-12-02,-69%
2006-12-03 - 2006-12-09,-66%
2006-12-10 - 2006-12-16,-67%
2006-12-17 - 2006-12-23,-67%
2006-12-24 - 2006-12-30,-76%
2006-12-31 - 2007-01-06,-73%
2007-01-07 - 2007-01-13,-68%
2007-01-14 - 2007-01-20,-68%
2007-01-21 - 2007-01-27,-70%
2007-01-28 - 2007-02-03,-70%
2007-02-04 - 2007-02-10,-69%
2007-02-11 - 2007-02-17,-70%
2007-02-18 - 2007-02-24,-71%
2007-02-25 - 2007-03-03,-69%
2007-03-04 - 2007-03-10,-70%
2007-03-11 - 2007-03-17,-69%
2007-03-18 - 2007-03-24,-71%
2007-03-25 - 2007-03-31,-71%
2007-04-01 - 2007-04-07,-71%
2007-04-08 - 2007-04-14,-35%
2007-04-15 - 2007-04-21,-72%
2007-04-22 - 2007-04-28,-71%
2007-04-29 - 2007-05-05,-72%
2007-05-06 - 2007-05-12,-72%
2007-05-13 - 2007-05-19,-73%
2007-05-20 - 2007-05-26,-71%
2007-05-27 - 2007-06-02,-72%
2007-06-03 - 2007-06-09,-69%
2007-06-10 - 2007-06-16,-70%
2007-06-17 - 2007-06-23,-69%
2007-06-24 - 2007-06-30,-71%
2007-07-01 - 2007-07-07,-72%
2007-07-08 - 2007-07-14,-74%
2007-07-15 - 2007-07-21,-72%
2007-07-22 - 2007-07-28,-76%
2007-07-29 - 2007-08-04,-76%
2007-08-05 - 2007-08-11,-74%
2007-08-12 - 2007-08-18,-76%
2007-08-19 - 2007-08-25,-74%
2007-08-26 - 2007-09-01,-75%
2007-09-02 - 2007-09-08,-74%
2007-09-09 - 2007-09-15,-71%
2007-09-16 - 2007-09-22,-71%
2007-09-23 - 2007-09-29,-72%
2007-09-30 - 2007-10-06,-69%
2007-10-07 - 2007-10-13,-71%
2007-10-14 - 2007-10-20,-71%
2007-10-21 - 2007-10-27,-70%
2007-10-28 - 2007-11-03,-75%
2007-11-04 - 2007-11-10,-73%
2007-11-11 - 2007-11-17,-71%
2007-11-18 - 2007-11-24,-74%
2007-11-25 - 2007-12-01,-74%
2007-12-02 - 2007-12-08,-72%
2007-12-09 - 2007-12-15,-70%
2007-12-16 - 2007-12-22,-74%
2007-12-23 - 2007-12-29,-81%
2007-12-30 - 2008-01-05,-78%
2008-01-06 - 2008-01-12,-73%
2008-01-13 - 2008-01-19,-73%
2008-01-20 - 2008-01-26,-74%
2008-01-27 - 2008-02-02,-75%
2008-02-03 - 2008-02-09,-71%
2008-02-10 - 2008-02-16,-72%
2008-02-17 - 2008-02-23,-73%
2008-02-24 - 2008-03-01,-74%
2008-03-02 - 2008-03-08,-72%
2008-03-09 - 2008-03-15,-72%
2008-03-16 - 2008-03-22,-73%
2008-03-23 - 2008-03-29,-74%
2008-03-30 - 2008-04-05,-72%
2008-04-06 - 2008-04-12,-74%
2008-04-13 - 2008-04-19,-74%
2008-04-20 - 2008-04-26,-74%
2008-04-27 - 2008-05-03,-78%
2008-05-04 - 2008-05-10,-77%
2008-05-11 - 2008-05-17,-74%
2008-05-18 - 2008-05-24,-73%
2008-05-25 - 2008-05-31,-68%
2008-06-01 - 2008-06-07,-73%
2008-06-08 - 2008-06-14,-73%
2008-06-15 - 2008-06-21,-74%
2008-06-22 - 2008-06-28,-75%
2008-06-29 - 2008-07-05,-76%
2008-07-06 - 2008-07-12,-75%
2008-07-13 - 2008-07-19,-77%
2008-07-20 - 2008-07-26,-76%
2008-07-27 - 2008-08-02,-77%
2008-08-03 - 2008-08-09,-78%
2008-08-10 - 2008-08-16,-80%
2008-08-17 - 2008-08-23,-78%
2008-08-24 - 2008-08-30,-78%
2008-08-31 - 2008-09-06,-75%
2008-09-07 - 2008-09-13,-73%
2008-09-14 - 2008-09-20,-74%
2008-09-21 - 2008-09-27,-74%
2008-09-28 - 2008-10-04,-74%
2008-10-05 - 2008-10-11,-76%
2008-10-12 - 2008-10-18,-75%
2008-10-19 - 2008-10-25,-75%
2008-10-26 - 2008-11-01,-77%
2008-11-02 - 2008-11-08,-77%
2008-11-09 - 2008-11-15,-77%
2008-11-16 - 2008-11-22,-75%
2008-11-23 - 2008-11-29,-76%
2008-11-30 - 2008-12-06,-76%
2008-12-07 - 2008-12-13,-76%
2008-12-14 - 2008-12-20,-78%
2008-12-21 - 2008-12-27,-81%
2008-12-28 - 2009-01-03,-82%
2009-01-04 - 2009-01-10,-77%
2009-01-11 - 2009-01-17,-75%
2009-01-18 - 2009-01-24,-76%
2009-01-25 - 2009-01-31,-77%
2009-02-01 - 2009-02-07,-76%
2009-02-08 - 2009-02-14,-76%
2009-02-15 - 2009-02-21,-77%
2009-02-22 - 2009-02-28,-77%
2009-03-01 - 2009-03-07,-77%
2009-03-08 - 2009-03-14,-77%
2009-03-15 - 2009-03-21,-76%
2009-03-22 - 2009-03-28,-75%
2009-03-29 - 2009-04-04,-76%
2009-04-05 - 2009-04-11,-77%
2009-04-12 - 2009-04-18,-79%
2009-04-19 - 2009-04-25,-74%
2009-04-26 - 2009-05-02,-79%
2009-05-03 - 2009-05-09,-79%
2009-05-10 - 2009-05-16,-74%
2009-05-17 - 2009-05-23,-78%
2009-05-24 - 2009-05-30,-77%
2009-05-31 - 2009-06-06,-69%
2009-06-07 - 2009-06-13,-74%
2009-06-14 - 2009-06-20,-74%
2009-06-21 - 2009-06-27,-75%
2009-06-28 - 2009-07-04,-75%
2009-07-05 - 2009-07-11,-79%
2009-07-12 - 2009-07-18,-74%
2009-07-19 - 2009-07-25,-65%
2009-07-26 - 2009-08-01,-77%
2009-08-02 - 2009-08-08,-80%
2009-08-09 - 2009-08-15,-81%
2009-08-16 - 2009-08-22,-79%
2009-08-23 - 2009-08-29,-80%
2009-08-30 - 2009-09-05,-78%
2009-09-06 - 2009-09-12,-74%
2009-09-13 - 2009-09-19,-77%
2009-09-20 - 2009-09-26,-77%
2009-09-27 - 2009-10-03,-77%
2009-10-04 - 2009-10-10,-75%
2009-10-11 - 2009-10-17,-78%
2009-10-18 - 2009-10-24,-78%
2009-10-25 - 2009-10-31,-78%
2009-11-01 - 2009-11-07,-80%
2009-11-08 - 2009-11-14,-78%
2009-11-15 - 2009-11-21,-79%
2009-11-22 - 2009-11-28,-78%
2009-11-29 - 2009-12-05,-80%
2009-12-06 - 2009-12-12,-77%
2009-12-13 - 2009-12-19,-79%
2009-12-20 - 2009-12-26,-83%
2009-12-27 - 2010-01-02,-84%
2010-01-03 - 2010-01-09,-80%
2010-01-10 - 2010-01-16,-79%
2010-01-17 - 2010-01-23,-79%
2010-01-24 - 2010-01-30,-79%
2010-01-31 - 2010-02-06,-77%
2010-02-07 - 2010-02-13,-78%
2010-02-14 - 2010-02-20,-79%
2010-02-21 - 2010-02-27,-80%
2010-02-28 - 2010-03-06,-79%
2010-03-07 - 2010-03-13,-80%
2010-03-14 - 2010-03-20,-79%
2010-03-21 - 2010-03-27,-79%
2010-03-28 - 2010-04-03,-79%
2010-04-04 - 2010-04-10,-79%
2010-04-11 - 2010-04-17,-78%
2010-04-18 - 2010-04-24,-78%
2010-04-25 - 2010-05-01,-80%
2010-05-02 - 2010-05-08,-80%
2010-05-09 - 2010-05-15,-80%
2010-05-16 - 2010-05-22,-79%
2010-05-23 - 2010-05-29,-80%
2010-05-30 - 2010-06-05,-79%
2010-06-06 - 2010-06-12,-79%
2010-06-13 - 2010-06-19,-79%
2010-06-20 - 2010-06-26,-81%
2010-06-27 - 2010-07-03,-81%
2010-07-04 - 2010-07-10,-81%
2010-07-11 - 2010-07-17,-81%
2010-07-18 - 2010-07-24,-81%
2010-07-25 - 2010-07-31,-81%
2010-08-01 - 2010-08-07,-82%
2010-08-08 - 2010-08-14,-83%
2010-08-15 - 2010-08-21,-81%
2010-08-22 - 2010-08-28,-80%
2010-08-29 - 2010-09-04,-80%
2010-09-05 - 2010-09-11,-79%
2010-09-12 - 2010-09-18,-78%
2010-09-19 - 2010-09-25,-78%
2010-09-26 - 2010-10-02,-78%
2010-10-03 - 2010-10-09,-78%
2010-10-10 - 2010-10-16,-78%
2010-10-17 - 2010-10-23,-80%
2010-10-24 - 2010-10-30,-81%
2010-10-31 - 2010-11-06,-80%
2010-11-07 - 2010-11-13,-80%
2010-11-14 - 2010-11-20,-78%
2010-11-21 - 2010-11-27,-78%
2010-11-28 - 2010-12-04,-77%
2010-12-05 - 2010-12-11,-79%
2010-12-12 - 2010-12-18,-80%
2010-12-19 - 2010-12-25,-83%
2010-12-26 - 2011-01-01,-83%
2011-01-02 - 2011-01-08,-79%
2011-01-09 - 2011-01-15,-79%
2011-01-16 - 2011-01-22,-79%
2011-01-23 - 2011-01-29,-80%
2011-01-30 - 2011-02-05,-80%
2011-02-06 - 2011-02-12,-79%
2011-02-13 - 2011-02-19,-77%
2011-02-20 - 2011-02-26,-78%
2011-02-27 - 2011-03-05,-78%
2011-03-06 - 2011-03-12,-78%
2011-03-13 - 2011-03-19,-76%
2011-03-20 - 2011-03-26,-74%
2011-03-27 - 2011-04-02,-78%
2011-04-03 - 2011-04-09,-79%
2011-04-10 - 2011-04-16,-77%
2011-04-17 - 2011-04-23,-80%
2011-04-24 - 2011-04-30,-80%
2011-05-01 - 2011-05-07,-78%
2011-05-08 - 2011-05-14,-79%
2011-05-15 - 2011-05-21,-79%
2011-05-22 - 2011-05-28,-78%
2011-05-29 - 2011-06-04,-80%
2011-06-05 - 2011-06-11,-78%
2011-06-12 - 2011-06-18,-80%
2011-06-19 - 2011-06-25,-74%
2011-06-26 - 2011-07-02,-78%
2011-07-03 - 2011-07-09,-79%
2011-07-10 - 2011-07-16,-81%
2011-07-17 - 2011-07-23,-76%
2011-07-24 - 2011-07-30,-78%
2011-07-31 - 2011-08-06,-81%
2011-08-07 - 2011-08-13,-81%
2011-08-14 - 2011-08-20,-81%
2011-08-21 - 2011-08-27,-79%
2011-08-28 - 2011-09-03,-80%
2011-09-04 - 2011-09-10,-78%
2011-09-11 - 2011-09-17,-78%
2011-09-18 - 2011-09-24,-72%
2011-09-25 - 2011-10-01,-76%
2011-10-02 - 2011-10-08,-77%
2011-10-09 - 2011-10-15,-77%
2011-10-16 - 2011-10-22,-76%
2011-10-23 - 2011-10-29,-80%
2011-10-30 - 2011-11-05,-79%
2011-11-06 - 2011-11-12,-76%
2011-11-13 - 2011-11-19,-77%
2011-11-20 - 2011-11-26,-77%
2011-11-27 - 2011-12-03,-77%
2011-12-04 - 2011-12-10,-78%
2011-12-11 - 2011-12-17,-78%
2011-12-18 - 2011-12-24,-79%
2011-12-25 - 2011-12-31,-81%
2012-01-01 - 2012-01-07,-74%
2012-01-08 - 2012-01-14,-78%
2012-01-15 - 2012-01-21,-77%
2012-01-22 - 2012-01-28,-77%
2012-01-29 - 2012-02-04,-75%
2012-02-05 - 2012-02-11,-77%
2012-02-12 - 2012-02-18,-74%
2012-02-19 - 2012-02-25,-78%
2012-02-26 - 2012-03-03,-78%
2012-03-04 - 2012-03-10,-78%
2012-03-11 - 2012-03-17,-77%
2012-03-18 - 2012-03-24,-77%
2012-03-25 - 2012-03-31,-76%
2012-04-01 - 2012-04-07,-78%
2012-04-08 - 2012-04-14,-79%
2012-04-15 - 2012-04-21,-79%
2012-04-22 - 2012-04-28,-80%
2012-04-29 - 2012-05-05,-81%
2012-05-06 - 2012-05-12,-79%
2012-05-13 - 2012-05-19,-80%
2012-05-20 - 2012-05-26,-78%
2012-05-27 - 2012-06-02,-78%
2012-06-03 - 2012-06-09,-79%
2012-06-10 - 2012-06-16,-78%
2012-06-17 - 2012-06-23,-79%
2012-06-24 - 2012-06-30,-79%
2012-07-01 - 2012-07-07,-81%
2012-07-08 - 2012-07-14,-79%
2012-07-15 - 2012-07-21,-79%
2012-07-22 - 2012-07-28,-79%
2012-07-29 - 2012-08-04,-81%
2012-08-05 - 2012-08-11,-74%
2012-08-12 - 2012-08-18,-80%
2012-08-19 - 2012-08-25,-78%
2012-08-26 - 2012-09-01,-73%
2012-09-02 - 2012-09-08,-77%
2012-09-09 - 2012-09-15,-75%
2012-09-16 - 2012-09-22,-76%
2012-09-23 - 2012-09-29,-75%
2012-09-30 - 2012-10-06,-77%
2012-10-07 - 2012-10-13,-76%
2012-10-14 - 2012-10-20,-72%
2012-10-21 - 2012-10-27,-79%
2012-10-28 - 2012-11-03,-82%
2012-11-04 - 2012-11-10,-79%
2012-11-11 - 2012-11-17,-77%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
avion,100
thales,80
eads,50
avions,45
nasa,40
safran,30
airbus,30
space,30
iae,30
dassault,25
fusée,25
apollo,20
ariane,15
missile,15
rafale,15
voltaire,15
aéronautique,15
esa,15
aeronautique,15
eurocopter,15



Rising searches
safran,+1,400%
lagardere,+160%
rafale,+130%
apollo,+120%
missile,+60%
aerocontact,+50%
iae,+40%



