Web Search Interest
Italy; 2004 - present

Interest over time
Week,Nursery & Playroom
2009-11-01 - 2009-11-07,-66%
2009-11-08 - 2009-11-14,-75%
2009-11-15 - 2009-11-21,-63%
2009-11-22 - 2009-11-28,-68%
2009-11-29 - 2009-12-05,-69%
2009-12-06 - 2009-12-12,-65%
2009-12-13 - 2009-12-19,-74%
2009-12-20 - 2009-12-26,-76%
2009-12-27 - 2010-01-02,-66%
2010-01-03 - 2010-01-09,-75%
2010-01-10 - 2010-01-16,-73%
2010-01-17 - 2010-01-23,-71%
2010-01-24 - 2010-01-30,-56%
2010-01-31 - 2010-02-06,-66%
2010-02-07 - 2010-02-13,-57%
2010-02-14 - 2010-02-20,-69%
2010-02-21 - 2010-02-27,-77%
2010-02-28 - 2010-03-06,-69%
2010-03-07 - 2010-03-13,-62%
2010-03-14 - 2010-03-20,-69%
2010-03-21 - 2010-03-27,-70%
2010-03-28 - 2010-04-03,-69%
2010-04-04 - 2010-04-10,-68%
2010-04-11 - 2010-04-17,-67%
2010-04-18 - 2010-04-24,-70%
2010-04-25 - 2010-05-01,-74%
2010-05-02 - 2010-05-08,-66%
2010-05-09 - 2010-05-15,-68%
2010-05-16 - 2010-05-22,-72%
2010-05-23 - 2010-05-29,-81%
2010-05-30 - 2010-06-05,-72%
2010-06-06 - 2010-06-12,-78%
2010-06-13 - 2010-06-19,-73%
2010-06-20 - 2010-06-26,-74%
2010-06-27 - 2010-07-03,-82%
2010-07-04 - 2010-07-10,-67%
2010-07-11 - 2010-07-17,-77%
2010-07-18 - 2010-07-24,-74%
2010-07-25 - 2010-07-31,-65%
2010-08-01 - 2010-08-07,-68%
2010-08-08 - 2010-08-14,-77%
2010-08-15 - 2010-08-21,-68%
2010-08-22 - 2010-08-28,-72%
2010-08-29 - 2010-09-04,-67%
2010-09-05 - 2010-09-11,-78%
2010-09-12 - 2010-09-18,-72%
2010-09-19 - 2010-09-25,-58%
2010-09-26 - 2010-10-02,-60%
2010-10-03 - 2010-10-09,-75%
2010-10-10 - 2010-10-16,-67%
2010-10-17 - 2010-10-23,-68%
2010-10-24 - 2010-10-30,-69%
2010-10-31 - 2010-11-06,-69%
2010-11-07 - 2010-11-13,-66%
2010-11-14 - 2010-11-20,-70%
2010-11-21 - 2010-11-27,-61%
2010-11-28 - 2010-12-04,-72%
2010-12-05 - 2010-12-11,-72%
2010-12-12 - 2010-12-18,-77%
2010-12-19 - 2010-12-25,-73%
2010-12-26 - 2011-01-01,-63%
2011-01-02 - 2011-01-08,-68%
2011-01-09 - 2011-01-15,-65%
2011-01-16 - 2011-01-22,-67%
2011-01-23 - 2011-01-29,-69%
2011-01-30 - 2011-02-05,-68%
2011-02-06 - 2011-02-12,-61%
2011-02-13 - 2011-02-19,-66%
2011-02-20 - 2011-02-26,-67%
2011-02-27 - 2011-03-05,-63%
2011-03-06 - 2011-03-12,-65%
2011-03-13 - 2011-03-19,-59%
2011-03-20 - 2011-03-26,-68%
2011-03-27 - 2011-04-02,-70%
2011-04-03 - 2011-04-09,-74%
2011-04-10 - 2011-04-16,-63%
2011-04-17 - 2011-04-23,-66%
2011-04-24 - 2011-04-30,-59%
2011-05-01 - 2011-05-07,-74%
2011-05-08 - 2011-05-14,-63%
2011-05-15 - 2011-05-21,-74%
2011-05-22 - 2011-05-28,-76%
2011-05-29 - 2011-06-04,-73%
2011-06-05 - 2011-06-11,-72%
2011-06-12 - 2011-06-18,-71%
2011-06-19 - 2011-06-25,-78%
2011-06-26 - 2011-07-02,-84%
2011-07-03 - 2011-07-09,-74%
2011-07-10 - 2011-07-16,-76%
2011-07-17 - 2011-07-23,-72%
2011-07-24 - 2011-07-30,-70%
2011-07-31 - 2011-08-06,-66%
2011-08-07 - 2011-08-13,-65%
2011-08-14 - 2011-08-20,-71%
2011-08-21 - 2011-08-27,-61%
2011-08-28 - 2011-09-03,-65%
2011-09-04 - 2011-09-10,-76%
2011-09-11 - 2011-09-17,-69%
2011-09-18 - 2011-09-24,-65%
2011-09-25 - 2011-10-01,-73%
2011-10-02 - 2011-10-08,-62%
2011-10-09 - 2011-10-15,-63%
2011-10-16 - 2011-10-22,-74%
2011-10-23 - 2011-10-29,-62%
2011-10-30 - 2011-11-05,-72%
2011-11-06 - 2011-11-12,-69%
2011-11-13 - 2011-11-19,-67%
2011-11-20 - 2011-11-26,-57%
2011-11-27 - 2011-12-03,-65%
2011-12-04 - 2011-12-10,-65%
2011-12-11 - 2011-12-17,-65%
2011-12-18 - 2011-12-24,-67%
2011-12-25 - 2011-12-31,-63%
2012-01-01 - 2012-01-07,-60%
2012-01-08 - 2012-01-14,-61%
2012-01-15 - 2012-01-21,-68%
2012-01-22 - 2012-01-28,-73%
2012-01-29 - 2012-02-04,-74%
2012-02-05 - 2012-02-11,-68%
2012-02-12 - 2012-02-18,-69%
2012-02-19 - 2012-02-25,-63%
2012-02-26 - 2012-03-03,-63%
2012-03-04 - 2012-03-10,-37%
2012-03-11 - 2012-03-17,-60%
2012-03-18 - 2012-03-24,-63%
2012-03-25 - 2012-03-31,-62%
2012-04-01 - 2012-04-07,-61%
2012-04-08 - 2012-04-14,-65%
2012-04-15 - 2012-04-21,-66%
2012-04-22 - 2012-04-28,-65%
2012-04-29 - 2012-05-05,-71%
2012-05-06 - 2012-05-12,-56%
2012-05-13 - 2012-05-19,-60%
2012-05-20 - 2012-05-26,-63%
2012-05-27 - 2012-06-02,-67%
2012-06-03 - 2012-06-09,-68%
2012-06-10 - 2012-06-16,-69%
2012-06-17 - 2012-06-23,-68%
2012-06-24 - 2012-06-30,-66%
2012-07-01 - 2012-07-07,-61%
2012-07-08 - 2012-07-14,-67%
2012-07-15 - 2012-07-21,-74%
2012-07-22 - 2012-07-28,-70%
2012-07-29 - 2012-08-04,-71%
2012-08-05 - 2012-08-11,-59%
2012-08-12 - 2012-08-18,-67%
2012-08-19 - 2012-08-25,-56%
2012-08-26 - 2012-09-01,-69%
2012-09-02 - 2012-09-08,-63%
2012-09-09 - 2012-09-15,-71%
2012-09-16 - 2012-09-22,-72%
2012-09-23 - 2012-09-29,-54%
2012-09-30 - 2012-10-06,-56%
2012-10-07 - 2012-10-13,-60%
2012-10-14 - 2012-10-20,-71%
2012-10-21 - 2012-10-27,-62%
2012-10-28 - 2012-11-03,-66%
2012-11-04 - 2012-11-10,-69%
2012-11-11 - 2012-11-17,-69%
2012-11-18 - 2012-11-24,-67%
2012-11-25 - 2012-12-01, 



Top searches
rooms,100
cot,85
crib,60
stacker,45
four rooms,45
room 26,30
cribs,25
childs,25
nursery,20
pottery barn,20
ladybug,15
pottery barn kids,15
amy childs,15
bonavita,10
baby cot,10
bassinet,10
baby crib,5
staker,5



Rising searches
childs,Breakout
cot,Breakout
crib,Breakout
cribs,Breakout
four rooms,Breakout
nursery,Breakout
pottery barn,Breakout
room 26,Breakout
rooms,+130%
stacker,+70%



