Web Search Interest
Germany; 2004 - present

Interest over time
Week,Scooters & Mopeds
2005-10-23 - 2005-10-29,+29%
2005-10-30 - 2005-11-05,+37%
2005-11-06 - 2005-11-12,+27%
2005-11-13 - 2005-11-19,+19%
2005-11-20 - 2005-11-26,+2%
2005-11-27 - 2005-12-03,+4%
2005-12-04 - 2005-12-10,-4%
2005-12-11 - 2005-12-17,+2%
2005-12-18 - 2005-12-24,+0%
2005-12-25 - 2005-12-31,+6%
2006-01-01 - 2006-01-07,+2%
2006-01-08 - 2006-01-14,+6%
2006-01-15 - 2006-01-21,+8%
2006-01-22 - 2006-01-28,+10%
2006-01-29 - 2006-02-04,+10%
2006-02-05 - 2006-02-11,+2%
2006-02-12 - 2006-02-18,+12%
2006-02-19 - 2006-02-25,+19%
2006-02-26 - 2006-03-04,+23%
2006-03-05 - 2006-03-11,+21%
2006-03-12 - 2006-03-18,+27%
2006-03-19 - 2006-03-25,+35%
2006-03-26 - 2006-04-01,+48%
2006-04-02 - 2006-04-08,+50%
2006-04-09 - 2006-04-15,+63%
2006-04-16 - 2006-04-22,+58%
2006-04-23 - 2006-04-29,+67%
2006-04-30 - 2006-05-06,+77%
2006-05-07 - 2006-05-13,+92%
2006-05-14 - 2006-05-20,+77%
2006-05-21 - 2006-05-27,+58%
2006-05-28 - 2006-06-03,+42%
2006-06-04 - 2006-06-10,+52%
2006-06-11 - 2006-06-17,+56%
2006-06-18 - 2006-06-24,+60%
2006-06-25 - 2006-07-01,+62%
2006-07-02 - 2006-07-08,+69%
2006-07-09 - 2006-07-15,+62%
2006-07-16 - 2006-07-22,+67%
2006-07-23 - 2006-07-29,+73%
2006-07-30 - 2006-08-05,+65%
2006-08-06 - 2006-08-12,+58%
2006-08-13 - 2006-08-19,+56%
2006-08-20 - 2006-08-26,+58%
2006-08-27 - 2006-09-02,+46%
2006-09-03 - 2006-09-09,+54%
2006-09-10 - 2006-09-16,+56%
2006-09-17 - 2006-09-23,+50%
2006-09-24 - 2006-09-30,+46%
2006-10-01 - 2006-10-07,+38%
2006-10-08 - 2006-10-14,+37%
2006-10-15 - 2006-10-21,+33%
2006-10-22 - 2006-10-28,+23%
2006-10-29 - 2006-11-04,+17%
2006-11-05 - 2006-11-11,+12%
2006-11-12 - 2006-11-18,+4%
2006-11-19 - 2006-11-25,+4%
2006-11-26 - 2006-12-02,+8%
2006-12-03 - 2006-12-09,+4%
2006-12-10 - 2006-12-16,+4%
2006-12-17 - 2006-12-23,+2%
2006-12-24 - 2006-12-30,+13%
2006-12-31 - 2007-01-06,+10%
2007-01-07 - 2007-01-13,+10%
2007-01-14 - 2007-01-20,+12%
2007-01-21 - 2007-01-27,+8%
2007-01-28 - 2007-02-03,+12%
2007-02-04 - 2007-02-10,+13%
2007-02-11 - 2007-02-17,+19%
2007-02-18 - 2007-02-24,+37%
2007-02-25 - 2007-03-03,+35%
2007-03-04 - 2007-03-10,+46%
2007-03-11 - 2007-03-17,+65%
2007-03-18 - 2007-03-24,+46%
2007-03-25 - 2007-03-31,+58%
2007-04-01 - 2007-04-07,+69%
2007-04-08 - 2007-04-14,+73%
2007-04-15 - 2007-04-21,+81%
2007-04-22 - 2007-04-28,+77%
2007-04-29 - 2007-05-05,+87%
2007-05-06 - 2007-05-12,+63%
2007-05-13 - 2007-05-19,+60%
2007-05-20 - 2007-05-26,+63%
2007-05-27 - 2007-06-02,+54%
2007-06-03 - 2007-06-09,+62%
2007-06-10 - 2007-06-16,+67%
2007-06-17 - 2007-06-23,+62%
2007-06-24 - 2007-06-30,+54%
2007-07-01 - 2007-07-07,+50%
2007-07-08 - 2007-07-14,+48%
2007-07-15 - 2007-07-21,+63%
2007-07-22 - 2007-07-28,+52%
2007-07-29 - 2007-08-04,+46%
2007-08-05 - 2007-08-11,+56%
2007-08-12 - 2007-08-18,+54%
2007-08-19 - 2007-08-25,+48%
2007-08-26 - 2007-09-01,+58%
2007-09-02 - 2007-09-08,+46%
2007-09-09 - 2007-09-15,+37%
2007-09-16 - 2007-09-22,+37%
2007-09-23 - 2007-09-29,+33%
2007-09-30 - 2007-10-06,+31%
2007-10-07 - 2007-10-13,+27%
2007-10-14 - 2007-10-20,+25%
2007-10-21 - 2007-10-27,+10%
2007-10-28 - 2007-11-03,+13%
2007-11-04 - 2007-11-10,+10%
2007-11-11 - 2007-11-17,+0%
2007-11-18 - 2007-11-24,+10%
2007-11-25 - 2007-12-01,+6%
2007-12-02 - 2007-12-08,+4%
2007-12-09 - 2007-12-15,+4%
2007-12-16 - 2007-12-22,+2%
2007-12-23 - 2007-12-29,+17%
2007-12-30 - 2008-01-05,+2%
2008-01-06 - 2008-01-12,+6%
2008-01-13 - 2008-01-19,+10%
2008-01-20 - 2008-01-26,+15%
2008-01-27 - 2008-02-02,+19%
2008-02-03 - 2008-02-09,+19%
2008-02-10 - 2008-02-16,+31%
2008-02-17 - 2008-02-23,+29%
2008-02-24 - 2008-03-01,+44%
2008-03-02 - 2008-03-08,+38%
2008-03-09 - 2008-03-15,+40%
2008-03-16 - 2008-03-22,+40%
2008-03-23 - 2008-03-29,+31%
2008-03-30 - 2008-04-05,+46%
2008-04-06 - 2008-04-12,+40%
2008-04-13 - 2008-04-19,+42%
2008-04-20 - 2008-04-26,+52%
2008-04-27 - 2008-05-03,+58%
2008-05-04 - 2008-05-10,+71%
2008-05-11 - 2008-05-17,+83%
2008-05-18 - 2008-05-24,+75%
2008-05-25 - 2008-05-31,+75%
2008-06-01 - 2008-06-07,+77%
2008-06-08 - 2008-06-14,+67%
2008-06-15 - 2008-06-21,+69%
2008-06-22 - 2008-06-28,+65%
2008-06-29 - 2008-07-05,+77%
2008-07-06 - 2008-07-12,+63%
2008-07-13 - 2008-07-19,+60%
2008-07-20 - 2008-07-26,+58%
2008-07-27 - 2008-08-02,+73%
2008-08-03 - 2008-08-09,+69%
2008-08-10 - 2008-08-16,+60%
2008-08-17 - 2008-08-23,+60%
2008-08-24 - 2008-08-30,+54%
2008-08-31 - 2008-09-06,+44%
2008-09-07 - 2008-09-13,+44%
2008-09-14 - 2008-09-20,+38%
2008-09-21 - 2008-09-27,+29%
2008-09-28 - 2008-10-04,+29%
2008-10-05 - 2008-10-11,+21%
2008-10-12 - 2008-10-18,+21%
2008-10-19 - 2008-10-25,+17%
2008-10-26 - 2008-11-01,+6%
2008-11-02 - 2008-11-08,+6%
2008-11-09 - 2008-11-15,+4%
2008-11-16 - 2008-11-22,-4%
2008-11-23 - 2008-11-29,-10%
2008-11-30 - 2008-12-06,-12%
2008-12-07 - 2008-12-13,-10%
2008-12-14 - 2008-12-20,-12%
2008-12-21 - 2008-12-27,-4%
2008-12-28 - 2009-01-03,-6%
2009-01-04 - 2009-01-10,-13%
2009-01-11 - 2009-01-17,-13%
2009-01-18 - 2009-01-24,-4%
2009-01-25 - 2009-01-31,+6%
2009-02-01 - 2009-02-07,+6%
2009-02-08 - 2009-02-14,-4%
2009-02-15 - 2009-02-21,-6%
2009-02-22 - 2009-02-28,+4%
2009-03-01 - 2009-03-07,+17%
2009-03-08 - 2009-03-14,+15%
2009-03-15 - 2009-03-21,+27%
2009-03-22 - 2009-03-28,+25%
2009-03-29 - 2009-04-04,+33%
2009-04-05 - 2009-04-11,+60%
2009-04-12 - 2009-04-18,+56%
2009-04-19 - 2009-04-25,+46%
2009-04-26 - 2009-05-02,+46%
2009-05-03 - 2009-05-09,+40%
2009-05-10 - 2009-05-16,+37%
2009-05-17 - 2009-05-23,+35%
2009-05-24 - 2009-05-30,+44%
2009-05-31 - 2009-06-06,+40%
2009-06-07 - 2009-06-13,+37%
2009-06-14 - 2009-06-20,+37%
2009-06-21 - 2009-06-27,+29%
2009-06-28 - 2009-07-04,+35%
2009-07-05 - 2009-07-11,+33%
2009-07-12 - 2009-07-18,+29%
2009-07-19 - 2009-07-25,+27%
2009-07-26 - 2009-08-01,+37%
2009-08-02 - 2009-08-08,+35%
2009-08-09 - 2009-08-15,+37%
2009-08-16 - 2009-08-22,+42%
2009-08-23 - 2009-08-29,+42%
2009-08-30 - 2009-09-05,+35%
2009-09-06 - 2009-09-12,+33%
2009-09-13 - 2009-09-19,+21%
2009-09-20 - 2009-09-26,+21%
2009-09-27 - 2009-10-03,+17%
2009-10-04 - 2009-10-10,+10%
2009-10-11 - 2009-10-17,+0%
2009-10-18 - 2009-10-24,-12%
2009-10-25 - 2009-10-31,-6%
2009-11-01 - 2009-11-07,-12%
2009-11-08 - 2009-11-14,-15%
2009-11-15 - 2009-11-21,-12%
2009-11-22 - 2009-11-28,-12%
2009-11-29 - 2009-12-05,-17%
2009-12-06 - 2009-12-12,-19%
2009-12-13 - 2009-12-19,-25%
2009-12-20 - 2009-12-26,-27%
2009-12-27 - 2010-01-02,-19%
2010-01-03 - 2010-01-09,-27%
2010-01-10 - 2010-01-16,-29%
2010-01-17 - 2010-01-23,-21%
2010-01-24 - 2010-01-30,-25%
2010-01-31 - 2010-02-06,-25%
2010-02-07 - 2010-02-13,-23%
2010-02-14 - 2010-02-20,-21%
2010-02-21 - 2010-02-27,-8%
2010-02-28 - 2010-03-06,+4%
2010-03-07 - 2010-03-13,-4%
2010-03-14 - 2010-03-20,+2%
2010-03-21 - 2010-03-27,+19%
2010-03-28 - 2010-04-03,+17%
2010-04-04 - 2010-04-10,+21%
2010-04-11 - 2010-04-17,+15%
2010-04-18 - 2010-04-24,+21%
2010-04-25 - 2010-05-01,+27%
2010-05-02 - 2010-05-08,+15%
2010-05-09 - 2010-05-15,+10%
2010-05-16 - 2010-05-22,+6%
2010-05-23 - 2010-05-29,+17%
2010-05-30 - 2010-06-05,+8%
2010-06-06 - 2010-06-12,+13%
2010-06-13 - 2010-06-19,+10%
2010-06-20 - 2010-06-26,+10%
2010-06-27 - 2010-07-03,+17%
2010-07-04 - 2010-07-10,+17%
2010-07-11 - 2010-07-17,+23%
2010-07-18 - 2010-07-24,+25%
2010-07-25 - 2010-07-31,+19%
2010-08-01 - 2010-08-07,+13%
2010-08-08 - 2010-08-14,+17%
2010-08-15 - 2010-08-21,+13%
2010-08-22 - 2010-08-28,+12%
2010-08-29 - 2010-09-04,+12%
2010-09-05 - 2010-09-11,+12%
2010-09-12 - 2010-09-18,+4%
2010-09-19 - 2010-09-25,+2%
2010-09-26 - 2010-10-02,+10%
2010-10-03 - 2010-10-09,+2%
2010-10-10 - 2010-10-16,-4%
2010-10-17 - 2010-10-23,-13%
2010-10-24 - 2010-10-30,-15%
2010-10-31 - 2010-11-06,-13%
2010-11-07 - 2010-11-13,-17%
2010-11-14 - 2010-11-20,-23%
2010-11-21 - 2010-11-27,-27%
2010-11-28 - 2010-12-04,-31%
2010-12-05 - 2010-12-11,-33%
2010-12-12 - 2010-12-18,-37%
2010-12-19 - 2010-12-25,-38%
2010-12-26 - 2011-01-01,-29%
2011-01-02 - 2011-01-08,-17%
2011-01-09 - 2011-01-15,-15%
2011-01-16 - 2011-01-22,-6%
2011-01-23 - 2011-01-29,-8%
2011-01-30 - 2011-02-05,-8%
2011-02-06 - 2011-02-12,+2%
2011-02-13 - 2011-02-19,+2%
2011-02-20 - 2011-02-26,+2%
2011-02-27 - 2011-03-05,+13%
2011-03-06 - 2011-03-12,+13%
2011-03-13 - 2011-03-19,+19%
2011-03-20 - 2011-03-26,+29%
2011-03-27 - 2011-04-02,+38%
2011-04-03 - 2011-04-09,+40%
2011-04-10 - 2011-04-16,+38%
2011-04-17 - 2011-04-23,+52%
2011-04-24 - 2011-04-30,+44%
2011-05-01 - 2011-05-07,+37%
2011-05-08 - 2011-05-14,+44%
2011-05-15 - 2011-05-21,+37%
2011-05-22 - 2011-05-28,+40%
2011-05-29 - 2011-06-04,+38%
2011-06-05 - 2011-06-11,+33%
2011-06-12 - 2011-06-18,+38%
2011-06-19 - 2011-06-25,+29%
2011-06-26 - 2011-07-02,+29%
2011-07-03 - 2011-07-09,+27%
2011-07-10 - 2011-07-16,+29%
2011-07-17 - 2011-07-23,+25%
2011-07-24 - 2011-07-30,+21%
2011-07-31 - 2011-08-06,+27%
2011-08-07 - 2011-08-13,+19%
2011-08-14 - 2011-08-20,+21%
2011-08-21 - 2011-08-27,+23%
2011-08-28 - 2011-09-03,+25%
2011-09-04 - 2011-09-10,+23%
2011-09-11 - 2011-09-17,+17%
2011-09-18 - 2011-09-24,+10%
2011-09-25 - 2011-10-01,+17%
2011-10-02 - 2011-10-08,+15%
2011-10-09 - 2011-10-15,+2%
2011-10-16 - 2011-10-22,-2%
2011-10-23 - 2011-10-29,-6%
2011-10-30 - 2011-11-05,-2%
2011-11-06 - 2011-11-12,-4%
2011-11-13 - 2011-11-19,-8%
2011-11-20 - 2011-11-26,-12%
2011-11-27 - 2011-12-03,-13%
2011-12-04 - 2011-12-10,-19%
2011-12-11 - 2011-12-17,-19%
2011-12-18 - 2011-12-24,-23%
2011-12-25 - 2011-12-31,-6%
2012-01-01 - 2012-01-07,-12%
2012-01-08 - 2012-01-14,-8%
2012-01-15 - 2012-01-21,-8%
2012-01-22 - 2012-01-28,-8%
2012-01-29 - 2012-02-04,-10%
2012-02-05 - 2012-02-11,-15%
2012-02-12 - 2012-02-18,-19%
2012-02-19 - 2012-02-25,-4%
2012-02-26 - 2012-03-03,+10%
2012-03-04 - 2012-03-10,+19%
2012-03-11 - 2012-03-17,+25%
2012-03-18 - 2012-03-24,+40%
2012-03-25 - 2012-03-31,+46%
2012-04-01 - 2012-04-07,+35%
2012-04-08 - 2012-04-14,+27%
2012-04-15 - 2012-04-21,+21%
2012-04-22 - 2012-04-28,+23%
2012-04-29 - 2012-05-05,+38%
2012-05-06 - 2012-05-12,+27%
2012-05-13 - 2012-05-19,+25%
2012-05-20 - 2012-05-26,+31%
2012-05-27 - 2012-06-02,+38%
2012-06-03 - 2012-06-09,+23%
2012-06-10 - 2012-06-16,+21%
2012-06-17 - 2012-06-23,+29%
2012-06-24 - 2012-06-30,+29%
2012-07-01 - 2012-07-07,+27%
2012-07-08 - 2012-07-14,+27%
2012-07-15 - 2012-07-21,+23%
2012-07-22 - 2012-07-28,+29%
2012-07-29 - 2012-08-04,+35%
2012-08-05 - 2012-08-11,+23%
2012-08-12 - 2012-08-18,+31%
2012-08-19 - 2012-08-25,+35%
2012-08-26 - 2012-09-01,+35%
2012-09-02 - 2012-09-08,+31%
2012-09-09 - 2012-09-15,+23%
2012-09-16 - 2012-09-22,+17%
2012-09-23 - 2012-09-29,+10%
2012-09-30 - 2012-10-06,+10%
2012-10-07 - 2012-10-13,+2%
2012-10-14 - 2012-10-20,-6%
2012-10-21 - 2012-10-27,-8%
2012-10-28 - 2012-11-03,-10%
2012-11-04 - 2012-11-10,-12%
2012-11-11 - 2012-11-17,-12%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
roller,100
vespa,45
piaggio,30
scooter,25
motorroller,25
mofa,15
yamaha,15
peugeot,10
aerox,10
hercules,10
kymco,10
speedfight,10
segway,10
aprilia,10
gilera,10
zündapp,10
moped,10
samsonite,10
motoren,5
rex,5



Rising searches
keeway,Breakout
navgear,Breakout
segway,+450%
pocket bike,+250%
pocketbike,+190%
rex,+130%
jet force,+120%
rex roller,+100%
50ccm roller,+80%
voerde,+70%



