Web Search Interest
Germany; 2004 - present

Interest over time
Week,Online Games
2010-05-09 - 2010-05-15,+150%
2010-05-16 - 2010-05-22,+138%
2010-05-23 - 2010-05-29,+150%
2010-05-30 - 2010-06-05,+146%
2010-06-06 - 2010-06-12,+121%
2010-06-13 - 2010-06-19,+129%
2010-06-20 - 2010-06-26,+133%
2010-06-27 - 2010-07-03,+138%
2010-07-04 - 2010-07-10,+125%
2010-07-11 - 2010-07-17,+129%
2010-07-18 - 2010-07-24,+133%
2010-07-25 - 2010-07-31,+125%
2010-08-01 - 2010-08-07,+125%
2010-08-08 - 2010-08-14,+121%
2010-08-15 - 2010-08-21,+121%
2010-08-22 - 2010-08-28,+117%
2010-08-29 - 2010-09-04,+113%
2010-09-05 - 2010-09-11,+117%
2010-09-12 - 2010-09-18,+117%
2010-09-19 - 2010-09-25,+117%
2010-09-26 - 2010-10-02,+108%
2010-10-03 - 2010-10-09,+113%
2010-10-10 - 2010-10-16,+133%
2010-10-17 - 2010-10-23,+125%
2010-10-24 - 2010-10-30,+113%
2010-10-31 - 2010-11-06,+121%
2010-11-07 - 2010-11-13,+108%
2010-11-14 - 2010-11-20,+104%
2010-11-21 - 2010-11-27,+113%
2010-11-28 - 2010-12-04,+108%
2010-12-05 - 2010-12-11,+129%
2010-12-12 - 2010-12-18,+138%
2010-12-19 - 2010-12-25,+163%
2010-12-26 - 2011-01-01,+167%
2011-01-02 - 2011-01-08,+121%
2011-01-09 - 2011-01-15,+100%
2011-01-16 - 2011-01-22,+92%
2011-01-23 - 2011-01-29,+100%
2011-01-30 - 2011-02-05,+92%
2011-02-06 - 2011-02-12,+96%
2011-02-13 - 2011-02-19,+88%
2011-02-20 - 2011-02-26,+92%
2011-02-27 - 2011-03-05,+79%
2011-03-06 - 2011-03-12,+92%
2011-03-13 - 2011-03-19,+83%
2011-03-20 - 2011-03-26,+79%
2011-03-27 - 2011-04-02,+75%
2011-04-03 - 2011-04-09,+75%
2011-04-10 - 2011-04-16,+75%
2011-04-17 - 2011-04-23,+96%
2011-04-24 - 2011-04-30,+96%
2011-05-01 - 2011-05-07,+71%
2011-05-08 - 2011-05-14,+71%
2011-05-15 - 2011-05-21,+79%
2011-05-22 - 2011-05-28,+71%
2011-05-29 - 2011-06-04,+79%
2011-06-05 - 2011-06-11,+67%
2011-06-12 - 2011-06-18,+88%
2011-06-19 - 2011-06-25,+92%
2011-06-26 - 2011-07-02,+83%
2011-07-03 - 2011-07-09,+79%
2011-07-10 - 2011-07-16,+83%
2011-07-17 - 2011-07-23,+83%
2011-07-24 - 2011-07-30,+88%
2011-07-31 - 2011-08-06,+83%
2011-08-07 - 2011-08-13,+83%
2011-08-14 - 2011-08-20,+83%
2011-08-21 - 2011-08-27,+79%
2011-08-28 - 2011-09-03,+71%
2011-09-04 - 2011-09-10,+67%
2011-09-11 - 2011-09-17,+58%
2011-09-18 - 2011-09-24,+63%
2011-09-25 - 2011-10-01,+67%
2011-10-02 - 2011-10-08,+75%
2011-10-09 - 2011-10-15,+63%
2011-10-16 - 2011-10-22,+75%
2011-10-23 - 2011-10-29,+67%
2011-10-30 - 2011-11-05,+75%
2011-11-06 - 2011-11-12,+67%
2011-11-13 - 2011-11-19,+75%
2011-11-20 - 2011-11-26,+75%
2011-11-27 - 2011-12-03,+71%
2011-12-04 - 2011-12-10,+75%
2011-12-11 - 2011-12-17,+79%
2011-12-18 - 2011-12-24,+83%
2011-12-25 - 2011-12-31,+96%
2012-01-01 - 2012-01-07,+75%
2012-01-08 - 2012-01-14,+54%
2012-01-15 - 2012-01-21,+63%
2012-01-22 - 2012-01-28,+71%
2012-01-29 - 2012-02-04,+63%
2012-02-05 - 2012-02-11,+71%
2012-02-12 - 2012-02-18,+71%
2012-02-19 - 2012-02-25,+75%
2012-02-26 - 2012-03-03,+79%
2012-03-04 - 2012-03-10,+71%
2012-03-11 - 2012-03-17,+71%
2012-03-18 - 2012-03-24,+71%
2012-03-25 - 2012-03-31,+75%
2012-04-01 - 2012-04-07,+92%
2012-04-08 - 2012-04-14,+83%
2012-04-15 - 2012-04-21,+54%
2012-04-22 - 2012-04-28,+58%
2012-04-29 - 2012-05-05,+67%
2012-05-06 - 2012-05-12,+54%
2012-05-13 - 2012-05-19,+71%
2012-05-20 - 2012-05-26,+46%
2012-05-27 - 2012-06-02,+63%
2012-06-03 - 2012-06-09,+58%
2012-06-10 - 2012-06-16,+50%
2012-06-17 - 2012-06-23,+50%
2012-06-24 - 2012-06-30,+50%
2012-07-01 - 2012-07-07,+46%
2012-07-08 - 2012-07-14,+50%
2012-07-15 - 2012-07-21,+54%
2012-07-22 - 2012-07-28,+58%
2012-07-29 - 2012-08-04,+50%
2012-08-05 - 2012-08-11,+54%
2012-08-12 - 2012-08-18,+54%
2012-08-19 - 2012-08-25,+54%
2012-08-26 - 2012-09-01,+63%
2012-09-02 - 2012-09-08,+54%
2012-09-09 - 2012-09-15,+46%
2012-09-16 - 2012-09-22,+50%
2012-09-23 - 2012-09-29,+54%
2012-09-30 - 2012-10-06,+63%
2012-10-07 - 2012-10-13,+50%
2012-10-14 - 2012-10-20,+46%
2012-10-21 - 2012-10-27,+46%
2012-10-28 - 2012-11-03,+50%
2012-11-04 - 2012-11-10,+38%
2012-11-11 - 2012-11-17,+38%
2012-11-18 - 2012-11-24,+75%
2012-11-25 - 2012-12-01, 



Top searches
wow,100
online,95
spiele,65
spielen,50
games,45
welt,40
kostenlos,30
jetztspielen,25
jogos,25
online spiele,20
games online,20
spielen kostenlos,20
pennergame,15
warcraft,15
metin2,15
online spielen,15
kostenlos spiele,10
free games,10
buffed,10
world of warcraft,10



Rising searches
1001,Breakout
1001 spiele,Breakout
aion,Breakout
buffed,Breakout
jetztspielen,Breakout
jogos,Breakout
metin2,Breakout
pennergame,Breakout
runes of magic,Breakout
wow,+750%



