Web Search Interest
Germany; 2004 - present

Interest over time
Week,File Sharing & Hosting
2007-04-29 - 2007-05-05,+26%
2007-05-06 - 2007-05-12,+17%
2007-05-13 - 2007-05-19,+25%
2007-05-20 - 2007-05-26,+17%
2007-05-27 - 2007-06-02,+32%
2007-06-03 - 2007-06-09,+17%
2007-06-10 - 2007-06-16,+11%
2007-06-17 - 2007-06-23,+15%
2007-06-24 - 2007-06-30,+19%
2007-07-01 - 2007-07-07,+19%
2007-07-08 - 2007-07-14,+23%
2007-07-15 - 2007-07-21,+21%
2007-07-22 - 2007-07-28,+23%
2007-07-29 - 2007-08-04,+28%
2007-08-05 - 2007-08-11,+19%
2007-08-12 - 2007-08-18,+21%
2007-08-19 - 2007-08-25,+23%
2007-08-26 - 2007-09-01,+21%
2007-09-02 - 2007-09-08,+23%
2007-09-09 - 2007-09-15,+19%
2007-09-16 - 2007-09-22,+26%
2007-09-23 - 2007-09-29,+32%
2007-09-30 - 2007-10-06,+30%
2007-10-07 - 2007-10-13,+21%
2007-10-14 - 2007-10-20,+19%
2007-10-21 - 2007-10-27,+15%
2007-10-28 - 2007-11-03,+34%
2007-11-04 - 2007-11-10,+17%
2007-11-11 - 2007-11-17,+17%
2007-11-18 - 2007-11-24,+26%
2007-11-25 - 2007-12-01,+26%
2007-12-02 - 2007-12-08,+17%
2007-12-09 - 2007-12-15,+23%
2007-12-16 - 2007-12-22,+26%
2007-12-23 - 2007-12-29,+72%
2007-12-30 - 2008-01-05,+36%
2008-01-06 - 2008-01-12,+11%
2008-01-13 - 2008-01-19,+13%
2008-01-20 - 2008-01-26,+9%
2008-01-27 - 2008-02-02,+13%
2008-02-03 - 2008-02-09,+17%
2008-02-10 - 2008-02-16,+17%
2008-02-17 - 2008-02-23,+19%
2008-02-24 - 2008-03-01,+11%
2008-03-02 - 2008-03-08,+19%
2008-03-09 - 2008-03-15,+11%
2008-03-16 - 2008-03-22,+25%
2008-03-23 - 2008-03-29,+25%
2008-03-30 - 2008-04-05,+8%
2008-04-06 - 2008-04-12,+6%
2008-04-13 - 2008-04-19,+8%
2008-04-20 - 2008-04-26,+8%
2008-04-27 - 2008-05-03,+15%
2008-05-04 - 2008-05-10,+6%
2008-05-11 - 2008-05-17,+11%
2008-05-18 - 2008-05-24,+15%
2008-05-25 - 2008-05-31,+2%
2008-06-01 - 2008-06-07,+4%
2008-06-08 - 2008-06-14,+4%
2008-06-15 - 2008-06-21,+11%
2008-06-22 - 2008-06-28,+11%
2008-06-29 - 2008-07-05,+17%
2008-07-06 - 2008-07-12,+21%
2008-07-13 - 2008-07-19,+21%
2008-07-20 - 2008-07-26,+30%
2008-07-27 - 2008-08-02,+21%
2008-08-03 - 2008-08-09,+17%
2008-08-10 - 2008-08-16,+19%
2008-08-17 - 2008-08-23,+17%
2008-08-24 - 2008-08-30,+15%
2008-08-31 - 2008-09-06,+17%
2008-09-07 - 2008-09-13,+19%
2008-09-14 - 2008-09-20,+13%
2008-09-21 - 2008-09-27,+21%
2008-09-28 - 2008-10-04,+28%
2008-10-05 - 2008-10-11,+21%
2008-10-12 - 2008-10-18,+23%
2008-10-19 - 2008-10-25,+23%
2008-10-26 - 2008-11-01,+23%
2008-11-02 - 2008-11-08,+17%
2008-11-09 - 2008-11-15,+17%
2008-11-16 - 2008-11-22,+23%
2008-11-23 - 2008-11-29,+21%
2008-11-30 - 2008-12-06,+21%
2008-12-07 - 2008-12-13,+21%
2008-12-14 - 2008-12-20,+25%
2008-12-21 - 2008-12-27,+68%
2008-12-28 - 2009-01-03,+57%
2009-01-04 - 2009-01-10,+25%
2009-01-11 - 2009-01-17,+23%
2009-01-18 - 2009-01-24,+21%
2009-01-25 - 2009-01-31,+21%
2009-02-01 - 2009-02-07,+17%
2009-02-08 - 2009-02-14,+21%
2009-02-15 - 2009-02-21,+25%
2009-02-22 - 2009-02-28,+26%
2009-03-01 - 2009-03-07,+19%
2009-03-08 - 2009-03-14,+15%
2009-03-15 - 2009-03-21,+17%
2009-03-22 - 2009-03-28,+19%
2009-03-29 - 2009-04-04,+17%
2009-04-05 - 2009-04-11,+34%
2009-04-12 - 2009-04-18,+32%
2009-04-19 - 2009-04-25,+19%
2009-04-26 - 2009-05-02,+21%
2009-05-03 - 2009-05-09,+15%
2009-05-10 - 2009-05-16,+15%
2009-05-17 - 2009-05-23,+36%
2009-05-24 - 2009-05-30,+28%
2009-05-31 - 2009-06-06,+32%
2009-06-07 - 2009-06-13,+34%
2009-06-14 - 2009-06-20,+17%
2009-06-21 - 2009-06-27,+17%
2009-06-28 - 2009-07-04,+26%
2009-07-05 - 2009-07-11,+25%
2009-07-12 - 2009-07-18,+28%
2009-07-19 - 2009-07-25,+28%
2009-07-26 - 2009-08-01,+26%
2009-08-02 - 2009-08-08,+21%
2009-08-09 - 2009-08-15,+19%
2009-08-16 - 2009-08-22,+23%
2009-08-23 - 2009-08-29,+17%
2009-08-30 - 2009-09-05,+15%
2009-09-06 - 2009-09-12,+19%
2009-09-13 - 2009-09-19,+19%
2009-09-20 - 2009-09-26,+19%
2009-09-27 - 2009-10-03,+15%
2009-10-04 - 2009-10-10,+11%
2009-10-11 - 2009-10-17,+17%
2009-10-18 - 2009-10-24,+21%
2009-10-25 - 2009-10-31,+15%
2009-11-01 - 2009-11-07,+13%
2009-11-08 - 2009-11-14,+17%
2009-11-15 - 2009-11-21,+15%
2009-11-22 - 2009-11-28,+15%
2009-11-29 - 2009-12-05,+17%
2009-12-06 - 2009-12-12,+11%
2009-12-13 - 2009-12-19,+11%
2009-12-20 - 2009-12-26,+36%
2009-12-27 - 2010-01-02,+42%
2010-01-03 - 2010-01-09,+17%
2010-01-10 - 2010-01-16,+11%
2010-01-17 - 2010-01-23,+8%
2010-01-24 - 2010-01-30,+4%
2010-01-31 - 2010-02-06,+9%
2010-02-07 - 2010-02-13,+6%
2010-02-14 - 2010-02-20,+11%
2010-02-21 - 2010-02-27,+6%
2010-02-28 - 2010-03-06,+2%
2010-03-07 - 2010-03-13,+8%
2010-03-14 - 2010-03-20,+2%
2010-03-21 - 2010-03-27,+9%
2010-03-28 - 2010-04-03,+15%
2010-04-04 - 2010-04-10,+11%
2010-04-11 - 2010-04-17,+2%
2010-04-18 - 2010-04-24,+2%
2010-04-25 - 2010-05-01,+0%
2010-05-02 - 2010-05-08,+2%
2010-05-09 - 2010-05-15,+9%
2010-05-16 - 2010-05-22,+4%
2010-05-23 - 2010-05-29,+8%
2010-05-30 - 2010-06-05,+8%
2010-06-06 - 2010-06-12,+0%
2010-06-13 - 2010-06-19,-2%
2010-06-20 - 2010-06-26,+2%
2010-06-27 - 2010-07-03,+4%
2010-07-04 - 2010-07-10,+0%
2010-07-11 - 2010-07-17,+2%
2010-07-18 - 2010-07-24,+8%
2010-07-25 - 2010-07-31,+9%
2010-08-01 - 2010-08-07,+9%
2010-08-08 - 2010-08-14,+9%
2010-08-15 - 2010-08-21,+9%
2010-08-22 - 2010-08-28,+8%
2010-08-29 - 2010-09-04,+8%
2010-09-05 - 2010-09-11,+6%
2010-09-12 - 2010-09-18,+2%
2010-09-19 - 2010-09-25,+0%
2010-09-26 - 2010-10-02,+6%
2010-10-03 - 2010-10-09,+6%
2010-10-10 - 2010-10-16,+6%
2010-10-17 - 2010-10-23,+4%
2010-10-24 - 2010-10-30,+4%
2010-10-31 - 2010-11-06,+6%
2010-11-07 - 2010-11-13,+2%
2010-11-14 - 2010-11-20,+4%
2010-11-21 - 2010-11-27,-2%
2010-11-28 - 2010-12-04,-2%
2010-12-05 - 2010-12-11,-2%
2010-12-12 - 2010-12-18,-4%
2010-12-19 - 2010-12-25,+6%
2010-12-26 - 2011-01-01,+11%
2011-01-02 - 2011-01-08,-36%
2011-01-09 - 2011-01-15,-42%
2011-01-16 - 2011-01-22,-42%
2011-01-23 - 2011-01-29,-40%
2011-01-30 - 2011-02-05,-42%
2011-02-06 - 2011-02-12,-42%
2011-02-13 - 2011-02-19,-42%
2011-02-20 - 2011-02-26,-42%
2011-02-27 - 2011-03-05,-42%
2011-03-06 - 2011-03-12,-40%
2011-03-13 - 2011-03-19,-43%
2011-03-20 - 2011-03-26,-43%
2011-03-27 - 2011-04-02,-47%
2011-04-03 - 2011-04-09,-45%
2011-04-10 - 2011-04-16,-45%
2011-04-17 - 2011-04-23,-38%
2011-04-24 - 2011-04-30,-40%
2011-05-01 - 2011-05-07,-45%
2011-05-08 - 2011-05-14,-45%
2011-05-15 - 2011-05-21,-45%
2011-05-22 - 2011-05-28,-45%
2011-05-29 - 2011-06-04,-42%
2011-06-05 - 2011-06-11,-43%
2011-06-12 - 2011-06-18,-42%
2011-06-19 - 2011-06-25,-42%
2011-06-26 - 2011-07-02,-45%
2011-07-03 - 2011-07-09,-45%
2011-07-10 - 2011-07-16,-43%
2011-07-17 - 2011-07-23,-40%
2011-07-24 - 2011-07-30,-42%
2011-07-31 - 2011-08-06,-43%
2011-08-07 - 2011-08-13,-43%
2011-08-14 - 2011-08-20,-43%
2011-08-21 - 2011-08-27,-47%
2011-08-28 - 2011-09-03,-45%
2011-09-04 - 2011-09-10,-47%
2011-09-11 - 2011-09-17,-45%
2011-09-18 - 2011-09-24,-45%
2011-09-25 - 2011-10-01,-45%
2011-10-02 - 2011-10-08,-42%
2011-10-09 - 2011-10-15,-45%
2011-10-16 - 2011-10-22,-45%
2011-10-23 - 2011-10-29,-47%
2011-10-30 - 2011-11-05,-43%
2011-11-06 - 2011-11-12,-45%
2011-11-13 - 2011-11-19,-45%
2011-11-20 - 2011-11-26,-45%
2011-11-27 - 2011-12-03,-47%
2011-12-04 - 2011-12-10,-51%
2011-12-11 - 2011-12-17,-49%
2011-12-18 - 2011-12-24,-43%
2011-12-25 - 2011-12-31,-40%
2012-01-01 - 2012-01-07,-49%
2012-01-08 - 2012-01-14,-53%
2012-01-15 - 2012-01-21,-42%
2012-01-22 - 2012-01-28,-43%
2012-01-29 - 2012-02-04,-47%
2012-02-05 - 2012-02-11,-49%
2012-02-12 - 2012-02-18,-49%
2012-02-19 - 2012-02-25,-47%
2012-02-26 - 2012-03-03,-53%
2012-03-04 - 2012-03-10,-51%
2012-03-11 - 2012-03-17,-53%
2012-03-18 - 2012-03-24,-55%
2012-03-25 - 2012-03-31,-55%
2012-04-01 - 2012-04-07,-49%
2012-04-08 - 2012-04-14,-51%
2012-04-15 - 2012-04-21,-53%
2012-04-22 - 2012-04-28,-53%
2012-04-29 - 2012-05-05,-53%
2012-05-06 - 2012-05-12,-55%
2012-05-13 - 2012-05-19,-53%
2012-05-20 - 2012-05-26,-57%
2012-05-27 - 2012-06-02,-53%
2012-06-03 - 2012-06-09,-55%
2012-06-10 - 2012-06-16,-58%
2012-06-17 - 2012-06-23,-58%
2012-06-24 - 2012-06-30,-57%
2012-07-01 - 2012-07-07,-55%
2012-07-08 - 2012-07-14,-55%
2012-07-15 - 2012-07-21,-55%
2012-07-22 - 2012-07-28,-57%
2012-07-29 - 2012-08-04,-55%
2012-08-05 - 2012-08-11,-55%
2012-08-12 - 2012-08-18,-55%
2012-08-19 - 2012-08-25,-57%
2012-08-26 - 2012-09-01,-58%
2012-09-02 - 2012-09-08,-58%
2012-09-09 - 2012-09-15,-60%
2012-09-16 - 2012-09-22,-58%
2012-09-23 - 2012-09-29,-58%
2012-09-30 - 2012-10-06,-55%
2012-10-07 - 2012-10-13,-57%
2012-10-14 - 2012-10-20,-57%
2012-10-21 - 2012-10-27,-57%
2012-10-28 - 2012-11-03,-55%
2012-11-04 - 2012-11-10,-57%
2012-11-11 - 2012-11-17,-58%
2012-11-18 - 2012-11-24,-57%
2012-11-25 - 2012-12-01, 



Top searches
torrent,100
rapidshare,70
cannapower,35
taringa,25
ares,20
jdownloader,20
bearshare,15
limewire,15
saugstube,15
emule,15
azureus,15
baixaki,15
canna,15
crack,15
utorrent,10
megaupload,10
bitreactor,10
torrent download,10
canna power,10
bittorrent,10



Rising searches
baixaki,Breakout
bitreactor,Breakout
jdownloader,Breakout
megaupload,Breakout
rapidshare,Breakout
taringa,Breakout
utorrent,Breakout
ddl,+1,550%
cannapower,+750%
ares,+600%



