Web Search Interest
Germany; 2004 - present

Interest over time
Week,Weather
2007-05-06 - 2007-05-12,+81%
2007-05-13 - 2007-05-19,+104%
2007-05-20 - 2007-05-26,+152%
2007-05-27 - 2007-06-02,+115%
2007-06-03 - 2007-06-09,+93%
2007-06-10 - 2007-06-16,+119%
2007-06-17 - 2007-06-23,+130%
2007-06-24 - 2007-06-30,+115%
2007-07-01 - 2007-07-07,+111%
2007-07-08 - 2007-07-14,+119%
2007-07-15 - 2007-07-21,+178%
2007-07-22 - 2007-07-28,+130%
2007-07-29 - 2007-08-04,+93%
2007-08-05 - 2007-08-11,+148%
2007-08-12 - 2007-08-18,+96%
2007-08-19 - 2007-08-25,+93%
2007-08-26 - 2007-09-01,+70%
2007-09-02 - 2007-09-08,+59%
2007-09-09 - 2007-09-15,+33%
2007-09-16 - 2007-09-22,+26%
2007-09-23 - 2007-09-29,+48%
2007-09-30 - 2007-10-06,+19%
2007-10-07 - 2007-10-13,-4%
2007-10-14 - 2007-10-20,+7%
2007-10-21 - 2007-10-27,-4%
2007-10-28 - 2007-11-03,-11%
2007-11-04 - 2007-11-10,+22%
2007-11-11 - 2007-11-17,+26%
2007-11-18 - 2007-11-24,-4%
2007-11-25 - 2007-12-01,-4%
2007-12-02 - 2007-12-08,+0%
2007-12-09 - 2007-12-15,-7%
2007-12-16 - 2007-12-22,+4%
2007-12-23 - 2007-12-29,+22%
2007-12-30 - 2008-01-05,+15%
2008-01-06 - 2008-01-12,-4%
2008-01-13 - 2008-01-19,-7%
2008-01-20 - 2008-01-26,+0%
2008-01-27 - 2008-02-02,+19%
2008-02-03 - 2008-02-09,+0%
2008-02-10 - 2008-02-16,-7%
2008-02-17 - 2008-02-23,+0%
2008-02-24 - 2008-03-01,+67%
2008-03-02 - 2008-03-08,+30%
2008-03-09 - 2008-03-15,+59%
2008-03-16 - 2008-03-22,+74%
2008-03-23 - 2008-03-29,+52%
2008-03-30 - 2008-04-05,+37%
2008-04-06 - 2008-04-12,+48%
2008-04-13 - 2008-04-19,+59%
2008-04-20 - 2008-04-26,+63%
2008-04-27 - 2008-05-03,+119%
2008-05-04 - 2008-05-10,+56%
2008-05-11 - 2008-05-17,+130%
2008-05-18 - 2008-05-24,+93%
2008-05-25 - 2008-05-31,+137%
2008-06-01 - 2008-06-07,+148%
2008-06-08 - 2008-06-14,+122%
2008-06-15 - 2008-06-21,+85%
2008-06-22 - 2008-06-28,+130%
2008-06-29 - 2008-07-05,+141%
2008-07-06 - 2008-07-12,+137%
2008-07-13 - 2008-07-19,+122%
2008-07-20 - 2008-07-26,+119%
2008-07-27 - 2008-08-02,+193%
2008-08-03 - 2008-08-09,+144%
2008-08-10 - 2008-08-16,+122%
2008-08-17 - 2008-08-23,+100%
2008-08-24 - 2008-08-30,+59%
2008-08-31 - 2008-09-06,+89%
2008-09-07 - 2008-09-13,+70%
2008-09-14 - 2008-09-20,+41%
2008-09-21 - 2008-09-27,+30%
2008-09-28 - 2008-10-04,+56%
2008-10-05 - 2008-10-11,+15%
2008-10-12 - 2008-10-18,+11%
2008-10-19 - 2008-10-25,+4%
2008-10-26 - 2008-11-01,+11%
2008-11-02 - 2008-11-08,-11%
2008-11-09 - 2008-11-15,-11%
2008-11-16 - 2008-11-22,+81%
2008-11-23 - 2008-11-29,+33%
2008-11-30 - 2008-12-06,+22%
2008-12-07 - 2008-12-13,+11%
2008-12-14 - 2008-12-20,+11%
2008-12-21 - 2008-12-27,+15%
2008-12-28 - 2009-01-03,+41%
2009-01-04 - 2009-01-10,+93%
2009-01-11 - 2009-01-17,+33%
2009-01-18 - 2009-01-24,+15%
2009-01-25 - 2009-01-31,-4%
2009-02-01 - 2009-02-07,+7%
2009-02-08 - 2009-02-14,+44%
2009-02-15 - 2009-02-21,+44%
2009-02-22 - 2009-02-28,+19%
2009-03-01 - 2009-03-07,+22%
2009-03-08 - 2009-03-14,+19%
2009-03-15 - 2009-03-21,+22%
2009-03-22 - 2009-03-28,+44%
2009-03-29 - 2009-04-04,+44%
2009-04-05 - 2009-04-11,+67%
2009-04-12 - 2009-04-18,+63%
2009-04-19 - 2009-04-25,+48%
2009-04-26 - 2009-05-02,+81%
2009-05-03 - 2009-05-09,+70%
2009-05-10 - 2009-05-16,+81%
2009-05-17 - 2009-05-23,+111%
2009-05-24 - 2009-05-30,+174%
2009-05-31 - 2009-06-06,+96%
2009-06-07 - 2009-06-13,+104%
2009-06-14 - 2009-06-20,+115%
2009-06-21 - 2009-06-27,+126%
2009-06-28 - 2009-07-04,+152%
2009-07-05 - 2009-07-11,+133%
2009-07-12 - 2009-07-18,+163%
2009-07-19 - 2009-07-25,+159%
2009-07-26 - 2009-08-01,+96%
2009-08-02 - 2009-08-08,+104%
2009-08-09 - 2009-08-15,+96%
2009-08-16 - 2009-08-22,+126%
2009-08-23 - 2009-08-29,+93%
2009-08-30 - 2009-09-05,+96%
2009-09-06 - 2009-09-12,+52%
2009-09-13 - 2009-09-19,+44%
2009-09-20 - 2009-09-26,+19%
2009-09-27 - 2009-10-03,+22%
2009-10-04 - 2009-10-10,+37%
2009-10-11 - 2009-10-17,+41%
2009-10-18 - 2009-10-24,+7%
2009-10-25 - 2009-10-31,-11%
2009-11-01 - 2009-11-07,-4%
2009-11-08 - 2009-11-14,-15%
2009-11-15 - 2009-11-21,-15%
2009-11-22 - 2009-11-28,-7%
2009-11-29 - 2009-12-05,-7%
2009-12-06 - 2009-12-12,+11%
2009-12-13 - 2009-12-19,+52%
2009-12-20 - 2009-12-26,+89%
2009-12-27 - 2010-01-02,+52%
2010-01-03 - 2010-01-09,+152%
2010-01-10 - 2010-01-16,+56%
2010-01-17 - 2010-01-23,+19%
2010-01-24 - 2010-01-30,+93%
2010-01-31 - 2010-02-06,+93%
2010-02-07 - 2010-02-13,+63%
2010-02-14 - 2010-02-20,+37%
2010-02-21 - 2010-02-27,+19%
2010-02-28 - 2010-03-06,+52%
2010-03-07 - 2010-03-13,+30%
2010-03-14 - 2010-03-20,+30%
2010-03-21 - 2010-03-27,+63%
2010-03-28 - 2010-04-03,+59%
2010-04-04 - 2010-04-10,+30%
2010-04-11 - 2010-04-17,+26%
2010-04-18 - 2010-04-24,+26%
2010-04-25 - 2010-05-01,+70%
2010-05-02 - 2010-05-08,+70%
2010-05-09 - 2010-05-15,+89%
2010-05-16 - 2010-05-22,+85%
2010-05-23 - 2010-05-29,+96%
2010-05-30 - 2010-06-05,+78%
2010-06-06 - 2010-06-12,+130%
2010-06-13 - 2010-06-19,+100%
2010-06-20 - 2010-06-26,+56%
2010-06-27 - 2010-07-03,+85%
2010-07-04 - 2010-07-10,+100%
2010-07-11 - 2010-07-17,+244%
2010-07-18 - 2010-07-24,+174%
2010-07-25 - 2010-07-31,+119%
2010-08-01 - 2010-08-07,+115%
2010-08-08 - 2010-08-14,+119%
2010-08-15 - 2010-08-21,+100%
2010-08-22 - 2010-08-28,+122%
2010-08-29 - 2010-09-04,+70%
2010-09-05 - 2010-09-11,+48%
2010-09-12 - 2010-09-18,+52%
2010-09-19 - 2010-09-25,+44%
2010-09-26 - 2010-10-02,+44%
2010-10-03 - 2010-10-09,+26%
2010-10-10 - 2010-10-16,+30%
2010-10-17 - 2010-10-23,+22%
2010-10-24 - 2010-10-30,+7%
2010-10-31 - 2010-11-06,-4%
2010-11-07 - 2010-11-13,+15%
2010-11-14 - 2010-11-20,+0%
2010-11-21 - 2010-11-27,+41%
2010-11-28 - 2010-12-04,+126%
2010-12-05 - 2010-12-11,+100%
2010-12-12 - 2010-12-18,+185%
2010-12-19 - 2010-12-25,+178%
2010-12-26 - 2011-01-01,+96%
2011-01-02 - 2011-01-08,+63%
2011-01-09 - 2011-01-15,+30%
2011-01-16 - 2011-01-22,+22%
2011-01-23 - 2011-01-29,+15%
2011-01-30 - 2011-02-05,+22%
2011-02-06 - 2011-02-12,+22%
2011-02-13 - 2011-02-19,+15%
2011-02-20 - 2011-02-26,+30%
2011-02-27 - 2011-03-05,+11%
2011-03-06 - 2011-03-12,+19%
2011-03-13 - 2011-03-19,+26%
2011-03-20 - 2011-03-26,+30%
2011-03-27 - 2011-04-02,+44%
2011-04-03 - 2011-04-09,+59%
2011-04-10 - 2011-04-16,+74%
2011-04-17 - 2011-04-23,+56%
2011-04-24 - 2011-04-30,+93%
2011-05-01 - 2011-05-07,+52%
2011-05-08 - 2011-05-14,+119%
2011-05-15 - 2011-05-21,+111%
2011-05-22 - 2011-05-28,+141%
2011-05-29 - 2011-06-04,+174%
2011-06-05 - 2011-06-11,+196%
2011-06-12 - 2011-06-18,+156%
2011-06-19 - 2011-06-25,+167%
2011-06-26 - 2011-07-02,+189%
2011-07-03 - 2011-07-09,+156%
2011-07-10 - 2011-07-16,+185%
2011-07-17 - 2011-07-23,+185%
2011-07-24 - 2011-07-30,+174%
2011-07-31 - 2011-08-06,+181%
2011-08-07 - 2011-08-13,+159%
2011-08-14 - 2011-08-20,+163%
2011-08-21 - 2011-08-27,+270%
2011-08-28 - 2011-09-03,+104%
2011-09-04 - 2011-09-10,+115%
2011-09-11 - 2011-09-17,+104%
2011-09-18 - 2011-09-24,+52%
2011-09-25 - 2011-10-01,+44%
2011-10-02 - 2011-10-08,+70%
2011-10-09 - 2011-10-15,+48%
2011-10-16 - 2011-10-22,+41%
2011-10-23 - 2011-10-29,+15%
2011-10-30 - 2011-11-05,+7%
2011-11-06 - 2011-11-12,+0%
2011-11-13 - 2011-11-19,+0%
2011-11-20 - 2011-11-26,+0%
2011-11-27 - 2011-12-03,+15%
2011-12-04 - 2011-12-10,+48%
2011-12-11 - 2011-12-17,+96%
2011-12-18 - 2011-12-24,+41%
2011-12-25 - 2011-12-31,+41%
2012-01-01 - 2012-01-07,+81%
2012-01-08 - 2012-01-14,+33%
2012-01-15 - 2012-01-21,+41%
2012-01-22 - 2012-01-28,+41%
2012-01-29 - 2012-02-04,+104%
2012-02-05 - 2012-02-11,+111%
2012-02-12 - 2012-02-18,+70%
2012-02-19 - 2012-02-25,+22%
2012-02-26 - 2012-03-03,+15%
2012-03-04 - 2012-03-10,+26%
2012-03-11 - 2012-03-17,+30%
2012-03-18 - 2012-03-24,+37%
2012-03-25 - 2012-03-31,+63%
2012-04-01 - 2012-04-07,+85%
2012-04-08 - 2012-04-14,+59%
2012-04-15 - 2012-04-21,+63%
2012-04-22 - 2012-04-28,+89%
2012-04-29 - 2012-05-05,+141%
2012-05-06 - 2012-05-12,+137%
2012-05-13 - 2012-05-19,+137%
2012-05-20 - 2012-05-26,+148%
2012-05-27 - 2012-06-02,+141%
2012-06-03 - 2012-06-09,+137%
2012-06-10 - 2012-06-16,+126%
2012-06-17 - 2012-06-23,+159%
2012-06-24 - 2012-06-30,+181%
2012-07-01 - 2012-07-07,+211%
2012-07-08 - 2012-07-14,+170%
2012-07-15 - 2012-07-21,+156%
2012-07-22 - 2012-07-28,+193%
2012-07-29 - 2012-08-04,+159%
2012-08-05 - 2012-08-11,+111%
2012-08-12 - 2012-08-18,+115%
2012-08-19 - 2012-08-25,+211%
2012-08-26 - 2012-09-01,+126%
2012-09-02 - 2012-09-08,+70%
2012-09-09 - 2012-09-15,+93%
2012-09-16 - 2012-09-22,+67%
2012-09-23 - 2012-09-29,+59%
2012-09-30 - 2012-10-06,+59%
2012-10-07 - 2012-10-13,+41%
2012-10-14 - 2012-10-20,+22%
2012-10-21 - 2012-10-27,+48%
2012-10-28 - 2012-11-03,+41%
2012-11-04 - 2012-11-10,+0%
2012-11-11 - 2012-11-17,-11%
2012-11-18 - 2012-11-24,-11%
2012-11-25 - 2012-12-01, 



Top searches
wetter,100
wetteronline,5
wettervorhersage,5
wetter berlin,5
weather,5
wetter.de,5
wetter online,5
wetter com,0
14 tage wetter,0
unwetterzentrale,0
meteo,0
wetter.com,0
dwd,0
münchen wetter,0
kachelmann,0
wetter de,0
wetter hamburg,0
regenradar,0
wetterbericht,0
wetterdienst,0



Rising searches
14 tage wetter,Breakout
wetter com,+550%
wetter berlin,+250%
wetter.com,+250%
wetter.de,+250%
regenradar,+200%
wetter hamburg,+200%
wetteronline,+200%
münchen wetter,+180%
unwetterzentrale,+100%



