Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Property Management
2006-02-05 - 2006-02-11,-3%
2006-02-12 - 2006-02-18,-22%
2006-02-19 - 2006-02-25,+38%
2006-02-26 - 2006-03-04,+9%
2006-03-05 - 2006-03-11,-9%
2006-03-12 - 2006-03-18,+33%
2006-03-19 - 2006-03-25,-10%
2006-03-26 - 2006-04-01,-22%
2006-04-02 - 2006-04-08,+12%
2006-04-09 - 2006-04-15,+10%
2006-04-16 - 2006-04-22,-19%
2006-04-23 - 2006-04-29,-14%
2006-04-30 - 2006-05-06,+7%
2006-05-07 - 2006-05-13,+19%
2006-05-14 - 2006-05-20,+66%
2006-05-21 - 2006-05-27,+36%
2006-05-28 - 2006-06-03,+38%
2006-06-04 - 2006-06-10,-43%
2006-06-11 - 2006-06-17,+2%
2006-06-18 - 2006-06-24,+12%
2006-06-25 - 2006-07-01,-10%
2006-07-02 - 2006-07-08,+14%
2006-07-09 - 2006-07-15,+17%
2006-07-16 - 2006-07-22,-26%
2006-07-23 - 2006-07-29,-26%
2006-07-30 - 2006-08-05,-33%
2006-08-06 - 2006-08-12,-19%
2006-08-13 - 2006-08-19,-7%
2006-08-20 - 2006-08-26,+38%
2006-08-27 - 2006-09-02,-17%
2006-09-03 - 2006-09-09,+14%
2006-09-10 - 2006-09-16,+9%
2006-09-17 - 2006-09-23,+7%
2006-09-24 - 2006-09-30,+19%
2006-10-01 - 2006-10-07,-26%
2006-10-08 - 2006-10-14,+5%
2006-10-15 - 2006-10-21,-5%
2006-10-22 - 2006-10-28,+16%
2006-10-29 - 2006-11-04,-17%
2006-11-05 - 2006-11-11,+0%
2006-11-12 - 2006-11-18,-17%
2006-11-19 - 2006-11-25,-33%
2006-11-26 - 2006-12-02,+0%
2006-12-03 - 2006-12-09,-21%
2006-12-10 - 2006-12-16,-17%
2006-12-17 - 2006-12-23,-29%
2006-12-24 - 2006-12-30,-5%
2006-12-31 - 2007-01-06,-33%
2007-01-07 - 2007-01-13,+16%
2007-01-14 - 2007-01-20,+12%
2007-01-21 - 2007-01-27,-14%
2007-01-28 - 2007-02-03,+5%
2007-02-04 - 2007-02-10,-24%
2007-02-11 - 2007-02-17,-21%
2007-02-18 - 2007-02-24,-31%
2007-02-25 - 2007-03-03,-16%
2007-03-04 - 2007-03-10,-17%
2007-03-11 - 2007-03-17,-26%
2007-03-18 - 2007-03-24,-10%
2007-03-25 - 2007-03-31,-29%
2007-04-01 - 2007-04-07,-26%
2007-04-08 - 2007-04-14,-33%
2007-04-15 - 2007-04-21,-2%
2007-04-22 - 2007-04-28,-17%
2007-04-29 - 2007-05-05,-21%
2007-05-06 - 2007-05-12,-5%
2007-05-13 - 2007-05-19,-9%
2007-05-20 - 2007-05-26,-7%
2007-05-27 - 2007-06-02,-36%
2007-06-03 - 2007-06-09,+9%
2007-06-10 - 2007-06-16,-17%
2007-06-17 - 2007-06-23,+3%
2007-06-24 - 2007-06-30,-28%
2007-07-01 - 2007-07-07,-5%
2007-07-08 - 2007-07-14,-22%
2007-07-15 - 2007-07-21,-29%
2007-07-22 - 2007-07-28,+33%
2007-07-29 - 2007-08-04,-14%
2007-08-05 - 2007-08-11,-5%
2007-08-12 - 2007-08-18,-31%
2007-08-19 - 2007-08-25,-26%
2007-08-26 - 2007-09-01,-5%
2007-09-02 - 2007-09-08,-31%
2007-09-09 - 2007-09-15,+17%
2007-09-16 - 2007-09-22,-2%
2007-09-23 - 2007-09-29,-2%
2007-09-30 - 2007-10-06,-10%
2007-10-07 - 2007-10-13,-5%
2007-10-14 - 2007-10-20,-21%
2007-10-21 - 2007-10-27,+22%
2007-10-28 - 2007-11-03,-10%
2007-11-04 - 2007-11-10,-7%
2007-11-11 - 2007-11-17,+2%
2007-11-18 - 2007-11-24,+14%
2007-11-25 - 2007-12-01,-24%
2007-12-02 - 2007-12-08,-24%
2007-12-09 - 2007-12-15,-29%
2007-12-16 - 2007-12-22,-16%
2007-12-23 - 2007-12-29,-55%
2007-12-30 - 2008-01-05,-24%
2008-01-06 - 2008-01-12,-3%
2008-01-13 - 2008-01-19,-24%
2008-01-20 - 2008-01-26,+0%
2008-01-27 - 2008-02-02,-26%
2008-02-03 - 2008-02-09,-43%
2008-02-10 - 2008-02-16,-12%
2008-02-17 - 2008-02-23,-3%
2008-02-24 - 2008-03-01,-29%
2008-03-02 - 2008-03-08,-5%
2008-03-09 - 2008-03-15,-2%
2008-03-16 - 2008-03-22,+0%
2008-03-23 - 2008-03-29,-3%
2008-03-30 - 2008-04-05,-12%
2008-04-06 - 2008-04-12,-16%
2008-04-13 - 2008-04-19,-19%
2008-04-20 - 2008-04-26,-5%
2008-04-27 - 2008-05-03,-26%
2008-05-04 - 2008-05-10,+22%
2008-05-11 - 2008-05-17,-21%
2008-05-18 - 2008-05-24,-19%
2008-05-25 - 2008-05-31,-3%
2008-06-01 - 2008-06-07,-31%
2008-06-08 - 2008-06-14,-17%
2008-06-15 - 2008-06-21,-9%
2008-06-22 - 2008-06-28,+5%
2008-06-29 - 2008-07-05,+0%
2008-07-06 - 2008-07-12,+2%
2008-07-13 - 2008-07-19,-21%
2008-07-20 - 2008-07-26,-9%
2008-07-27 - 2008-08-02,-10%
2008-08-03 - 2008-08-09,-24%
2008-08-10 - 2008-08-16,-9%
2008-08-17 - 2008-08-23,-29%
2008-08-24 - 2008-08-30,-26%
2008-08-31 - 2008-09-06,-21%
2008-09-07 - 2008-09-13,-29%
2008-09-14 - 2008-09-20,-33%
2008-09-21 - 2008-09-27,-24%
2008-09-28 - 2008-10-04,-29%
2008-10-05 - 2008-10-11,-17%
2008-10-12 - 2008-10-18,-7%
2008-10-19 - 2008-10-25,-12%
2008-10-26 - 2008-11-01,-19%
2008-11-02 - 2008-11-08,-26%
2008-11-09 - 2008-11-15,-17%
2008-11-16 - 2008-11-22,-9%
2008-11-23 - 2008-11-29,-21%
2008-11-30 - 2008-12-06,-10%
2008-12-07 - 2008-12-13,-14%
2008-12-14 - 2008-12-20,-5%
2008-12-21 - 2008-12-27,-21%
2008-12-28 - 2009-01-03,-43%
2009-01-04 - 2009-01-10,-12%
2009-01-11 - 2009-01-17,-26%
2009-01-18 - 2009-01-24,-33%
2009-01-25 - 2009-01-31,-43%
2009-02-01 - 2009-02-07,-21%
2009-02-08 - 2009-02-14,-21%
2009-02-15 - 2009-02-21,-22%
2009-02-22 - 2009-02-28,-41%
2009-03-01 - 2009-03-07,-16%
2009-03-08 - 2009-03-14,+0%
2009-03-15 - 2009-03-21,-16%
2009-03-22 - 2009-03-28,+0%
2009-03-29 - 2009-04-04,-21%
2009-04-05 - 2009-04-11,-22%
2009-04-12 - 2009-04-18,-22%
2009-04-19 - 2009-04-25,-12%
2009-04-26 - 2009-05-02,-28%
2009-05-03 - 2009-05-09,-19%
2009-05-10 - 2009-05-16,-22%
2009-05-17 - 2009-05-23,-17%
2009-05-24 - 2009-05-30,-17%
2009-05-31 - 2009-06-06,-29%
2009-06-07 - 2009-06-13,-33%
2009-06-14 - 2009-06-20,+0%
2009-06-21 - 2009-06-27,-5%
2009-06-28 - 2009-07-04,-10%
2009-07-05 - 2009-07-11,-22%
2009-07-12 - 2009-07-18,-19%
2009-07-19 - 2009-07-25,-29%
2009-07-26 - 2009-08-01,-17%
2009-08-02 - 2009-08-08,-36%
2009-08-09 - 2009-08-15,+7%
2009-08-16 - 2009-08-22,-21%
2009-08-23 - 2009-08-29,-14%
2009-08-30 - 2009-09-05,-17%
2009-09-06 - 2009-09-12,-19%
2009-09-13 - 2009-09-19,-21%
2009-09-20 - 2009-09-26,-26%
2009-09-27 - 2009-10-03,-12%
2009-10-04 - 2009-10-10,-14%
2009-10-11 - 2009-10-17,-12%
2009-10-18 - 2009-10-24,-12%
2009-10-25 - 2009-10-31,+9%
2009-11-01 - 2009-11-07,-24%
2009-11-08 - 2009-11-14,+2%
2009-11-15 - 2009-11-21,-17%
2009-11-22 - 2009-11-28,-7%
2009-11-29 - 2009-12-05,+0%
2009-12-06 - 2009-12-12,-33%
2009-12-13 - 2009-12-19,-10%
2009-12-20 - 2009-12-26,-33%
2009-12-27 - 2010-01-02,-9%
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+2%
2010-01-17 - 2010-01-23,+5%
2010-01-24 - 2010-01-30,+26%
2010-01-31 - 2010-02-06,+19%
2010-02-07 - 2010-02-13,+5%
2010-02-14 - 2010-02-20,-33%
2010-02-21 - 2010-02-27,-16%
2010-02-28 - 2010-03-06,+24%
2010-03-07 - 2010-03-13,-5%
2010-03-14 - 2010-03-20,+2%
2010-03-21 - 2010-03-27,+3%
2010-03-28 - 2010-04-03,-19%
2010-04-04 - 2010-04-10,+2%
2010-04-11 - 2010-04-17,-5%
2010-04-18 - 2010-04-24,-3%
2010-04-25 - 2010-05-01,-5%
2010-05-02 - 2010-05-08,-5%
2010-05-09 - 2010-05-15,-10%
2010-05-16 - 2010-05-22,+7%
2010-05-23 - 2010-05-29,-3%
2010-05-30 - 2010-06-05,-16%
2010-06-06 - 2010-06-12,+2%
2010-06-13 - 2010-06-19,-22%
2010-06-20 - 2010-06-26,+3%
2010-06-27 - 2010-07-03,+10%
2010-07-04 - 2010-07-10,-28%
2010-07-11 - 2010-07-17,-9%
2010-07-18 - 2010-07-24,-12%
2010-07-25 - 2010-07-31,-5%
2010-08-01 - 2010-08-07,-24%
2010-08-08 - 2010-08-14,-9%
2010-08-15 - 2010-08-21,-16%
2010-08-22 - 2010-08-28,-22%
2010-08-29 - 2010-09-04,-17%
2010-09-05 - 2010-09-11,-5%
2010-09-12 - 2010-09-18,-7%
2010-09-19 - 2010-09-25,-31%
2010-09-26 - 2010-10-02,-19%
2010-10-03 - 2010-10-09,-14%
2010-10-10 - 2010-10-16,-16%
2010-10-17 - 2010-10-23,-3%
2010-10-24 - 2010-10-30,-3%
2010-10-31 - 2010-11-06,-12%
2010-11-07 - 2010-11-13,-7%
2010-11-14 - 2010-11-20,-3%
2010-11-21 - 2010-11-27,-31%
2010-11-28 - 2010-12-04,-28%
2010-12-05 - 2010-12-11,-19%
2010-12-12 - 2010-12-18,-28%
2010-12-19 - 2010-12-25,-29%
2010-12-26 - 2011-01-01,-22%
2011-01-02 - 2011-01-08,-21%
2011-01-09 - 2011-01-15,-16%
2011-01-16 - 2011-01-22,-26%
2011-01-23 - 2011-01-29,-19%
2011-01-30 - 2011-02-05,-41%
2011-02-06 - 2011-02-12,-40%
2011-02-13 - 2011-02-19,-14%
2011-02-20 - 2011-02-26,-12%
2011-02-27 - 2011-03-05,-14%
2011-03-06 - 2011-03-12,-19%
2011-03-13 - 2011-03-19,-22%
2011-03-20 - 2011-03-26,-14%
2011-03-27 - 2011-04-02,-24%
2011-04-03 - 2011-04-09,-34%
2011-04-10 - 2011-04-16,-16%
2011-04-17 - 2011-04-23,-26%
2011-04-24 - 2011-04-30,-31%
2011-05-01 - 2011-05-07,-14%
2011-05-08 - 2011-05-14,-24%
2011-05-15 - 2011-05-21,-33%
2011-05-22 - 2011-05-28,-22%
2011-05-29 - 2011-06-04,-40%
2011-06-05 - 2011-06-11,-28%
2011-06-12 - 2011-06-18,-14%
2011-06-19 - 2011-06-25,-14%
2011-06-26 - 2011-07-02,-21%
2011-07-03 - 2011-07-09,-16%
2011-07-10 - 2011-07-16,-29%
2011-07-17 - 2011-07-23,-22%
2011-07-24 - 2011-07-30,-22%
2011-07-31 - 2011-08-06,-24%
2011-08-07 - 2011-08-13,-33%
2011-08-14 - 2011-08-20,-29%
2011-08-21 - 2011-08-27,-33%
2011-08-28 - 2011-09-03,-24%
2011-09-04 - 2011-09-10,-17%
2011-09-11 - 2011-09-17,-34%
2011-09-18 - 2011-09-24,-38%
2011-09-25 - 2011-10-01,-28%
2011-10-02 - 2011-10-08,-34%
2011-10-09 - 2011-10-15,-31%
2011-10-16 - 2011-10-22,-28%
2011-10-23 - 2011-10-29,-26%
2011-10-30 - 2011-11-05,-28%
2011-11-06 - 2011-11-12,-28%
2011-11-13 - 2011-11-19,-16%
2011-11-20 - 2011-11-26,-34%
2011-11-27 - 2011-12-03,-33%
2011-12-04 - 2011-12-10,-33%
2011-12-11 - 2011-12-17,-41%
2011-12-18 - 2011-12-24,-36%
2011-12-25 - 2011-12-31,-47%
2012-01-01 - 2012-01-07,-43%
2012-01-08 - 2012-01-14,-34%
2012-01-15 - 2012-01-21,-31%
2012-01-22 - 2012-01-28,-52%
2012-01-29 - 2012-02-04,-26%
2012-02-05 - 2012-02-11,-29%
2012-02-12 - 2012-02-18,-40%
2012-02-19 - 2012-02-25,-29%
2012-02-26 - 2012-03-03,-22%
2012-03-04 - 2012-03-10,-36%
2012-03-11 - 2012-03-17,-31%
2012-03-18 - 2012-03-24,-28%
2012-03-25 - 2012-03-31,-28%
2012-04-01 - 2012-04-07,-38%
2012-04-08 - 2012-04-14,-34%
2012-04-15 - 2012-04-21,-28%
2012-04-22 - 2012-04-28,-34%
2012-04-29 - 2012-05-05,-41%
2012-05-06 - 2012-05-12,-24%
2012-05-13 - 2012-05-19,-36%
2012-05-20 - 2012-05-26,-31%
2012-05-27 - 2012-06-02,-21%
2012-06-03 - 2012-06-09,-34%
2012-06-10 - 2012-06-16,-34%
2012-06-17 - 2012-06-23,-40%
2012-06-24 - 2012-06-30,-40%
2012-07-01 - 2012-07-07,-34%
2012-07-08 - 2012-07-14,-31%
2012-07-15 - 2012-07-21,-36%
2012-07-22 - 2012-07-28,-40%
2012-07-29 - 2012-08-04,-24%
2012-08-05 - 2012-08-11,-28%
2012-08-12 - 2012-08-18,-47%
2012-08-19 - 2012-08-25,-41%
2012-08-26 - 2012-09-01,-34%
2012-09-02 - 2012-09-08,-33%
2012-09-09 - 2012-09-15,-41%
2012-09-16 - 2012-09-22,-34%
2012-09-23 - 2012-09-29,-38%
2012-09-30 - 2012-10-06,-45%
2012-10-07 - 2012-10-13,-47%
2012-10-14 - 2012-10-20,-28%
2012-10-21 - 2012-10-27,-38%
2012-10-28 - 2012-11-03,-40%
2012-11-04 - 2012-11-10,-43%
2012-11-11 - 2012-11-17,-36%
2012-11-18 - 2012-11-24,-40%
2012-11-25 - 2012-12-01, 



Top searches
租,100
property management,70
tenant,50
deed,40
物业,35
租約,35
landlord,30
租務,30
dtz,25
租客,25
物业管理,25
ownership,20
tenancy,20
业主论坛,15
deposit protection,15
tenants,15
立案法團,15
資本,15
退租,15
adm,10



Rising searches
deed,Breakout
dtz,Breakout
landlord,Breakout
ownership,Breakout
tenancy,Breakout
tenant,Breakout
物业,Breakout
物业管理,Breakout
租務,Breakout
租客,Breakout



