Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Aerospace & Defense
2005-01-02 - 2005-01-08,-50%
2005-01-09 - 2005-01-15,-29%
2005-01-16 - 2005-01-22,-38%
2005-01-23 - 2005-01-29,-58%
2005-01-30 - 2005-02-05,-61%
2005-02-06 - 2005-02-12,-56%
2005-02-13 - 2005-02-19,-55%
2005-02-20 - 2005-02-26,-53%
2005-02-27 - 2005-03-05,-55%
2005-03-06 - 2005-03-12,-58%
2005-03-13 - 2005-03-19,-59%
2005-03-20 - 2005-03-26,-58%
2005-03-27 - 2005-04-02,-64%
2005-04-03 - 2005-04-09,-59%
2005-04-10 - 2005-04-16,-58%
2005-04-17 - 2005-04-23,-68%
2005-04-24 - 2005-04-30,-67%
2005-05-01 - 2005-05-07,-59%
2005-05-08 - 2005-05-14,-65%
2005-05-15 - 2005-05-21,-64%
2005-05-22 - 2005-05-28,-70%
2005-05-29 - 2005-06-04,-58%
2005-06-05 - 2005-06-11,-67%
2005-06-12 - 2005-06-18,-65%
2005-06-19 - 2005-06-25,-64%
2005-06-26 - 2005-07-02,-64%
2005-07-03 - 2005-07-09,-44%
2005-07-10 - 2005-07-16,-59%
2005-07-17 - 2005-07-23,-48%
2005-07-24 - 2005-07-30,-27%
2005-07-31 - 2005-08-06,-41%
2005-08-07 - 2005-08-13,+52%
2005-08-14 - 2005-08-20,-48%
2005-08-21 - 2005-08-27,-45%
2005-08-28 - 2005-09-03,-48%
2005-09-04 - 2005-09-10,-52%
2005-09-11 - 2005-09-17,-55%
2005-09-18 - 2005-09-24,-55%
2005-09-25 - 2005-10-01,-61%
2005-10-02 - 2005-10-08,-52%
2005-10-09 - 2005-10-15,-55%
2005-10-16 - 2005-10-22,-58%
2005-10-23 - 2005-10-29,-61%
2005-10-30 - 2005-11-05,-64%
2005-11-06 - 2005-11-12,-65%
2005-11-13 - 2005-11-19,-68%
2005-11-20 - 2005-11-26,-67%
2005-11-27 - 2005-12-03,-61%
2005-12-04 - 2005-12-10,-56%
2005-12-11 - 2005-12-17,-61%
2005-12-18 - 2005-12-24,-70%
2005-12-25 - 2005-12-31,-67%
2006-01-01 - 2006-01-07,-55%
2006-01-08 - 2006-01-14,-62%
2006-01-15 - 2006-01-21,-59%
2006-01-22 - 2006-01-28,-65%
2006-01-29 - 2006-02-04,-64%
2006-02-05 - 2006-02-11,-59%
2006-02-12 - 2006-02-18,-62%
2006-02-19 - 2006-02-25,-59%
2006-02-26 - 2006-03-04,-70%
2006-03-05 - 2006-03-11,-68%
2006-03-12 - 2006-03-18,-65%
2006-03-19 - 2006-03-25,-59%
2006-03-26 - 2006-04-01,-59%
2006-04-02 - 2006-04-08,-65%
2006-04-09 - 2006-04-15,-61%
2006-04-16 - 2006-04-22,-67%
2006-04-23 - 2006-04-29,-70%
2006-04-30 - 2006-05-06,-61%
2006-05-07 - 2006-05-13,-64%
2006-05-14 - 2006-05-20,-65%
2006-05-21 - 2006-05-27,-62%
2006-05-28 - 2006-06-03,-65%
2006-06-04 - 2006-06-10,-68%
2006-06-11 - 2006-06-17,-68%
2006-06-18 - 2006-06-24,-58%
2006-06-25 - 2006-07-01,-53%
2006-07-02 - 2006-07-08,-59%
2006-07-09 - 2006-07-15,-64%
2006-07-16 - 2006-07-22,-47%
2006-07-23 - 2006-07-29,-58%
2006-07-30 - 2006-08-05,-67%
2006-08-06 - 2006-08-12,-59%
2006-08-13 - 2006-08-19,-64%
2006-08-20 - 2006-08-26,-65%
2006-08-27 - 2006-09-02,-70%
2006-09-03 - 2006-09-09,-67%
2006-09-10 - 2006-09-16,-70%
2006-09-17 - 2006-09-23,-62%
2006-09-24 - 2006-09-30,-61%
2006-10-01 - 2006-10-07,-67%
2006-10-08 - 2006-10-14,-70%
2006-10-15 - 2006-10-21,-67%
2006-10-22 - 2006-10-28,-73%
2006-10-29 - 2006-11-04,-74%
2006-11-05 - 2006-11-11,-64%
2006-11-12 - 2006-11-18,-71%
2006-11-19 - 2006-11-25,-73%
2006-11-26 - 2006-12-02,-71%
2006-12-03 - 2006-12-09,-70%
2006-12-10 - 2006-12-16,-73%
2006-12-17 - 2006-12-23,-76%
2006-12-24 - 2006-12-30,-77%
2006-12-31 - 2007-01-06,-74%
2007-01-07 - 2007-01-13,-71%
2007-01-14 - 2007-01-20,-73%
2007-01-21 - 2007-01-27,-73%
2007-01-28 - 2007-02-03,-71%
2007-02-04 - 2007-02-10,-68%
2007-02-11 - 2007-02-17,-74%
2007-02-18 - 2007-02-24,-71%
2007-02-25 - 2007-03-03,-70%
2007-03-04 - 2007-03-10,-74%
2007-03-11 - 2007-03-17,-70%
2007-03-18 - 2007-03-24,-71%
2007-03-25 - 2007-03-31,-74%
2007-04-01 - 2007-04-07,-74%
2007-04-08 - 2007-04-14,+24%
2007-04-15 - 2007-04-21,-76%
2007-04-22 - 2007-04-28,-74%
2007-04-29 - 2007-05-05,-73%
2007-05-06 - 2007-05-12,-73%
2007-05-13 - 2007-05-19,-73%
2007-05-20 - 2007-05-26,-73%
2007-05-27 - 2007-06-02,-71%
2007-06-03 - 2007-06-09,-76%
2007-06-10 - 2007-06-16,-70%
2007-06-17 - 2007-06-23,-48%
2007-06-24 - 2007-06-30,-68%
2007-07-01 - 2007-07-07,-70%
2007-07-08 - 2007-07-14,-64%
2007-07-15 - 2007-07-21,-70%
2007-07-22 - 2007-07-28,-71%
2007-07-29 - 2007-08-04,-71%
2007-08-05 - 2007-08-11,-71%
2007-08-12 - 2007-08-18,-76%
2007-08-19 - 2007-08-25,-71%
2007-08-26 - 2007-09-01,-71%
2007-09-02 - 2007-09-08,-74%
2007-09-09 - 2007-09-15,-74%
2007-09-16 - 2007-09-22,-73%
2007-09-23 - 2007-09-29,-68%
2007-09-30 - 2007-10-06,-65%
2007-10-07 - 2007-10-13,-70%
2007-10-14 - 2007-10-20,-71%
2007-10-21 - 2007-10-27,-70%
2007-10-28 - 2007-11-03,-73%
2007-11-04 - 2007-11-10,-73%
2007-11-11 - 2007-11-17,-74%
2007-11-18 - 2007-11-24,-74%
2007-11-25 - 2007-12-01,-73%
2007-12-02 - 2007-12-08,-76%
2007-12-09 - 2007-12-15,-77%
2007-12-16 - 2007-12-22,-79%
2007-12-23 - 2007-12-29,-80%
2007-12-30 - 2008-01-05,-76%
2008-01-06 - 2008-01-12,-74%
2008-01-13 - 2008-01-19,-71%
2008-01-20 - 2008-01-26,-74%
2008-01-27 - 2008-02-02,-67%
2008-02-03 - 2008-02-09,-73%
2008-02-10 - 2008-02-16,-74%
2008-02-17 - 2008-02-23,-76%
2008-02-24 - 2008-03-01,-76%
2008-03-02 - 2008-03-08,-73%
2008-03-09 - 2008-03-15,-77%
2008-03-16 - 2008-03-22,-77%
2008-03-23 - 2008-03-29,-77%
2008-03-30 - 2008-04-05,-76%
2008-04-06 - 2008-04-12,-76%
2008-04-13 - 2008-04-19,-77%
2008-04-20 - 2008-04-26,-76%
2008-04-27 - 2008-05-03,-79%
2008-05-04 - 2008-05-10,-74%
2008-05-11 - 2008-05-17,-71%
2008-05-18 - 2008-05-24,-76%
2008-05-25 - 2008-05-31,-62%
2008-06-01 - 2008-06-07,-76%
2008-06-08 - 2008-06-14,-77%
2008-06-15 - 2008-06-21,-65%
2008-06-22 - 2008-06-28,-74%
2008-06-29 - 2008-07-05,-77%
2008-07-06 - 2008-07-12,-74%
2008-07-13 - 2008-07-19,-68%
2008-07-20 - 2008-07-26,-79%
2008-07-27 - 2008-08-02,-77%
2008-08-03 - 2008-08-09,-79%
2008-08-10 - 2008-08-16,-79%
2008-08-17 - 2008-08-23,-80%
2008-08-24 - 2008-08-30,-80%
2008-08-31 - 2008-09-06,-79%
2008-09-07 - 2008-09-13,-76%
2008-09-14 - 2008-09-20,-79%
2008-09-21 - 2008-09-27,-79%
2008-09-28 - 2008-10-04,-76%
2008-10-05 - 2008-10-11,-76%
2008-10-12 - 2008-10-18,-74%
2008-10-19 - 2008-10-25,-73%
2008-10-26 - 2008-11-01,-77%
2008-11-02 - 2008-11-08,-77%
2008-11-09 - 2008-11-15,-74%
2008-11-16 - 2008-11-22,-73%
2008-11-23 - 2008-11-29,-76%
2008-11-30 - 2008-12-06,-79%
2008-12-07 - 2008-12-13,-77%
2008-12-14 - 2008-12-20,-79%
2008-12-21 - 2008-12-27,-83%
2008-12-28 - 2009-01-03,-82%
2009-01-04 - 2009-01-10,-76%
2009-01-11 - 2009-01-17,-76%
2009-01-18 - 2009-01-24,-76%
2009-01-25 - 2009-01-31,-79%
2009-02-01 - 2009-02-07,-79%
2009-02-08 - 2009-02-14,-79%
2009-02-15 - 2009-02-21,-77%
2009-02-22 - 2009-02-28,-80%
2009-03-01 - 2009-03-07,-79%
2009-03-08 - 2009-03-14,-79%
2009-03-15 - 2009-03-21,-76%
2009-03-22 - 2009-03-28,-80%
2009-03-29 - 2009-04-04,-80%
2009-04-05 - 2009-04-11,-79%
2009-04-12 - 2009-04-18,-80%
2009-04-19 - 2009-04-25,-80%
2009-04-26 - 2009-05-02,-80%
2009-05-03 - 2009-05-09,-80%
2009-05-10 - 2009-05-16,-79%
2009-05-17 - 2009-05-23,-79%
2009-05-24 - 2009-05-30,-79%
2009-05-31 - 2009-06-06,-77%
2009-06-07 - 2009-06-13,-77%
2009-06-14 - 2009-06-20,-68%
2009-06-21 - 2009-06-27,-76%
2009-06-28 - 2009-07-04,-83%
2009-07-05 - 2009-07-11,-77%
2009-07-12 - 2009-07-18,-67%
2009-07-19 - 2009-07-25,-70%
2009-07-26 - 2009-08-01,-80%
2009-08-02 - 2009-08-08,-82%
2009-08-09 - 2009-08-15,-82%
2009-08-16 - 2009-08-22,-83%
2009-08-23 - 2009-08-29,-82%
2009-08-30 - 2009-09-05,-82%
2009-09-06 - 2009-09-12,-82%
2009-09-13 - 2009-09-19,-83%
2009-09-20 - 2009-09-26,-80%
2009-09-27 - 2009-10-03,-80%
2009-10-04 - 2009-10-10,-76%
2009-10-11 - 2009-10-17,-80%
2009-10-18 - 2009-10-24,-80%
2009-10-25 - 2009-10-31,-79%
2009-11-01 - 2009-11-07,-76%
2009-11-08 - 2009-11-14,-74%
2009-11-15 - 2009-11-21,-76%
2009-11-22 - 2009-11-28,-79%
2009-11-29 - 2009-12-05,-79%
2009-12-06 - 2009-12-12,-79%
2009-12-13 - 2009-12-19,-82%
2009-12-20 - 2009-12-26,-85%
2009-12-27 - 2010-01-02,-83%
2010-01-03 - 2010-01-09,-77%
2010-01-10 - 2010-01-16,-79%
2010-01-17 - 2010-01-23,-79%
2010-01-24 - 2010-01-30,-77%
2010-01-31 - 2010-02-06,-79%
2010-02-07 - 2010-02-13,-79%
2010-02-14 - 2010-02-20,-79%
2010-02-21 - 2010-02-27,-77%
2010-02-28 - 2010-03-06,-80%
2010-03-07 - 2010-03-13,-83%
2010-03-14 - 2010-03-20,-80%
2010-03-21 - 2010-03-27,-77%
2010-03-28 - 2010-04-03,-79%
2010-04-04 - 2010-04-10,-79%
2010-04-11 - 2010-04-17,-79%
2010-04-18 - 2010-04-24,-74%
2010-04-25 - 2010-05-01,-79%
2010-05-02 - 2010-05-08,-76%
2010-05-09 - 2010-05-15,-77%
2010-05-16 - 2010-05-22,-80%
2010-05-23 - 2010-05-29,-79%
2010-05-30 - 2010-06-05,-80%
2010-06-06 - 2010-06-12,-77%
2010-06-13 - 2010-06-19,-77%
2010-06-20 - 2010-06-26,-77%
2010-06-27 - 2010-07-03,-80%
2010-07-04 - 2010-07-10,-79%
2010-07-11 - 2010-07-17,-68%
2010-07-18 - 2010-07-24,-73%
2010-07-25 - 2010-07-31,-80%
2010-08-01 - 2010-08-07,-83%
2010-08-08 - 2010-08-14,-80%
2010-08-15 - 2010-08-21,-79%
2010-08-22 - 2010-08-28,-77%
2010-08-29 - 2010-09-04,-79%
2010-09-05 - 2010-09-11,-79%
2010-09-12 - 2010-09-18,-77%
2010-09-19 - 2010-09-25,-74%
2010-09-26 - 2010-10-02,-79%
2010-10-03 - 2010-10-09,-79%
2010-10-10 - 2010-10-16,-77%
2010-10-17 - 2010-10-23,-79%
2010-10-24 - 2010-10-30,-77%
2010-10-31 - 2010-11-06,-76%
2010-11-07 - 2010-11-13,-79%
2010-11-14 - 2010-11-20,-77%
2010-11-21 - 2010-11-27,-77%
2010-11-28 - 2010-12-04,-62%
2010-12-05 - 2010-12-11,-77%
2010-12-12 - 2010-12-18,-80%
2010-12-19 - 2010-12-25,-82%
2010-12-26 - 2011-01-01,-80%
2011-01-02 - 2011-01-08,-79%
2011-01-09 - 2011-01-15,-79%
2011-01-16 - 2011-01-22,-80%
2011-01-23 - 2011-01-29,-76%
2011-01-30 - 2011-02-05,-79%
2011-02-06 - 2011-02-12,-80%
2011-02-13 - 2011-02-19,-80%
2011-02-20 - 2011-02-26,-77%
2011-02-27 - 2011-03-05,-80%
2011-03-06 - 2011-03-12,-80%
2011-03-13 - 2011-03-19,-79%
2011-03-20 - 2011-03-26,-79%
2011-03-27 - 2011-04-02,-80%
2011-04-03 - 2011-04-09,-82%
2011-04-10 - 2011-04-16,-79%
2011-04-17 - 2011-04-23,-83%
2011-04-24 - 2011-04-30,-82%
2011-05-01 - 2011-05-07,-80%
2011-05-08 - 2011-05-14,-82%
2011-05-15 - 2011-05-21,-80%
2011-05-22 - 2011-05-28,-80%
2011-05-29 - 2011-06-04,-82%
2011-06-05 - 2011-06-11,-82%
2011-06-12 - 2011-06-18,-79%
2011-06-19 - 2011-06-25,-77%
2011-06-26 - 2011-07-02,-79%
2011-07-03 - 2011-07-09,-82%
2011-07-10 - 2011-07-16,-82%
2011-07-17 - 2011-07-23,-77%
2011-07-24 - 2011-07-30,-74%
2011-07-31 - 2011-08-06,-85%
2011-08-07 - 2011-08-13,-83%
2011-08-14 - 2011-08-20,-82%
2011-08-21 - 2011-08-27,-83%
2011-08-28 - 2011-09-03,-83%
2011-09-04 - 2011-09-10,-80%
2011-09-11 - 2011-09-17,-82%
2011-09-18 - 2011-09-24,-76%
2011-09-25 - 2011-10-01,-80%
2011-10-02 - 2011-10-08,-83%
2011-10-09 - 2011-10-15,-79%
2011-10-16 - 2011-10-22,-80%
2011-10-23 - 2011-10-29,-82%
2011-10-30 - 2011-11-05,-82%
2011-11-06 - 2011-11-12,-74%
2011-11-13 - 2011-11-19,-77%
2011-11-20 - 2011-11-26,-79%
2011-11-27 - 2011-12-03,-80%
2011-12-04 - 2011-12-10,-79%
2011-12-11 - 2011-12-17,-83%
2011-12-18 - 2011-12-24,-83%
2011-12-25 - 2011-12-31,-79%
2012-01-01 - 2012-01-07,-77%
2012-01-08 - 2012-01-14,-79%
2012-01-15 - 2012-01-21,-79%
2012-01-22 - 2012-01-28,-77%
2012-01-29 - 2012-02-04,-76%
2012-02-05 - 2012-02-11,-77%
2012-02-12 - 2012-02-18,-80%
2012-02-19 - 2012-02-25,-80%
2012-02-26 - 2012-03-03,-77%
2012-03-04 - 2012-03-10,-80%
2012-03-11 - 2012-03-17,-77%
2012-03-18 - 2012-03-24,-80%
2012-03-25 - 2012-03-31,-80%
2012-04-01 - 2012-04-07,-82%
2012-04-08 - 2012-04-14,-79%
2012-04-15 - 2012-04-21,-77%
2012-04-22 - 2012-04-28,-80%
2012-04-29 - 2012-05-05,-80%
2012-05-06 - 2012-05-12,-76%
2012-05-13 - 2012-05-19,-76%
2012-05-20 - 2012-05-26,-76%
2012-05-27 - 2012-06-02,-80%
2012-06-03 - 2012-06-09,-80%
2012-06-10 - 2012-06-16,-79%
2012-06-17 - 2012-06-23,-61%
2012-06-24 - 2012-06-30,-65%
2012-07-01 - 2012-07-07,-80%
2012-07-08 - 2012-07-14,-74%
2012-07-15 - 2012-07-21,-74%
2012-07-22 - 2012-07-28,-83%
2012-07-29 - 2012-08-04,-82%
2012-08-05 - 2012-08-11,-74%
2012-08-12 - 2012-08-18,-80%
2012-08-19 - 2012-08-25,-82%
2012-08-26 - 2012-09-01,-80%
2012-09-02 - 2012-09-08,-82%
2012-09-09 - 2012-09-15,-80%
2012-09-16 - 2012-09-22,-79%
2012-09-23 - 2012-09-29,-80%
2012-09-30 - 2012-10-06,-80%
2012-10-07 - 2012-10-13,-80%
2012-10-14 - 2012-10-20,-77%
2012-10-21 - 2012-10-27,-79%
2012-10-28 - 2012-11-03,-80%
2012-11-04 - 2012-11-10,-80%
2012-11-11 - 2012-11-17,-80%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
nasa,100
recrutamento,55
space,45
gnr,45
defesa nacional,40
espacial,35
dia defesa nacional,30
tap recrutamento,25
moon,25
esa,25
dia da defesa,25
portaldov,20
terra vista,20
apollo,15
hospedeiras,15
hospedeira,15
concurso gnr,10
yuri gagarin,10
guarda prisional,10
avila,10



Rising searches
dia da defesa,Breakout
dia defesa nacional,Breakout
tap recrutamento,Breakout
recrutamento,+500%
defesa nacional,+400%
moon,+160%
gnr,+130%
esa,+40%
space,+40%



