Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Advertising & Marketing
2009-05-03 - 2009-05-09,-59%
2009-05-10 - 2009-05-16,-55%
2009-05-17 - 2009-05-23,-54%
2009-05-24 - 2009-05-30,-53%
2009-05-31 - 2009-06-06,-56%
2009-06-07 - 2009-06-13,-65%
2009-06-14 - 2009-06-20,-57%
2009-06-21 - 2009-06-27,-57%
2009-06-28 - 2009-07-04,-58%
2009-07-05 - 2009-07-11,-57%
2009-07-12 - 2009-07-18,-60%
2009-07-19 - 2009-07-25,-61%
2009-07-26 - 2009-08-01,-62%
2009-08-02 - 2009-08-08,-67%
2009-08-09 - 2009-08-15,-68%
2009-08-16 - 2009-08-22,-66%
2009-08-23 - 2009-08-29,-67%
2009-08-30 - 2009-09-05,-65%
2009-09-06 - 2009-09-12,-64%
2009-09-13 - 2009-09-19,-57%
2009-09-20 - 2009-09-26,-57%
2009-09-27 - 2009-10-03,-58%
2009-10-04 - 2009-10-10,-54%
2009-10-11 - 2009-10-17,-51%
2009-10-18 - 2009-10-24,-53%
2009-10-25 - 2009-10-31,-53%
2009-11-01 - 2009-11-07,-52%
2009-11-08 - 2009-11-14,-53%
2009-11-15 - 2009-11-21,-55%
2009-11-22 - 2009-11-28,-52%
2009-11-29 - 2009-12-05,-58%
2009-12-06 - 2009-12-12,-58%
2009-12-13 - 2009-12-19,-62%
2009-12-20 - 2009-12-26,-69%
2009-12-27 - 2010-01-02,-67%
2010-01-03 - 2010-01-09,-52%
2010-01-10 - 2010-01-16,-47%
2010-01-17 - 2010-01-23,-51%
2010-01-24 - 2010-01-30,-58%
2010-01-31 - 2010-02-06,-57%
2010-02-07 - 2010-02-13,-57%
2010-02-14 - 2010-02-20,-62%
2010-02-21 - 2010-02-27,-57%
2010-02-28 - 2010-03-06,-58%
2010-03-07 - 2010-03-13,-58%
2010-03-14 - 2010-03-20,-57%
2010-03-21 - 2010-03-27,-61%
2010-03-28 - 2010-04-03,-62%
2010-04-04 - 2010-04-10,-62%
2010-04-11 - 2010-04-17,-59%
2010-04-18 - 2010-04-24,-58%
2010-04-25 - 2010-05-01,-57%
2010-05-02 - 2010-05-08,-55%
2010-05-09 - 2010-05-15,-58%
2010-05-16 - 2010-05-22,-52%
2010-05-23 - 2010-05-29,-56%
2010-05-30 - 2010-06-05,-61%
2010-06-06 - 2010-06-12,-59%
2010-06-13 - 2010-06-19,-60%
2010-06-20 - 2010-06-26,-57%
2010-06-27 - 2010-07-03,-58%
2010-07-04 - 2010-07-10,-64%
2010-07-11 - 2010-07-17,-61%
2010-07-18 - 2010-07-24,-64%
2010-07-25 - 2010-07-31,-65%
2010-08-01 - 2010-08-07,-69%
2010-08-08 - 2010-08-14,-69%
2010-08-15 - 2010-08-21,-66%
2010-08-22 - 2010-08-28,-65%
2010-08-29 - 2010-09-04,-67%
2010-09-05 - 2010-09-11,-66%
2010-09-12 - 2010-09-18,-60%
2010-09-19 - 2010-09-25,-56%
2010-09-26 - 2010-10-02,-57%
2010-10-03 - 2010-10-09,-58%
2010-10-10 - 2010-10-16,-56%
2010-10-17 - 2010-10-23,-55%
2010-10-24 - 2010-10-30,-51%
2010-10-31 - 2010-11-06,-52%
2010-11-07 - 2010-11-13,-52%
2010-11-14 - 2010-11-20,-52%
2010-11-21 - 2010-11-27,-52%
2010-11-28 - 2010-12-04,-60%
2010-12-05 - 2010-12-11,-58%
2010-12-12 - 2010-12-18,-53%
2010-12-19 - 2010-12-25,-62%
2010-12-26 - 2011-01-01,-64%
2011-01-02 - 2011-01-08,-57%
2011-01-09 - 2011-01-15,-60%
2011-01-16 - 2011-01-22,-60%
2011-01-23 - 2011-01-29,-57%
2011-01-30 - 2011-02-05,-60%
2011-02-06 - 2011-02-12,-59%
2011-02-13 - 2011-02-19,-59%
2011-02-20 - 2011-02-26,-53%
2011-02-27 - 2011-03-05,-61%
2011-03-06 - 2011-03-12,-68%
2011-03-13 - 2011-03-19,-59%
2011-03-20 - 2011-03-26,-61%
2011-03-27 - 2011-04-02,-58%
2011-04-03 - 2011-04-09,-61%
2011-04-10 - 2011-04-16,-65%
2011-04-17 - 2011-04-23,-64%
2011-04-24 - 2011-04-30,-64%
2011-05-01 - 2011-05-07,-60%
2011-05-08 - 2011-05-14,-59%
2011-05-15 - 2011-05-21,-57%
2011-05-22 - 2011-05-28,-56%
2011-05-29 - 2011-06-04,-56%
2011-06-05 - 2011-06-11,-61%
2011-06-12 - 2011-06-18,-62%
2011-06-19 - 2011-06-25,-65%
2011-06-26 - 2011-07-02,-66%
2011-07-03 - 2011-07-09,-57%
2011-07-10 - 2011-07-16,-62%
2011-07-17 - 2011-07-23,-65%
2011-07-24 - 2011-07-30,-66%
2011-07-31 - 2011-08-06,-70%
2011-08-07 - 2011-08-13,-73%
2011-08-14 - 2011-08-20,-74%
2011-08-21 - 2011-08-27,-70%
2011-08-28 - 2011-09-03,-69%
2011-09-04 - 2011-09-10,-67%
2011-09-11 - 2011-09-17,-67%
2011-09-18 - 2011-09-24,-64%
2011-09-25 - 2011-10-01,-62%
2011-10-02 - 2011-10-08,-60%
2011-10-09 - 2011-10-15,-56%
2011-10-16 - 2011-10-22,-57%
2011-10-23 - 2011-10-29,-58%
2011-10-30 - 2011-11-05,-58%
2011-11-06 - 2011-11-12,-56%
2011-11-13 - 2011-11-19,-51%
2011-11-20 - 2011-11-26,-55%
2011-11-27 - 2011-12-03,-58%
2011-12-04 - 2011-12-10,-58%
2011-12-11 - 2011-12-17,-58%
2011-12-18 - 2011-12-24,-65%
2011-12-25 - 2011-12-31,-67%
2012-01-01 - 2012-01-07,-59%
2012-01-08 - 2012-01-14,-57%
2012-01-15 - 2012-01-21,-57%
2012-01-22 - 2012-01-28,-59%
2012-01-29 - 2012-02-04,-64%
2012-02-05 - 2012-02-11,-61%
2012-02-12 - 2012-02-18,-64%
2012-02-19 - 2012-02-25,-64%
2012-02-26 - 2012-03-03,-56%
2012-03-04 - 2012-03-10,-53%
2012-03-11 - 2012-03-17,-57%
2012-03-18 - 2012-03-24,-60%
2012-03-25 - 2012-03-31,-60%
2012-04-01 - 2012-04-07,-68%
2012-04-08 - 2012-04-14,-59%
2012-04-15 - 2012-04-21,-60%
2012-04-22 - 2012-04-28,-64%
2012-04-29 - 2012-05-05,-65%
2012-05-06 - 2012-05-12,-62%
2012-05-13 - 2012-05-19,-58%
2012-05-20 - 2012-05-26,-59%
2012-05-27 - 2012-06-02,-60%
2012-06-03 - 2012-06-09,-64%
2012-06-10 - 2012-06-16,-62%
2012-06-17 - 2012-06-23,-65%
2012-06-24 - 2012-06-30,-64%
2012-07-01 - 2012-07-07,-65%
2012-07-08 - 2012-07-14,-64%
2012-07-15 - 2012-07-21,-66%
2012-07-22 - 2012-07-28,-68%
2012-07-29 - 2012-08-04,-69%
2012-08-05 - 2012-08-11,-71%
2012-08-12 - 2012-08-18,-72%
2012-08-19 - 2012-08-25,-70%
2012-08-26 - 2012-09-01,-72%
2012-09-02 - 2012-09-08,-71%
2012-09-09 - 2012-09-15,-66%
2012-09-16 - 2012-09-22,-60%
2012-09-23 - 2012-09-29,-60%
2012-09-30 - 2012-10-06,-61%
2012-10-07 - 2012-10-13,-64%
2012-10-14 - 2012-10-20,-61%
2012-10-21 - 2012-10-27,-59%
2012-10-28 - 2012-11-03,-62%
2012-11-04 - 2012-11-10,-57%
2012-11-11 - 2012-11-17,-59%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
publicidade,100
marketing,60
pesquisa,25
adsense,15
adwords,15
advertising,10
meios e publicidade,10
call center,10
marktest,5
spot,5
ad,5
ipg,5
ads,5
xnx,5
btl,5
google adwords,5
marketing mix,5
adsense google,5
marketing e publicidade,5
markting,5



Rising searches
adsense,Breakout
adwords,Breakout
meios e publicidade,+250%
call center,+160%
marktest,+160%
publicidade,+40%



