Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Hybrid & Alternative Vehicles
2009-11-01 - 2009-11-07,-29%
2009-11-08 - 2009-11-14,-38%
2009-11-15 - 2009-11-21,-29%
2009-11-22 - 2009-11-28,-46%
2009-11-29 - 2009-12-05,-46%
2009-12-06 - 2009-12-12,-45%
2009-12-13 - 2009-12-19,-41%
2009-12-20 - 2009-12-26,-43%
2009-12-27 - 2010-01-02,-46%
2010-01-03 - 2010-01-09,-33%
2010-01-10 - 2010-01-16,-32%
2010-01-17 - 2010-01-23,-43%
2010-01-24 - 2010-01-30,-22%
2010-01-31 - 2010-02-06,-41%
2010-02-07 - 2010-02-13,-44%
2010-02-14 - 2010-02-20,-42%
2010-02-21 - 2010-02-27,-46%
2010-02-28 - 2010-03-06,-52%
2010-03-07 - 2010-03-13,-47%
2010-03-14 - 2010-03-20,-44%
2010-03-21 - 2010-03-27,-43%
2010-03-28 - 2010-04-03,-45%
2010-04-04 - 2010-04-10,-49%
2010-04-11 - 2010-04-17,-50%
2010-04-18 - 2010-04-24,-43%
2010-04-25 - 2010-05-01,-57%
2010-05-02 - 2010-05-08,-43%
2010-05-09 - 2010-05-15,-32%
2010-05-16 - 2010-05-22,-43%
2010-05-23 - 2010-05-29,-35%
2010-05-30 - 2010-06-05,-30%
2010-06-06 - 2010-06-12,-43%
2010-06-13 - 2010-06-19,-48%
2010-06-20 - 2010-06-26,-59%
2010-06-27 - 2010-07-03,-55%
2010-07-04 - 2010-07-10,-42%
2010-07-11 - 2010-07-17,-50%
2010-07-18 - 2010-07-24,-33%
2010-07-25 - 2010-07-31,-54%
2010-08-01 - 2010-08-07,-50%
2010-08-08 - 2010-08-14,-32%
2010-08-15 - 2010-08-21,-54%
2010-08-22 - 2010-08-28,-64%
2010-08-29 - 2010-09-04,-51%
2010-09-05 - 2010-09-11,-44%
2010-09-12 - 2010-09-18,-39%
2010-09-19 - 2010-09-25,-48%
2010-09-26 - 2010-10-02,-35%
2010-10-03 - 2010-10-09,-47%
2010-10-10 - 2010-10-16,-57%
2010-10-17 - 2010-10-23,-54%
2010-10-24 - 2010-10-30,-38%
2010-10-31 - 2010-11-06,-49%
2010-11-07 - 2010-11-13,-36%
2010-11-14 - 2010-11-20,-35%
2010-11-21 - 2010-11-27,-43%
2010-11-28 - 2010-12-04,-47%
2010-12-05 - 2010-12-11,-54%
2010-12-12 - 2010-12-18,-47%
2010-12-19 - 2010-12-25,-62%
2010-12-26 - 2011-01-01,-54%
2011-01-02 - 2011-01-08,-53%
2011-01-09 - 2011-01-15,-58%
2011-01-16 - 2011-01-22,-56%
2011-01-23 - 2011-01-29,-51%
2011-01-30 - 2011-02-05,-62%
2011-02-06 - 2011-02-12,-58%
2011-02-13 - 2011-02-19,-50%
2011-02-20 - 2011-02-26,-49%
2011-02-27 - 2011-03-05,-57%
2011-03-06 - 2011-03-12,-56%
2011-03-13 - 2011-03-19,-53%
2011-03-20 - 2011-03-26,-57%
2011-03-27 - 2011-04-02,-57%
2011-04-03 - 2011-04-09,-64%
2011-04-10 - 2011-04-16,-57%
2011-04-17 - 2011-04-23,-49%
2011-04-24 - 2011-04-30,-68%
2011-05-01 - 2011-05-07,-61%
2011-05-08 - 2011-05-14,-62%
2011-05-15 - 2011-05-21,-62%
2011-05-22 - 2011-05-28,-53%
2011-05-29 - 2011-06-04,-57%
2011-06-05 - 2011-06-11,-66%
2011-06-12 - 2011-06-18,-59%
2011-06-19 - 2011-06-25,-60%
2011-06-26 - 2011-07-02,-67%
2011-07-03 - 2011-07-09,-68%
2011-07-10 - 2011-07-16,-67%
2011-07-17 - 2011-07-23,-53%
2011-07-24 - 2011-07-30,-56%
2011-07-31 - 2011-08-06,-64%
2011-08-07 - 2011-08-13,-62%
2011-08-14 - 2011-08-20,-64%
2011-08-21 - 2011-08-27,-61%
2011-08-28 - 2011-09-03,-57%
2011-09-04 - 2011-09-10,-56%
2011-09-11 - 2011-09-17,-40%
2011-09-18 - 2011-09-24,-56%
2011-09-25 - 2011-10-01,-62%
2011-10-02 - 2011-10-08,-55%
2011-10-09 - 2011-10-15,-54%
2011-10-16 - 2011-10-22,-67%
2011-10-23 - 2011-10-29,-61%
2011-10-30 - 2011-11-05,-60%
2011-11-06 - 2011-11-12,-47%
2011-11-13 - 2011-11-19,-50%
2011-11-20 - 2011-11-26,-61%
2011-11-27 - 2011-12-03,-58%
2011-12-04 - 2011-12-10,-63%
2011-12-11 - 2011-12-17,-69%
2011-12-18 - 2011-12-24,-71%
2011-12-25 - 2011-12-31,-64%
2012-01-01 - 2012-01-07,-62%
2012-01-08 - 2012-01-14,-63%
2012-01-15 - 2012-01-21,-67%
2012-01-22 - 2012-01-28,-73%
2012-01-29 - 2012-02-04,-64%
2012-02-05 - 2012-02-11,-28%
2012-02-12 - 2012-02-18,-45%
2012-02-19 - 2012-02-25,-54%
2012-02-26 - 2012-03-03,-50%
2012-03-04 - 2012-03-10,-56%
2012-03-11 - 2012-03-17,-59%
2012-03-18 - 2012-03-24,-60%
2012-03-25 - 2012-03-31,-59%
2012-04-01 - 2012-04-07,-62%
2012-04-08 - 2012-04-14,-51%
2012-04-15 - 2012-04-21,-53%
2012-04-22 - 2012-04-28,-54%
2012-04-29 - 2012-05-05,-59%
2012-05-06 - 2012-05-12,-57%
2012-05-13 - 2012-05-19,-55%
2012-05-20 - 2012-05-26,-59%
2012-05-27 - 2012-06-02,-56%
2012-06-03 - 2012-06-09,-58%
2012-06-10 - 2012-06-16,-64%
2012-06-17 - 2012-06-23,-68%
2012-06-24 - 2012-06-30,-59%
2012-07-01 - 2012-07-07,-74%
2012-07-08 - 2012-07-14,-60%
2012-07-15 - 2012-07-21,-68%
2012-07-22 - 2012-07-28,-72%
2012-07-29 - 2012-08-04,-65%
2012-08-05 - 2012-08-11,-66%
2012-08-12 - 2012-08-18,-64%
2012-08-19 - 2012-08-25,-67%
2012-08-26 - 2012-09-01,-70%
2012-09-02 - 2012-09-08,-64%
2012-09-09 - 2012-09-15,-71%
2012-09-16 - 2012-09-22,-68%
2012-09-23 - 2012-09-29,-67%
2012-09-30 - 2012-10-06,-63%
2012-10-07 - 2012-10-13,-63%
2012-10-14 - 2012-10-20,-66%
2012-10-21 - 2012-10-27,-56%
2012-10-28 - 2012-11-03,-60%
2012-11-04 - 2012-11-10,-59%
2012-11-11 - 2012-11-17,-66%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
hybrid,100
motor,80
prius,70
hydrogen,40
toyota prius,30
electric car,30
dc motor,25
power factor,20
electric vehicle,20
hybrid car,15
despite,15
electric motor,15
toyota hybrid,15
hybrid cars,10
prius c,10
電動車,10
fuel cell,10
hybird,10
electric cars,10
ac motor,10



Rising searches
dc motor,Breakout
despite,Breakout
electric car,Breakout
electric motor,Breakout
electric vehicle,Breakout
hybrid,Breakout
hybrid car,Breakout
hydrogen,Breakout
power factor,Breakout
prius,Breakout



