Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Bicycles & Accessories
2007-08-26 - 2007-09-01,+138%
2007-09-02 - 2007-09-08,+154%
2007-09-09 - 2007-09-15,+154%
2007-09-16 - 2007-09-22,+196%
2007-09-23 - 2007-09-29,+183%
2007-09-30 - 2007-10-06,+183%
2007-10-07 - 2007-10-13,+158%
2007-10-14 - 2007-10-20,+250%
2007-10-21 - 2007-10-27,+188%
2007-10-28 - 2007-11-03,+163%
2007-11-04 - 2007-11-10,+163%
2007-11-11 - 2007-11-17,+188%
2007-11-18 - 2007-11-24,+113%
2007-11-25 - 2007-12-01,+150%
2007-12-02 - 2007-12-08,+146%
2007-12-09 - 2007-12-15,+113%
2007-12-16 - 2007-12-22,+133%
2007-12-23 - 2007-12-29,+117%
2007-12-30 - 2008-01-05,+125%
2008-01-06 - 2008-01-12,+133%
2008-01-13 - 2008-01-19,+121%
2008-01-20 - 2008-01-26,+108%
2008-01-27 - 2008-02-02,+125%
2008-02-03 - 2008-02-09,+121%
2008-02-10 - 2008-02-16,+88%
2008-02-17 - 2008-02-23,+129%
2008-02-24 - 2008-03-01,+138%
2008-03-02 - 2008-03-08,+113%
2008-03-09 - 2008-03-15,+125%
2008-03-16 - 2008-03-22,+163%
2008-03-23 - 2008-03-29,+146%
2008-03-30 - 2008-04-05,+142%
2008-04-06 - 2008-04-12,+133%
2008-04-13 - 2008-04-19,+163%
2008-04-20 - 2008-04-26,+138%
2008-04-27 - 2008-05-03,+125%
2008-05-04 - 2008-05-10,+113%
2008-05-11 - 2008-05-17,+133%
2008-05-18 - 2008-05-24,+104%
2008-05-25 - 2008-05-31,+108%
2008-06-01 - 2008-06-07,+163%
2008-06-08 - 2008-06-14,+117%
2008-06-15 - 2008-06-21,+108%
2008-06-22 - 2008-06-28,+142%
2008-06-29 - 2008-07-05,+113%
2008-07-06 - 2008-07-12,+133%
2008-07-13 - 2008-07-19,+154%
2008-07-20 - 2008-07-26,+121%
2008-07-27 - 2008-08-02,+133%
2008-08-03 - 2008-08-09,+113%
2008-08-10 - 2008-08-16,+108%
2008-08-17 - 2008-08-23,+138%
2008-08-24 - 2008-08-30,+92%
2008-08-31 - 2008-09-06,+100%
2008-09-07 - 2008-09-13,+129%
2008-09-14 - 2008-09-20,+117%
2008-09-21 - 2008-09-27,+129%
2008-09-28 - 2008-10-04,+138%
2008-10-05 - 2008-10-11,+129%
2008-10-12 - 2008-10-18,+113%
2008-10-19 - 2008-10-25,+129%
2008-10-26 - 2008-11-01,+142%
2008-11-02 - 2008-11-08,+150%
2008-11-09 - 2008-11-15,+163%
2008-11-16 - 2008-11-22,+113%
2008-11-23 - 2008-11-29,+133%
2008-11-30 - 2008-12-06,+129%
2008-12-07 - 2008-12-13,+146%
2008-12-14 - 2008-12-20,+146%
2008-12-21 - 2008-12-27,+138%
2008-12-28 - 2009-01-03,+117%
2009-01-04 - 2009-01-10,+158%
2009-01-11 - 2009-01-17,+129%
2009-01-18 - 2009-01-24,+125%
2009-01-25 - 2009-01-31,+163%
2009-02-01 - 2009-02-07,+125%
2009-02-08 - 2009-02-14,+121%
2009-02-15 - 2009-02-21,+188%
2009-02-22 - 2009-02-28,+154%
2009-03-01 - 2009-03-07,+129%
2009-03-08 - 2009-03-14,+163%
2009-03-15 - 2009-03-21,+150%
2009-03-22 - 2009-03-28,+146%
2009-03-29 - 2009-04-04,+154%
2009-04-05 - 2009-04-11,+192%
2009-04-12 - 2009-04-18,+196%
2009-04-19 - 2009-04-25,+188%
2009-04-26 - 2009-05-02,+188%
2009-05-03 - 2009-05-09,+200%
2009-05-10 - 2009-05-16,+167%
2009-05-17 - 2009-05-23,+179%
2009-05-24 - 2009-05-30,+171%
2009-05-31 - 2009-06-06,+171%
2009-06-07 - 2009-06-13,+167%
2009-06-14 - 2009-06-20,+196%
2009-06-21 - 2009-06-27,+175%
2009-06-28 - 2009-07-04,+200%
2009-07-05 - 2009-07-11,+154%
2009-07-12 - 2009-07-18,+171%
2009-07-19 - 2009-07-25,+171%
2009-07-26 - 2009-08-01,+158%
2009-08-02 - 2009-08-08,+204%
2009-08-09 - 2009-08-15,+171%
2009-08-16 - 2009-08-22,+154%
2009-08-23 - 2009-08-29,+167%
2009-08-30 - 2009-09-05,+192%
2009-09-06 - 2009-09-12,+163%
2009-09-13 - 2009-09-19,+142%
2009-09-20 - 2009-09-26,+188%
2009-09-27 - 2009-10-03,+213%
2009-10-04 - 2009-10-10,+158%
2009-10-11 - 2009-10-17,+183%
2009-10-18 - 2009-10-24,+221%
2009-10-25 - 2009-10-31,+200%
2009-11-01 - 2009-11-07,+217%
2009-11-08 - 2009-11-14,+179%
2009-11-15 - 2009-11-21,+163%
2009-11-22 - 2009-11-28,+167%
2009-11-29 - 2009-12-05,+192%
2009-12-06 - 2009-12-12,+175%
2009-12-13 - 2009-12-19,+138%
2009-12-20 - 2009-12-26,+183%
2009-12-27 - 2010-01-02,+204%
2010-01-03 - 2010-01-09,+146%
2010-01-10 - 2010-01-16,+192%
2010-01-17 - 2010-01-23,+183%
2010-01-24 - 2010-01-30,+163%
2010-01-31 - 2010-02-06,+183%
2010-02-07 - 2010-02-13,+192%
2010-02-14 - 2010-02-20,+200%
2010-02-21 - 2010-02-27,+192%
2010-02-28 - 2010-03-06,+192%
2010-03-07 - 2010-03-13,+175%
2010-03-14 - 2010-03-20,+204%
2010-03-21 - 2010-03-27,+221%
2010-03-28 - 2010-04-03,+221%
2010-04-04 - 2010-04-10,+275%
2010-04-11 - 2010-04-17,+196%
2010-04-18 - 2010-04-24,+213%
2010-04-25 - 2010-05-01,+204%
2010-05-02 - 2010-05-08,+213%
2010-05-09 - 2010-05-15,+200%
2010-05-16 - 2010-05-22,+213%
2010-05-23 - 2010-05-29,+267%
2010-05-30 - 2010-06-05,+225%
2010-06-06 - 2010-06-12,+208%
2010-06-13 - 2010-06-19,+200%
2010-06-20 - 2010-06-26,+196%
2010-06-27 - 2010-07-03,+142%
2010-07-04 - 2010-07-10,+208%
2010-07-11 - 2010-07-17,+175%
2010-07-18 - 2010-07-24,+217%
2010-07-25 - 2010-07-31,+200%
2010-08-01 - 2010-08-07,+196%
2010-08-08 - 2010-08-14,+217%
2010-08-15 - 2010-08-21,+188%
2010-08-22 - 2010-08-28,+192%
2010-08-29 - 2010-09-04,+221%
2010-09-05 - 2010-09-11,+229%
2010-09-12 - 2010-09-18,+213%
2010-09-19 - 2010-09-25,+238%
2010-09-26 - 2010-10-02,+271%
2010-10-03 - 2010-10-09,+242%
2010-10-10 - 2010-10-16,+192%
2010-10-17 - 2010-10-23,+154%
2010-10-24 - 2010-10-30,+192%
2010-10-31 - 2010-11-06,+183%
2010-11-07 - 2010-11-13,+200%
2010-11-14 - 2010-11-20,+179%
2010-11-21 - 2010-11-27,+196%
2010-11-28 - 2010-12-04,+192%
2010-12-05 - 2010-12-11,+229%
2010-12-12 - 2010-12-18,+188%
2010-12-19 - 2010-12-25,+196%
2010-12-26 - 2011-01-01,+179%
2011-01-02 - 2011-01-08,+208%
2011-01-09 - 2011-01-15,+250%
2011-01-16 - 2011-01-22,+246%
2011-01-23 - 2011-01-29,+275%
2011-01-30 - 2011-02-05,+233%
2011-02-06 - 2011-02-12,+246%
2011-02-13 - 2011-02-19,+196%
2011-02-20 - 2011-02-26,+196%
2011-02-27 - 2011-03-05,+217%
2011-03-06 - 2011-03-12,+217%
2011-03-13 - 2011-03-19,+208%
2011-03-20 - 2011-03-26,+233%
2011-03-27 - 2011-04-02,+242%
2011-04-03 - 2011-04-09,+275%
2011-04-10 - 2011-04-16,+258%
2011-04-17 - 2011-04-23,+292%
2011-04-24 - 2011-04-30,+263%
2011-05-01 - 2011-05-07,+288%
2011-05-08 - 2011-05-14,+296%
2011-05-15 - 2011-05-21,+263%
2011-05-22 - 2011-05-28,+229%
2011-05-29 - 2011-06-04,+288%
2011-06-05 - 2011-06-11,+250%
2011-06-12 - 2011-06-18,+233%
2011-06-19 - 2011-06-25,+233%
2011-06-26 - 2011-07-02,+229%
2011-07-03 - 2011-07-09,+208%
2011-07-10 - 2011-07-16,+204%
2011-07-17 - 2011-07-23,+242%
2011-07-24 - 2011-07-30,+242%
2011-07-31 - 2011-08-06,+254%
2011-08-07 - 2011-08-13,+254%
2011-08-14 - 2011-08-20,+275%
2011-08-21 - 2011-08-27,+250%
2011-08-28 - 2011-09-03,+263%
2011-09-04 - 2011-09-10,+246%
2011-09-11 - 2011-09-17,+250%
2011-09-18 - 2011-09-24,+267%
2011-09-25 - 2011-10-01,+242%
2011-10-02 - 2011-10-08,+254%
2011-10-09 - 2011-10-15,+213%
2011-10-16 - 2011-10-22,+242%
2011-10-23 - 2011-10-29,+250%
2011-10-30 - 2011-11-05,+238%
2011-11-06 - 2011-11-12,+188%
2011-11-13 - 2011-11-19,+217%
2011-11-20 - 2011-11-26,+229%
2011-11-27 - 2011-12-03,+271%
2011-12-04 - 2011-12-10,+200%
2011-12-11 - 2011-12-17,+229%
2011-12-18 - 2011-12-24,+217%
2011-12-25 - 2011-12-31,+217%
2012-01-01 - 2012-01-07,+204%
2012-01-08 - 2012-01-14,+221%
2012-01-15 - 2012-01-21,+208%
2012-01-22 - 2012-01-28,+213%
2012-01-29 - 2012-02-04,+213%
2012-02-05 - 2012-02-11,+188%
2012-02-12 - 2012-02-18,+204%
2012-02-19 - 2012-02-25,+188%
2012-02-26 - 2012-03-03,+213%
2012-03-04 - 2012-03-10,+238%
2012-03-11 - 2012-03-17,+288%
2012-03-18 - 2012-03-24,+258%
2012-03-25 - 2012-03-31,+238%
2012-04-01 - 2012-04-07,+317%
2012-04-08 - 2012-04-14,+263%
2012-04-15 - 2012-04-21,+208%
2012-04-22 - 2012-04-28,+225%
2012-04-29 - 2012-05-05,+229%
2012-05-06 - 2012-05-12,+233%
2012-05-13 - 2012-05-19,+213%
2012-05-20 - 2012-05-26,+167%
2012-05-27 - 2012-06-02,+183%
2012-06-03 - 2012-06-09,+192%
2012-06-10 - 2012-06-16,+204%
2012-06-17 - 2012-06-23,+188%
2012-06-24 - 2012-06-30,+196%
2012-07-01 - 2012-07-07,+221%
2012-07-08 - 2012-07-14,+250%
2012-07-15 - 2012-07-21,+229%
2012-07-22 - 2012-07-28,+221%
2012-07-29 - 2012-08-04,+225%
2012-08-05 - 2012-08-11,+217%
2012-08-12 - 2012-08-18,+233%
2012-08-19 - 2012-08-25,+217%
2012-08-26 - 2012-09-01,+254%
2012-09-02 - 2012-09-08,+221%
2012-09-09 - 2012-09-15,+204%
2012-09-16 - 2012-09-22,+225%
2012-09-23 - 2012-09-29,+225%
2012-09-30 - 2012-10-06,+242%
2012-10-07 - 2012-10-13,+242%
2012-10-14 - 2012-10-20,+250%
2012-10-21 - 2012-10-27,+238%
2012-10-28 - 2012-11-03,+213%
2012-11-04 - 2012-11-10,+213%
2012-11-11 - 2012-11-17,+225%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
單車,100
bike,80
廣州,65
廣東,45
bicycle,40
dahon,30
東莞,30
bikes,25
giant,20
廣東省,15
shimano,15
trek,10
cannondale,10
自行車,10
strida,10
mtb,10
merida,10
bmx,5
江門,5
mountain bike,5



Rising searches
cannondale,Breakout
dahon,Breakout
giant,Breakout
shimano,Breakout
trek,Breakout
自行車,Breakout
單車,+350%
bike,+300%
東莞,+190%
bikes,+120%



