Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Disabled & Special Needs
2011-08-28 - 2011-09-03,-43%
2011-09-04 - 2011-09-10,-39%
2011-09-11 - 2011-09-17,-39%
2011-09-18 - 2011-09-24,-39%
2011-09-25 - 2011-10-01,-43%
2011-10-02 - 2011-10-08,-41%
2011-10-09 - 2011-10-15,-27%
2011-10-16 - 2011-10-22,-29%
2011-10-23 - 2011-10-29,-35%
2011-10-30 - 2011-11-05,-33%
2011-11-06 - 2011-11-12,-35%
2011-11-13 - 2011-11-19,-29%
2011-11-20 - 2011-11-26,-20%
2011-11-27 - 2011-12-03,-33%
2011-12-04 - 2011-12-10,-27%
2011-12-11 - 2011-12-17,-27%
2011-12-18 - 2011-12-24,-35%
2011-12-25 - 2011-12-31,-45%
2012-01-01 - 2012-01-07,-41%
2012-01-08 - 2012-01-14,-37%
2012-01-15 - 2012-01-21,-47%
2012-01-22 - 2012-01-28,-55%
2012-01-29 - 2012-02-04,-49%
2012-02-05 - 2012-02-11,-27%
2012-02-12 - 2012-02-18,-43%
2012-02-19 - 2012-02-25,-35%
2012-02-26 - 2012-03-03,-37%
2012-03-04 - 2012-03-10,-31%
2012-03-11 - 2012-03-17,-31%
2012-03-18 - 2012-03-24,-31%
2012-03-25 - 2012-03-31,-43%
2012-04-01 - 2012-04-07,-49%
2012-04-08 - 2012-04-14,-47%
2012-04-15 - 2012-04-21,-39%
2012-04-22 - 2012-04-28,-37%
2012-04-29 - 2012-05-05,-45%
2012-05-06 - 2012-05-12,-49%
2012-05-13 - 2012-05-19,-41%
2012-05-20 - 2012-05-26,-39%
2012-05-27 - 2012-06-02,-37%
2012-06-03 - 2012-06-09,-33%
2012-06-10 - 2012-06-16,-37%
2012-06-17 - 2012-06-23,-45%
2012-06-24 - 2012-06-30,-47%
2012-07-01 - 2012-07-07,-45%
2012-07-08 - 2012-07-14,-39%
2012-07-15 - 2012-07-21,-43%
2012-07-22 - 2012-07-28,-49%
2012-07-29 - 2012-08-04,-49%
2012-08-05 - 2012-08-11,-49%
2012-08-12 - 2012-08-18,-47%
2012-08-19 - 2012-08-25,-47%
2012-08-26 - 2012-09-01,-47%
2012-09-02 - 2012-09-08,-41%
2012-09-09 - 2012-09-15,-45%
2012-09-16 - 2012-09-22,-47%
2012-09-23 - 2012-09-29,-37%
2012-09-30 - 2012-10-06,-45%
2012-10-07 - 2012-10-13,-41%
2012-10-14 - 2012-10-20,-49%
2012-10-21 - 2012-10-27,-37%
2012-10-28 - 2012-11-03,-37%
2012-11-04 - 2012-11-10,-47%
2012-11-11 - 2012-11-17,-41%
2012-11-18 - 2012-11-24,-18%
2012-11-25 - 2012-12-01, 



Top searches
blind,100
disabled,95
盲,80
attitude,65
asl,55
mobility,45
disability,40
sign language,40
helen keller,35
盲人,35
杖,35
導盲犬,35
handicap,35
persons,35
wheelchair,35
handicapped,30
retarded,30
disabilities,30
walkers,25
auxiliary,25



Rising searches
asl,Breakout
attitude,Breakout
blind,Breakout
disability,Breakout
handicap,Breakout
handicapped,Breakout
helen keller,Breakout
mobility,Breakout
persons,Breakout
sign language,Breakout



