Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Sports News
2006-09-10 - 2006-09-16,+258%
2006-09-17 - 2006-09-23,+200%
2006-09-24 - 2006-09-30,+183%
2006-10-01 - 2006-10-07,+175%
2006-10-08 - 2006-10-14,+158%
2006-10-15 - 2006-10-21,+183%
2006-10-22 - 2006-10-28,+183%
2006-10-29 - 2006-11-04,+183%
2006-11-05 - 2006-11-11,+192%
2006-11-12 - 2006-11-18,+175%
2006-11-19 - 2006-11-25,+192%
2006-11-26 - 2006-12-02,+192%
2006-12-03 - 2006-12-09,+167%
2006-12-10 - 2006-12-16,+200%
2006-12-17 - 2006-12-23,+183%
2006-12-24 - 2006-12-30,+192%
2006-12-31 - 2007-01-06,+200%
2007-01-07 - 2007-01-13,+200%
2007-01-14 - 2007-01-20,+225%
2007-01-21 - 2007-01-27,+242%
2007-01-28 - 2007-02-03,+258%
2007-02-04 - 2007-02-10,+208%
2007-02-11 - 2007-02-17,+183%
2007-02-18 - 2007-02-24,+192%
2007-02-25 - 2007-03-03,+183%
2007-03-04 - 2007-03-10,+183%
2007-03-11 - 2007-03-17,+183%
2007-03-18 - 2007-03-24,+175%
2007-03-25 - 2007-03-31,+167%
2007-04-01 - 2007-04-07,+200%
2007-04-08 - 2007-04-14,+192%
2007-04-15 - 2007-04-21,+183%
2007-04-22 - 2007-04-28,+208%
2007-04-29 - 2007-05-05,+183%
2007-05-06 - 2007-05-12,+192%
2007-05-13 - 2007-05-19,+225%
2007-05-20 - 2007-05-26,+217%
2007-05-27 - 2007-06-02,+242%
2007-06-03 - 2007-06-09,+267%
2007-06-10 - 2007-06-16,+317%
2007-06-17 - 2007-06-23,+350%
2007-06-24 - 2007-06-30,+383%
2007-07-01 - 2007-07-07,+358%
2007-07-08 - 2007-07-14,+392%
2007-07-15 - 2007-07-21,+367%
2007-07-22 - 2007-07-28,+350%
2007-07-29 - 2007-08-04,+333%
2007-08-05 - 2007-08-11,+292%
2007-08-12 - 2007-08-18,+333%
2007-08-19 - 2007-08-25,+392%
2007-08-26 - 2007-09-01,+375%
2007-09-02 - 2007-09-08,+283%
2007-09-09 - 2007-09-15,+242%
2007-09-16 - 2007-09-22,+275%
2007-09-23 - 2007-09-29,+242%
2007-09-30 - 2007-10-06,+225%
2007-10-07 - 2007-10-13,+175%
2007-10-14 - 2007-10-20,+175%
2007-10-21 - 2007-10-27,+200%
2007-10-28 - 2007-11-03,+242%
2007-11-04 - 2007-11-10,+200%
2007-11-11 - 2007-11-17,+217%
2007-11-18 - 2007-11-24,+192%
2007-11-25 - 2007-12-01,+233%
2007-12-02 - 2007-12-08,+217%
2007-12-09 - 2007-12-15,+233%
2007-12-16 - 2007-12-22,+233%
2007-12-23 - 2007-12-29,+275%
2007-12-30 - 2008-01-05,+258%
2008-01-06 - 2008-01-12,+242%
2008-01-13 - 2008-01-19,+242%
2008-01-20 - 2008-01-26,+242%
2008-01-27 - 2008-02-02,+275%
2008-02-03 - 2008-02-09,+217%
2008-02-10 - 2008-02-16,+217%
2008-02-17 - 2008-02-23,+200%
2008-02-24 - 2008-03-01,+183%
2008-03-02 - 2008-03-08,+242%
2008-03-09 - 2008-03-15,+250%
2008-03-16 - 2008-03-22,+217%
2008-03-23 - 2008-03-29,+233%
2008-03-30 - 2008-04-05,+267%
2008-04-06 - 2008-04-12,+242%
2008-04-13 - 2008-04-19,+267%
2008-04-20 - 2008-04-26,+267%
2008-04-27 - 2008-05-03,+275%
2008-05-04 - 2008-05-10,+283%
2008-05-11 - 2008-05-17,+325%
2008-05-18 - 2008-05-24,+350%
2008-05-25 - 2008-05-31,+367%
2008-06-01 - 2008-06-07,+425%
2008-06-08 - 2008-06-14,+467%
2008-06-15 - 2008-06-21,+425%
2008-06-22 - 2008-06-28,+525%
2008-06-29 - 2008-07-05,+508%
2008-07-06 - 2008-07-12,+508%
2008-07-13 - 2008-07-19,+533%
2008-07-20 - 2008-07-26,+475%
2008-07-27 - 2008-08-02,+483%
2008-08-03 - 2008-08-09,+508%
2008-08-10 - 2008-08-16,+433%
2008-08-17 - 2008-08-23,+442%
2008-08-24 - 2008-08-30,+458%
2008-08-31 - 2008-09-06,+358%
2008-09-07 - 2008-09-13,+292%
2008-09-14 - 2008-09-20,+308%
2008-09-21 - 2008-09-27,+283%
2008-09-28 - 2008-10-04,+300%
2008-10-05 - 2008-10-11,+233%
2008-10-12 - 2008-10-18,+208%
2008-10-19 - 2008-10-25,+250%
2008-10-26 - 2008-11-01,+250%
2008-11-02 - 2008-11-08,+267%
2008-11-09 - 2008-11-15,+217%
2008-11-16 - 2008-11-22,+250%
2008-11-23 - 2008-11-29,+258%
2008-11-30 - 2008-12-06,+258%
2008-12-07 - 2008-12-13,+267%
2008-12-14 - 2008-12-20,+242%
2008-12-21 - 2008-12-27,+275%
2008-12-28 - 2009-01-03,+242%
2009-01-04 - 2009-01-10,+267%
2009-01-11 - 2009-01-17,+325%
2009-01-18 - 2009-01-24,+233%
2009-01-25 - 2009-01-31,+250%
2009-02-01 - 2009-02-07,+250%
2009-02-08 - 2009-02-14,+258%
2009-02-15 - 2009-02-21,+250%
2009-02-22 - 2009-02-28,+267%
2009-03-01 - 2009-03-07,+225%
2009-03-08 - 2009-03-14,+250%
2009-03-15 - 2009-03-21,+225%
2009-03-22 - 2009-03-28,+225%
2009-03-29 - 2009-04-04,+217%
2009-04-05 - 2009-04-11,+300%
2009-04-12 - 2009-04-18,+233%
2009-04-19 - 2009-04-25,+250%
2009-04-26 - 2009-05-02,+242%
2009-05-03 - 2009-05-09,+258%
2009-05-10 - 2009-05-16,+333%
2009-05-17 - 2009-05-23,+308%
2009-05-24 - 2009-05-30,+317%
2009-05-31 - 2009-06-06,+325%
2009-06-07 - 2009-06-13,+425%
2009-06-14 - 2009-06-20,+450%
2009-06-21 - 2009-06-27,+483%
2009-06-28 - 2009-07-04,+500%
2009-07-05 - 2009-07-11,+542%
2009-07-12 - 2009-07-18,+467%
2009-07-19 - 2009-07-25,+467%
2009-07-26 - 2009-08-01,+475%
2009-08-02 - 2009-08-08,+483%
2009-08-09 - 2009-08-15,+433%
2009-08-16 - 2009-08-22,+417%
2009-08-23 - 2009-08-29,+417%
2009-08-30 - 2009-09-05,+392%
2009-09-06 - 2009-09-12,+308%
2009-09-13 - 2009-09-19,+342%
2009-09-20 - 2009-09-26,+325%
2009-09-27 - 2009-10-03,+275%
2009-10-04 - 2009-10-10,+258%
2009-10-11 - 2009-10-17,+217%
2009-10-18 - 2009-10-24,+258%
2009-10-25 - 2009-10-31,+325%
2009-11-01 - 2009-11-07,+333%
2009-11-08 - 2009-11-14,+350%
2009-11-15 - 2009-11-21,+317%
2009-11-22 - 2009-11-28,+283%
2009-11-29 - 2009-12-05,+317%
2009-12-06 - 2009-12-12,+342%
2009-12-13 - 2009-12-19,+317%
2009-12-20 - 2009-12-26,+425%
2009-12-27 - 2010-01-02,+408%
2010-01-03 - 2010-01-09,+342%
2010-01-10 - 2010-01-16,+333%
2010-01-17 - 2010-01-23,+358%
2010-01-24 - 2010-01-30,+342%
2010-01-31 - 2010-02-06,+333%
2010-02-07 - 2010-02-13,+308%
2010-02-14 - 2010-02-20,+308%
2010-02-21 - 2010-02-27,+308%
2010-02-28 - 2010-03-06,+300%
2010-03-07 - 2010-03-13,+317%
2010-03-14 - 2010-03-20,+333%
2010-03-21 - 2010-03-27,+317%
2010-03-28 - 2010-04-03,+325%
2010-04-04 - 2010-04-10,+308%
2010-04-11 - 2010-04-17,+308%
2010-04-18 - 2010-04-24,+325%
2010-04-25 - 2010-05-01,+383%
2010-05-02 - 2010-05-08,+400%
2010-05-09 - 2010-05-15,+383%
2010-05-16 - 2010-05-22,+383%
2010-05-23 - 2010-05-29,+433%
2010-05-30 - 2010-06-05,+442%
2010-06-06 - 2010-06-12,+450%
2010-06-13 - 2010-06-19,+500%
2010-06-20 - 2010-06-26,+575%
2010-06-27 - 2010-07-03,+583%
2010-07-04 - 2010-07-10,+733%
2010-07-11 - 2010-07-17,+508%
2010-07-18 - 2010-07-24,+508%
2010-07-25 - 2010-07-31,+500%
2010-08-01 - 2010-08-07,+533%
2010-08-08 - 2010-08-14,+525%
2010-08-15 - 2010-08-21,+550%
2010-08-22 - 2010-08-28,+592%
2010-08-29 - 2010-09-04,+542%
2010-09-05 - 2010-09-11,+417%
2010-09-12 - 2010-09-18,+417%
2010-09-19 - 2010-09-25,+392%
2010-09-26 - 2010-10-02,+367%
2010-10-03 - 2010-10-09,+375%
2010-10-10 - 2010-10-16,+317%
2010-10-17 - 2010-10-23,+325%
2010-10-24 - 2010-10-30,+325%
2010-10-31 - 2010-11-06,+375%
2010-11-07 - 2010-11-13,+425%
2010-11-14 - 2010-11-20,+375%
2010-11-21 - 2010-11-27,+375%
2010-11-28 - 2010-12-04,+367%
2010-12-05 - 2010-12-11,+350%
2010-12-12 - 2010-12-18,+375%
2010-12-19 - 2010-12-25,+408%
2010-12-26 - 2011-01-01,+375%
2011-01-02 - 2011-01-08,+325%
2011-01-09 - 2011-01-15,+367%
2011-01-16 - 2011-01-22,+375%
2011-01-23 - 2011-01-29,+383%
2011-01-30 - 2011-02-05,+433%
2011-02-06 - 2011-02-12,+358%
2011-02-13 - 2011-02-19,+358%
2011-02-20 - 2011-02-26,+383%
2011-02-27 - 2011-03-05,+358%
2011-03-06 - 2011-03-12,+367%
2011-03-13 - 2011-03-19,+367%
2011-03-20 - 2011-03-26,+367%
2011-03-27 - 2011-04-02,+367%
2011-04-03 - 2011-04-09,+425%
2011-04-10 - 2011-04-16,+367%
2011-04-17 - 2011-04-23,+433%
2011-04-24 - 2011-04-30,+400%
2011-05-01 - 2011-05-07,+383%
2011-05-08 - 2011-05-14,+367%
2011-05-15 - 2011-05-21,+425%
2011-05-22 - 2011-05-28,+450%
2011-05-29 - 2011-06-04,+442%
2011-06-05 - 2011-06-11,+467%
2011-06-12 - 2011-06-18,+483%
2011-06-19 - 2011-06-25,+558%
2011-06-26 - 2011-07-02,+475%
2011-07-03 - 2011-07-09,+508%
2011-07-10 - 2011-07-16,+542%
2011-07-17 - 2011-07-23,+542%
2011-07-24 - 2011-07-30,+500%
2011-07-31 - 2011-08-06,+508%
2011-08-07 - 2011-08-13,+483%
2011-08-14 - 2011-08-20,+542%
2011-08-21 - 2011-08-27,+508%
2011-08-28 - 2011-09-03,+533%
2011-09-04 - 2011-09-10,+458%
2011-09-11 - 2011-09-17,+425%
2011-09-18 - 2011-09-24,+433%
2011-09-25 - 2011-10-01,+392%
2011-10-02 - 2011-10-08,+367%
2011-10-09 - 2011-10-15,+342%
2011-10-16 - 2011-10-22,+342%
2011-10-23 - 2011-10-29,+367%
2011-10-30 - 2011-11-05,+408%
2011-11-06 - 2011-11-12,+400%
2011-11-13 - 2011-11-19,+383%
2011-11-20 - 2011-11-26,+408%
2011-11-27 - 2011-12-03,+383%
2011-12-04 - 2011-12-10,+375%
2011-12-11 - 2011-12-17,+375%
2011-12-18 - 2011-12-24,+383%
2011-12-25 - 2011-12-31,+367%
2012-01-01 - 2012-01-07,+408%
2012-01-08 - 2012-01-14,+417%
2012-01-15 - 2012-01-21,+408%
2012-01-22 - 2012-01-28,+433%
2012-01-29 - 2012-02-04,+483%
2012-02-05 - 2012-02-11,+408%
2012-02-12 - 2012-02-18,+483%
2012-02-19 - 2012-02-25,+433%
2012-02-26 - 2012-03-03,+458%
2012-03-04 - 2012-03-10,+425%
2012-03-11 - 2012-03-17,+475%
2012-03-18 - 2012-03-24,+408%
2012-03-25 - 2012-03-31,+408%
2012-04-01 - 2012-04-07,+433%
2012-04-08 - 2012-04-14,+433%
2012-04-15 - 2012-04-21,+425%
2012-04-22 - 2012-04-28,+442%
2012-04-29 - 2012-05-05,+475%
2012-05-06 - 2012-05-12,+400%
2012-05-13 - 2012-05-19,+417%
2012-05-20 - 2012-05-26,+425%
2012-05-27 - 2012-06-02,+450%
2012-06-03 - 2012-06-09,+467%
2012-06-10 - 2012-06-16,+500%
2012-06-17 - 2012-06-23,+533%
2012-06-24 - 2012-06-30,+467%
2012-07-01 - 2012-07-07,+442%
2012-07-08 - 2012-07-14,+483%
2012-07-15 - 2012-07-21,+483%
2012-07-22 - 2012-07-28,+492%
2012-07-29 - 2012-08-04,+517%
2012-08-05 - 2012-08-11,+517%
2012-08-12 - 2012-08-18,+492%
2012-08-19 - 2012-08-25,+533%
2012-08-26 - 2012-09-01,+667%
2012-09-02 - 2012-09-08,+550%
2012-09-09 - 2012-09-15,+408%
2012-09-16 - 2012-09-22,+425%
2012-09-23 - 2012-09-29,+408%
2012-09-30 - 2012-10-06,+450%
2012-10-07 - 2012-10-13,+408%
2012-10-14 - 2012-10-20,+358%
2012-10-21 - 2012-10-27,+417%
2012-10-28 - 2012-11-03,+383%
2012-11-04 - 2012-11-10,+383%
2012-11-11 - 2012-11-17,+400%
2012-11-18 - 2012-11-24,+417%
2012-11-25 - 2012-12-01, 



Top searches
abola,100
record,80
bola,35
a bola,30
ojogo,25
jogo,20
jornal,20
o jogo,20
o record,10
record jornal,10
jornal bola,10
jornal a bola,10
ronaldo,5
cristiano ronaldo,5
jornal jogo,5
maisfutebol,5
o jogo jornal,5
correio da manha,5
fm,5
livescore,5



Rising searches
correio da manha,Breakout
fm,Breakout
abola,+350%
livescore,+350%
record,+250%
ojogo,+200%
maisfutebol,+160%
bola,+70%
a bola,+50%
o record,+50%



