Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Puzzles & Brainteasers
2009-11-01 - 2009-11-07,+43%
2009-11-08 - 2009-11-14,+50%
2009-11-15 - 2009-11-21,+50%
2009-11-22 - 2009-11-28,+57%
2009-11-29 - 2009-12-05,+50%
2009-12-06 - 2009-12-12,+50%
2009-12-13 - 2009-12-19,+50%
2009-12-20 - 2009-12-26,+71%
2009-12-27 - 2010-01-02,+64%
2010-01-03 - 2010-01-09,+43%
2010-01-10 - 2010-01-16,+43%
2010-01-17 - 2010-01-23,+43%
2010-01-24 - 2010-01-30,+43%
2010-01-31 - 2010-02-06,+43%
2010-02-07 - 2010-02-13,+43%
2010-02-14 - 2010-02-20,+43%
2010-02-21 - 2010-02-27,+43%
2010-02-28 - 2010-03-06,+36%
2010-03-07 - 2010-03-13,+36%
2010-03-14 - 2010-03-20,+36%
2010-03-21 - 2010-03-27,+50%
2010-03-28 - 2010-04-03,+50%
2010-04-04 - 2010-04-10,+50%
2010-04-11 - 2010-04-17,+43%
2010-04-18 - 2010-04-24,+43%
2010-04-25 - 2010-05-01,+36%
2010-05-02 - 2010-05-08,+36%
2010-05-09 - 2010-05-15,+43%
2010-05-16 - 2010-05-22,+50%
2010-05-23 - 2010-05-29,+50%
2010-05-30 - 2010-06-05,+50%
2010-06-06 - 2010-06-12,+43%
2010-06-13 - 2010-06-19,+36%
2010-06-20 - 2010-06-26,+43%
2010-06-27 - 2010-07-03,+36%
2010-07-04 - 2010-07-10,+43%
2010-07-11 - 2010-07-17,+36%
2010-07-18 - 2010-07-24,+36%
2010-07-25 - 2010-07-31,+29%
2010-08-01 - 2010-08-07,+14%
2010-08-08 - 2010-08-14,+36%
2010-08-15 - 2010-08-21,+43%
2010-08-22 - 2010-08-28,+29%
2010-08-29 - 2010-09-04,+14%
2010-09-05 - 2010-09-11,+29%
2010-09-12 - 2010-09-18,+21%
2010-09-19 - 2010-09-25,+21%
2010-09-26 - 2010-10-02,+21%
2010-10-03 - 2010-10-09,+29%
2010-10-10 - 2010-10-16,+14%
2010-10-17 - 2010-10-23,+7%
2010-10-24 - 2010-10-30,+29%
2010-10-31 - 2010-11-06,+36%
2010-11-07 - 2010-11-13,+36%
2010-11-14 - 2010-11-20,+29%
2010-11-21 - 2010-11-27,+29%
2010-11-28 - 2010-12-04,+43%
2010-12-05 - 2010-12-11,+29%
2010-12-12 - 2010-12-18,+43%
2010-12-19 - 2010-12-25,+50%
2010-12-26 - 2011-01-01,+50%
2011-01-02 - 2011-01-08,+29%
2011-01-09 - 2011-01-15,+29%
2011-01-16 - 2011-01-22,+21%
2011-01-23 - 2011-01-29,+21%
2011-01-30 - 2011-02-05,+29%
2011-02-06 - 2011-02-12,+29%
2011-02-13 - 2011-02-19,+14%
2011-02-20 - 2011-02-26,+14%
2011-02-27 - 2011-03-05,+21%
2011-03-06 - 2011-03-12,+14%
2011-03-13 - 2011-03-19,+14%
2011-03-20 - 2011-03-26,+7%
2011-03-27 - 2011-04-02,+14%
2011-04-03 - 2011-04-09,+0%
2011-04-10 - 2011-04-16,+7%
2011-04-17 - 2011-04-23,+14%
2011-04-24 - 2011-04-30,+14%
2011-05-01 - 2011-05-07,+14%
2011-05-08 - 2011-05-14,+14%
2011-05-15 - 2011-05-21,+14%
2011-05-22 - 2011-05-28,+7%
2011-05-29 - 2011-06-04,+7%
2011-06-05 - 2011-06-11,+14%
2011-06-12 - 2011-06-18,+21%
2011-06-19 - 2011-06-25,+14%
2011-06-26 - 2011-07-02,+7%
2011-07-03 - 2011-07-09,+21%
2011-07-10 - 2011-07-16,+7%
2011-07-17 - 2011-07-23,+14%
2011-07-24 - 2011-07-30,+14%
2011-07-31 - 2011-08-06,+21%
2011-08-07 - 2011-08-13,+7%
2011-08-14 - 2011-08-20,+7%
2011-08-21 - 2011-08-27,+7%
2011-08-28 - 2011-09-03,+0%
2011-09-04 - 2011-09-10,+7%
2011-09-11 - 2011-09-17,-7%
2011-09-18 - 2011-09-24,+0%
2011-09-25 - 2011-10-01,+7%
2011-10-02 - 2011-10-08,+7%
2011-10-09 - 2011-10-15,+14%
2011-10-16 - 2011-10-22,+14%
2011-10-23 - 2011-10-29,+14%
2011-10-30 - 2011-11-05,+14%
2011-11-06 - 2011-11-12,+14%
2011-11-13 - 2011-11-19,+21%
2011-11-20 - 2011-11-26,+7%
2011-11-27 - 2011-12-03,+14%
2011-12-04 - 2011-12-10,+14%
2011-12-11 - 2011-12-17,+14%
2011-12-18 - 2011-12-24,+14%
2011-12-25 - 2011-12-31,+36%
2012-01-01 - 2012-01-07,+14%
2012-01-08 - 2012-01-14,+7%
2012-01-15 - 2012-01-21,+14%
2012-01-22 - 2012-01-28,+7%
2012-01-29 - 2012-02-04,+7%
2012-02-05 - 2012-02-11,+57%
2012-02-12 - 2012-02-18,+14%
2012-02-19 - 2012-02-25,+14%
2012-02-26 - 2012-03-03,+7%
2012-03-04 - 2012-03-10,+21%
2012-03-11 - 2012-03-17,+14%
2012-03-18 - 2012-03-24,+21%
2012-03-25 - 2012-03-31,+7%
2012-04-01 - 2012-04-07,+14%
2012-04-08 - 2012-04-14,+7%
2012-04-15 - 2012-04-21,+14%
2012-04-22 - 2012-04-28,+7%
2012-04-29 - 2012-05-05,+14%
2012-05-06 - 2012-05-12,+7%
2012-05-13 - 2012-05-19,+7%
2012-05-20 - 2012-05-26,+7%
2012-05-27 - 2012-06-02,+14%
2012-06-03 - 2012-06-09,+7%
2012-06-10 - 2012-06-16,+7%
2012-06-17 - 2012-06-23,+7%
2012-06-24 - 2012-06-30,+0%
2012-07-01 - 2012-07-07,+7%
2012-07-08 - 2012-07-14,+7%
2012-07-15 - 2012-07-21,+0%
2012-07-22 - 2012-07-28,+0%
2012-07-29 - 2012-08-04,+0%
2012-08-05 - 2012-08-11,-14%
2012-08-12 - 2012-08-18,-7%
2012-08-19 - 2012-08-25,-7%
2012-08-26 - 2012-09-01,+0%
2012-09-02 - 2012-09-08,-7%
2012-09-09 - 2012-09-15,-14%
2012-09-16 - 2012-09-22,-14%
2012-09-23 - 2012-09-29,-14%
2012-09-30 - 2012-10-06,-14%
2012-10-07 - 2012-10-13,-21%
2012-10-14 - 2012-10-20,-14%
2012-10-21 - 2012-10-27,-14%
2012-10-28 - 2012-11-03,-7%
2012-11-04 - 2012-11-10,-7%
2012-11-11 - 2012-11-17,+7%
2012-11-18 - 2012-11-24,+14%
2012-11-25 - 2012-12-01, 



Top searches
puzzle,100
sudoku,55
bubble,45
bubble puzzle,40
puzzle bobble,25
passatempos,20
cruzadas,10
puzzles,10
palavras,10
palavras cruzadas,10
cubo,10
uailde,10
sopa de letras,10
passatempo,5
jogos puzzle,5
puzzel,5
online sudoku,5
puzzle buble,5
cubo magico,5
tangram,5



Rising searches
jogos puzzle,Breakout
sudoku,Breakout
uailde,Breakout
puzzle bobble,+900%
puzzle,+300%
bubble,+250%
bubble puzzle,+250%
sopa de letras,+200%
cubo,+110%
passatempo,+40%



