Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Chemistry
2005-10-02 - 2005-10-08,-27%
2005-10-09 - 2005-10-15,-28%
2005-10-16 - 2005-10-22,-46%
2005-10-23 - 2005-10-29,-27%
2005-10-30 - 2005-11-05,-38%
2005-11-06 - 2005-11-12,-30%
2005-11-13 - 2005-11-19,-22%
2005-11-20 - 2005-11-26,-30%
2005-11-27 - 2005-12-03,-38%
2005-12-04 - 2005-12-10,-30%
2005-12-11 - 2005-12-17,-38%
2005-12-18 - 2005-12-24,-66%
2005-12-25 - 2005-12-31,-53%
2006-01-01 - 2006-01-07,-35%
2006-01-08 - 2006-01-14,-31%
2006-01-15 - 2006-01-21,-31%
2006-01-22 - 2006-01-28,-22%
2006-01-29 - 2006-02-04,-34%
2006-02-05 - 2006-02-11,-51%
2006-02-12 - 2006-02-18,-43%
2006-02-19 - 2006-02-25,-42%
2006-02-26 - 2006-03-04,-51%
2006-03-05 - 2006-03-11,-28%
2006-03-12 - 2006-03-18,-34%
2006-03-19 - 2006-03-25,-30%
2006-03-26 - 2006-04-01,-41%
2006-04-02 - 2006-04-08,-55%
2006-04-09 - 2006-04-15,-59%
2006-04-16 - 2006-04-22,-46%
2006-04-23 - 2006-04-29,-46%
2006-04-30 - 2006-05-06,-36%
2006-05-07 - 2006-05-13,-42%
2006-05-14 - 2006-05-20,-31%
2006-05-21 - 2006-05-27,-42%
2006-05-28 - 2006-06-03,-36%
2006-06-04 - 2006-06-10,-43%
2006-06-11 - 2006-06-17,-43%
2006-06-18 - 2006-06-24,-58%
2006-06-25 - 2006-07-01,-65%
2006-07-02 - 2006-07-08,-64%
2006-07-09 - 2006-07-15,-65%
2006-07-16 - 2006-07-22,-65%
2006-07-23 - 2006-07-29,-76%
2006-07-30 - 2006-08-05,-78%
2006-08-06 - 2006-08-12,-84%
2006-08-13 - 2006-08-19,-84%
2006-08-20 - 2006-08-26,-78%
2006-08-27 - 2006-09-02,-82%
2006-09-03 - 2006-09-09,-74%
2006-09-10 - 2006-09-16,-72%
2006-09-17 - 2006-09-23,-58%
2006-09-24 - 2006-09-30,-51%
2006-10-01 - 2006-10-07,-42%
2006-10-08 - 2006-10-14,-41%
2006-10-15 - 2006-10-21,-49%
2006-10-22 - 2006-10-28,-45%
2006-10-29 - 2006-11-04,-45%
2006-11-05 - 2006-11-11,-51%
2006-11-12 - 2006-11-18,-47%
2006-11-19 - 2006-11-25,-39%
2006-11-26 - 2006-12-02,-43%
2006-12-03 - 2006-12-09,-47%
2006-12-10 - 2006-12-16,-41%
2006-12-17 - 2006-12-23,-72%
2006-12-24 - 2006-12-30,-73%
2006-12-31 - 2007-01-06,-59%
2007-01-07 - 2007-01-13,-57%
2007-01-14 - 2007-01-20,-47%
2007-01-21 - 2007-01-27,-49%
2007-01-28 - 2007-02-03,-54%
2007-02-04 - 2007-02-10,-55%
2007-02-11 - 2007-02-17,-59%
2007-02-18 - 2007-02-24,-61%
2007-02-25 - 2007-03-03,-47%
2007-03-04 - 2007-03-10,-53%
2007-03-11 - 2007-03-17,-47%
2007-03-18 - 2007-03-24,-53%
2007-03-25 - 2007-03-31,-68%
2007-04-01 - 2007-04-07,-72%
2007-04-08 - 2007-04-14,-61%
2007-04-15 - 2007-04-21,-53%
2007-04-22 - 2007-04-28,-55%
2007-04-29 - 2007-05-05,-62%
2007-05-06 - 2007-05-12,-50%
2007-05-13 - 2007-05-19,-47%
2007-05-20 - 2007-05-26,-49%
2007-05-27 - 2007-06-02,-47%
2007-06-03 - 2007-06-09,-51%
2007-06-10 - 2007-06-16,-59%
2007-06-17 - 2007-06-23,-59%
2007-06-24 - 2007-06-30,-72%
2007-07-01 - 2007-07-07,-72%
2007-07-08 - 2007-07-14,-70%
2007-07-15 - 2007-07-21,-76%
2007-07-22 - 2007-07-28,-77%
2007-07-29 - 2007-08-04,-80%
2007-08-05 - 2007-08-11,-84%
2007-08-12 - 2007-08-18,-82%
2007-08-19 - 2007-08-25,-84%
2007-08-26 - 2007-09-01,-81%
2007-09-02 - 2007-09-08,-70%
2007-09-09 - 2007-09-15,-74%
2007-09-16 - 2007-09-22,-66%
2007-09-23 - 2007-09-29,-58%
2007-09-30 - 2007-10-06,-57%
2007-10-07 - 2007-10-13,-49%
2007-10-14 - 2007-10-20,-43%
2007-10-21 - 2007-10-27,-42%
2007-10-28 - 2007-11-03,-54%
2007-11-04 - 2007-11-10,-50%
2007-11-11 - 2007-11-17,-43%
2007-11-18 - 2007-11-24,-46%
2007-11-25 - 2007-12-01,-47%
2007-12-02 - 2007-12-08,-54%
2007-12-09 - 2007-12-15,-53%
2007-12-16 - 2007-12-22,-65%
2007-12-23 - 2007-12-29,-80%
2007-12-30 - 2008-01-05,-64%
2008-01-06 - 2008-01-12,-55%
2008-01-13 - 2008-01-19,-54%
2008-01-20 - 2008-01-26,-55%
2008-01-27 - 2008-02-02,-61%
2008-02-03 - 2008-02-09,-62%
2008-02-10 - 2008-02-16,-58%
2008-02-17 - 2008-02-23,-51%
2008-02-24 - 2008-03-01,-54%
2008-03-02 - 2008-03-08,-50%
2008-03-09 - 2008-03-15,-53%
2008-03-16 - 2008-03-22,-77%
2008-03-23 - 2008-03-29,-70%
2008-03-30 - 2008-04-05,-57%
2008-04-06 - 2008-04-12,-50%
2008-04-13 - 2008-04-19,-54%
2008-04-20 - 2008-04-26,-59%
2008-04-27 - 2008-05-03,-59%
2008-05-04 - 2008-05-10,-54%
2008-05-11 - 2008-05-17,-50%
2008-05-18 - 2008-05-24,-57%
2008-05-25 - 2008-05-31,-53%
2008-06-01 - 2008-06-07,-55%
2008-06-08 - 2008-06-14,-62%
2008-06-15 - 2008-06-21,-68%
2008-06-22 - 2008-06-28,-73%
2008-06-29 - 2008-07-05,-76%
2008-07-06 - 2008-07-12,-74%
2008-07-13 - 2008-07-19,-76%
2008-07-20 - 2008-07-26,-78%
2008-07-27 - 2008-08-02,-82%
2008-08-03 - 2008-08-09,-85%
2008-08-10 - 2008-08-16,-89%
2008-08-17 - 2008-08-23,-85%
2008-08-24 - 2008-08-30,-84%
2008-08-31 - 2008-09-06,-80%
2008-09-07 - 2008-09-13,-80%
2008-09-14 - 2008-09-20,-70%
2008-09-21 - 2008-09-27,-62%
2008-09-28 - 2008-10-04,-61%
2008-10-05 - 2008-10-11,-54%
2008-10-12 - 2008-10-18,-55%
2008-10-19 - 2008-10-25,-55%
2008-10-26 - 2008-11-01,-54%
2008-11-02 - 2008-11-08,-55%
2008-11-09 - 2008-11-15,-51%
2008-11-16 - 2008-11-22,-53%
2008-11-23 - 2008-11-29,-55%
2008-11-30 - 2008-12-06,-58%
2008-12-07 - 2008-12-13,-62%
2008-12-14 - 2008-12-20,-64%
2008-12-21 - 2008-12-27,-82%
2008-12-28 - 2009-01-03,-72%
2009-01-04 - 2009-01-10,-57%
2009-01-11 - 2009-01-17,-59%
2009-01-18 - 2009-01-24,-59%
2009-01-25 - 2009-01-31,-55%
2009-02-01 - 2009-02-07,-59%
2009-02-08 - 2009-02-14,-65%
2009-02-15 - 2009-02-21,-64%
2009-02-22 - 2009-02-28,-65%
2009-03-01 - 2009-03-07,-59%
2009-03-08 - 2009-03-14,-58%
2009-03-15 - 2009-03-21,-54%
2009-03-22 - 2009-03-28,-59%
2009-03-29 - 2009-04-04,-70%
2009-04-05 - 2009-04-11,-78%
2009-04-12 - 2009-04-18,-66%
2009-04-19 - 2009-04-25,-61%
2009-04-26 - 2009-05-02,-66%
2009-05-03 - 2009-05-09,-59%
2009-05-10 - 2009-05-16,-57%
2009-05-17 - 2009-05-23,-59%
2009-05-24 - 2009-05-30,-58%
2009-05-31 - 2009-06-06,-61%
2009-06-07 - 2009-06-13,-70%
2009-06-14 - 2009-06-20,-65%
2009-06-21 - 2009-06-27,-74%
2009-06-28 - 2009-07-04,-74%
2009-07-05 - 2009-07-11,-76%
2009-07-12 - 2009-07-18,-74%
2009-07-19 - 2009-07-25,-82%
2009-07-26 - 2009-08-01,-84%
2009-08-02 - 2009-08-08,-88%
2009-08-09 - 2009-08-15,-88%
2009-08-16 - 2009-08-22,-88%
2009-08-23 - 2009-08-29,-86%
2009-08-30 - 2009-09-05,-85%
2009-09-06 - 2009-09-12,-81%
2009-09-13 - 2009-09-19,-78%
2009-09-20 - 2009-09-26,-70%
2009-09-27 - 2009-10-03,-62%
2009-10-04 - 2009-10-10,-59%
2009-10-11 - 2009-10-17,-59%
2009-10-18 - 2009-10-24,-53%
2009-10-25 - 2009-10-31,-58%
2009-11-01 - 2009-11-07,-58%
2009-11-08 - 2009-11-14,-55%
2009-11-15 - 2009-11-21,-51%
2009-11-22 - 2009-11-28,-59%
2009-11-29 - 2009-12-05,-61%
2009-12-06 - 2009-12-12,-59%
2009-12-13 - 2009-12-19,-57%
2009-12-20 - 2009-12-26,-81%
2009-12-27 - 2010-01-02,-78%
2010-01-03 - 2010-01-09,-64%
2010-01-10 - 2010-01-16,-58%
2010-01-17 - 2010-01-23,-62%
2010-01-24 - 2010-01-30,-59%
2010-01-31 - 2010-02-06,-61%
2010-02-07 - 2010-02-13,-62%
2010-02-14 - 2010-02-20,-69%
2010-02-21 - 2010-02-27,-62%
2010-02-28 - 2010-03-06,-58%
2010-03-07 - 2010-03-13,-55%
2010-03-14 - 2010-03-20,-54%
2010-03-21 - 2010-03-27,-59%
2010-03-28 - 2010-04-03,-76%
2010-04-04 - 2010-04-10,-73%
2010-04-11 - 2010-04-17,-64%
2010-04-18 - 2010-04-24,-58%
2010-04-25 - 2010-05-01,-55%
2010-05-02 - 2010-05-08,-59%
2010-05-09 - 2010-05-15,-57%
2010-05-16 - 2010-05-22,-59%
2010-05-23 - 2010-05-29,-61%
2010-05-30 - 2010-06-05,-59%
2010-06-06 - 2010-06-12,-68%
2010-06-13 - 2010-06-19,-66%
2010-06-20 - 2010-06-26,-72%
2010-06-27 - 2010-07-03,-70%
2010-07-04 - 2010-07-10,-74%
2010-07-11 - 2010-07-17,-72%
2010-07-18 - 2010-07-24,-80%
2010-07-25 - 2010-07-31,-84%
2010-08-01 - 2010-08-07,-85%
2010-08-08 - 2010-08-14,-86%
2010-08-15 - 2010-08-21,-85%
2010-08-22 - 2010-08-28,-86%
2010-08-29 - 2010-09-04,-77%
2010-09-05 - 2010-09-11,-81%
2010-09-12 - 2010-09-18,-77%
2010-09-19 - 2010-09-25,-68%
2010-09-26 - 2010-10-02,-64%
2010-10-03 - 2010-10-09,-65%
2010-10-10 - 2010-10-16,-59%
2010-10-17 - 2010-10-23,-58%
2010-10-24 - 2010-10-30,-59%
2010-10-31 - 2010-11-06,-61%
2010-11-07 - 2010-11-13,-61%
2010-11-14 - 2010-11-20,-57%
2010-11-21 - 2010-11-27,-62%
2010-11-28 - 2010-12-04,-57%
2010-12-05 - 2010-12-11,-62%
2010-12-12 - 2010-12-18,-62%
2010-12-19 - 2010-12-25,-80%
2010-12-26 - 2011-01-01,-78%
2011-01-02 - 2011-01-08,-62%
2011-01-09 - 2011-01-15,-58%
2011-01-16 - 2011-01-22,-55%
2011-01-23 - 2011-01-29,-62%
2011-01-30 - 2011-02-05,-59%
2011-02-06 - 2011-02-12,-65%
2011-02-13 - 2011-02-19,-64%
2011-02-20 - 2011-02-26,-62%
2011-02-27 - 2011-03-05,-57%
2011-03-06 - 2011-03-12,-66%
2011-03-13 - 2011-03-19,-59%
2011-03-20 - 2011-03-26,-58%
2011-03-27 - 2011-04-02,-59%
2011-04-03 - 2011-04-09,-66%
2011-04-10 - 2011-04-16,-76%
2011-04-17 - 2011-04-23,-78%
2011-04-24 - 2011-04-30,-68%
2011-05-01 - 2011-05-07,-64%
2011-05-08 - 2011-05-14,-64%
2011-05-15 - 2011-05-21,-65%
2011-05-22 - 2011-05-28,-59%
2011-05-29 - 2011-06-04,-59%
2011-06-05 - 2011-06-11,-66%
2011-06-12 - 2011-06-18,-68%
2011-06-19 - 2011-06-25,-70%
2011-06-26 - 2011-07-02,-74%
2011-07-03 - 2011-07-09,-77%
2011-07-10 - 2011-07-16,-80%
2011-07-17 - 2011-07-23,-78%
2011-07-24 - 2011-07-30,-82%
2011-07-31 - 2011-08-06,-88%
2011-08-07 - 2011-08-13,-88%
2011-08-14 - 2011-08-20,-89%
2011-08-21 - 2011-08-27,-88%
2011-08-28 - 2011-09-03,-86%
2011-09-04 - 2011-09-10,-82%
2011-09-11 - 2011-09-17,-80%
2011-09-18 - 2011-09-24,-72%
2011-09-25 - 2011-10-01,-68%
2011-10-02 - 2011-10-08,-68%
2011-10-09 - 2011-10-15,-65%
2011-10-16 - 2011-10-22,-62%
2011-10-23 - 2011-10-29,-61%
2011-10-30 - 2011-11-05,-66%
2011-11-06 - 2011-11-12,-57%
2011-11-13 - 2011-11-19,-61%
2011-11-20 - 2011-11-26,-61%
2011-11-27 - 2011-12-03,-64%
2011-12-04 - 2011-12-10,-62%
2011-12-11 - 2011-12-17,-69%
2011-12-18 - 2011-12-24,-81%
2011-12-25 - 2011-12-31,-78%
2012-01-01 - 2012-01-07,-68%
2012-01-08 - 2012-01-14,-61%
2012-01-15 - 2012-01-21,-58%
2012-01-22 - 2012-01-28,-61%
2012-01-29 - 2012-02-04,-64%
2012-02-05 - 2012-02-11,-62%
2012-02-12 - 2012-02-18,-66%
2012-02-19 - 2012-02-25,-72%
2012-02-26 - 2012-03-03,-62%
2012-03-04 - 2012-03-10,-58%
2012-03-11 - 2012-03-17,-57%
2012-03-18 - 2012-03-24,-64%
2012-03-25 - 2012-03-31,-73%
2012-04-01 - 2012-04-07,-78%
2012-04-08 - 2012-04-14,-68%
2012-04-15 - 2012-04-21,-62%
2012-04-22 - 2012-04-28,-62%
2012-04-29 - 2012-05-05,-66%
2012-05-06 - 2012-05-12,-66%
2012-05-13 - 2012-05-19,-62%
2012-05-20 - 2012-05-26,-62%
2012-05-27 - 2012-06-02,-58%
2012-06-03 - 2012-06-09,-66%
2012-06-10 - 2012-06-16,-72%
2012-06-17 - 2012-06-23,-72%
2012-06-24 - 2012-06-30,-73%
2012-07-01 - 2012-07-07,-78%
2012-07-08 - 2012-07-14,-77%
2012-07-15 - 2012-07-21,-78%
2012-07-22 - 2012-07-28,-85%
2012-07-29 - 2012-08-04,-85%
2012-08-05 - 2012-08-11,-88%
2012-08-12 - 2012-08-18,-88%
2012-08-19 - 2012-08-25,-86%
2012-08-26 - 2012-09-01,-85%
2012-09-02 - 2012-09-08,-84%
2012-09-09 - 2012-09-15,-81%
2012-09-16 - 2012-09-22,-76%
2012-09-23 - 2012-09-29,-68%
2012-09-30 - 2012-10-06,-68%
2012-10-07 - 2012-10-13,-66%
2012-10-14 - 2012-10-20,-64%
2012-10-21 - 2012-10-27,-64%
2012-10-28 - 2012-11-03,-65%
2012-11-04 - 2012-11-10,-66%
2012-11-11 - 2012-11-17,-64%
2012-11-18 - 2012-11-24,-62%
2012-11-25 - 2012-12-01, 



Top searches
quimica,100
química,50
sódio,30
solução,25
chemistry,25
tabela periodica,20
reacção,20
sodio,20
carbono,20
reacções,20
misturas,15
tabela periódica,15
potássio,15
soluções,15
marie curie,15
reação,15
periodic table,10
acetato,10
nitrato,10
massa molar,10



Rising searches
carbono,Breakout
potássio,Breakout
reação,Breakout
sodio,Breakout
solução,+250%
reacção,+170%
tabela periodica,+170%
sódio,+120%
marie curie,+110%
quimica,+90%



