Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Scientific Institutions
2010-05-02 - 2010-05-08,-35%
2010-05-09 - 2010-05-15,-37%
2010-05-16 - 2010-05-22,-33%
2010-05-23 - 2010-05-29,-41%
2010-05-30 - 2010-06-05,-47%
2010-06-06 - 2010-06-12,-41%
2010-06-13 - 2010-06-19,-22%
2010-06-20 - 2010-06-26,-35%
2010-06-27 - 2010-07-03,-25%
2010-07-04 - 2010-07-10,-27%
2010-07-11 - 2010-07-17,-18%
2010-07-18 - 2010-07-24,-29%
2010-07-25 - 2010-07-31,-27%
2010-08-01 - 2010-08-07,-43%
2010-08-08 - 2010-08-14,-49%
2010-08-15 - 2010-08-21,-53%
2010-08-22 - 2010-08-28,-47%
2010-08-29 - 2010-09-04,-33%
2010-09-05 - 2010-09-11,-18%
2010-09-12 - 2010-09-18,+18%
2010-09-19 - 2010-09-25,-18%
2010-09-26 - 2010-10-02,-8%
2010-10-03 - 2010-10-09,-24%
2010-10-10 - 2010-10-16,-33%
2010-10-17 - 2010-10-23,-31%
2010-10-24 - 2010-10-30,-31%
2010-10-31 - 2010-11-06,-41%
2010-11-07 - 2010-11-13,-43%
2010-11-14 - 2010-11-20,-39%
2010-11-21 - 2010-11-27,-39%
2010-11-28 - 2010-12-04,-43%
2010-12-05 - 2010-12-11,-33%
2010-12-12 - 2010-12-18,-35%
2010-12-19 - 2010-12-25,-55%
2010-12-26 - 2011-01-01,-55%
2011-01-02 - 2011-01-08,-47%
2011-01-09 - 2011-01-15,-41%
2011-01-16 - 2011-01-22,-43%
2011-01-23 - 2011-01-29,-41%
2011-01-30 - 2011-02-05,-43%
2011-02-06 - 2011-02-12,-43%
2011-02-13 - 2011-02-19,-39%
2011-02-20 - 2011-02-26,-43%
2011-02-27 - 2011-03-05,-39%
2011-03-06 - 2011-03-12,-57%
2011-03-13 - 2011-03-19,-47%
2011-03-20 - 2011-03-26,-49%
2011-03-27 - 2011-04-02,-45%
2011-04-03 - 2011-04-09,-43%
2011-04-10 - 2011-04-16,-45%
2011-04-17 - 2011-04-23,-59%
2011-04-24 - 2011-04-30,-51%
2011-05-01 - 2011-05-07,-45%
2011-05-08 - 2011-05-14,-47%
2011-05-15 - 2011-05-21,-45%
2011-05-22 - 2011-05-28,-47%
2011-05-29 - 2011-06-04,-39%
2011-06-05 - 2011-06-11,-45%
2011-06-12 - 2011-06-18,-45%
2011-06-19 - 2011-06-25,-49%
2011-06-26 - 2011-07-02,-51%
2011-07-03 - 2011-07-09,-37%
2011-07-10 - 2011-07-16,-35%
2011-07-17 - 2011-07-23,-41%
2011-07-24 - 2011-07-30,-45%
2011-07-31 - 2011-08-06,-57%
2011-08-07 - 2011-08-13,-45%
2011-08-14 - 2011-08-20,-53%
2011-08-21 - 2011-08-27,-59%
2011-08-28 - 2011-09-03,-43%
2011-09-04 - 2011-09-10,-43%
2011-09-11 - 2011-09-17,-33%
2011-09-18 - 2011-09-24,-10%
2011-09-25 - 2011-10-01,-29%
2011-10-02 - 2011-10-08,-35%
2011-10-09 - 2011-10-15,-33%
2011-10-16 - 2011-10-22,-39%
2011-10-23 - 2011-10-29,-41%
2011-10-30 - 2011-11-05,-49%
2011-11-06 - 2011-11-12,-43%
2011-11-13 - 2011-11-19,-47%
2011-11-20 - 2011-11-26,-51%
2011-11-27 - 2011-12-03,-57%
2011-12-04 - 2011-12-10,-53%
2011-12-11 - 2011-12-17,-51%
2011-12-18 - 2011-12-24,-65%
2011-12-25 - 2011-12-31,-65%
2012-01-01 - 2012-01-07,-45%
2012-01-08 - 2012-01-14,-47%
2012-01-15 - 2012-01-21,-47%
2012-01-22 - 2012-01-28,-43%
2012-01-29 - 2012-02-04,-47%
2012-02-05 - 2012-02-11,-55%
2012-02-12 - 2012-02-18,-53%
2012-02-19 - 2012-02-25,-51%
2012-02-26 - 2012-03-03,-47%
2012-03-04 - 2012-03-10,-43%
2012-03-11 - 2012-03-17,-45%
2012-03-18 - 2012-03-24,-53%
2012-03-25 - 2012-03-31,-51%
2012-04-01 - 2012-04-07,-63%
2012-04-08 - 2012-04-14,-53%
2012-04-15 - 2012-04-21,-51%
2012-04-22 - 2012-04-28,-59%
2012-04-29 - 2012-05-05,-57%
2012-05-06 - 2012-05-12,-51%
2012-05-13 - 2012-05-19,-51%
2012-05-20 - 2012-05-26,-51%
2012-05-27 - 2012-06-02,-51%
2012-06-03 - 2012-06-09,-55%
2012-06-10 - 2012-06-16,-53%
2012-06-17 - 2012-06-23,-53%
2012-06-24 - 2012-06-30,-45%
2012-07-01 - 2012-07-07,-51%
2012-07-08 - 2012-07-14,-37%
2012-07-15 - 2012-07-21,-39%
2012-07-22 - 2012-07-28,-47%
2012-07-29 - 2012-08-04,-53%
2012-08-05 - 2012-08-11,-61%
2012-08-12 - 2012-08-18,-65%
2012-08-19 - 2012-08-25,-61%
2012-08-26 - 2012-09-01,-61%
2012-09-02 - 2012-09-08,-47%
2012-09-09 - 2012-09-15,-20%
2012-09-16 - 2012-09-22,-29%
2012-09-23 - 2012-09-29,-37%
2012-09-30 - 2012-10-06,-43%
2012-10-07 - 2012-10-13,-45%
2012-10-14 - 2012-10-20,-47%
2012-10-21 - 2012-10-27,-51%
2012-10-28 - 2012-11-03,-57%
2012-11-04 - 2012-11-10,-55%
2012-11-11 - 2012-11-17,-55%
2012-11-18 - 2012-11-24,-55%
2012-11-25 - 2012-12-01, 



Top searches
instituto,100
politecnico,80
instituto politecnico,55
apoio,35
ipl,25
publicações,25
mj,20
mj publicações,20
ipleiria,20
politécnico,15
politecnico setubal,15
estg,15
paraiso,15
politecnico de setubal,15
instituto politécnico,10
instituto politecnico setubal,10
ipl leiria,10
politecnico leiria,10
estg leiria,10
ips,10



Rising searches
ipl,Breakout
ipleiria,Breakout
mj,Breakout
mj publicações,Breakout
paraiso,Breakout
publicações,Breakout
estg,+250%
politecnico de setubal,+200%
politecnico setubal,+180%
apoio,+160%



