Web Search Interest
Italy; 2004 - present

Interest over time
Week,TV & Video
2009-11-01 - 2009-11-07,+277%
2009-11-08 - 2009-11-14,+262%
2009-11-15 - 2009-11-21,+258%
2009-11-22 - 2009-11-28,+258%
2009-11-29 - 2009-12-05,+265%
2009-12-06 - 2009-12-12,+273%
2009-12-13 - 2009-12-19,+250%
2009-12-20 - 2009-12-26,+273%
2009-12-27 - 2010-01-02,+277%
2010-01-03 - 2010-01-09,+250%
2010-01-10 - 2010-01-16,+254%
2010-01-17 - 2010-01-23,+250%
2010-01-24 - 2010-01-30,+265%
2010-01-31 - 2010-02-06,+258%
2010-02-07 - 2010-02-13,+246%
2010-02-14 - 2010-02-20,+277%
2010-02-21 - 2010-02-27,+277%
2010-02-28 - 2010-03-06,+258%
2010-03-07 - 2010-03-13,+269%
2010-03-14 - 2010-03-20,+250%
2010-03-21 - 2010-03-27,+254%
2010-03-28 - 2010-04-03,+258%
2010-04-04 - 2010-04-10,+238%
2010-04-11 - 2010-04-17,+223%
2010-04-18 - 2010-04-24,+223%
2010-04-25 - 2010-05-01,+235%
2010-05-02 - 2010-05-08,+219%
2010-05-09 - 2010-05-15,+231%
2010-05-16 - 2010-05-22,+227%
2010-05-23 - 2010-05-29,+246%
2010-05-30 - 2010-06-05,+246%
2010-06-06 - 2010-06-12,+238%
2010-06-13 - 2010-06-19,+219%
2010-06-20 - 2010-06-26,+235%
2010-06-27 - 2010-07-03,+215%
2010-07-04 - 2010-07-10,+204%
2010-07-11 - 2010-07-17,+212%
2010-07-18 - 2010-07-24,+192%
2010-07-25 - 2010-07-31,+204%
2010-08-01 - 2010-08-07,+200%
2010-08-08 - 2010-08-14,+219%
2010-08-15 - 2010-08-21,+231%
2010-08-22 - 2010-08-28,+227%
2010-08-29 - 2010-09-04,+215%
2010-09-05 - 2010-09-11,+242%
2010-09-12 - 2010-09-18,+231%
2010-09-19 - 2010-09-25,+215%
2010-09-26 - 2010-10-02,+227%
2010-10-03 - 2010-10-09,+223%
2010-10-10 - 2010-10-16,+235%
2010-10-17 - 2010-10-23,+250%
2010-10-24 - 2010-10-30,+238%
2010-10-31 - 2010-11-06,+246%
2010-11-07 - 2010-11-13,+235%
2010-11-14 - 2010-11-20,+235%
2010-11-21 - 2010-11-27,+238%
2010-11-28 - 2010-12-04,+238%
2010-12-05 - 2010-12-11,+246%
2010-12-12 - 2010-12-18,+227%
2010-12-19 - 2010-12-25,+242%
2010-12-26 - 2011-01-01,+258%
2011-01-02 - 2011-01-08,+269%
2011-01-09 - 2011-01-15,+254%
2011-01-16 - 2011-01-22,+254%
2011-01-23 - 2011-01-29,+281%
2011-01-30 - 2011-02-05,+269%
2011-02-06 - 2011-02-12,+269%
2011-02-13 - 2011-02-19,+277%
2011-02-20 - 2011-02-26,+265%
2011-02-27 - 2011-03-05,+258%
2011-03-06 - 2011-03-12,+262%
2011-03-13 - 2011-03-19,+269%
2011-03-20 - 2011-03-26,+235%
2011-03-27 - 2011-04-02,+235%
2011-04-03 - 2011-04-09,+242%
2011-04-10 - 2011-04-16,+238%
2011-04-17 - 2011-04-23,+269%
2011-04-24 - 2011-04-30,+246%
2011-05-01 - 2011-05-07,+223%
2011-05-08 - 2011-05-14,+219%
2011-05-15 - 2011-05-21,+219%
2011-05-22 - 2011-05-28,+235%
2011-05-29 - 2011-06-04,+231%
2011-06-05 - 2011-06-11,+208%
2011-06-12 - 2011-06-18,+208%
2011-06-19 - 2011-06-25,+192%
2011-06-26 - 2011-07-02,+200%
2011-07-03 - 2011-07-09,+204%
2011-07-10 - 2011-07-16,+192%
2011-07-17 - 2011-07-23,+196%
2011-07-24 - 2011-07-30,+200%
2011-07-31 - 2011-08-06,+200%
2011-08-07 - 2011-08-13,+204%
2011-08-14 - 2011-08-20,+219%
2011-08-21 - 2011-08-27,+208%
2011-08-28 - 2011-09-03,+204%
2011-09-04 - 2011-09-10,+204%
2011-09-11 - 2011-09-17,+204%
2011-09-18 - 2011-09-24,+219%
2011-09-25 - 2011-10-01,+215%
2011-10-02 - 2011-10-08,+208%
2011-10-09 - 2011-10-15,+212%
2011-10-16 - 2011-10-22,+223%
2011-10-23 - 2011-10-29,+258%
2011-10-30 - 2011-11-05,+246%
2011-11-06 - 2011-11-12,+231%
2011-11-13 - 2011-11-19,+231%
2011-11-20 - 2011-11-26,+227%
2011-11-27 - 2011-12-03,+223%
2011-12-04 - 2011-12-10,+238%
2011-12-11 - 2011-12-17,+212%
2011-12-18 - 2011-12-24,+227%
2011-12-25 - 2011-12-31,+238%
2012-01-01 - 2012-01-07,+238%
2012-01-08 - 2012-01-14,+227%
2012-01-15 - 2012-01-21,+231%
2012-01-22 - 2012-01-28,+235%
2012-01-29 - 2012-02-04,+223%
2012-02-05 - 2012-02-11,+223%
2012-02-12 - 2012-02-18,+231%
2012-02-19 - 2012-02-25,+231%
2012-02-26 - 2012-03-03,+227%
2012-03-04 - 2012-03-10,+223%
2012-03-11 - 2012-03-17,+204%
2012-03-18 - 2012-03-24,+215%
2012-03-25 - 2012-03-31,+204%
2012-04-01 - 2012-04-07,+242%
2012-04-08 - 2012-04-14,+219%
2012-04-15 - 2012-04-21,+208%
2012-04-22 - 2012-04-28,+215%
2012-04-29 - 2012-05-05,+227%
2012-05-06 - 2012-05-12,+196%
2012-05-13 - 2012-05-19,+204%
2012-05-20 - 2012-05-26,+173%
2012-05-27 - 2012-06-02,+162%
2012-06-03 - 2012-06-09,+158%
2012-06-10 - 2012-06-16,+165%
2012-06-17 - 2012-06-23,+154%
2012-06-24 - 2012-06-30,+162%
2012-07-01 - 2012-07-07,+150%
2012-07-08 - 2012-07-14,+146%
2012-07-15 - 2012-07-21,+154%
2012-07-22 - 2012-07-28,+158%
2012-07-29 - 2012-08-04,+146%
2012-08-05 - 2012-08-11,+158%
2012-08-12 - 2012-08-18,+169%
2012-08-19 - 2012-08-25,+158%
2012-08-26 - 2012-09-01,+154%
2012-09-02 - 2012-09-08,+158%
2012-09-09 - 2012-09-15,+162%
2012-09-16 - 2012-09-22,+169%
2012-09-23 - 2012-09-29,+173%
2012-09-30 - 2012-10-06,+169%
2012-10-07 - 2012-10-13,+173%
2012-10-14 - 2012-10-20,+169%
2012-10-21 - 2012-10-27,+177%
2012-10-28 - 2012-11-03,+192%
2012-11-04 - 2012-11-10,+173%
2012-11-11 - 2012-11-17,+173%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
youtube,100
you,30
tv,25
you tube,25
streaming,20
video,10
uomini e donne,10
programmi tv,10
stasera tv,10
rai,10
mediaset,5
grande fratello,5
megavideo,5
amici,5
streaming megavideo,5
stasera in tv,5
diretta,5
programmi tv stasera,5
gossip,5
video mediaset,0



Rising searches
megavideo,Breakout
streaming megavideo,Breakout
you,Breakout
you tube,Breakout
youtube,Breakout
streaming,+4,000%
programmi tv stasera,+1,350%
stasera tv,+1,350%
stasera in tv,+1,000%
diretta,+650%



