Web Search Interest
Italy; 2004 - present

Interest over time
Week,Humor
2011-09-04 - 2011-09-10,-19%
2011-09-11 - 2011-09-17,-26%
2011-09-18 - 2011-09-24,-26%
2011-09-25 - 2011-10-01,-21%
2011-10-02 - 2011-10-08,-16%
2011-10-09 - 2011-10-15,-16%
2011-10-16 - 2011-10-22,-16%
2011-10-23 - 2011-10-29,-19%
2011-10-30 - 2011-11-05,-8%
2011-11-06 - 2011-11-12,-6%
2011-11-13 - 2011-11-19,-6%
2011-11-20 - 2011-11-26,-11%
2011-11-27 - 2011-12-03,-13%
2011-12-04 - 2011-12-10,-6%
2011-12-11 - 2011-12-17,-15%
2011-12-18 - 2011-12-24,-6%
2011-12-25 - 2011-12-31,+6%
2012-01-01 - 2012-01-07,+6%
2012-01-08 - 2012-01-14,-10%
2012-01-15 - 2012-01-21,-10%
2012-01-22 - 2012-01-28,-13%
2012-01-29 - 2012-02-04,-10%
2012-02-05 - 2012-02-11,-10%
2012-02-12 - 2012-02-18,-15%
2012-02-19 - 2012-02-25,-8%
2012-02-26 - 2012-03-03,-13%
2012-03-04 - 2012-03-10,-11%
2012-03-11 - 2012-03-17,-16%
2012-03-18 - 2012-03-24,-11%
2012-03-25 - 2012-03-31,-11%
2012-04-01 - 2012-04-07,+0%
2012-04-08 - 2012-04-14,-3%
2012-04-15 - 2012-04-21,-5%
2012-04-22 - 2012-04-28,-13%
2012-04-29 - 2012-05-05,-3%
2012-05-06 - 2012-05-12,-5%
2012-05-13 - 2012-05-19,-3%
2012-05-20 - 2012-05-26,-10%
2012-05-27 - 2012-06-02,-21%
2012-06-03 - 2012-06-09,-16%
2012-06-10 - 2012-06-16,-21%
2012-06-17 - 2012-06-23,-21%
2012-06-24 - 2012-06-30,-18%
2012-07-01 - 2012-07-07,-21%
2012-07-08 - 2012-07-14,-21%
2012-07-15 - 2012-07-21,-21%
2012-07-22 - 2012-07-28,-23%
2012-07-29 - 2012-08-04,-24%
2012-08-05 - 2012-08-11,-21%
2012-08-12 - 2012-08-18,-11%
2012-08-19 - 2012-08-25,-13%
2012-08-26 - 2012-09-01,-19%
2012-09-02 - 2012-09-08,-13%
2012-09-09 - 2012-09-15,-16%
2012-09-16 - 2012-09-22,-23%
2012-09-23 - 2012-09-29,-26%
2012-09-30 - 2012-10-06,-27%
2012-10-07 - 2012-10-13,-29%
2012-10-14 - 2012-10-20,-26%
2012-10-21 - 2012-10-27,-29%
2012-10-28 - 2012-11-03,-26%
2012-11-04 - 2012-11-10,-26%
2012-11-11 - 2012-11-17,-24%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
barzellette,100
iene,45
le iene,30
american pie,25
norris,20
funny,20
chuck norris,20
fantozzi,20
striscia la notizia,15
battute,15
mai dire,15
aldo giovanni giacomo,15
pierino,15
barzellette divertenti,15
totò,10
verdone,10
scary movie,10
troisi,10
simpson streaming,10
gulliver,10



Rising searches
simpson streaming,Breakout
chuck norris,+1,050%
norris,+1,050%
barzellette divertenti,+750%
american pie,+450%
iene,+200%
le iene,+200%
pierino,+200%
funny,+50%
striscia la notizia,+50%



