Web Search Interest
Spain; 2004 - present

Interest over time
Week,Book Retailers
2011-09-04 - 2011-09-10,-18%
2011-09-11 - 2011-09-17,-10%
2011-09-18 - 2011-09-24,-14%
2011-09-25 - 2011-10-01,-16%
2011-10-02 - 2011-10-08,-16%
2011-10-09 - 2011-10-15,-21%
2011-10-16 - 2011-10-22,-21%
2011-10-23 - 2011-10-29,-25%
2011-10-30 - 2011-11-05,-26%
2011-11-06 - 2011-11-12,-29%
2011-11-13 - 2011-11-19,-22%
2011-11-20 - 2011-11-26,-22%
2011-11-27 - 2011-12-03,-22%
2011-12-04 - 2011-12-10,-25%
2011-12-11 - 2011-12-17,-15%
2011-12-18 - 2011-12-24,-16%
2011-12-25 - 2011-12-31,-9%
2012-01-01 - 2012-01-07,+1%
2012-01-08 - 2012-01-14,-19%
2012-01-15 - 2012-01-21,-31%
2012-01-22 - 2012-01-28,-28%
2012-01-29 - 2012-02-04,-30%
2012-02-05 - 2012-02-11,-30%
2012-02-12 - 2012-02-18,-32%
2012-02-19 - 2012-02-25,-31%
2012-02-26 - 2012-03-03,-36%
2012-03-04 - 2012-03-10,-35%
2012-03-11 - 2012-03-17,-36%
2012-03-18 - 2012-03-24,-36%
2012-03-25 - 2012-03-31,-41%
2012-04-01 - 2012-04-07,-39%
2012-04-08 - 2012-04-14,-36%
2012-04-15 - 2012-04-21,-25%
2012-04-22 - 2012-04-28,-18%
2012-04-29 - 2012-05-05,-32%
2012-05-06 - 2012-05-12,-37%
2012-05-13 - 2012-05-19,-43%
2012-05-20 - 2012-05-26,-40%
2012-05-27 - 2012-06-02,-44%
2012-06-03 - 2012-06-09,-39%
2012-06-10 - 2012-06-16,-37%
2012-06-17 - 2012-06-23,-32%
2012-06-24 - 2012-06-30,-29%
2012-07-01 - 2012-07-07,-24%
2012-07-08 - 2012-07-14,-26%
2012-07-15 - 2012-07-21,-26%
2012-07-22 - 2012-07-28,-25%
2012-07-29 - 2012-08-04,-26%
2012-08-05 - 2012-08-11,-30%
2012-08-12 - 2012-08-18,-29%
2012-08-19 - 2012-08-25,-20%
2012-08-26 - 2012-09-01,-14%
2012-09-02 - 2012-09-08,-14%
2012-09-09 - 2012-09-15,-5%
2012-09-16 - 2012-09-22,-5%
2012-09-23 - 2012-09-29,-4%
2012-09-30 - 2012-10-06,-7%
2012-10-07 - 2012-10-13,-18%
2012-10-14 - 2012-10-20,-19%
2012-10-21 - 2012-10-27,-16%
2012-10-28 - 2012-11-03,-31%
2012-11-04 - 2012-11-10,-31%
2012-11-11 - 2012-11-17,-31%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
libro,100
casa libro,95
casa del libro,90
la casa,50
libreria,25
casa de libro,10
iberlibro,10
libros de texto,5
eci,5
comprar libros,5
diana navarro,5
casa del llibre,5
libros segunda mano,5
librerias,5
venta libros,5
venta de libros,0
compra libros,0
libros usados,0
elkar,0
sampedro,0



Rising searches
diana navarro,Breakout
elkar,Breakout
eci,+750%
contrareembolso,+190%



