Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Motor Sports
2005-09-04 - 2005-09-10,+136%
2005-09-11 - 2005-09-17,+32%
2005-09-18 - 2005-09-24,+128%
2005-09-25 - 2005-10-01,+124%
2005-10-02 - 2005-10-08,+40%
2005-10-09 - 2005-10-15,+116%
2005-10-16 - 2005-10-22,+80%
2005-10-23 - 2005-10-29,+24%
2005-10-30 - 2005-11-05,+16%
2005-11-06 - 2005-11-12,+72%
2005-11-13 - 2005-11-19,+60%
2005-11-20 - 2005-11-26,+116%
2005-11-27 - 2005-12-03,+64%
2005-12-04 - 2005-12-10,+20%
2005-12-11 - 2005-12-17,+40%
2005-12-18 - 2005-12-24,-4%
2005-12-25 - 2005-12-31,+36%
2006-01-01 - 2006-01-07,+12%
2006-01-08 - 2006-01-14,+96%
2006-01-15 - 2006-01-21,+40%
2006-01-22 - 2006-01-28,+36%
2006-01-29 - 2006-02-04,+52%
2006-02-05 - 2006-02-11,+76%
2006-02-12 - 2006-02-18,+64%
2006-02-19 - 2006-02-25,+40%
2006-02-26 - 2006-03-04,+68%
2006-03-05 - 2006-03-11,+96%
2006-03-12 - 2006-03-18,+176%
2006-03-19 - 2006-03-25,+88%
2006-03-26 - 2006-04-01,+88%
2006-04-02 - 2006-04-08,+44%
2006-04-09 - 2006-04-15,+48%
2006-04-16 - 2006-04-22,+40%
2006-04-23 - 2006-04-29,+76%
2006-04-30 - 2006-05-06,+100%
2006-05-07 - 2006-05-13,+68%
2006-05-14 - 2006-05-20,+48%
2006-05-21 - 2006-05-27,+28%
2006-05-28 - 2006-06-03,+60%
2006-06-04 - 2006-06-10,+60%
2006-06-11 - 2006-06-17,+40%
2006-06-18 - 2006-06-24,+64%
2006-06-25 - 2006-07-01,+72%
2006-07-02 - 2006-07-08,+92%
2006-07-09 - 2006-07-15,+28%
2006-07-16 - 2006-07-22,+108%
2006-07-23 - 2006-07-29,+48%
2006-07-30 - 2006-08-05,+100%
2006-08-06 - 2006-08-12,+132%
2006-08-13 - 2006-08-19,+28%
2006-08-20 - 2006-08-26,+52%
2006-08-27 - 2006-09-02,+48%
2006-09-03 - 2006-09-09,+108%
2006-09-10 - 2006-09-16,+172%
2006-09-17 - 2006-09-23,+108%
2006-09-24 - 2006-09-30,+100%
2006-10-01 - 2006-10-07,+140%
2006-10-08 - 2006-10-14,+100%
2006-10-15 - 2006-10-21,+48%
2006-10-22 - 2006-10-28,+144%
2006-10-29 - 2006-11-04,+48%
2006-11-05 - 2006-11-11,+44%
2006-11-12 - 2006-11-18,+76%
2006-11-19 - 2006-11-25,+36%
2006-11-26 - 2006-12-02,+4%
2006-12-03 - 2006-12-09,+16%
2006-12-10 - 2006-12-16,+8%
2006-12-17 - 2006-12-23,+36%
2006-12-24 - 2006-12-30,+0%
2006-12-31 - 2007-01-06,+32%
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,+60%
2007-01-21 - 2007-01-27,+32%
2007-01-28 - 2007-02-03,+32%
2007-02-04 - 2007-02-10,+12%
2007-02-11 - 2007-02-17,+28%
2007-02-18 - 2007-02-24,+28%
2007-02-25 - 2007-03-03,+20%
2007-03-04 - 2007-03-10,+36%
2007-03-11 - 2007-03-17,+92%
2007-03-18 - 2007-03-24,+72%
2007-03-25 - 2007-03-31,+44%
2007-04-01 - 2007-04-07,+24%
2007-04-08 - 2007-04-14,+76%
2007-04-15 - 2007-04-21,+76%
2007-04-22 - 2007-04-28,+44%
2007-04-29 - 2007-05-05,+72%
2007-05-06 - 2007-05-12,+76%
2007-05-13 - 2007-05-19,+56%
2007-05-20 - 2007-05-26,+60%
2007-05-27 - 2007-06-02,+68%
2007-06-03 - 2007-06-09,+52%
2007-06-10 - 2007-06-16,+132%
2007-06-17 - 2007-06-23,+80%
2007-06-24 - 2007-06-30,+72%
2007-07-01 - 2007-07-07,+104%
2007-07-08 - 2007-07-14,+80%
2007-07-15 - 2007-07-21,+52%
2007-07-22 - 2007-07-28,+112%
2007-07-29 - 2007-08-04,+104%
2007-08-05 - 2007-08-11,+108%
2007-08-12 - 2007-08-18,+80%
2007-08-19 - 2007-08-25,+48%
2007-08-26 - 2007-09-01,+104%
2007-09-02 - 2007-09-08,+80%
2007-09-09 - 2007-09-15,+104%
2007-09-16 - 2007-09-22,+116%
2007-09-23 - 2007-09-29,+120%
2007-09-30 - 2007-10-06,+116%
2007-10-07 - 2007-10-13,+140%
2007-10-14 - 2007-10-20,+100%
2007-10-21 - 2007-10-27,+228%
2007-10-28 - 2007-11-03,+56%
2007-11-04 - 2007-11-10,+68%
2007-11-11 - 2007-11-17,+100%
2007-11-18 - 2007-11-24,+56%
2007-11-25 - 2007-12-01,+32%
2007-12-02 - 2007-12-08,+24%
2007-12-09 - 2007-12-15,+20%
2007-12-16 - 2007-12-22,+36%
2007-12-23 - 2007-12-29,+36%
2007-12-30 - 2008-01-05,+12%
2008-01-06 - 2008-01-12,+40%
2008-01-13 - 2008-01-19,+64%
2008-01-20 - 2008-01-26,+56%
2008-01-27 - 2008-02-02,+36%
2008-02-03 - 2008-02-09,+108%
2008-02-10 - 2008-02-16,+84%
2008-02-17 - 2008-02-23,+64%
2008-02-24 - 2008-03-01,+48%
2008-03-02 - 2008-03-08,+24%
2008-03-09 - 2008-03-15,+104%
2008-03-16 - 2008-03-22,+140%
2008-03-23 - 2008-03-29,+116%
2008-03-30 - 2008-04-05,+92%
2008-04-06 - 2008-04-12,+132%
2008-04-13 - 2008-04-19,+68%
2008-04-20 - 2008-04-26,+72%
2008-04-27 - 2008-05-03,+92%
2008-05-04 - 2008-05-10,+52%
2008-05-11 - 2008-05-17,+64%
2008-05-18 - 2008-05-24,+60%
2008-05-25 - 2008-05-31,+80%
2008-06-01 - 2008-06-07,+44%
2008-06-08 - 2008-06-14,+92%
2008-06-15 - 2008-06-21,+60%
2008-06-22 - 2008-06-28,+64%
2008-06-29 - 2008-07-05,+80%
2008-07-06 - 2008-07-12,+60%
2008-07-13 - 2008-07-19,+56%
2008-07-20 - 2008-07-26,+72%
2008-07-27 - 2008-08-02,+68%
2008-08-03 - 2008-08-09,+52%
2008-08-10 - 2008-08-16,+40%
2008-08-17 - 2008-08-23,+24%
2008-08-24 - 2008-08-30,+80%
2008-08-31 - 2008-09-06,+68%
2008-09-07 - 2008-09-13,+100%
2008-09-14 - 2008-09-20,+76%
2008-09-21 - 2008-09-27,+148%
2008-09-28 - 2008-10-04,+144%
2008-10-05 - 2008-10-11,+80%
2008-10-12 - 2008-10-18,+136%
2008-10-19 - 2008-10-25,+108%
2008-10-26 - 2008-11-01,+28%
2008-11-02 - 2008-11-08,+188%
2008-11-09 - 2008-11-15,+92%
2008-11-16 - 2008-11-22,+64%
2008-11-23 - 2008-11-29,+16%
2008-11-30 - 2008-12-06,+28%
2008-12-07 - 2008-12-13,+12%
2008-12-14 - 2008-12-20,+24%
2008-12-21 - 2008-12-27,+8%
2008-12-28 - 2009-01-03,+12%
2009-01-04 - 2009-01-10,+4%
2009-01-11 - 2009-01-17,+52%
2009-01-18 - 2009-01-24,+64%
2009-01-25 - 2009-01-31,+36%
2009-02-01 - 2009-02-07,+36%
2009-02-08 - 2009-02-14,+16%
2009-02-15 - 2009-02-21,+36%
2009-02-22 - 2009-02-28,+44%
2009-03-01 - 2009-03-07,+36%
2009-03-08 - 2009-03-14,+40%
2009-03-15 - 2009-03-21,+32%
2009-03-22 - 2009-03-28,+80%
2009-03-29 - 2009-04-04,+132%
2009-04-05 - 2009-04-11,+132%
2009-04-12 - 2009-04-18,+96%
2009-04-19 - 2009-04-25,+104%
2009-04-26 - 2009-05-02,+80%
2009-05-03 - 2009-05-09,+60%
2009-05-10 - 2009-05-16,+72%
2009-05-17 - 2009-05-23,+72%
2009-05-24 - 2009-05-30,+96%
2009-05-31 - 2009-06-06,+48%
2009-06-07 - 2009-06-13,+68%
2009-06-14 - 2009-06-20,+88%
2009-06-21 - 2009-06-27,+88%
2009-06-28 - 2009-07-04,+44%
2009-07-05 - 2009-07-11,+40%
2009-07-12 - 2009-07-18,+60%
2009-07-19 - 2009-07-25,+64%
2009-07-26 - 2009-08-01,+136%
2009-08-02 - 2009-08-08,+48%
2009-08-09 - 2009-08-15,+68%
2009-08-16 - 2009-08-22,+52%
2009-08-23 - 2009-08-29,+88%
2009-08-30 - 2009-09-05,+92%
2009-09-06 - 2009-09-12,+88%
2009-09-13 - 2009-09-19,+64%
2009-09-20 - 2009-09-26,+108%
2009-09-27 - 2009-10-03,+140%
2009-10-04 - 2009-10-10,+60%
2009-10-11 - 2009-10-17,+80%
2009-10-18 - 2009-10-24,+104%
2009-10-25 - 2009-10-31,+76%
2009-11-01 - 2009-11-07,+80%
2009-11-08 - 2009-11-14,+40%
2009-11-15 - 2009-11-21,+76%
2009-11-22 - 2009-11-28,+72%
2009-11-29 - 2009-12-05,+36%
2009-12-06 - 2009-12-12,+12%
2009-12-13 - 2009-12-19,+32%
2009-12-20 - 2009-12-26,+52%
2009-12-27 - 2010-01-02,+48%
2010-01-03 - 2010-01-09,+32%
2010-01-10 - 2010-01-16,+64%
2010-01-17 - 2010-01-23,+40%
2010-01-24 - 2010-01-30,+52%
2010-01-31 - 2010-02-06,+60%
2010-02-07 - 2010-02-13,+52%
2010-02-14 - 2010-02-20,+76%
2010-02-21 - 2010-02-27,+40%
2010-02-28 - 2010-03-06,+56%
2010-03-07 - 2010-03-13,+84%
2010-03-14 - 2010-03-20,+104%
2010-03-21 - 2010-03-27,+76%
2010-03-28 - 2010-04-03,+92%
2010-04-04 - 2010-04-10,+100%
2010-04-11 - 2010-04-17,+92%
2010-04-18 - 2010-04-24,+88%
2010-04-25 - 2010-05-01,+48%
2010-05-02 - 2010-05-08,+44%
2010-05-09 - 2010-05-15,+80%
2010-05-16 - 2010-05-22,+108%
2010-05-23 - 2010-05-29,+72%
2010-05-30 - 2010-06-05,+92%
2010-06-06 - 2010-06-12,+52%
2010-06-13 - 2010-06-19,+80%
2010-06-20 - 2010-06-26,+68%
2010-06-27 - 2010-07-03,+64%
2010-07-04 - 2010-07-10,+48%
2010-07-11 - 2010-07-17,+88%
2010-07-18 - 2010-07-24,+72%
2010-07-25 - 2010-07-31,+108%
2010-08-01 - 2010-08-07,+92%
2010-08-08 - 2010-08-14,+68%
2010-08-15 - 2010-08-21,+80%
2010-08-22 - 2010-08-28,+56%
2010-08-29 - 2010-09-04,+84%
2010-09-05 - 2010-09-11,+68%
2010-09-12 - 2010-09-18,+76%
2010-09-19 - 2010-09-25,+124%
2010-09-26 - 2010-10-02,+124%
2010-10-03 - 2010-10-09,+84%
2010-10-10 - 2010-10-16,+88%
2010-10-17 - 2010-10-23,+68%
2010-10-24 - 2010-10-30,+104%
2010-10-31 - 2010-11-06,+92%
2010-11-07 - 2010-11-13,+136%
2010-11-14 - 2010-11-20,+156%
2010-11-21 - 2010-11-27,+68%
2010-11-28 - 2010-12-04,+44%
2010-12-05 - 2010-12-11,+44%
2010-12-12 - 2010-12-18,+32%
2010-12-19 - 2010-12-25,+48%
2010-12-26 - 2011-01-01,+32%
2011-01-02 - 2011-01-08,+8%
2011-01-09 - 2011-01-15,+24%
2011-01-16 - 2011-01-22,+20%
2011-01-23 - 2011-01-29,+4%
2011-01-30 - 2011-02-05,+36%
2011-02-06 - 2011-02-12,+68%
2011-02-13 - 2011-02-19,+24%
2011-02-20 - 2011-02-26,+40%
2011-02-27 - 2011-03-05,+20%
2011-03-06 - 2011-03-12,+40%
2011-03-13 - 2011-03-19,+28%
2011-03-20 - 2011-03-26,+76%
2011-03-27 - 2011-04-02,+80%
2011-04-03 - 2011-04-09,+68%
2011-04-10 - 2011-04-16,+84%
2011-04-17 - 2011-04-23,+60%
2011-04-24 - 2011-04-30,+52%
2011-05-01 - 2011-05-07,+48%
2011-05-08 - 2011-05-14,+64%
2011-05-15 - 2011-05-21,+56%
2011-05-22 - 2011-05-28,+72%
2011-05-29 - 2011-06-04,+84%
2011-06-05 - 2011-06-11,+44%
2011-06-12 - 2011-06-18,+116%
2011-06-19 - 2011-06-25,+52%
2011-06-26 - 2011-07-02,+64%
2011-07-03 - 2011-07-09,+56%
2011-07-10 - 2011-07-16,+68%
2011-07-17 - 2011-07-23,+52%
2011-07-24 - 2011-07-30,+60%
2011-07-31 - 2011-08-06,+92%
2011-08-07 - 2011-08-13,+32%
2011-08-14 - 2011-08-20,+44%
2011-08-21 - 2011-08-27,+44%
2011-08-28 - 2011-09-03,+68%
2011-09-04 - 2011-09-10,+44%
2011-09-11 - 2011-09-17,+60%
2011-09-18 - 2011-09-24,+80%
2011-09-25 - 2011-10-01,+64%
2011-10-02 - 2011-10-08,+40%
2011-10-09 - 2011-10-15,+44%
2011-10-16 - 2011-10-22,+76%
2011-10-23 - 2011-10-29,+64%
2011-10-30 - 2011-11-05,+72%
2011-11-06 - 2011-11-12,+24%
2011-11-13 - 2011-11-19,+52%
2011-11-20 - 2011-11-26,+44%
2011-11-27 - 2011-12-03,+24%
2011-12-04 - 2011-12-10,+20%
2011-12-11 - 2011-12-17,+8%
2011-12-18 - 2011-12-24,+8%
2011-12-25 - 2011-12-31,-4%
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+8%
2012-01-15 - 2012-01-21,+12%
2012-01-22 - 2012-01-28,+28%
2012-01-29 - 2012-02-04,+12%
2012-02-05 - 2012-02-11,+16%
2012-02-12 - 2012-02-18,+16%
2012-02-19 - 2012-02-25,+28%
2012-02-26 - 2012-03-03,+20%
2012-03-04 - 2012-03-10,+28%
2012-03-11 - 2012-03-17,+56%
2012-03-18 - 2012-03-24,+64%
2012-03-25 - 2012-03-31,+68%
2012-04-01 - 2012-04-07,+28%
2012-04-08 - 2012-04-14,+64%
2012-04-15 - 2012-04-21,+60%
2012-04-22 - 2012-04-28,+56%
2012-04-29 - 2012-05-05,+32%
2012-05-06 - 2012-05-12,+40%
2012-05-13 - 2012-05-19,+76%
2012-05-20 - 2012-05-26,+56%
2012-05-27 - 2012-06-02,+60%
2012-06-03 - 2012-06-09,+32%
2012-06-10 - 2012-06-16,+36%
2012-06-17 - 2012-06-23,+28%
2012-06-24 - 2012-06-30,+48%
2012-07-01 - 2012-07-07,+16%
2012-07-08 - 2012-07-14,+52%
2012-07-15 - 2012-07-21,+16%
2012-07-22 - 2012-07-28,+36%
2012-07-29 - 2012-08-04,+24%
2012-08-05 - 2012-08-11,+8%
2012-08-12 - 2012-08-18,+4%
2012-08-19 - 2012-08-25,+8%
2012-08-26 - 2012-09-01,+28%
2012-09-02 - 2012-09-08,+52%
2012-09-09 - 2012-09-15,+40%
2012-09-16 - 2012-09-22,+44%
2012-09-23 - 2012-09-29,+44%
2012-09-30 - 2012-10-06,+32%
2012-10-07 - 2012-10-13,+48%
2012-10-14 - 2012-10-20,+48%
2012-10-21 - 2012-10-27,+16%
2012-10-28 - 2012-11-03,+32%
2012-11-04 - 2012-11-10,+52%
2012-11-11 - 2012-11-17,+48%
2012-11-18 - 2012-11-24,+128%
2012-11-25 - 2012-12-01, 



Top searches
f1,100
formula,50
formula 1,35
grand prix,35
amc,30
racing,30
amc cinema,30
gp,30
頭文字,25
頭文字 d,25
賽車,20
lmes,15
motogp,15
rally,10
kjs,10
formula one,10
singapore f1,10
helmet,10
silverstone,10
小型賽車,10



Rising searches
amc,Breakout
amc cinema,Breakout
kjs,Breakout
lmes,Breakout
motogp,Breakout
rally,Breakout
賽車,Breakout
f1,+400%
gp,+200%
formula 1,+180%



