Web Search Interest
Spain; 2004 - present

Interest over time
Week,Car Rental & Taxi Services
2006-12-31 - 2007-01-06,+21%
2007-01-07 - 2007-01-13,+24%
2007-01-14 - 2007-01-20,+26%
2007-01-21 - 2007-01-27,+29%
2007-01-28 - 2007-02-03,+31%
2007-02-04 - 2007-02-10,+31%
2007-02-11 - 2007-02-17,+33%
2007-02-18 - 2007-02-24,+40%
2007-02-25 - 2007-03-03,+33%
2007-03-04 - 2007-03-10,+40%
2007-03-11 - 2007-03-17,+50%
2007-03-18 - 2007-03-24,+55%
2007-03-25 - 2007-03-31,+64%
2007-04-01 - 2007-04-07,+57%
2007-04-08 - 2007-04-14,+43%
2007-04-15 - 2007-04-21,+50%
2007-04-22 - 2007-04-28,+60%
2007-04-29 - 2007-05-05,+45%
2007-05-06 - 2007-05-12,+62%
2007-05-13 - 2007-05-19,+45%
2007-05-20 - 2007-05-26,+57%
2007-05-27 - 2007-06-02,+52%
2007-06-03 - 2007-06-09,+64%
2007-06-10 - 2007-06-16,+62%
2007-06-17 - 2007-06-23,+69%
2007-06-24 - 2007-06-30,+86%
2007-07-01 - 2007-07-07,+95%
2007-07-08 - 2007-07-14,+102%
2007-07-15 - 2007-07-21,+95%
2007-07-22 - 2007-07-28,+95%
2007-07-29 - 2007-08-04,+114%
2007-08-05 - 2007-08-11,+105%
2007-08-12 - 2007-08-18,+79%
2007-08-19 - 2007-08-25,+60%
2007-08-26 - 2007-09-01,+45%
2007-09-02 - 2007-09-08,+45%
2007-09-09 - 2007-09-15,+45%
2007-09-16 - 2007-09-22,+43%
2007-09-23 - 2007-09-29,+36%
2007-09-30 - 2007-10-06,+33%
2007-10-07 - 2007-10-13,+31%
2007-10-14 - 2007-10-20,+26%
2007-10-21 - 2007-10-27,+31%
2007-10-28 - 2007-11-03,+21%
2007-11-04 - 2007-11-10,+21%
2007-11-11 - 2007-11-17,+17%
2007-11-18 - 2007-11-24,+12%
2007-11-25 - 2007-12-01,+17%
2007-12-02 - 2007-12-08,+12%
2007-12-09 - 2007-12-15,+24%
2007-12-16 - 2007-12-22,+31%
2007-12-23 - 2007-12-29,+17%
2007-12-30 - 2008-01-05,+12%
2008-01-06 - 2008-01-12,+17%
2008-01-13 - 2008-01-19,+19%
2008-01-20 - 2008-01-26,+21%
2008-01-27 - 2008-02-02,+26%
2008-02-03 - 2008-02-09,+24%
2008-02-10 - 2008-02-16,+19%
2008-02-17 - 2008-02-23,+26%
2008-02-24 - 2008-03-01,+29%
2008-03-02 - 2008-03-08,+29%
2008-03-09 - 2008-03-15,+33%
2008-03-16 - 2008-03-22,+29%
2008-03-23 - 2008-03-29,+24%
2008-03-30 - 2008-04-05,+26%
2008-04-06 - 2008-04-12,+31%
2008-04-13 - 2008-04-19,+29%
2008-04-20 - 2008-04-26,+36%
2008-04-27 - 2008-05-03,+40%
2008-05-04 - 2008-05-10,+31%
2008-05-11 - 2008-05-17,+29%
2008-05-18 - 2008-05-24,+33%
2008-05-25 - 2008-05-31,+33%
2008-06-01 - 2008-06-07,+38%
2008-06-08 - 2008-06-14,+40%
2008-06-15 - 2008-06-21,+43%
2008-06-22 - 2008-06-28,+52%
2008-06-29 - 2008-07-05,+67%
2008-07-06 - 2008-07-12,+74%
2008-07-13 - 2008-07-19,+71%
2008-07-20 - 2008-07-26,+67%
2008-07-27 - 2008-08-02,+76%
2008-08-03 - 2008-08-09,+69%
2008-08-10 - 2008-08-16,+69%
2008-08-17 - 2008-08-23,+36%
2008-08-24 - 2008-08-30,+36%
2008-08-31 - 2008-09-06,+36%
2008-09-07 - 2008-09-13,+19%
2008-09-14 - 2008-09-20,+19%
2008-09-21 - 2008-09-27,+14%
2008-09-28 - 2008-10-04,+14%
2008-10-05 - 2008-10-11,+12%
2008-10-12 - 2008-10-18,+7%
2008-10-19 - 2008-10-25,+2%
2008-10-26 - 2008-11-01,+2%
2008-11-02 - 2008-11-08,+0%
2008-11-09 - 2008-11-15,+0%
2008-11-16 - 2008-11-22,+5%
2008-11-23 - 2008-11-29,-2%
2008-11-30 - 2008-12-06,+7%
2008-12-07 - 2008-12-13,+2%
2008-12-14 - 2008-12-20,+5%
2008-12-21 - 2008-12-27,+0%
2008-12-28 - 2009-01-03,+7%
2009-01-04 - 2009-01-10,-2%
2009-01-11 - 2009-01-17,+2%
2009-01-18 - 2009-01-24,+2%
2009-01-25 - 2009-01-31,+0%
2009-02-01 - 2009-02-07,+0%
2009-02-08 - 2009-02-14,+7%
2009-02-15 - 2009-02-21,+12%
2009-02-22 - 2009-02-28,+7%
2009-03-01 - 2009-03-07,+7%
2009-03-08 - 2009-03-14,+12%
2009-03-15 - 2009-03-21,+12%
2009-03-22 - 2009-03-28,+14%
2009-03-29 - 2009-04-04,+26%
2009-04-05 - 2009-04-11,+17%
2009-04-12 - 2009-04-18,+12%
2009-04-19 - 2009-04-25,+36%
2009-04-26 - 2009-05-02,+12%
2009-05-03 - 2009-05-09,+5%
2009-05-10 - 2009-05-16,+19%
2009-05-17 - 2009-05-23,+19%
2009-05-24 - 2009-05-30,+24%
2009-05-31 - 2009-06-06,+21%
2009-06-07 - 2009-06-13,+31%
2009-06-14 - 2009-06-20,+36%
2009-06-21 - 2009-06-27,+40%
2009-06-28 - 2009-07-04,+43%
2009-07-05 - 2009-07-11,+50%
2009-07-12 - 2009-07-18,+55%
2009-07-19 - 2009-07-25,+48%
2009-07-26 - 2009-08-01,+50%
2009-08-02 - 2009-08-08,+52%
2009-08-09 - 2009-08-15,+33%
2009-08-16 - 2009-08-22,+26%
2009-08-23 - 2009-08-29,+17%
2009-08-30 - 2009-09-05,+12%
2009-09-06 - 2009-09-12,+7%
2009-09-13 - 2009-09-19,+7%
2009-09-20 - 2009-09-26,+2%
2009-09-27 - 2009-10-03,+0%
2009-10-04 - 2009-10-10,+0%
2009-10-11 - 2009-10-17,-5%
2009-10-18 - 2009-10-24,-2%
2009-10-25 - 2009-10-31,+0%
2009-11-01 - 2009-11-07,+0%
2009-11-08 - 2009-11-14,-7%
2009-11-15 - 2009-11-21,-7%
2009-11-22 - 2009-11-28,-7%
2009-11-29 - 2009-12-05,-7%
2009-12-06 - 2009-12-12,-10%
2009-12-13 - 2009-12-19,+21%
2009-12-20 - 2009-12-26,-7%
2009-12-27 - 2010-01-02,-5%
2010-01-03 - 2010-01-09,-5%
2010-01-10 - 2010-01-16,-5%
2010-01-17 - 2010-01-23,-5%
2010-01-24 - 2010-01-30,-5%
2010-01-31 - 2010-02-06,+0%
2010-02-07 - 2010-02-13,-5%
2010-02-14 - 2010-02-20,-5%
2010-02-21 - 2010-02-27,-7%
2010-02-28 - 2010-03-06,-5%
2010-03-07 - 2010-03-13,-5%
2010-03-14 - 2010-03-20,+0%
2010-03-21 - 2010-03-27,+2%
2010-03-28 - 2010-04-03,+5%
2010-04-04 - 2010-04-10,+0%
2010-04-11 - 2010-04-17,+12%
2010-04-18 - 2010-04-24,+17%
2010-04-25 - 2010-05-01,+7%
2010-05-02 - 2010-05-08,+12%
2010-05-09 - 2010-05-15,+12%
2010-05-16 - 2010-05-22,+12%
2010-05-23 - 2010-05-29,+5%
2010-05-30 - 2010-06-05,+12%
2010-06-06 - 2010-06-12,+17%
2010-06-13 - 2010-06-19,+14%
2010-06-20 - 2010-06-26,+14%
2010-06-27 - 2010-07-03,+21%
2010-07-04 - 2010-07-10,+26%
2010-07-11 - 2010-07-17,+29%
2010-07-18 - 2010-07-24,+36%
2010-07-25 - 2010-07-31,+33%
2010-08-01 - 2010-08-07,+38%
2010-08-08 - 2010-08-14,+26%
2010-08-15 - 2010-08-21,+24%
2010-08-22 - 2010-08-28,+14%
2010-08-29 - 2010-09-04,+10%
2010-09-05 - 2010-09-11,+7%
2010-09-12 - 2010-09-18,+5%
2010-09-19 - 2010-09-25,+5%
2010-09-26 - 2010-10-02,+5%
2010-10-03 - 2010-10-09,+2%
2010-10-10 - 2010-10-16,-10%
2010-10-17 - 2010-10-23,+12%
2010-10-24 - 2010-10-30,-2%
2010-10-31 - 2010-11-06,+0%
2010-11-07 - 2010-11-13,+10%
2010-11-14 - 2010-11-20,+10%
2010-11-21 - 2010-11-27,-5%
2010-11-28 - 2010-12-04,+7%
2010-12-05 - 2010-12-11,-7%
2010-12-12 - 2010-12-18,+0%
2010-12-19 - 2010-12-25,-5%
2010-12-26 - 2011-01-01,+5%
2011-01-02 - 2011-01-08,-7%
2011-01-09 - 2011-01-15,-7%
2011-01-16 - 2011-01-22,-5%
2011-01-23 - 2011-01-29,-5%
2011-01-30 - 2011-02-05,-5%
2011-02-06 - 2011-02-12,+29%
2011-02-13 - 2011-02-19,-5%
2011-02-20 - 2011-02-26,+0%
2011-02-27 - 2011-03-05,-2%
2011-03-06 - 2011-03-12,-5%
2011-03-13 - 2011-03-19,-5%
2011-03-20 - 2011-03-26,-2%
2011-03-27 - 2011-04-02,+2%
2011-04-03 - 2011-04-09,+50%
2011-04-10 - 2011-04-16,+40%
2011-04-17 - 2011-04-23,+36%
2011-04-24 - 2011-04-30,+64%
2011-05-01 - 2011-05-07,+43%
2011-05-08 - 2011-05-14,+38%
2011-05-15 - 2011-05-21,+33%
2011-05-22 - 2011-05-28,+33%
2011-05-29 - 2011-06-04,+33%
2011-06-05 - 2011-06-11,+33%
2011-06-12 - 2011-06-18,+43%
2011-06-19 - 2011-06-25,+48%
2011-06-26 - 2011-07-02,+40%
2011-07-03 - 2011-07-09,+38%
2011-07-10 - 2011-07-16,+40%
2011-07-17 - 2011-07-23,+40%
2011-07-24 - 2011-07-30,+33%
2011-07-31 - 2011-08-06,+40%
2011-08-07 - 2011-08-13,+48%
2011-08-14 - 2011-08-20,+29%
2011-08-21 - 2011-08-27,+17%
2011-08-28 - 2011-09-03,+12%
2011-09-04 - 2011-09-10,+12%
2011-09-11 - 2011-09-17,+7%
2011-09-18 - 2011-09-24,+7%
2011-09-25 - 2011-10-01,+5%
2011-10-02 - 2011-10-08,+0%
2011-10-09 - 2011-10-15,+14%
2011-10-16 - 2011-10-22,+2%
2011-10-23 - 2011-10-29,+0%
2011-10-30 - 2011-11-05,+0%
2011-11-06 - 2011-11-12,+0%
2011-11-13 - 2011-11-19,+2%
2011-11-20 - 2011-11-26,-7%
2011-11-27 - 2011-12-03,-5%
2011-12-04 - 2011-12-10,-2%
2011-12-11 - 2011-12-17,+5%
2011-12-18 - 2011-12-24,-2%
2011-12-25 - 2011-12-31,+7%
2012-01-01 - 2012-01-07,+5%
2012-01-08 - 2012-01-14,+0%
2012-01-15 - 2012-01-21,+14%
2012-01-22 - 2012-01-28,+10%
2012-01-29 - 2012-02-04,+5%
2012-02-05 - 2012-02-11,+7%
2012-02-12 - 2012-02-18,+0%
2012-02-19 - 2012-02-25,+0%
2012-02-26 - 2012-03-03,+2%
2012-03-04 - 2012-03-10,+2%
2012-03-11 - 2012-03-17,+7%
2012-03-18 - 2012-03-24,+10%
2012-03-25 - 2012-03-31,+17%
2012-04-01 - 2012-04-07,+17%
2012-04-08 - 2012-04-14,+21%
2012-04-15 - 2012-04-21,+12%
2012-04-22 - 2012-04-28,+17%
2012-04-29 - 2012-05-05,+14%
2012-05-06 - 2012-05-12,+19%
2012-05-13 - 2012-05-19,+21%
2012-05-20 - 2012-05-26,+21%
2012-05-27 - 2012-06-02,+21%
2012-06-03 - 2012-06-09,+29%
2012-06-10 - 2012-06-16,+24%
2012-06-17 - 2012-06-23,+36%
2012-06-24 - 2012-06-30,+38%
2012-07-01 - 2012-07-07,+48%
2012-07-08 - 2012-07-14,+45%
2012-07-15 - 2012-07-21,+50%
2012-07-22 - 2012-07-28,+50%
2012-07-29 - 2012-08-04,+45%
2012-08-05 - 2012-08-11,+43%
2012-08-12 - 2012-08-18,+40%
2012-08-19 - 2012-08-25,+33%
2012-08-26 - 2012-09-01,+24%
2012-09-02 - 2012-09-08,+17%
2012-09-09 - 2012-09-15,+12%
2012-09-16 - 2012-09-22,+10%
2012-09-23 - 2012-09-29,+7%
2012-09-30 - 2012-10-06,+2%
2012-10-07 - 2012-10-13,+5%
2012-10-14 - 2012-10-20,-5%
2012-10-21 - 2012-10-27,-5%
2012-10-28 - 2012-11-03,+12%
2012-11-04 - 2012-11-10,+10%
2012-11-11 - 2012-11-17,-5%
2012-11-18 - 2012-11-24,-10%
2012-11-25 - 2012-12-01, 



Top searches
taxi,100
europcar,55
pepe,55
hertz,50
rent car,50
pepecar,45
rent a car,45
avis,40
lloret,40
renting,35
taxis,30
radio taxi,25
alquiler coches,25
taxi madrid,25
lloret de mar,25
rental car,20
atesa,20
car hire,20
alquiler de coches,15
teletaxi,15



Rising searches
goldcar,Breakout
malena costa,Breakout
renta 2010,Breakout
abu dhabi,+600%
sixt,+190%
taxi madrid,+70%
taxi,+50%



