Web Search Interest
Spain; 2004 - present

Interest over time
Week,Special Occasions
2005-05-01 - 2005-05-07,-17%
2005-05-08 - 2005-05-14,-14%
2005-05-15 - 2005-05-21,-21%
2005-05-22 - 2005-05-28,-21%
2005-05-29 - 2005-06-04,-21%
2005-06-05 - 2005-06-11,-24%
2005-06-12 - 2005-06-18,-21%
2005-06-19 - 2005-06-25,-17%
2005-06-26 - 2005-07-02,-24%
2005-07-03 - 2005-07-09,-28%
2005-07-10 - 2005-07-16,-24%
2005-07-17 - 2005-07-23,-24%
2005-07-24 - 2005-07-30,-21%
2005-07-31 - 2005-08-06,-17%
2005-08-07 - 2005-08-13,-17%
2005-08-14 - 2005-08-20,-7%
2005-08-21 - 2005-08-27,-10%
2005-08-28 - 2005-09-03,-7%
2005-09-04 - 2005-09-10,-3%
2005-09-11 - 2005-09-17,-14%
2005-09-18 - 2005-09-24,-14%
2005-09-25 - 2005-10-01,-14%
2005-10-02 - 2005-10-08,-10%
2005-10-09 - 2005-10-15,-10%
2005-10-16 - 2005-10-22,-7%
2005-10-23 - 2005-10-29,+7%
2005-10-30 - 2005-11-05,+10%
2005-11-06 - 2005-11-12,-7%
2005-11-13 - 2005-11-19,+0%
2005-11-20 - 2005-11-26,+17%
2005-11-27 - 2005-12-03,+41%
2005-12-04 - 2005-12-10,+66%
2005-12-11 - 2005-12-17,+107%
2005-12-18 - 2005-12-24,+217%
2005-12-25 - 2005-12-31,+124%
2006-01-01 - 2006-01-07,+59%
2006-01-08 - 2006-01-14,-17%
2006-01-15 - 2006-01-21,-14%
2006-01-22 - 2006-01-28,-10%
2006-01-29 - 2006-02-04,-3%
2006-02-05 - 2006-02-11,+7%
2006-02-12 - 2006-02-18,+28%
2006-02-19 - 2006-02-25,+10%
2006-02-26 - 2006-03-04,+0%
2006-03-05 - 2006-03-11,+0%
2006-03-12 - 2006-03-18,+7%
2006-03-19 - 2006-03-25,-3%
2006-03-26 - 2006-04-01,-3%
2006-04-02 - 2006-04-08,+10%
2006-04-09 - 2006-04-15,+48%
2006-04-16 - 2006-04-22,-10%
2006-04-23 - 2006-04-29,-14%
2006-04-30 - 2006-05-06,-3%
2006-05-07 - 2006-05-13,-14%
2006-05-14 - 2006-05-20,-17%
2006-05-21 - 2006-05-27,-17%
2006-05-28 - 2006-06-03,-21%
2006-06-04 - 2006-06-10,-24%
2006-06-11 - 2006-06-17,-17%
2006-06-18 - 2006-06-24,-17%
2006-06-25 - 2006-07-01,-28%
2006-07-02 - 2006-07-08,-28%
2006-07-09 - 2006-07-15,-24%
2006-07-16 - 2006-07-22,-24%
2006-07-23 - 2006-07-29,-17%
2006-07-30 - 2006-08-05,-21%
2006-08-06 - 2006-08-12,-17%
2006-08-13 - 2006-08-19,-10%
2006-08-20 - 2006-08-26,-17%
2006-08-27 - 2006-09-02,-10%
2006-09-03 - 2006-09-09,-7%
2006-09-10 - 2006-09-16,-10%
2006-09-17 - 2006-09-23,-14%
2006-09-24 - 2006-09-30,-17%
2006-10-01 - 2006-10-07,-14%
2006-10-08 - 2006-10-14,-7%
2006-10-15 - 2006-10-21,-10%
2006-10-22 - 2006-10-28,-3%
2006-10-29 - 2006-11-04,+17%
2006-11-05 - 2006-11-11,-7%
2006-11-12 - 2006-11-18,-3%
2006-11-19 - 2006-11-25,+14%
2006-11-26 - 2006-12-02,+31%
2006-12-03 - 2006-12-09,+59%
2006-12-10 - 2006-12-16,+97%
2006-12-17 - 2006-12-23,+186%
2006-12-24 - 2006-12-30,+152%
2006-12-31 - 2007-01-06,+107%
2007-01-07 - 2007-01-13,-21%
2007-01-14 - 2007-01-20,-14%
2007-01-21 - 2007-01-27,-14%
2007-01-28 - 2007-02-03,+0%
2007-02-04 - 2007-02-10,+3%
2007-02-11 - 2007-02-17,+38%
2007-02-18 - 2007-02-24,+0%
2007-02-25 - 2007-03-03,-10%
2007-03-04 - 2007-03-10,-3%
2007-03-11 - 2007-03-17,-3%
2007-03-18 - 2007-03-24,+0%
2007-03-25 - 2007-03-31,+14%
2007-04-01 - 2007-04-07,+59%
2007-04-08 - 2007-04-14,-14%
2007-04-15 - 2007-04-21,-21%
2007-04-22 - 2007-04-28,-14%
2007-04-29 - 2007-05-05,-3%
2007-05-06 - 2007-05-12,-14%
2007-05-13 - 2007-05-19,-14%
2007-05-20 - 2007-05-26,-17%
2007-05-27 - 2007-06-02,-21%
2007-06-03 - 2007-06-09,-24%
2007-06-10 - 2007-06-16,-21%
2007-06-17 - 2007-06-23,-17%
2007-06-24 - 2007-06-30,-24%
2007-07-01 - 2007-07-07,-28%
2007-07-08 - 2007-07-14,-24%
2007-07-15 - 2007-07-21,-24%
2007-07-22 - 2007-07-28,-17%
2007-07-29 - 2007-08-04,-21%
2007-08-05 - 2007-08-11,-21%
2007-08-12 - 2007-08-18,-10%
2007-08-19 - 2007-08-25,-14%
2007-08-26 - 2007-09-01,-14%
2007-09-02 - 2007-09-08,-7%
2007-09-09 - 2007-09-15,-10%
2007-09-16 - 2007-09-22,-17%
2007-09-23 - 2007-09-29,-17%
2007-09-30 - 2007-10-06,-17%
2007-10-07 - 2007-10-13,-10%
2007-10-14 - 2007-10-20,-17%
2007-10-21 - 2007-10-27,-7%
2007-10-28 - 2007-11-03,+17%
2007-11-04 - 2007-11-10,-10%
2007-11-11 - 2007-11-17,-3%
2007-11-18 - 2007-11-24,+10%
2007-11-25 - 2007-12-01,+24%
2007-12-02 - 2007-12-08,+48%
2007-12-09 - 2007-12-15,+93%
2007-12-16 - 2007-12-22,+159%
2007-12-23 - 2007-12-29,+172%
2007-12-30 - 2008-01-05,+114%
2008-01-06 - 2008-01-12,-10%
2008-01-13 - 2008-01-19,-3%
2008-01-20 - 2008-01-26,+3%
2008-01-27 - 2008-02-02,+21%
2008-02-03 - 2008-02-09,+10%
2008-02-10 - 2008-02-16,+28%
2008-02-17 - 2008-02-23,-14%
2008-02-24 - 2008-03-01,-14%
2008-03-02 - 2008-03-08,+0%
2008-03-09 - 2008-03-15,+10%
2008-03-16 - 2008-03-22,+62%
2008-03-23 - 2008-03-29,-10%
2008-03-30 - 2008-04-05,-24%
2008-04-06 - 2008-04-12,-24%
2008-04-13 - 2008-04-19,-21%
2008-04-20 - 2008-04-26,-17%
2008-04-27 - 2008-05-03,-10%
2008-05-04 - 2008-05-10,-17%
2008-05-11 - 2008-05-17,-14%
2008-05-18 - 2008-05-24,-17%
2008-05-25 - 2008-05-31,-17%
2008-06-01 - 2008-06-07,-24%
2008-06-08 - 2008-06-14,-21%
2008-06-15 - 2008-06-21,-21%
2008-06-22 - 2008-06-28,-21%
2008-06-29 - 2008-07-05,-28%
2008-07-06 - 2008-07-12,-28%
2008-07-13 - 2008-07-19,-21%
2008-07-20 - 2008-07-26,-17%
2008-07-27 - 2008-08-02,-24%
2008-08-03 - 2008-08-09,-21%
2008-08-10 - 2008-08-16,-14%
2008-08-17 - 2008-08-23,-21%
2008-08-24 - 2008-08-30,+7%
2008-08-31 - 2008-09-06,-3%
2008-09-07 - 2008-09-13,-3%
2008-09-14 - 2008-09-20,-14%
2008-09-21 - 2008-09-27,-17%
2008-09-28 - 2008-10-04,-14%
2008-10-05 - 2008-10-11,-14%
2008-10-12 - 2008-10-18,-14%
2008-10-19 - 2008-10-25,-10%
2008-10-26 - 2008-11-01,+21%
2008-11-02 - 2008-11-08,-7%
2008-11-09 - 2008-11-15,-7%
2008-11-16 - 2008-11-22,+0%
2008-11-23 - 2008-11-29,+10%
2008-11-30 - 2008-12-06,+38%
2008-12-07 - 2008-12-13,+62%
2008-12-14 - 2008-12-20,+110%
2008-12-21 - 2008-12-27,+169%
2008-12-28 - 2009-01-03,+97%
2009-01-04 - 2009-01-10,+7%
2009-01-11 - 2009-01-17,-21%
2009-01-18 - 2009-01-24,-17%
2009-01-25 - 2009-01-31,-3%
2009-02-01 - 2009-02-07,-7%
2009-02-08 - 2009-02-14,+17%
2009-02-15 - 2009-02-21,+7%
2009-02-22 - 2009-02-28,-7%
2009-03-01 - 2009-03-07,-10%
2009-03-08 - 2009-03-14,-10%
2009-03-15 - 2009-03-21,-3%
2009-03-22 - 2009-03-28,-10%
2009-03-29 - 2009-04-04,+0%
2009-04-05 - 2009-04-11,+38%
2009-04-12 - 2009-04-18,-14%
2009-04-19 - 2009-04-25,-17%
2009-04-26 - 2009-05-02,-14%
2009-05-03 - 2009-05-09,-21%
2009-05-10 - 2009-05-16,-21%
2009-05-17 - 2009-05-23,-28%
2009-05-24 - 2009-05-30,-24%
2009-05-31 - 2009-06-06,-24%
2009-06-07 - 2009-06-13,-21%
2009-06-14 - 2009-06-20,-21%
2009-06-21 - 2009-06-27,-21%
2009-06-28 - 2009-07-04,-34%
2009-07-05 - 2009-07-11,-31%
2009-07-12 - 2009-07-18,-28%
2009-07-19 - 2009-07-25,-24%
2009-07-26 - 2009-08-01,-28%
2009-08-02 - 2009-08-08,-24%
2009-08-09 - 2009-08-15,-17%
2009-08-16 - 2009-08-22,-17%
2009-08-23 - 2009-08-29,-10%
2009-08-30 - 2009-09-05,-14%
2009-09-06 - 2009-09-12,-7%
2009-09-13 - 2009-09-19,-17%
2009-09-20 - 2009-09-26,-21%
2009-09-27 - 2009-10-03,-24%
2009-10-04 - 2009-10-10,-17%
2009-10-11 - 2009-10-17,-17%
2009-10-18 - 2009-10-24,-14%
2009-10-25 - 2009-10-31,+7%
2009-11-01 - 2009-11-07,-14%
2009-11-08 - 2009-11-14,-10%
2009-11-15 - 2009-11-21,-7%
2009-11-22 - 2009-11-28,+7%
2009-11-29 - 2009-12-05,+24%
2009-12-06 - 2009-12-12,+55%
2009-12-13 - 2009-12-19,+93%
2009-12-20 - 2009-12-26,+169%
2009-12-27 - 2010-01-02,+90%
2010-01-03 - 2010-01-09,+10%
2010-01-10 - 2010-01-16,-24%
2010-01-17 - 2010-01-23,-10%
2010-01-24 - 2010-01-30,-17%
2010-01-31 - 2010-02-06,-3%
2010-02-07 - 2010-02-13,+21%
2010-02-14 - 2010-02-20,-3%
2010-02-21 - 2010-02-27,-21%
2010-02-28 - 2010-03-06,-21%
2010-03-07 - 2010-03-13,-10%
2010-03-14 - 2010-03-20,-7%
2010-03-21 - 2010-03-27,-3%
2010-03-28 - 2010-04-03,+31%
2010-04-04 - 2010-04-10,-17%
2010-04-11 - 2010-04-17,-31%
2010-04-18 - 2010-04-24,-24%
2010-04-25 - 2010-05-01,-10%
2010-05-02 - 2010-05-08,-17%
2010-05-09 - 2010-05-15,-21%
2010-05-16 - 2010-05-22,-24%
2010-05-23 - 2010-05-29,-24%
2010-05-30 - 2010-06-05,-21%
2010-06-06 - 2010-06-12,-28%
2010-06-13 - 2010-06-19,-24%
2010-06-20 - 2010-06-26,-24%
2010-06-27 - 2010-07-03,-34%
2010-07-04 - 2010-07-10,-34%
2010-07-11 - 2010-07-17,-31%
2010-07-18 - 2010-07-24,-28%
2010-07-25 - 2010-07-31,-28%
2010-08-01 - 2010-08-07,-28%
2010-08-08 - 2010-08-14,-17%
2010-08-15 - 2010-08-21,-21%
2010-08-22 - 2010-08-28,-17%
2010-08-29 - 2010-09-04,-17%
2010-09-05 - 2010-09-11,-7%
2010-09-12 - 2010-09-18,-21%
2010-09-19 - 2010-09-25,-28%
2010-09-26 - 2010-10-02,-28%
2010-10-03 - 2010-10-09,-24%
2010-10-10 - 2010-10-16,-21%
2010-10-17 - 2010-10-23,-14%
2010-10-24 - 2010-10-30,+3%
2010-10-31 - 2010-11-06,-7%
2010-11-07 - 2010-11-13,-14%
2010-11-14 - 2010-11-20,-7%
2010-11-21 - 2010-11-27,+3%
2010-11-28 - 2010-12-04,+14%
2010-12-05 - 2010-12-11,+34%
2010-12-12 - 2010-12-18,+72%
2010-12-19 - 2010-12-25,+166%
2010-12-26 - 2011-01-01,+100%
2011-01-02 - 2011-01-08,+28%
2011-01-09 - 2011-01-15,-28%
2011-01-16 - 2011-01-22,-24%
2011-01-23 - 2011-01-29,-28%
2011-01-30 - 2011-02-05,-21%
2011-02-06 - 2011-02-12,-3%
2011-02-13 - 2011-02-19,-3%
2011-02-20 - 2011-02-26,-14%
2011-02-27 - 2011-03-05,+0%
2011-03-06 - 2011-03-12,+0%
2011-03-13 - 2011-03-19,-10%
2011-03-20 - 2011-03-26,-21%
2011-03-27 - 2011-04-02,-17%
2011-04-03 - 2011-04-09,-17%
2011-04-10 - 2011-04-16,+0%
2011-04-17 - 2011-04-23,+48%
2011-04-24 - 2011-04-30,+7%
2011-05-01 - 2011-05-07,-7%
2011-05-08 - 2011-05-14,-21%
2011-05-15 - 2011-05-21,-7%
2011-05-22 - 2011-05-28,-3%
2011-05-29 - 2011-06-04,+0%
2011-06-05 - 2011-06-11,+0%
2011-06-12 - 2011-06-18,+3%
2011-06-19 - 2011-06-25,+10%
2011-06-26 - 2011-07-02,-3%
2011-07-03 - 2011-07-09,-3%
2011-07-10 - 2011-07-16,-3%
2011-07-17 - 2011-07-23,+0%
2011-07-24 - 2011-07-30,+3%
2011-07-31 - 2011-08-06,+7%
2011-08-07 - 2011-08-13,+10%
2011-08-14 - 2011-08-20,+17%
2011-08-21 - 2011-08-27,+10%
2011-08-28 - 2011-09-03,+21%
2011-09-04 - 2011-09-10,+17%
2011-09-11 - 2011-09-17,+10%
2011-09-18 - 2011-09-24,+3%
2011-09-25 - 2011-10-01,+3%
2011-10-02 - 2011-10-08,+7%
2011-10-09 - 2011-10-15,+10%
2011-10-16 - 2011-10-22,+14%
2011-10-23 - 2011-10-29,+24%
2011-10-30 - 2011-11-05,+24%
2011-11-06 - 2011-11-12,+10%
2011-11-13 - 2011-11-19,+17%
2011-11-20 - 2011-11-26,+28%
2011-11-27 - 2011-12-03,+48%
2011-12-04 - 2011-12-10,+72%
2011-12-11 - 2011-12-17,+107%
2011-12-18 - 2011-12-24,+245%
2011-12-25 - 2011-12-31,+148%
2012-01-01 - 2012-01-07,+79%
2012-01-08 - 2012-01-14,+10%
2012-01-15 - 2012-01-21,+17%
2012-01-22 - 2012-01-28,+24%
2012-01-29 - 2012-02-04,+24%
2012-02-05 - 2012-02-11,+34%
2012-02-12 - 2012-02-18,+76%
2012-02-19 - 2012-02-25,+28%
2012-02-26 - 2012-03-03,+14%
2012-03-04 - 2012-03-10,+28%
2012-03-11 - 2012-03-17,+24%
2012-03-18 - 2012-03-24,+31%
2012-03-25 - 2012-03-31,+28%
2012-04-01 - 2012-04-07,+90%
2012-04-08 - 2012-04-14,+17%
2012-04-15 - 2012-04-21,+10%
2012-04-22 - 2012-04-28,+17%
2012-04-29 - 2012-05-05,+34%
2012-05-06 - 2012-05-12,+31%
2012-05-13 - 2012-05-19,+14%
2012-05-20 - 2012-05-26,+7%
2012-05-27 - 2012-06-02,+10%
2012-06-03 - 2012-06-09,+7%
2012-06-10 - 2012-06-16,+7%
2012-06-17 - 2012-06-23,+10%
2012-06-24 - 2012-06-30,+7%
2012-07-01 - 2012-07-07,+0%
2012-07-08 - 2012-07-14,+14%
2012-07-15 - 2012-07-21,+14%
2012-07-22 - 2012-07-28,+14%
2012-07-29 - 2012-08-04,+7%
2012-08-05 - 2012-08-11,+14%
2012-08-12 - 2012-08-18,+31%
2012-08-19 - 2012-08-25,+21%
2012-08-26 - 2012-09-01,+21%
2012-09-02 - 2012-09-08,+24%
2012-09-09 - 2012-09-15,+24%
2012-09-16 - 2012-09-22,+10%
2012-09-23 - 2012-09-29,+10%
2012-09-30 - 2012-10-06,+10%
2012-10-07 - 2012-10-13,+21%
2012-10-14 - 2012-10-20,+14%
2012-10-21 - 2012-10-27,+24%
2012-10-28 - 2012-11-03,+48%
2012-11-04 - 2012-11-10,+21%
2012-11-11 - 2012-11-17,+21%
2012-11-18 - 2012-11-24,+28%
2012-11-25 - 2012-12-01, 



Top searches
navidad,100
imagenes,100
fiestas,100
dia,85
boda,60
regalos,55
semana,55
cumpleaños,50
semana santa,50
bodas,30
el dia,30
fiesta,30
felicitaciones,30
peinados,25
feliz,25
novias,20
santoral,20
halloween,20
carnaval cadiz,15
postales,15



Rising searches
flores,+350%
comunion,+140%
cumpleaños,+120%
regalos originales,+120%
feliz,+100%
año nuevo,+80%
rosa clara,+60%
dia,+40%



