Web Search Interest
Italy; 2004 - present

Interest over time
Week,Fantasy Sports
2005-01-09 - 2005-01-15,+33%
2005-01-16 - 2005-01-22,+20%
2005-01-23 - 2005-01-29,+27%
2005-01-30 - 2005-02-05,+80%
2005-02-06 - 2005-02-12,+40%
2005-02-13 - 2005-02-19,+13%
2005-02-20 - 2005-02-26,+13%
2005-02-27 - 2005-03-05,+7%
2005-03-06 - 2005-03-12,+20%
2005-03-13 - 2005-03-19,+13%
2005-03-20 - 2005-03-26,-7%
2005-03-27 - 2005-04-02,-27%
2005-04-03 - 2005-04-09,-33%
2005-04-10 - 2005-04-16,+0%
2005-04-17 - 2005-04-23,+27%
2005-04-24 - 2005-04-30,+0%
2005-05-01 - 2005-05-07,+40%
2005-05-08 - 2005-05-14,-7%
2005-05-15 - 2005-05-21,-7%
2005-05-22 - 2005-05-28,-13%
2005-05-29 - 2005-06-04,-13%
2005-06-05 - 2005-06-11,-20%
2005-06-12 - 2005-06-18,-27%
2005-06-19 - 2005-06-25,-20%
2005-06-26 - 2005-07-02,-27%
2005-07-03 - 2005-07-09,-27%
2005-07-10 - 2005-07-16,-20%
2005-07-17 - 2005-07-23,-13%
2005-07-24 - 2005-07-30,-20%
2005-07-31 - 2005-08-06,+0%
2005-08-07 - 2005-08-13,+47%
2005-08-14 - 2005-08-20,+187%
2005-08-21 - 2005-08-27,+313%
2005-08-28 - 2005-09-03,+207%
2005-09-04 - 2005-09-10,+167%
2005-09-11 - 2005-09-17,+167%
2005-09-18 - 2005-09-24,+207%
2005-09-25 - 2005-10-01,+100%
2005-10-02 - 2005-10-08,+80%
2005-10-09 - 2005-10-15,+7%
2005-10-16 - 2005-10-22,+87%
2005-10-23 - 2005-10-29,+160%
2005-10-30 - 2005-11-05,+120%
2005-11-06 - 2005-11-12,+120%
2005-11-13 - 2005-11-19,+0%
2005-11-20 - 2005-11-26,+73%
2005-11-27 - 2005-12-03,+80%
2005-12-04 - 2005-12-10,+87%
2005-12-11 - 2005-12-17,+87%
2005-12-18 - 2005-12-24,+153%
2005-12-25 - 2005-12-31,-13%
2006-01-01 - 2006-01-07,+20%
2006-01-08 - 2006-01-14,+87%
2006-01-15 - 2006-01-21,+153%
2006-01-22 - 2006-01-28,+100%
2006-01-29 - 2006-02-04,+113%
2006-02-05 - 2006-02-11,+133%
2006-02-12 - 2006-02-18,+93%
2006-02-19 - 2006-02-25,+60%
2006-02-26 - 2006-03-04,+47%
2006-03-05 - 2006-03-11,+47%
2006-03-12 - 2006-03-18,+40%
2006-03-19 - 2006-03-25,+47%
2006-03-26 - 2006-04-01,+27%
2006-04-02 - 2006-04-08,+33%
2006-04-09 - 2006-04-15,+27%
2006-04-16 - 2006-04-22,+33%
2006-04-23 - 2006-04-29,+33%
2006-04-30 - 2006-05-06,+33%
2006-05-07 - 2006-05-13,+0%
2006-05-14 - 2006-05-20,+0%
2006-05-21 - 2006-05-27,-13%
2006-05-28 - 2006-06-03,-7%
2006-06-04 - 2006-06-10,+0%
2006-06-11 - 2006-06-17,+0%
2006-06-18 - 2006-06-24,-7%
2006-06-25 - 2006-07-01,-7%
2006-07-02 - 2006-07-08,-7%
2006-07-09 - 2006-07-15,-13%
2006-07-16 - 2006-07-22,-13%
2006-07-23 - 2006-07-29,-13%
2006-07-30 - 2006-08-05,-20%
2006-08-06 - 2006-08-12,+0%
2006-08-13 - 2006-08-19,+67%
2006-08-20 - 2006-08-26,+100%
2006-08-27 - 2006-09-02,+180%
2006-09-03 - 2006-09-09,+327%
2006-09-10 - 2006-09-16,+293%
2006-09-17 - 2006-09-23,+280%
2006-09-24 - 2006-09-30,+160%
2006-10-01 - 2006-10-07,+120%
2006-10-08 - 2006-10-14,+40%
2006-10-15 - 2006-10-21,+140%
2006-10-22 - 2006-10-28,+213%
2006-10-29 - 2006-11-04,+140%
2006-11-05 - 2006-11-11,+120%
2006-11-12 - 2006-11-18,+107%
2006-11-19 - 2006-11-25,+113%
2006-11-26 - 2006-12-02,+93%
2006-12-03 - 2006-12-09,+113%
2006-12-10 - 2006-12-16,+93%
2006-12-17 - 2006-12-23,+200%
2006-12-24 - 2006-12-30,+187%
2006-12-31 - 2007-01-06,+20%
2007-01-07 - 2007-01-13,+40%
2007-01-14 - 2007-01-20,+107%
2007-01-21 - 2007-01-27,+93%
2007-01-28 - 2007-02-03,+120%
2007-02-04 - 2007-02-10,+20%
2007-02-11 - 2007-02-17,+87%
2007-02-18 - 2007-02-24,+87%
2007-02-25 - 2007-03-03,+147%
2007-03-04 - 2007-03-10,+87%
2007-03-11 - 2007-03-17,+67%
2007-03-18 - 2007-03-24,+33%
2007-03-25 - 2007-03-31,+20%
2007-04-01 - 2007-04-07,+80%
2007-04-08 - 2007-04-14,+80%
2007-04-15 - 2007-04-21,+107%
2007-04-22 - 2007-04-28,+60%
2007-04-29 - 2007-05-05,+53%
2007-05-06 - 2007-05-12,+40%
2007-05-13 - 2007-05-19,+27%
2007-05-20 - 2007-05-26,+33%
2007-05-27 - 2007-06-02,+7%
2007-06-03 - 2007-06-09,-13%
2007-06-10 - 2007-06-16,-20%
2007-06-17 - 2007-06-23,-20%
2007-06-24 - 2007-06-30,-20%
2007-07-01 - 2007-07-07,-13%
2007-07-08 - 2007-07-14,-13%
2007-07-15 - 2007-07-21,-7%
2007-07-22 - 2007-07-28,+0%
2007-07-29 - 2007-08-04,+7%
2007-08-05 - 2007-08-11,+67%
2007-08-12 - 2007-08-18,+160%
2007-08-19 - 2007-08-25,+327%
2007-08-26 - 2007-09-01,+313%
2007-09-02 - 2007-09-08,+287%
2007-09-09 - 2007-09-15,+167%
2007-09-16 - 2007-09-22,+227%
2007-09-23 - 2007-09-29,+307%
2007-09-30 - 2007-10-06,+180%
2007-10-07 - 2007-10-13,+147%
2007-10-14 - 2007-10-20,+53%
2007-10-21 - 2007-10-27,+173%
2007-10-28 - 2007-11-03,+287%
2007-11-04 - 2007-11-10,+200%
2007-11-11 - 2007-11-17,+107%
2007-11-18 - 2007-11-24,+67%
2007-11-25 - 2007-12-01,+147%
2007-12-02 - 2007-12-08,+160%
2007-12-09 - 2007-12-15,+140%
2007-12-16 - 2007-12-22,+147%
2007-12-23 - 2007-12-29,+160%
2007-12-30 - 2008-01-05,+20%
2008-01-06 - 2008-01-12,+60%
2008-01-13 - 2008-01-19,+140%
2008-01-20 - 2008-01-26,+153%
2008-01-27 - 2008-02-02,+180%
2008-02-03 - 2008-02-09,+180%
2008-02-10 - 2008-02-16,+147%
2008-02-17 - 2008-02-23,+147%
2008-02-24 - 2008-03-01,+273%
2008-03-02 - 2008-03-08,+140%
2008-03-09 - 2008-03-15,+133%
2008-03-16 - 2008-03-22,+220%
2008-03-23 - 2008-03-29,+133%
2008-03-30 - 2008-04-05,+113%
2008-04-06 - 2008-04-12,+93%
2008-04-13 - 2008-04-19,+100%
2008-04-20 - 2008-04-26,+93%
2008-04-27 - 2008-05-03,+87%
2008-05-04 - 2008-05-10,+67%
2008-05-11 - 2008-05-17,+53%
2008-05-18 - 2008-05-24,+33%
2008-05-25 - 2008-05-31,+0%
2008-06-01 - 2008-06-07,+13%
2008-06-08 - 2008-06-14,+27%
2008-06-15 - 2008-06-21,+20%
2008-06-22 - 2008-06-28,+20%
2008-06-29 - 2008-07-05,+7%
2008-07-06 - 2008-07-12,+0%
2008-07-13 - 2008-07-19,-7%
2008-07-20 - 2008-07-26,+7%
2008-07-27 - 2008-08-02,+27%
2008-08-03 - 2008-08-09,+53%
2008-08-10 - 2008-08-16,+80%
2008-08-17 - 2008-08-23,+160%
2008-08-24 - 2008-08-30,+380%
2008-08-31 - 2008-09-06,+367%
2008-09-07 - 2008-09-13,+240%
2008-09-14 - 2008-09-20,+340%
2008-09-21 - 2008-09-27,+500%
2008-09-28 - 2008-10-04,+273%
2008-10-05 - 2008-10-11,+200%
2008-10-12 - 2008-10-18,+93%
2008-10-19 - 2008-10-25,+220%
2008-10-26 - 2008-11-01,+320%
2008-11-02 - 2008-11-08,+213%
2008-11-09 - 2008-11-15,+227%
2008-11-16 - 2008-11-22,+207%
2008-11-23 - 2008-11-29,+193%
2008-11-30 - 2008-12-06,+173%
2008-12-07 - 2008-12-13,+193%
2008-12-14 - 2008-12-20,+207%
2008-12-21 - 2008-12-27,+173%
2008-12-28 - 2009-01-03,+20%
2009-01-04 - 2009-01-10,+60%
2009-01-11 - 2009-01-17,+167%
2009-01-18 - 2009-01-24,+153%
2009-01-25 - 2009-01-31,+280%
2009-02-01 - 2009-02-07,+253%
2009-02-08 - 2009-02-14,+180%
2009-02-15 - 2009-02-21,+147%
2009-02-22 - 2009-02-28,+160%
2009-03-01 - 2009-03-07,+140%
2009-03-08 - 2009-03-14,+153%
2009-03-15 - 2009-03-21,+147%
2009-03-22 - 2009-03-28,+93%
2009-03-29 - 2009-04-04,+27%
2009-04-05 - 2009-04-11,+120%
2009-04-12 - 2009-04-18,+133%
2009-04-19 - 2009-04-25,+100%
2009-04-26 - 2009-05-02,+100%
2009-05-03 - 2009-05-09,+93%
2009-05-10 - 2009-05-16,+80%
2009-05-17 - 2009-05-23,+93%
2009-05-24 - 2009-05-30,+53%
2009-05-31 - 2009-06-06,+40%
2009-06-07 - 2009-06-13,-13%
2009-06-14 - 2009-06-20,-20%
2009-06-21 - 2009-06-27,-20%
2009-06-28 - 2009-07-04,-20%
2009-07-05 - 2009-07-11,-20%
2009-07-12 - 2009-07-18,-13%
2009-07-19 - 2009-07-25,+0%
2009-07-26 - 2009-08-01,+33%
2009-08-02 - 2009-08-08,+87%
2009-08-09 - 2009-08-15,+140%
2009-08-16 - 2009-08-22,+353%
2009-08-23 - 2009-08-29,+353%
2009-08-30 - 2009-09-05,+307%
2009-09-06 - 2009-09-12,+227%
2009-09-13 - 2009-09-19,+300%
2009-09-20 - 2009-09-26,+453%
2009-09-27 - 2009-10-03,+213%
2009-10-04 - 2009-10-10,+140%
2009-10-11 - 2009-10-17,+73%
2009-10-18 - 2009-10-24,+200%
2009-10-25 - 2009-10-31,+327%
2009-11-01 - 2009-11-07,+200%
2009-11-08 - 2009-11-14,+127%
2009-11-15 - 2009-11-21,+53%
2009-11-22 - 2009-11-28,+147%
2009-11-29 - 2009-12-05,+140%
2009-12-06 - 2009-12-12,+180%
2009-12-13 - 2009-12-19,+147%
2009-12-20 - 2009-12-26,+93%
2009-12-27 - 2010-01-02,+7%
2010-01-03 - 2010-01-09,+173%
2010-01-10 - 2010-01-16,+147%
2010-01-17 - 2010-01-23,+147%
2010-01-24 - 2010-01-30,+140%
2010-01-31 - 2010-02-06,+187%
2010-02-07 - 2010-02-13,+167%
2010-02-14 - 2010-02-20,+133%
2010-02-21 - 2010-02-27,+140%
2010-02-28 - 2010-03-06,+120%
2010-03-07 - 2010-03-13,+120%
2010-03-14 - 2010-03-20,+113%
2010-03-21 - 2010-03-27,+200%
2010-03-28 - 2010-04-03,+120%
2010-04-04 - 2010-04-10,+107%
2010-04-11 - 2010-04-17,+93%
2010-04-18 - 2010-04-24,+80%
2010-04-25 - 2010-05-01,+87%
2010-05-02 - 2010-05-08,+67%
2010-05-09 - 2010-05-15,+53%
2010-05-16 - 2010-05-22,+27%
2010-05-23 - 2010-05-29,-20%
2010-05-30 - 2010-06-05,-13%
2010-06-06 - 2010-06-12,-13%
2010-06-13 - 2010-06-19,-7%
2010-06-20 - 2010-06-26,-13%
2010-06-27 - 2010-07-03,-20%
2010-07-04 - 2010-07-10,-20%
2010-07-11 - 2010-07-17,-27%
2010-07-18 - 2010-07-24,-20%
2010-07-25 - 2010-07-31,-13%
2010-08-01 - 2010-08-07,+20%
2010-08-08 - 2010-08-14,+47%
2010-08-15 - 2010-08-21,+107%
2010-08-22 - 2010-08-28,+280%
2010-08-29 - 2010-09-04,+333%
2010-09-05 - 2010-09-11,+253%
2010-09-12 - 2010-09-18,+333%
2010-09-19 - 2010-09-25,+467%
2010-09-26 - 2010-10-02,+280%
2010-10-03 - 2010-10-09,+167%
2010-10-10 - 2010-10-16,+67%
2010-10-17 - 2010-10-23,+207%
2010-10-24 - 2010-10-30,+247%
2010-10-31 - 2010-11-06,+207%
2010-11-07 - 2010-11-13,+360%
2010-11-14 - 2010-11-20,+200%
2010-11-21 - 2010-11-27,+200%
2010-11-28 - 2010-12-04,+187%
2010-12-05 - 2010-12-11,+233%
2010-12-12 - 2010-12-18,+173%
2010-12-19 - 2010-12-25,+133%
2010-12-26 - 2011-01-01,+0%
2011-01-02 - 2011-01-08,+173%
2011-01-09 - 2011-01-15,+167%
2011-01-16 - 2011-01-22,+167%
2011-01-23 - 2011-01-29,+167%
2011-01-30 - 2011-02-05,+327%
2011-02-06 - 2011-02-12,+187%
2011-02-13 - 2011-02-19,+153%
2011-02-20 - 2011-02-26,+140%
2011-02-27 - 2011-03-05,+153%
2011-03-06 - 2011-03-12,+160%
2011-03-13 - 2011-03-19,+120%
2011-03-20 - 2011-03-26,+87%
2011-03-27 - 2011-04-02,+13%
2011-04-03 - 2011-04-09,+113%
2011-04-10 - 2011-04-16,+113%
2011-04-17 - 2011-04-23,+113%
2011-04-24 - 2011-04-30,+100%
2011-05-01 - 2011-05-07,+133%
2011-05-08 - 2011-05-14,+93%
2011-05-15 - 2011-05-21,+60%
2011-05-22 - 2011-05-28,+33%
2011-05-29 - 2011-06-04,-27%
2011-06-05 - 2011-06-11,-27%
2011-06-12 - 2011-06-18,-27%
2011-06-19 - 2011-06-25,-20%
2011-06-26 - 2011-07-02,-27%
2011-07-03 - 2011-07-09,-27%
2011-07-10 - 2011-07-16,-20%
2011-07-17 - 2011-07-23,-20%
2011-07-24 - 2011-07-30,-20%
2011-07-31 - 2011-08-06,+13%
2011-08-07 - 2011-08-13,+40%
2011-08-14 - 2011-08-20,+93%
2011-08-21 - 2011-08-27,+200%
2011-08-28 - 2011-09-03,+227%
2011-09-04 - 2011-09-10,+400%
2011-09-11 - 2011-09-17,+413%
2011-09-18 - 2011-09-24,+527%
2011-09-25 - 2011-10-01,+300%
2011-10-02 - 2011-10-08,+207%
2011-10-09 - 2011-10-15,+87%
2011-10-16 - 2011-10-22,+253%
2011-10-23 - 2011-10-29,+447%
2011-10-30 - 2011-11-05,+287%
2011-11-06 - 2011-11-12,+167%
2011-11-13 - 2011-11-19,+87%
2011-11-20 - 2011-11-26,+260%
2011-11-27 - 2011-12-03,+267%
2011-12-04 - 2011-12-10,+280%
2011-12-11 - 2011-12-17,+267%
2011-12-18 - 2011-12-24,+360%
2011-12-25 - 2011-12-31,+20%
2012-01-01 - 2012-01-07,+93%
2012-01-08 - 2012-01-14,+207%
2012-01-15 - 2012-01-21,+227%
2012-01-22 - 2012-01-28,+213%
2012-01-29 - 2012-02-04,+340%
2012-02-05 - 2012-02-11,+253%
2012-02-12 - 2012-02-18,+260%
2012-02-19 - 2012-02-25,+220%
2012-02-26 - 2012-03-03,+200%
2012-03-04 - 2012-03-10,+227%
2012-03-11 - 2012-03-17,+187%
2012-03-18 - 2012-03-24,+213%
2012-03-25 - 2012-03-31,+173%
2012-04-01 - 2012-04-07,+207%
2012-04-08 - 2012-04-14,+307%
2012-04-15 - 2012-04-21,+53%
2012-04-22 - 2012-04-28,+280%
2012-04-29 - 2012-05-05,+253%
2012-05-06 - 2012-05-12,+93%
2012-05-13 - 2012-05-19,+53%
2012-05-20 - 2012-05-26,-27%
2012-05-27 - 2012-06-02,-27%
2012-06-03 - 2012-06-09,-20%
2012-06-10 - 2012-06-16,-7%
2012-06-17 - 2012-06-23,-13%
2012-06-24 - 2012-06-30,-20%
2012-07-01 - 2012-07-07,-27%
2012-07-08 - 2012-07-14,-33%
2012-07-15 - 2012-07-21,-27%
2012-07-22 - 2012-07-28,-20%
2012-07-29 - 2012-08-04,+0%
2012-08-05 - 2012-08-11,+20%
2012-08-12 - 2012-08-18,+80%
2012-08-19 - 2012-08-25,+307%
2012-08-26 - 2012-09-01,+393%
2012-09-02 - 2012-09-08,+300%
2012-09-09 - 2012-09-15,+287%
2012-09-16 - 2012-09-22,+353%
2012-09-23 - 2012-09-29,+567%
2012-09-30 - 2012-10-06,+320%
2012-10-07 - 2012-10-13,+200%
2012-10-14 - 2012-10-20,+93%
2012-10-21 - 2012-10-27,+253%
2012-10-28 - 2012-11-03,+487%
2012-11-04 - 2012-11-10,+300%
2012-11-11 - 2012-11-17,+267%
2012-11-18 - 2012-11-24,+480%
2012-11-25 - 2012-12-01, 



Top searches
fantacalcio,100
fantagazzetta,95
voti,45
hattrick,35
fantacalcio voti,20
gazzetta fantacalcio,20
gazzetta voti,15
magic,15
pianeta fantacalcio,15
fantaservice,10
fantaclub,5
magic manager,5
voti fantacalcio gazzetta,5
leghe fantagazzetta,5
fantacalcio consigli,5
magic gazzetta,5
fanta,5
fantagalla,5
pianetafantacalcio,5
magicleghe,5



Rising searches
fantagazzetta,Breakout
magic manager,Breakout
pianeta fantacalcio,Breakout
fantaclub,+120%
magic,+60%
fantacalcio voti,+50%
gazzetta voti,+50%
voti,+50%



