Web Search Interest
Italy; 2004 - present

Interest over time
Week,Winter Sports
2006-04-16 - 2006-04-22,-71%
2006-04-23 - 2006-04-29,-73%
2006-04-30 - 2006-05-06,-77%
2006-05-07 - 2006-05-13,-79%
2006-05-14 - 2006-05-20,-79%
2006-05-21 - 2006-05-27,-81%
2006-05-28 - 2006-06-03,-77%
2006-06-04 - 2006-06-10,-78%
2006-06-11 - 2006-06-17,-77%
2006-06-18 - 2006-06-24,-78%
2006-06-25 - 2006-07-01,-75%
2006-07-02 - 2006-07-08,-75%
2006-07-09 - 2006-07-15,-74%
2006-07-16 - 2006-07-22,-71%
2006-07-23 - 2006-07-29,-71%
2006-07-30 - 2006-08-05,-70%
2006-08-06 - 2006-08-12,-66%
2006-08-13 - 2006-08-19,-66%
2006-08-20 - 2006-08-26,-70%
2006-08-27 - 2006-09-02,-71%
2006-09-03 - 2006-09-09,-70%
2006-09-10 - 2006-09-16,-70%
2006-09-17 - 2006-09-23,-70%
2006-09-24 - 2006-09-30,-70%
2006-10-01 - 2006-10-07,-67%
2006-10-08 - 2006-10-14,-67%
2006-10-15 - 2006-10-21,-66%
2006-10-22 - 2006-10-28,-62%
2006-10-29 - 2006-11-04,-53%
2006-11-05 - 2006-11-11,-52%
2006-11-12 - 2006-11-18,-49%
2006-11-19 - 2006-11-25,-42%
2006-11-26 - 2006-12-02,-37%
2006-12-03 - 2006-12-09,-8%
2006-12-10 - 2006-12-16,-15%
2006-12-17 - 2006-12-23,+4%
2006-12-24 - 2006-12-30,+16%
2006-12-31 - 2007-01-06,+3%
2007-01-07 - 2007-01-13,-19%
2007-01-14 - 2007-01-20,-34%
2007-01-21 - 2007-01-27,+12%
2007-01-28 - 2007-02-03,-18%
2007-02-04 - 2007-02-10,-16%
2007-02-11 - 2007-02-17,-23%
2007-02-18 - 2007-02-24,-37%
2007-02-25 - 2007-03-03,-40%
2007-03-04 - 2007-03-10,-48%
2007-03-11 - 2007-03-17,-59%
2007-03-18 - 2007-03-24,-42%
2007-03-25 - 2007-03-31,-52%
2007-04-01 - 2007-04-07,-59%
2007-04-08 - 2007-04-14,-67%
2007-04-15 - 2007-04-21,-75%
2007-04-22 - 2007-04-28,-78%
2007-04-29 - 2007-05-05,-79%
2007-05-06 - 2007-05-12,-82%
2007-05-13 - 2007-05-19,-81%
2007-05-20 - 2007-05-26,-82%
2007-05-27 - 2007-06-02,-78%
2007-06-03 - 2007-06-09,-81%
2007-06-10 - 2007-06-16,-79%
2007-06-17 - 2007-06-23,-79%
2007-06-24 - 2007-06-30,-79%
2007-07-01 - 2007-07-07,-78%
2007-07-08 - 2007-07-14,-77%
2007-07-15 - 2007-07-21,-77%
2007-07-22 - 2007-07-28,-77%
2007-07-29 - 2007-08-04,-75%
2007-08-05 - 2007-08-11,-71%
2007-08-12 - 2007-08-18,-73%
2007-08-19 - 2007-08-25,-74%
2007-08-26 - 2007-09-01,-77%
2007-09-02 - 2007-09-08,-75%
2007-09-09 - 2007-09-15,-77%
2007-09-16 - 2007-09-22,-78%
2007-09-23 - 2007-09-29,-73%
2007-09-30 - 2007-10-06,-74%
2007-10-07 - 2007-10-13,-73%
2007-10-14 - 2007-10-20,-70%
2007-10-21 - 2007-10-27,-60%
2007-10-28 - 2007-11-03,-63%
2007-11-04 - 2007-11-10,-63%
2007-11-11 - 2007-11-17,-51%
2007-11-18 - 2007-11-24,-38%
2007-11-25 - 2007-12-01,-38%
2007-12-02 - 2007-12-08,-29%
2007-12-09 - 2007-12-15,-19%
2007-12-16 - 2007-12-22,-16%
2007-12-23 - 2007-12-29,+0%
2007-12-30 - 2008-01-05,+5%
2008-01-06 - 2008-01-12,-11%
2008-01-13 - 2008-01-19,-11%
2008-01-20 - 2008-01-26,-26%
2008-01-27 - 2008-02-02,-32%
2008-02-03 - 2008-02-09,-32%
2008-02-10 - 2008-02-16,-41%
2008-02-17 - 2008-02-23,-45%
2008-02-24 - 2008-03-01,-51%
2008-03-02 - 2008-03-08,-42%
2008-03-09 - 2008-03-15,-49%
2008-03-16 - 2008-03-22,-53%
2008-03-23 - 2008-03-29,-59%
2008-03-30 - 2008-04-05,-70%
2008-04-06 - 2008-04-12,-74%
2008-04-13 - 2008-04-19,-77%
2008-04-20 - 2008-04-26,-77%
2008-04-27 - 2008-05-03,-82%
2008-05-04 - 2008-05-10,-84%
2008-05-11 - 2008-05-17,-84%
2008-05-18 - 2008-05-24,-84%
2008-05-25 - 2008-05-31,-84%
2008-06-01 - 2008-06-07,-84%
2008-06-08 - 2008-06-14,-84%
2008-06-15 - 2008-06-21,-82%
2008-06-22 - 2008-06-28,-82%
2008-06-29 - 2008-07-05,-82%
2008-07-06 - 2008-07-12,-81%
2008-07-13 - 2008-07-19,-79%
2008-07-20 - 2008-07-26,-78%
2008-07-27 - 2008-08-02,-78%
2008-08-03 - 2008-08-09,-77%
2008-08-10 - 2008-08-16,-77%
2008-08-17 - 2008-08-23,-77%
2008-08-24 - 2008-08-30,-78%
2008-08-31 - 2008-09-06,-79%
2008-09-07 - 2008-09-13,-79%
2008-09-14 - 2008-09-20,-78%
2008-09-21 - 2008-09-27,-77%
2008-09-28 - 2008-10-04,-77%
2008-10-05 - 2008-10-11,-75%
2008-10-12 - 2008-10-18,-75%
2008-10-19 - 2008-10-25,-73%
2008-10-26 - 2008-11-01,-67%
2008-11-02 - 2008-11-08,-66%
2008-11-09 - 2008-11-15,-62%
2008-11-16 - 2008-11-22,-56%
2008-11-23 - 2008-11-29,-29%
2008-11-30 - 2008-12-06,-21%
2008-12-07 - 2008-12-13,-25%
2008-12-14 - 2008-12-20,-27%
2008-12-21 - 2008-12-27,-19%
2008-12-28 - 2009-01-03,-8%
2009-01-04 - 2009-01-10,-16%
2009-01-11 - 2009-01-17,-37%
2009-01-18 - 2009-01-24,-38%
2009-01-25 - 2009-01-31,-42%
2009-02-01 - 2009-02-07,-40%
2009-02-08 - 2009-02-14,-42%
2009-02-15 - 2009-02-21,-49%
2009-02-22 - 2009-02-28,-55%
2009-03-01 - 2009-03-07,-56%
2009-03-08 - 2009-03-14,-62%
2009-03-15 - 2009-03-21,-66%
2009-03-22 - 2009-03-28,-67%
2009-03-29 - 2009-04-04,-74%
2009-04-05 - 2009-04-11,-77%
2009-04-12 - 2009-04-18,-79%
2009-04-19 - 2009-04-25,-82%
2009-04-26 - 2009-05-02,-82%
2009-05-03 - 2009-05-09,-86%
2009-05-10 - 2009-05-16,-86%
2009-05-17 - 2009-05-23,-86%
2009-05-24 - 2009-05-30,-85%
2009-05-31 - 2009-06-06,-88%
2009-06-07 - 2009-06-13,-86%
2009-06-14 - 2009-06-20,-86%
2009-06-21 - 2009-06-27,-85%
2009-06-28 - 2009-07-04,-85%
2009-07-05 - 2009-07-11,-84%
2009-07-12 - 2009-07-18,-84%
2009-07-19 - 2009-07-25,-82%
2009-07-26 - 2009-08-01,-82%
2009-08-02 - 2009-08-08,-81%
2009-08-09 - 2009-08-15,-79%
2009-08-16 - 2009-08-22,-81%
2009-08-23 - 2009-08-29,-81%
2009-08-30 - 2009-09-05,-82%
2009-09-06 - 2009-09-12,-82%
2009-09-13 - 2009-09-19,-82%
2009-09-20 - 2009-09-26,-84%
2009-09-27 - 2009-10-03,-84%
2009-10-04 - 2009-10-10,-82%
2009-10-11 - 2009-10-17,-77%
2009-10-18 - 2009-10-24,-74%
2009-10-25 - 2009-10-31,-77%
2009-11-01 - 2009-11-07,-68%
2009-11-08 - 2009-11-14,-63%
2009-11-15 - 2009-11-21,-66%
2009-11-22 - 2009-11-28,-64%
2009-11-29 - 2009-12-05,-38%
2009-12-06 - 2009-12-12,-44%
2009-12-13 - 2009-12-19,-40%
2009-12-20 - 2009-12-26,-30%
2009-12-27 - 2010-01-02,-32%
2010-01-03 - 2010-01-09,-32%
2010-01-10 - 2010-01-16,-44%
2010-01-17 - 2010-01-23,-47%
2010-01-24 - 2010-01-30,-49%
2010-01-31 - 2010-02-06,-49%
2010-02-07 - 2010-02-13,-41%
2010-02-14 - 2010-02-20,-37%
2010-02-21 - 2010-02-27,-48%
2010-02-28 - 2010-03-06,-59%
2010-03-07 - 2010-03-13,-59%
2010-03-14 - 2010-03-20,-68%
2010-03-21 - 2010-03-27,-71%
2010-03-28 - 2010-04-03,-77%
2010-04-04 - 2010-04-10,-78%
2010-04-11 - 2010-04-17,-84%
2010-04-18 - 2010-04-24,-86%
2010-04-25 - 2010-05-01,-86%
2010-05-02 - 2010-05-08,-86%
2010-05-09 - 2010-05-15,-86%
2010-05-16 - 2010-05-22,-88%
2010-05-23 - 2010-05-29,-86%
2010-05-30 - 2010-06-05,-88%
2010-06-06 - 2010-06-12,-86%
2010-06-13 - 2010-06-19,-86%
2010-06-20 - 2010-06-26,-86%
2010-06-27 - 2010-07-03,-86%
2010-07-04 - 2010-07-10,-85%
2010-07-11 - 2010-07-17,-82%
2010-07-18 - 2010-07-24,-82%
2010-07-25 - 2010-07-31,-82%
2010-08-01 - 2010-08-07,-82%
2010-08-08 - 2010-08-14,-82%
2010-08-15 - 2010-08-21,-82%
2010-08-22 - 2010-08-28,-84%
2010-08-29 - 2010-09-04,-84%
2010-09-05 - 2010-09-11,-85%
2010-09-12 - 2010-09-18,-85%
2010-09-19 - 2010-09-25,-84%
2010-09-26 - 2010-10-02,-82%
2010-10-03 - 2010-10-09,-82%
2010-10-10 - 2010-10-16,-81%
2010-10-17 - 2010-10-23,-77%
2010-10-24 - 2010-10-30,-70%
2010-10-31 - 2010-11-06,-73%
2010-11-07 - 2010-11-13,-73%
2010-11-14 - 2010-11-20,-70%
2010-11-21 - 2010-11-27,-55%
2010-11-28 - 2010-12-04,-49%
2010-12-05 - 2010-12-11,-48%
2010-12-12 - 2010-12-18,-45%
2010-12-19 - 2010-12-25,-49%
2010-12-26 - 2011-01-01,-34%
2011-01-02 - 2011-01-08,-37%
2011-01-09 - 2011-01-15,-51%
2011-01-16 - 2011-01-22,-51%
2011-01-23 - 2011-01-29,-53%
2011-01-30 - 2011-02-05,-58%
2011-02-06 - 2011-02-12,-58%
2011-02-13 - 2011-02-19,-56%
2011-02-20 - 2011-02-26,-62%
2011-02-27 - 2011-03-05,-60%
2011-03-06 - 2011-03-12,-67%
2011-03-13 - 2011-03-19,-68%
2011-03-20 - 2011-03-26,-75%
2011-03-27 - 2011-04-02,-79%
2011-04-03 - 2011-04-09,-82%
2011-04-10 - 2011-04-16,-85%
2011-04-17 - 2011-04-23,-86%
2011-04-24 - 2011-04-30,-85%
2011-05-01 - 2011-05-07,-88%
2011-05-08 - 2011-05-14,-88%
2011-05-15 - 2011-05-21,-86%
2011-05-22 - 2011-05-28,-86%
2011-05-29 - 2011-06-04,-88%
2011-06-05 - 2011-06-11,-88%
2011-06-12 - 2011-06-18,-88%
2011-06-19 - 2011-06-25,-88%
2011-06-26 - 2011-07-02,-86%
2011-07-03 - 2011-07-09,-85%
2011-07-10 - 2011-07-16,-84%
2011-07-17 - 2011-07-23,-84%
2011-07-24 - 2011-07-30,-84%
2011-07-31 - 2011-08-06,-84%
2011-08-07 - 2011-08-13,-84%
2011-08-14 - 2011-08-20,-82%
2011-08-21 - 2011-08-27,-84%
2011-08-28 - 2011-09-03,-85%
2011-09-04 - 2011-09-10,-85%
2011-09-11 - 2011-09-17,-85%
2011-09-18 - 2011-09-24,-84%
2011-09-25 - 2011-10-01,-84%
2011-10-02 - 2011-10-08,-84%
2011-10-09 - 2011-10-15,-81%
2011-10-16 - 2011-10-22,-79%
2011-10-23 - 2011-10-29,-78%
2011-10-30 - 2011-11-05,-77%
2011-11-06 - 2011-11-12,-77%
2011-11-13 - 2011-11-19,-75%
2011-11-20 - 2011-11-26,-73%
2011-11-27 - 2011-12-03,-67%
2011-12-04 - 2011-12-10,-59%
2011-12-11 - 2011-12-17,-53%
2011-12-18 - 2011-12-24,-47%
2011-12-25 - 2011-12-31,-32%
2012-01-01 - 2012-01-07,-27%
2012-01-08 - 2012-01-14,-49%
2012-01-15 - 2012-01-21,-53%
2012-01-22 - 2012-01-28,-56%
2012-01-29 - 2012-02-04,-29%
2012-02-05 - 2012-02-11,-34%
2012-02-12 - 2012-02-18,-56%
2012-02-19 - 2012-02-25,-59%
2012-02-26 - 2012-03-03,-66%
2012-03-04 - 2012-03-10,-66%
2012-03-11 - 2012-03-17,-73%
2012-03-18 - 2012-03-24,-75%
2012-03-25 - 2012-03-31,-79%
2012-04-01 - 2012-04-07,-79%
2012-04-08 - 2012-04-14,-79%
2012-04-15 - 2012-04-21,-84%
2012-04-22 - 2012-04-28,-84%
2012-04-29 - 2012-05-05,-85%
2012-05-06 - 2012-05-12,-86%
2012-05-13 - 2012-05-19,-86%
2012-05-20 - 2012-05-26,-88%
2012-05-27 - 2012-06-02,-88%
2012-06-03 - 2012-06-09,-88%
2012-06-10 - 2012-06-16,-88%
2012-06-17 - 2012-06-23,-86%
2012-06-24 - 2012-06-30,-86%
2012-07-01 - 2012-07-07,-85%
2012-07-08 - 2012-07-14,-84%
2012-07-15 - 2012-07-21,-84%
2012-07-22 - 2012-07-28,-84%
2012-07-29 - 2012-08-04,-82%
2012-08-05 - 2012-08-11,-78%
2012-08-12 - 2012-08-18,-79%
2012-08-19 - 2012-08-25,-81%
2012-08-26 - 2012-09-01,-84%
2012-09-02 - 2012-09-08,-85%
2012-09-09 - 2012-09-15,-85%
2012-09-16 - 2012-09-22,-84%
2012-09-23 - 2012-09-29,-85%
2012-09-30 - 2012-10-06,-84%
2012-10-07 - 2012-10-13,-84%
2012-10-14 - 2012-10-20,-81%
2012-10-21 - 2012-10-27,-79%
2012-10-28 - 2012-11-03,-71%
2012-11-04 - 2012-11-10,-77%
2012-11-11 - 2012-11-17,-77%
2012-11-18 - 2012-11-24,-75%
2012-11-25 - 2012-12-01, 



Top searches
sci,100
neve,50
ski,45
snowboard,35
ghiaccio,25
pattinaggio,20
dolomiti,15
burton,15
folgaria,15
sciare,10
superski,10
bardonecchia,10
superski dolomiti,10
salomon,10
skipass,10
abetone,10
cervinia,10
andalo,10
snow,10
fisi,5



Rising searches
pattinaggio sul ghiaccio,+100%
ciriè,+70%
superski dolomiti,+70%
pattinaggio,+60%
fis,+40%
ghiaccio,+40%
nordica,+40%



