Web Search Interest
France; 2004 - present

Interest over time
Week,Teleconferencing
2006-11-26 - 2006-12-02,-65%
2006-12-03 - 2006-12-09,-64%
2006-12-10 - 2006-12-16,-67%
2006-12-17 - 2006-12-23,-70%
2006-12-24 - 2006-12-30,-75%
2006-12-31 - 2007-01-06,-69%
2007-01-07 - 2007-01-13,-68%
2007-01-14 - 2007-01-20,-66%
2007-01-21 - 2007-01-27,-66%
2007-01-28 - 2007-02-03,-67%
2007-02-04 - 2007-02-10,-62%
2007-02-11 - 2007-02-17,-66%
2007-02-18 - 2007-02-24,-69%
2007-02-25 - 2007-03-03,-60%
2007-03-04 - 2007-03-10,-69%
2007-03-11 - 2007-03-17,-65%
2007-03-18 - 2007-03-24,-72%
2007-03-25 - 2007-03-31,-69%
2007-04-01 - 2007-04-07,-66%
2007-04-08 - 2007-04-14,-65%
2007-04-15 - 2007-04-21,-69%
2007-04-22 - 2007-04-28,-68%
2007-04-29 - 2007-05-05,-72%
2007-05-06 - 2007-05-12,-71%
2007-05-13 - 2007-05-19,-70%
2007-05-20 - 2007-05-26,-71%
2007-05-27 - 2007-06-02,-70%
2007-06-03 - 2007-06-09,-68%
2007-06-10 - 2007-06-16,-73%
2007-06-17 - 2007-06-23,-70%
2007-06-24 - 2007-06-30,-67%
2007-07-01 - 2007-07-07,-67%
2007-07-08 - 2007-07-14,-70%
2007-07-15 - 2007-07-21,-70%
2007-07-22 - 2007-07-28,-70%
2007-07-29 - 2007-08-04,-71%
2007-08-05 - 2007-08-11,-73%
2007-08-12 - 2007-08-18,-73%
2007-08-19 - 2007-08-25,-70%
2007-08-26 - 2007-09-01,-69%
2007-09-02 - 2007-09-08,-71%
2007-09-09 - 2007-09-15,-68%
2007-09-16 - 2007-09-22,-71%
2007-09-23 - 2007-09-29,-69%
2007-09-30 - 2007-10-06,-70%
2007-10-07 - 2007-10-13,-67%
2007-10-14 - 2007-10-20,-68%
2007-10-21 - 2007-10-27,-67%
2007-10-28 - 2007-11-03,-73%
2007-11-04 - 2007-11-10,-71%
2007-11-11 - 2007-11-17,-68%
2007-11-18 - 2007-11-24,-70%
2007-11-25 - 2007-12-01,-70%
2007-12-02 - 2007-12-08,-72%
2007-12-09 - 2007-12-15,-68%
2007-12-16 - 2007-12-22,-71%
2007-12-23 - 2007-12-29,-77%
2007-12-30 - 2008-01-05,-73%
2008-01-06 - 2008-01-12,-68%
2008-01-13 - 2008-01-19,-68%
2008-01-20 - 2008-01-26,-68%
2008-01-27 - 2008-02-02,-68%
2008-02-03 - 2008-02-09,-69%
2008-02-10 - 2008-02-16,-70%
2008-02-17 - 2008-02-23,-69%
2008-02-24 - 2008-03-01,-74%
2008-03-02 - 2008-03-08,-71%
2008-03-09 - 2008-03-15,-70%
2008-03-16 - 2008-03-22,-72%
2008-03-23 - 2008-03-29,-72%
2008-03-30 - 2008-04-05,-71%
2008-04-06 - 2008-04-12,-69%
2008-04-13 - 2008-04-19,-71%
2008-04-20 - 2008-04-26,-73%
2008-04-27 - 2008-05-03,-75%
2008-05-04 - 2008-05-10,-76%
2008-05-11 - 2008-05-17,-71%
2008-05-18 - 2008-05-24,-70%
2008-05-25 - 2008-05-31,-71%
2008-06-01 - 2008-06-07,-70%
2008-06-08 - 2008-06-14,-69%
2008-06-15 - 2008-06-21,-70%
2008-06-22 - 2008-06-28,-70%
2008-06-29 - 2008-07-05,-70%
2008-07-06 - 2008-07-12,-73%
2008-07-13 - 2008-07-19,-73%
2008-07-20 - 2008-07-26,-72%
2008-07-27 - 2008-08-02,-73%
2008-08-03 - 2008-08-09,-75%
2008-08-10 - 2008-08-16,-76%
2008-08-17 - 2008-08-23,-73%
2008-08-24 - 2008-08-30,-73%
2008-08-31 - 2008-09-06,-71%
2008-09-07 - 2008-09-13,-71%
2008-09-14 - 2008-09-20,-70%
2008-09-21 - 2008-09-27,-70%
2008-09-28 - 2008-10-04,-70%
2008-10-05 - 2008-10-11,-71%
2008-10-12 - 2008-10-18,-73%
2008-10-19 - 2008-10-25,-70%
2008-10-26 - 2008-11-01,-75%
2008-11-02 - 2008-11-08,-72%
2008-11-09 - 2008-11-15,-75%
2008-11-16 - 2008-11-22,-72%
2008-11-23 - 2008-11-29,-73%
2008-11-30 - 2008-12-06,-74%
2008-12-07 - 2008-12-13,-73%
2008-12-14 - 2008-12-20,-74%
2008-12-21 - 2008-12-27,-77%
2008-12-28 - 2009-01-03,-81%
2009-01-04 - 2009-01-10,-74%
2009-01-11 - 2009-01-17,-71%
2009-01-18 - 2009-01-24,-72%
2009-01-25 - 2009-01-31,-72%
2009-02-01 - 2009-02-07,-70%
2009-02-08 - 2009-02-14,-72%
2009-02-15 - 2009-02-21,-74%
2009-02-22 - 2009-02-28,-74%
2009-03-01 - 2009-03-07,-73%
2009-03-08 - 2009-03-14,-66%
2009-03-15 - 2009-03-21,-72%
2009-03-22 - 2009-03-28,-73%
2009-03-29 - 2009-04-04,-72%
2009-04-05 - 2009-04-11,-74%
2009-04-12 - 2009-04-18,-75%
2009-04-19 - 2009-04-25,-73%
2009-04-26 - 2009-05-02,-74%
2009-05-03 - 2009-05-09,-73%
2009-05-10 - 2009-05-16,-74%
2009-05-17 - 2009-05-23,-76%
2009-05-24 - 2009-05-30,-73%
2009-05-31 - 2009-06-06,-75%
2009-06-07 - 2009-06-13,-74%
2009-06-14 - 2009-06-20,-74%
2009-06-21 - 2009-06-27,-71%
2009-06-28 - 2009-07-04,-73%
2009-07-05 - 2009-07-11,-73%
2009-07-12 - 2009-07-18,-78%
2009-07-19 - 2009-07-25,-77%
2009-07-26 - 2009-08-01,-77%
2009-08-02 - 2009-08-08,-77%
2009-08-09 - 2009-08-15,-78%
2009-08-16 - 2009-08-22,-75%
2009-08-23 - 2009-08-29,-75%
2009-08-30 - 2009-09-05,-74%
2009-09-06 - 2009-09-12,-75%
2009-09-13 - 2009-09-19,-73%
2009-09-20 - 2009-09-26,-73%
2009-09-27 - 2009-10-03,-76%
2009-10-04 - 2009-10-10,-74%
2009-10-11 - 2009-10-17,-72%
2009-10-18 - 2009-10-24,-73%
2009-10-25 - 2009-10-31,-76%
2009-11-01 - 2009-11-07,-74%
2009-11-08 - 2009-11-14,-75%
2009-11-15 - 2009-11-21,-76%
2009-11-22 - 2009-11-28,-75%
2009-11-29 - 2009-12-05,-74%
2009-12-06 - 2009-12-12,-76%
2009-12-13 - 2009-12-19,-77%
2009-12-20 - 2009-12-26,-78%
2009-12-27 - 2010-01-02,-81%
2010-01-03 - 2010-01-09,-76%
2010-01-10 - 2010-01-16,-74%
2010-01-17 - 2010-01-23,-73%
2010-01-24 - 2010-01-30,-72%
2010-01-31 - 2010-02-06,-72%
2010-02-07 - 2010-02-13,-73%
2010-02-14 - 2010-02-20,-73%
2010-02-21 - 2010-02-27,-74%
2010-02-28 - 2010-03-06,-73%
2010-03-07 - 2010-03-13,-73%
2010-03-14 - 2010-03-20,-72%
2010-03-21 - 2010-03-27,-73%
2010-03-28 - 2010-04-03,-71%
2010-04-04 - 2010-04-10,-75%
2010-04-11 - 2010-04-17,-74%
2010-04-18 - 2010-04-24,-73%
2010-04-25 - 2010-05-01,-72%
2010-05-02 - 2010-05-08,-73%
2010-05-09 - 2010-05-15,-75%
2010-05-16 - 2010-05-22,-73%
2010-05-23 - 2010-05-29,-76%
2010-05-30 - 2010-06-05,-68%
2010-06-06 - 2010-06-12,-72%
2010-06-13 - 2010-06-19,-74%
2010-06-20 - 2010-06-26,-72%
2010-06-27 - 2010-07-03,-74%
2010-07-04 - 2010-07-10,-73%
2010-07-11 - 2010-07-17,-76%
2010-07-18 - 2010-07-24,-76%
2010-07-25 - 2010-07-31,-78%
2010-08-01 - 2010-08-07,-78%
2010-08-08 - 2010-08-14,-79%
2010-08-15 - 2010-08-21,-78%
2010-08-22 - 2010-08-28,-78%
2010-08-29 - 2010-09-04,-78%
2010-09-05 - 2010-09-11,-76%
2010-09-12 - 2010-09-18,-76%
2010-09-19 - 2010-09-25,-75%
2010-09-26 - 2010-10-02,-75%
2010-10-03 - 2010-10-09,-76%
2010-10-10 - 2010-10-16,-76%
2010-10-17 - 2010-10-23,-73%
2010-10-24 - 2010-10-30,-74%
2010-10-31 - 2010-11-06,-76%
2010-11-07 - 2010-11-13,-76%
2010-11-14 - 2010-11-20,-75%
2010-11-21 - 2010-11-27,-76%
2010-11-28 - 2010-12-04,-76%
2010-12-05 - 2010-12-11,-76%
2010-12-12 - 2010-12-18,-77%
2010-12-19 - 2010-12-25,-80%
2010-12-26 - 2011-01-01,-82%
2011-01-02 - 2011-01-08,-79%
2011-01-09 - 2011-01-15,-81%
2011-01-16 - 2011-01-22,-79%
2011-01-23 - 2011-01-29,-80%
2011-01-30 - 2011-02-05,-78%
2011-02-06 - 2011-02-12,-79%
2011-02-13 - 2011-02-19,-81%
2011-02-20 - 2011-02-26,-81%
2011-02-27 - 2011-03-05,-81%
2011-03-06 - 2011-03-12,-80%
2011-03-13 - 2011-03-19,-81%
2011-03-20 - 2011-03-26,-81%
2011-03-27 - 2011-04-02,-81%
2011-04-03 - 2011-04-09,-79%
2011-04-10 - 2011-04-16,-80%
2011-04-17 - 2011-04-23,-82%
2011-04-24 - 2011-04-30,-83%
2011-05-01 - 2011-05-07,-80%
2011-05-08 - 2011-05-14,-81%
2011-05-15 - 2011-05-21,-80%
2011-05-22 - 2011-05-28,-81%
2011-05-29 - 2011-06-04,-83%
2011-06-05 - 2011-06-11,-79%
2011-06-12 - 2011-06-18,-81%
2011-06-19 - 2011-06-25,-80%
2011-06-26 - 2011-07-02,-77%
2011-07-03 - 2011-07-09,-79%
2011-07-10 - 2011-07-16,-84%
2011-07-17 - 2011-07-23,-84%
2011-07-24 - 2011-07-30,-83%
2011-07-31 - 2011-08-06,-85%
2011-08-07 - 2011-08-13,-85%
2011-08-14 - 2011-08-20,-86%
2011-08-21 - 2011-08-27,-83%
2011-08-28 - 2011-09-03,-82%
2011-09-04 - 2011-09-10,-81%
2011-09-11 - 2011-09-17,-82%
2011-09-18 - 2011-09-24,-80%
2011-09-25 - 2011-10-01,-80%
2011-10-02 - 2011-10-08,-80%
2011-10-09 - 2011-10-15,-81%
2011-10-16 - 2011-10-22,-81%
2011-10-23 - 2011-10-29,-82%
2011-10-30 - 2011-11-05,-83%
2011-11-06 - 2011-11-12,-82%
2011-11-13 - 2011-11-19,-80%
2011-11-20 - 2011-11-26,-81%
2011-11-27 - 2011-12-03,-80%
2011-12-04 - 2011-12-10,-81%
2011-12-11 - 2011-12-17,-81%
2011-12-18 - 2011-12-24,-84%
2011-12-25 - 2011-12-31,-88%
2012-01-01 - 2012-01-07,-83%
2012-01-08 - 2012-01-14,-80%
2012-01-15 - 2012-01-21,-80%
2012-01-22 - 2012-01-28,-80%
2012-01-29 - 2012-02-04,-80%
2012-02-05 - 2012-02-11,-79%
2012-02-12 - 2012-02-18,-81%
2012-02-19 - 2012-02-25,-79%
2012-02-26 - 2012-03-03,-80%
2012-03-04 - 2012-03-10,-81%
2012-03-11 - 2012-03-17,-80%
2012-03-18 - 2012-03-24,-81%
2012-03-25 - 2012-03-31,-80%
2012-04-01 - 2012-04-07,-80%
2012-04-08 - 2012-04-14,-80%
2012-04-15 - 2012-04-21,-79%
2012-04-22 - 2012-04-28,-80%
2012-04-29 - 2012-05-05,-82%
2012-05-06 - 2012-05-12,-82%
2012-05-13 - 2012-05-19,-82%
2012-05-20 - 2012-05-26,-79%
2012-05-27 - 2012-06-02,-81%
2012-06-03 - 2012-06-09,-80%
2012-06-10 - 2012-06-16,-81%
2012-06-17 - 2012-06-23,-80%
2012-06-24 - 2012-06-30,-80%
2012-07-01 - 2012-07-07,-78%
2012-07-08 - 2012-07-14,-81%
2012-07-15 - 2012-07-21,-83%
2012-07-22 - 2012-07-28,-84%
2012-07-29 - 2012-08-04,-86%
2012-08-05 - 2012-08-11,-86%
2012-08-12 - 2012-08-18,-88%
2012-08-19 - 2012-08-25,-86%
2012-08-26 - 2012-09-01,-85%
2012-09-02 - 2012-09-08,-83%
2012-09-09 - 2012-09-15,-81%
2012-09-16 - 2012-09-22,-81%
2012-09-23 - 2012-09-29,-82%
2012-09-30 - 2012-10-06,-81%
2012-10-07 - 2012-10-13,-83%
2012-10-14 - 2012-10-20,-81%
2012-10-21 - 2012-10-27,-81%
2012-10-28 - 2012-11-03,-86%
2012-11-04 - 2012-11-10,-83%
2012-11-11 - 2012-11-17,-82%
2012-11-18 - 2012-11-24,-85%
2012-11-25 - 2012-12-01, 



Top searches
conférence,100
teamspeak,90
netmeeting,80
polycom,55
webex,55
orange reunion,45
antenne reunion,45
visioconférence,40
sfr reunion,35
ts3,35
teamspeak 3,30
bepa,25
bac pro service,25
video conference,25
pabx,25
visioconference,25
vegastar,20
team speak,20
autocom,20
lien hypertexte,20



Rising searches
ts3,Breakout
orange reunion,+300%
teamspeak,+300%
antenne reunion,+250%
sfr reunion,+200%
webex,+200%
polycom,+150%
conférence,+110%



