Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Poetry
2009-11-01 - 2009-11-07,-52%
2009-11-08 - 2009-11-14,-47%
2009-11-15 - 2009-11-21,-47%
2009-11-22 - 2009-11-28,-40%
2009-11-29 - 2009-12-05,-35%
2009-12-06 - 2009-12-12,-42%
2009-12-13 - 2009-12-19,-47%
2009-12-20 - 2009-12-26,-56%
2009-12-27 - 2010-01-02,-55%
2010-01-03 - 2010-01-09,-45%
2010-01-10 - 2010-01-16,-37%
2010-01-17 - 2010-01-23,-35%
2010-01-24 - 2010-01-30,-37%
2010-01-31 - 2010-02-06,-29%
2010-02-07 - 2010-02-13,-24%
2010-02-14 - 2010-02-20,-37%
2010-02-21 - 2010-02-27,-34%
2010-02-28 - 2010-03-06,-29%
2010-03-07 - 2010-03-13,-27%
2010-03-14 - 2010-03-20,-26%
2010-03-21 - 2010-03-27,-34%
2010-03-28 - 2010-04-03,-52%
2010-04-04 - 2010-04-10,-47%
2010-04-11 - 2010-04-17,-37%
2010-04-18 - 2010-04-24,-34%
2010-04-25 - 2010-05-01,-32%
2010-05-02 - 2010-05-08,-34%
2010-05-09 - 2010-05-15,-35%
2010-05-16 - 2010-05-22,-37%
2010-05-23 - 2010-05-29,-44%
2010-05-30 - 2010-06-05,-47%
2010-06-06 - 2010-06-12,-53%
2010-06-13 - 2010-06-19,-55%
2010-06-20 - 2010-06-26,-69%
2010-06-27 - 2010-07-03,-69%
2010-07-04 - 2010-07-10,-66%
2010-07-11 - 2010-07-17,-69%
2010-07-18 - 2010-07-24,-69%
2010-07-25 - 2010-07-31,-71%
2010-08-01 - 2010-08-07,-73%
2010-08-08 - 2010-08-14,-73%
2010-08-15 - 2010-08-21,-73%
2010-08-22 - 2010-08-28,-73%
2010-08-29 - 2010-09-04,-73%
2010-09-05 - 2010-09-11,-71%
2010-09-12 - 2010-09-18,-65%
2010-09-19 - 2010-09-25,-63%
2010-09-26 - 2010-10-02,-63%
2010-10-03 - 2010-10-09,-63%
2010-10-10 - 2010-10-16,-63%
2010-10-17 - 2010-10-23,-63%
2010-10-24 - 2010-10-30,-60%
2010-10-31 - 2010-11-06,-60%
2010-11-07 - 2010-11-13,-58%
2010-11-14 - 2010-11-20,-56%
2010-11-21 - 2010-11-27,-56%
2010-11-28 - 2010-12-04,-58%
2010-12-05 - 2010-12-11,-55%
2010-12-12 - 2010-12-18,-60%
2010-12-19 - 2010-12-25,-69%
2010-12-26 - 2011-01-01,-68%
2011-01-02 - 2011-01-08,-60%
2011-01-09 - 2011-01-15,-55%
2011-01-16 - 2011-01-22,-56%
2011-01-23 - 2011-01-29,-53%
2011-01-30 - 2011-02-05,-50%
2011-02-06 - 2011-02-12,-39%
2011-02-13 - 2011-02-19,-39%
2011-02-20 - 2011-02-26,-53%
2011-02-27 - 2011-03-05,-55%
2011-03-06 - 2011-03-12,-58%
2011-03-13 - 2011-03-19,-50%
2011-03-20 - 2011-03-26,-48%
2011-03-27 - 2011-04-02,-52%
2011-04-03 - 2011-04-09,-60%
2011-04-10 - 2011-04-16,-69%
2011-04-17 - 2011-04-23,-68%
2011-04-24 - 2011-04-30,-56%
2011-05-01 - 2011-05-07,-56%
2011-05-08 - 2011-05-14,-56%
2011-05-15 - 2011-05-21,-55%
2011-05-22 - 2011-05-28,-55%
2011-05-29 - 2011-06-04,-55%
2011-06-05 - 2011-06-11,-58%
2011-06-12 - 2011-06-18,-50%
2011-06-19 - 2011-06-25,-61%
2011-06-26 - 2011-07-02,-73%
2011-07-03 - 2011-07-09,-71%
2011-07-10 - 2011-07-16,-73%
2011-07-17 - 2011-07-23,-69%
2011-07-24 - 2011-07-30,-74%
2011-07-31 - 2011-08-06,-73%
2011-08-07 - 2011-08-13,-76%
2011-08-14 - 2011-08-20,-74%
2011-08-21 - 2011-08-27,-73%
2011-08-28 - 2011-09-03,-71%
2011-09-04 - 2011-09-10,-73%
2011-09-11 - 2011-09-17,-71%
2011-09-18 - 2011-09-24,-71%
2011-09-25 - 2011-10-01,-63%
2011-10-02 - 2011-10-08,-63%
2011-10-09 - 2011-10-15,-63%
2011-10-16 - 2011-10-22,-63%
2011-10-23 - 2011-10-29,-63%
2011-10-30 - 2011-11-05,-63%
2011-11-06 - 2011-11-12,-61%
2011-11-13 - 2011-11-19,-61%
2011-11-20 - 2011-11-26,-60%
2011-11-27 - 2011-12-03,-60%
2011-12-04 - 2011-12-10,-58%
2011-12-11 - 2011-12-17,-63%
2011-12-18 - 2011-12-24,-71%
2011-12-25 - 2011-12-31,-71%
2012-01-01 - 2012-01-07,-61%
2012-01-08 - 2012-01-14,-58%
2012-01-15 - 2012-01-21,-55%
2012-01-22 - 2012-01-28,-55%
2012-01-29 - 2012-02-04,-55%
2012-02-05 - 2012-02-11,-48%
2012-02-12 - 2012-02-18,-48%
2012-02-19 - 2012-02-25,-63%
2012-02-26 - 2012-03-03,-58%
2012-03-04 - 2012-03-10,-52%
2012-03-11 - 2012-03-17,-53%
2012-03-18 - 2012-03-24,-48%
2012-03-25 - 2012-03-31,-68%
2012-04-01 - 2012-04-07,-68%
2012-04-08 - 2012-04-14,-61%
2012-04-15 - 2012-04-21,-55%
2012-04-22 - 2012-04-28,-55%
2012-04-29 - 2012-05-05,-58%
2012-05-06 - 2012-05-12,-58%
2012-05-13 - 2012-05-19,-60%
2012-05-20 - 2012-05-26,-60%
2012-05-27 - 2012-06-02,-61%
2012-06-03 - 2012-06-09,-65%
2012-06-10 - 2012-06-16,-60%
2012-06-17 - 2012-06-23,-66%
2012-06-24 - 2012-06-30,-76%
2012-07-01 - 2012-07-07,-76%
2012-07-08 - 2012-07-14,-74%
2012-07-15 - 2012-07-21,-77%
2012-07-22 - 2012-07-28,-76%
2012-07-29 - 2012-08-04,-77%
2012-08-05 - 2012-08-11,-76%
2012-08-12 - 2012-08-18,-76%
2012-08-19 - 2012-08-25,-74%
2012-08-26 - 2012-09-01,-76%
2012-09-02 - 2012-09-08,-77%
2012-09-09 - 2012-09-15,-76%
2012-09-16 - 2012-09-22,-69%
2012-09-23 - 2012-09-29,-68%
2012-09-30 - 2012-10-06,-69%
2012-10-07 - 2012-10-13,-68%
2012-10-14 - 2012-10-20,-68%
2012-10-21 - 2012-10-27,-66%
2012-10-28 - 2012-11-03,-69%
2012-11-04 - 2012-11-10,-69%
2012-11-11 - 2012-11-17,-66%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
poemas,100
amor,60
poemas amor,35
poemas de amor,35
poema,25
fernando pessoa,20
poesia,15
lusiadas,15
amizade,10
versos,10
mensagem,10
poetas,10
florbela espanca,10
poemas amizade,10
poemas de amizade,5
viver a vida,5
mensagem fernando pessoa,5
fernando pessoa poemas,5
os lusiadas,5
versos amor,5



Rising searches
viver a vida,Breakout
mensagem,+250%
os lusiadas,+200%
lusiadas,+180%
fernando pessoa poemas,+160%
fernando pessoa,+130%
poema,+110%
mensagem fernando pessoa,+90%
amizade,+80%
poemas amizade,+70%



