Web Search Interest
France; 2004 - present

Interest over time
Week,Pest Control
2005-07-10 - 2005-07-16,+66%
2005-07-17 - 2005-07-23,+61%
2005-07-24 - 2005-07-30,+68%
2005-07-31 - 2005-08-06,+76%
2005-08-07 - 2005-08-13,+76%
2005-08-14 - 2005-08-20,+78%
2005-08-21 - 2005-08-27,+68%
2005-08-28 - 2005-09-03,+73%
2005-09-04 - 2005-09-10,+78%
2005-09-11 - 2005-09-17,+51%
2005-09-18 - 2005-09-24,+29%
2005-09-25 - 2005-10-01,+32%
2005-10-02 - 2005-10-08,+29%
2005-10-09 - 2005-10-15,+32%
2005-10-16 - 2005-10-22,+12%
2005-10-23 - 2005-10-29,+17%
2005-10-30 - 2005-11-05,+15%
2005-11-06 - 2005-11-12,+2%
2005-11-13 - 2005-11-19,-5%
2005-11-20 - 2005-11-26,-15%
2005-11-27 - 2005-12-03,-15%
2005-12-04 - 2005-12-10,-20%
2005-12-11 - 2005-12-17,-29%
2005-12-18 - 2005-12-24,-32%
2005-12-25 - 2005-12-31,-20%
2006-01-01 - 2006-01-07,-24%
2006-01-08 - 2006-01-14,-15%
2006-01-15 - 2006-01-21,-17%
2006-01-22 - 2006-01-28,-17%
2006-01-29 - 2006-02-04,-15%
2006-02-05 - 2006-02-11,-10%
2006-02-12 - 2006-02-18,-2%
2006-02-19 - 2006-02-25,-5%
2006-02-26 - 2006-03-04,+0%
2006-03-05 - 2006-03-11,+2%
2006-03-12 - 2006-03-18,-5%
2006-03-19 - 2006-03-25,-5%
2006-03-26 - 2006-04-01,+20%
2006-04-02 - 2006-04-08,+12%
2006-04-09 - 2006-04-15,+7%
2006-04-16 - 2006-04-22,+22%
2006-04-23 - 2006-04-29,+29%
2006-04-30 - 2006-05-06,+27%
2006-05-07 - 2006-05-13,+24%
2006-05-14 - 2006-05-20,+22%
2006-05-21 - 2006-05-27,+22%
2006-05-28 - 2006-06-03,+15%
2006-06-04 - 2006-06-10,+34%
2006-06-11 - 2006-06-17,+41%
2006-06-18 - 2006-06-24,+37%
2006-06-25 - 2006-07-01,+39%
2006-07-02 - 2006-07-08,+46%
2006-07-09 - 2006-07-15,+51%
2006-07-16 - 2006-07-22,+105%
2006-07-23 - 2006-07-29,+88%
2006-07-30 - 2006-08-05,+54%
2006-08-06 - 2006-08-12,+56%
2006-08-13 - 2006-08-19,+37%
2006-08-20 - 2006-08-26,+37%
2006-08-27 - 2006-09-02,+29%
2006-09-03 - 2006-09-09,+41%
2006-09-10 - 2006-09-16,+41%
2006-09-17 - 2006-09-23,+61%
2006-09-24 - 2006-09-30,+37%
2006-10-01 - 2006-10-07,+7%
2006-10-08 - 2006-10-14,+24%
2006-10-15 - 2006-10-21,+5%
2006-10-22 - 2006-10-28,+12%
2006-10-29 - 2006-11-04,+5%
2006-11-05 - 2006-11-11,-5%
2006-11-12 - 2006-11-18,-5%
2006-11-19 - 2006-11-25,-12%
2006-11-26 - 2006-12-02,-17%
2006-12-03 - 2006-12-09,-22%
2006-12-10 - 2006-12-16,-27%
2006-12-17 - 2006-12-23,-24%
2006-12-24 - 2006-12-30,-34%
2006-12-31 - 2007-01-06,-24%
2007-01-07 - 2007-01-13,-17%
2007-01-14 - 2007-01-20,-20%
2007-01-21 - 2007-01-27,-12%
2007-01-28 - 2007-02-03,-22%
2007-02-04 - 2007-02-10,-15%
2007-02-11 - 2007-02-17,-10%
2007-02-18 - 2007-02-24,-15%
2007-02-25 - 2007-03-03,-12%
2007-03-04 - 2007-03-10,-5%
2007-03-11 - 2007-03-17,+7%
2007-03-18 - 2007-03-24,-12%
2007-03-25 - 2007-03-31,+0%
2007-04-01 - 2007-04-07,+10%
2007-04-08 - 2007-04-14,+15%
2007-04-15 - 2007-04-21,+34%
2007-04-22 - 2007-04-28,+41%
2007-04-29 - 2007-05-05,+37%
2007-05-06 - 2007-05-12,+34%
2007-05-13 - 2007-05-19,+29%
2007-05-20 - 2007-05-26,+51%
2007-05-27 - 2007-06-02,+17%
2007-06-03 - 2007-06-09,+41%
2007-06-10 - 2007-06-16,+49%
2007-06-17 - 2007-06-23,+34%
2007-06-24 - 2007-06-30,+22%
2007-07-01 - 2007-07-07,+22%
2007-07-08 - 2007-07-14,+27%
2007-07-15 - 2007-07-21,+61%
2007-07-22 - 2007-07-28,+49%
2007-07-29 - 2007-08-04,+46%
2007-08-05 - 2007-08-11,+51%
2007-08-12 - 2007-08-18,+59%
2007-08-19 - 2007-08-25,+34%
2007-08-26 - 2007-09-01,+49%
2007-09-02 - 2007-09-08,+41%
2007-09-09 - 2007-09-15,+39%
2007-09-16 - 2007-09-22,+44%
2007-09-23 - 2007-09-29,+20%
2007-09-30 - 2007-10-06,+24%
2007-10-07 - 2007-10-13,+24%
2007-10-14 - 2007-10-20,+24%
2007-10-21 - 2007-10-27,+10%
2007-10-28 - 2007-11-03,+5%
2007-11-04 - 2007-11-10,+10%
2007-11-11 - 2007-11-17,+0%
2007-11-18 - 2007-11-24,-2%
2007-11-25 - 2007-12-01,-10%
2007-12-02 - 2007-12-08,-20%
2007-12-09 - 2007-12-15,-17%
2007-12-16 - 2007-12-22,-27%
2007-12-23 - 2007-12-29,-29%
2007-12-30 - 2008-01-05,-20%
2008-01-06 - 2008-01-12,-15%
2008-01-13 - 2008-01-19,-15%
2008-01-20 - 2008-01-26,-17%
2008-01-27 - 2008-02-02,-15%
2008-02-03 - 2008-02-09,-7%
2008-02-10 - 2008-02-16,-5%
2008-02-17 - 2008-02-23,-2%
2008-02-24 - 2008-03-01,-2%
2008-03-02 - 2008-03-08,-2%
2008-03-09 - 2008-03-15,-10%
2008-03-16 - 2008-03-22,-10%
2008-03-23 - 2008-03-29,-7%
2008-03-30 - 2008-04-05,-2%
2008-04-06 - 2008-04-12,+0%
2008-04-13 - 2008-04-19,+5%
2008-04-20 - 2008-04-26,+12%
2008-04-27 - 2008-05-03,+17%
2008-05-04 - 2008-05-10,+46%
2008-05-11 - 2008-05-17,+44%
2008-05-18 - 2008-05-24,+32%
2008-05-25 - 2008-05-31,+27%
2008-06-01 - 2008-06-07,+22%
2008-06-08 - 2008-06-14,+29%
2008-06-15 - 2008-06-21,+32%
2008-06-22 - 2008-06-28,+59%
2008-06-29 - 2008-07-05,+46%
2008-07-06 - 2008-07-12,+32%
2008-07-13 - 2008-07-19,+41%
2008-07-20 - 2008-07-26,+51%
2008-07-27 - 2008-08-02,+73%
2008-08-03 - 2008-08-09,+71%
2008-08-10 - 2008-08-16,+56%
2008-08-17 - 2008-08-23,+46%
2008-08-24 - 2008-08-30,+59%
2008-08-31 - 2008-09-06,+46%
2008-09-07 - 2008-09-13,+54%
2008-09-14 - 2008-09-20,+29%
2008-09-21 - 2008-09-27,+22%
2008-09-28 - 2008-10-04,+17%
2008-10-05 - 2008-10-11,+20%
2008-10-12 - 2008-10-18,+12%
2008-10-19 - 2008-10-25,+5%
2008-10-26 - 2008-11-01,-7%
2008-11-02 - 2008-11-08,-2%
2008-11-09 - 2008-11-15,+0%
2008-11-16 - 2008-11-22,-5%
2008-11-23 - 2008-11-29,-7%
2008-11-30 - 2008-12-06,-15%
2008-12-07 - 2008-12-13,-20%
2008-12-14 - 2008-12-20,-29%
2008-12-21 - 2008-12-27,-34%
2008-12-28 - 2009-01-03,-32%
2009-01-04 - 2009-01-10,-20%
2009-01-11 - 2009-01-17,-20%
2009-01-18 - 2009-01-24,-20%
2009-01-25 - 2009-01-31,-22%
2009-02-01 - 2009-02-07,-15%
2009-02-08 - 2009-02-14,-20%
2009-02-15 - 2009-02-21,-17%
2009-02-22 - 2009-02-28,-12%
2009-03-01 - 2009-03-07,-7%
2009-03-08 - 2009-03-14,-5%
2009-03-15 - 2009-03-21,+12%
2009-03-22 - 2009-03-28,+2%
2009-03-29 - 2009-04-04,+2%
2009-04-05 - 2009-04-11,+17%
2009-04-12 - 2009-04-18,+15%
2009-04-19 - 2009-04-25,+22%
2009-04-26 - 2009-05-02,+10%
2009-05-03 - 2009-05-09,+29%
2009-05-10 - 2009-05-16,+27%
2009-05-17 - 2009-05-23,+34%
2009-05-24 - 2009-05-30,+44%
2009-05-31 - 2009-06-06,+39%
2009-06-07 - 2009-06-13,+29%
2009-06-14 - 2009-06-20,+56%
2009-06-21 - 2009-06-27,+39%
2009-06-28 - 2009-07-04,+68%
2009-07-05 - 2009-07-11,+51%
2009-07-12 - 2009-07-18,+61%
2009-07-19 - 2009-07-25,+61%
2009-07-26 - 2009-08-01,+61%
2009-08-02 - 2009-08-08,+71%
2009-08-09 - 2009-08-15,+80%
2009-08-16 - 2009-08-22,+93%
2009-08-23 - 2009-08-29,+56%
2009-08-30 - 2009-09-05,+46%
2009-09-06 - 2009-09-12,+44%
2009-09-13 - 2009-09-19,+29%
2009-09-20 - 2009-09-26,+54%
2009-09-27 - 2009-10-03,+39%
2009-10-04 - 2009-10-10,+29%
2009-10-11 - 2009-10-17,+17%
2009-10-18 - 2009-10-24,+12%
2009-10-25 - 2009-10-31,+24%
2009-11-01 - 2009-11-07,+5%
2009-11-08 - 2009-11-14,-2%
2009-11-15 - 2009-11-21,-5%
2009-11-22 - 2009-11-28,-12%
2009-11-29 - 2009-12-05,-22%
2009-12-06 - 2009-12-12,-17%
2009-12-13 - 2009-12-19,-29%
2009-12-20 - 2009-12-26,-29%
2009-12-27 - 2010-01-02,-24%
2010-01-03 - 2010-01-09,-20%
2010-01-10 - 2010-01-16,-17%
2010-01-17 - 2010-01-23,-20%
2010-01-24 - 2010-01-30,-20%
2010-01-31 - 2010-02-06,-17%
2010-02-07 - 2010-02-13,-17%
2010-02-14 - 2010-02-20,-17%
2010-02-21 - 2010-02-27,-15%
2010-02-28 - 2010-03-06,-7%
2010-03-07 - 2010-03-13,-12%
2010-03-14 - 2010-03-20,-2%
2010-03-21 - 2010-03-27,+10%
2010-03-28 - 2010-04-03,+0%
2010-04-04 - 2010-04-10,+0%
2010-04-11 - 2010-04-17,+5%
2010-04-18 - 2010-04-24,+29%
2010-04-25 - 2010-05-01,+37%
2010-05-02 - 2010-05-08,+10%
2010-05-09 - 2010-05-15,+15%
2010-05-16 - 2010-05-22,+32%
2010-05-23 - 2010-05-29,+39%
2010-05-30 - 2010-06-05,+37%
2010-06-06 - 2010-06-12,+44%
2010-06-13 - 2010-06-19,+27%
2010-06-20 - 2010-06-26,+37%
2010-06-27 - 2010-07-03,+80%
2010-07-04 - 2010-07-10,+76%
2010-07-11 - 2010-07-17,+83%
2010-07-18 - 2010-07-24,+83%
2010-07-25 - 2010-07-31,+83%
2010-08-01 - 2010-08-07,+76%
2010-08-08 - 2010-08-14,+83%
2010-08-15 - 2010-08-21,+73%
2010-08-22 - 2010-08-28,+85%
2010-08-29 - 2010-09-04,+63%
2010-09-05 - 2010-09-11,+51%
2010-09-12 - 2010-09-18,+49%
2010-09-19 - 2010-09-25,+41%
2010-09-26 - 2010-10-02,+20%
2010-10-03 - 2010-10-09,+34%
2010-10-10 - 2010-10-16,+24%
2010-10-17 - 2010-10-23,+10%
2010-10-24 - 2010-10-30,+7%
2010-10-31 - 2010-11-06,+7%
2010-11-07 - 2010-11-13,-2%
2010-11-14 - 2010-11-20,+24%
2010-11-21 - 2010-11-27,-2%
2010-11-28 - 2010-12-04,+0%
2010-12-05 - 2010-12-11,-15%
2010-12-12 - 2010-12-18,-20%
2010-12-19 - 2010-12-25,-32%
2010-12-26 - 2011-01-01,-20%
2011-01-02 - 2011-01-08,-15%
2011-01-09 - 2011-01-15,-12%
2011-01-16 - 2011-01-22,-12%
2011-01-23 - 2011-01-29,-15%
2011-01-30 - 2011-02-05,-15%
2011-02-06 - 2011-02-12,-5%
2011-02-13 - 2011-02-19,-5%
2011-02-20 - 2011-02-26,-7%
2011-02-27 - 2011-03-05,-5%
2011-03-06 - 2011-03-12,+2%
2011-03-13 - 2011-03-19,+12%
2011-03-20 - 2011-03-26,+22%
2011-03-27 - 2011-04-02,+24%
2011-04-03 - 2011-04-09,+44%
2011-04-10 - 2011-04-16,+37%
2011-04-17 - 2011-04-23,+59%
2011-04-24 - 2011-04-30,+46%
2011-05-01 - 2011-05-07,+49%
2011-05-08 - 2011-05-14,+61%
2011-05-15 - 2011-05-21,+51%
2011-05-22 - 2011-05-28,+68%
2011-05-29 - 2011-06-04,+59%
2011-06-05 - 2011-06-11,+73%
2011-06-12 - 2011-06-18,+66%
2011-06-19 - 2011-06-25,+59%
2011-06-26 - 2011-07-02,+80%
2011-07-03 - 2011-07-09,+83%
2011-07-10 - 2011-07-16,+76%
2011-07-17 - 2011-07-23,+44%
2011-07-24 - 2011-07-30,+49%
2011-07-31 - 2011-08-06,+83%
2011-08-07 - 2011-08-13,+63%
2011-08-14 - 2011-08-20,+90%
2011-08-21 - 2011-08-27,+95%
2011-08-28 - 2011-09-03,+59%
2011-09-04 - 2011-09-10,+63%
2011-09-11 - 2011-09-17,+68%
2011-09-18 - 2011-09-24,+54%
2011-09-25 - 2011-10-01,+54%
2011-10-02 - 2011-10-08,+46%
2011-10-09 - 2011-10-15,+34%
2011-10-16 - 2011-10-22,+27%
2011-10-23 - 2011-10-29,+27%
2011-10-30 - 2011-11-05,+27%
2011-11-06 - 2011-11-12,+12%
2011-11-13 - 2011-11-19,+15%
2011-11-20 - 2011-11-26,+10%
2011-11-27 - 2011-12-03,+0%
2011-12-04 - 2011-12-10,+2%
2011-12-11 - 2011-12-17,-10%
2011-12-18 - 2011-12-24,-17%
2011-12-25 - 2011-12-31,-17%
2012-01-01 - 2012-01-07,-7%
2012-01-08 - 2012-01-14,+0%
2012-01-15 - 2012-01-21,-5%
2012-01-22 - 2012-01-28,-5%
2012-01-29 - 2012-02-04,-10%
2012-02-05 - 2012-02-11,-12%
2012-02-12 - 2012-02-18,-12%
2012-02-19 - 2012-02-25,-2%
2012-02-26 - 2012-03-03,+5%
2012-03-04 - 2012-03-10,+7%
2012-03-11 - 2012-03-17,+20%
2012-03-18 - 2012-03-24,+17%
2012-03-25 - 2012-03-31,+37%
2012-04-01 - 2012-04-07,+15%
2012-04-08 - 2012-04-14,+7%
2012-04-15 - 2012-04-21,+10%
2012-04-22 - 2012-04-28,+10%
2012-04-29 - 2012-05-05,+24%
2012-05-06 - 2012-05-12,+41%
2012-05-13 - 2012-05-19,+34%
2012-05-20 - 2012-05-26,+51%
2012-05-27 - 2012-06-02,+88%
2012-06-03 - 2012-06-09,+56%
2012-06-10 - 2012-06-16,+41%
2012-06-17 - 2012-06-23,+68%
2012-06-24 - 2012-06-30,+85%
2012-07-01 - 2012-07-07,+63%
2012-07-08 - 2012-07-14,+59%
2012-07-15 - 2012-07-21,+71%
2012-07-22 - 2012-07-28,+105%
2012-07-29 - 2012-08-04,+95%
2012-08-05 - 2012-08-11,+98%
2012-08-12 - 2012-08-18,+144%
2012-08-19 - 2012-08-25,+141%
2012-08-26 - 2012-09-01,+100%
2012-09-02 - 2012-09-08,+83%
2012-09-09 - 2012-09-15,+68%
2012-09-16 - 2012-09-22,+61%
2012-09-23 - 2012-09-29,+44%
2012-09-30 - 2012-10-06,+37%
2012-10-07 - 2012-10-13,+27%
2012-10-14 - 2012-10-20,+29%
2012-10-21 - 2012-10-27,+34%
2012-10-28 - 2012-11-03,+10%
2012-11-04 - 2012-11-10,+7%
2012-11-11 - 2012-11-17,+7%
2012-11-18 - 2012-11-24,+7%
2012-11-25 - 2012-12-01, 



Top searches
coccinelle,100
trappes,70
coccinelles,70
punaise,65
laurier,60
cafard,60
les coccinelles,55
guepe,55
nid,55
moustique,50
insecte,45
mites,40
punaise de lit,40
anti moustique,35
guepes,35
moustiques,30
insecticide,30
cafards,30
mite,25
capricorne,25



Rising searches
les coccinelles,Breakout
coccinelles,+950%
punaise de lit,+500%
anti moustique,+250%
moustique,+180%
punaise,+120%
guepe,+80%
moustiques,+80%
trappes,+60%
cafard,+50%



